Theodor	NE	Theodor
Fontane	NE	Fontane
Die	VVFIN	Die
Poggenpuhls	NN	Poggenpuhls
Roman	NN	Roman
1.	ADJA	@ord@
Kapitel	NN	Kapitel
Erstes	NN	Erste
Kapitel	NN	Kapitel
Die	ADJA	Die
Poggenpuhls	NN	Poggenpuhls
–	$(	-
eine	ART	eine
Frau	NN	Frau
Majorin	NN	Majorin
von	APPR	von
Poggenpuhl	NN	Poggenpuhl
mit	APPR	mit
ihren	PPOSAT	ihr
drei	CARD	drei
Töchtern	NN	Tochter
Therese	NE	Therese
,	$,	,
Sophie	NE	Sophie
und	KON	und
Manon	NE	Manon
–	$(	-
wohnten	VVFIN	wohnen
seit	APPR	seit
ihrer	PPOSAT	ihr
vor	APPR	vor
sieben	CARD	sieben
Jahren	NN	Jahr
erfolgten	ADJA	erfolgt
Übersiedelung	NN	Übersiedelung
von	APPR	von
Pommersch-Stargard	NE	Pommersch-Stargard
nach	APPR	nach
Berlin	NE	Berlin
in	APPR	in
einem	ART	eine
gerade	ADV	gerade
um	APPR	um
jene	PDAT	jen
Zeit	NN	Zeit
fertig	ADJD	fertig
gewordenen	ADJA	worden
,	$,	,
also	ADV	also
noch	ADV	noch
ziemlich	ADV	ziemlich
mauerfeuchten	ADJA	mauerfeuchten
Neubau	NN	Neubau
der	ART	die
Großgörschenstraße	NN	Großgörschenstraße
,	$,	,
einem	ART	eine
Eckhause	NN	Eckhause
,	$,	,
das	PRELS	die
einem	ART	eine
braven	ADJA	brav
und	KON	und
behäbigen	ADJA	behäbig
Manne	NN	Mann
,	$,	,
dem	ART	die
ehemaligen	ADJA	ehemalig
Maurerpolier	NN	Maurerpolier
,	$,	,
jetzigen	ADJA	jetzig
Rentier	NN	Rentier
August	NE	August
Nottebohm	NN	Nottebohm
gehörte	VVFIN	gehören
.	$.	.
Diese	PDAT	dies
Großgörschenstraßen-Wohnung	NN	Großgörschenstraßen-Wohnung
war	VAFIN	sein
seitens	APPR	seitens
der	ART	die
Poggenpuhlschen	NN	Poggenpuhlschen
Familie	NN	Familie
nicht	PTKNEG	nicht
zum	APPRART	zu+die
wenigsten	ADV	wenigsten
um	APPR	um
des	ART	die
kriegsgeschichtlichen	ADJA	kriegsgeschichtlichen
Namens	NN	Name
der	ART	die
Straße	NN	Straße
,	$,	,
zugleich	ADV	zugleich
aber	ADV	aber
auch	ADV	auch
um	APPR	um
der	ART	die
sogenannten	ADJA	sogenannt
»	QUO	»
wundervollen	ADJA	wundervoll
Aussicht	NN	Aussicht
«	QUO	«
willen	APPO	willen
gewählt	VVPP	wählen
worden	VAPP	werden
,	$,	,
die	PRELS	die
von	APPR	von
den	ART	die
Vorderfenstern	NN	Vorderfenstern
aus	APPR	aus
auf	APPR	auf
die	ART	die
Grabdenkmäler	NN	Grabdenkmal
und	KON	und
Erbbegräbnisse	NN	Erbbegräbnisse
des	ART	die
Matthäikirchhofs	NN	Matthäikirchhofs
,	$,	,
von	APPR	von
den	ART	die
Hinterfenstern	NN	Hinterfenstern
aus	APPR	aus
auf	APPR	auf
einige	PIS	einige
zur	APPRART	zu+die
Kulmstraße	NN	Kulmstraße
gehörige	ADJA	gehörig
Rückfronten	NN	Rückfronten
ging	VVFIN	gehen
,	$,	,
an	APPR	an
deren	PRELAT	die
einer	ART	eine
man	PIS	man
,	$,	,
in	APPR	in
abwechselnd	ADJD	abwechselnd
roten	ADJA	rot
und	KON	und
blauen	ADJA	blau
Riesenbuchstaben	NN	Riesenbuchstaben
,	$,	,
die	ART	die
Worte	NN	Wort
»	QUO	»
Schulzes	NE	Schulze
Bonbonfabrik	NN	Bonbonfabrik
«	QUO	«
lesen	VVINF	lesen
konnte	VMFIN	können
.	$.	.
Möglich	ADJD	möglich
,	$,	,
ja	ADV	ja
sogar	ADV	sogar
wahrscheinlich	ADJD	wahrscheinlich
,	$,	,
daß	KOUS	dass
nicht	PTKNEG	nicht
jedem	PIS	jede
mit	APPR	mit
dieser	PDAT	dies
eigentümlichen	ADJA	eigentümlich
Doppelaussicht	NN	Doppelaussicht
gedient	VVPP	dienen
gewesen	VAPP	sein
wäre	VAFIN	sein
;	$.	;
der	ART	die
Frau	NN	Frau
von	APPR	von
Poggenpuhl	NN	Poggenpuhl
aber	ADV	aber
,	$,	,
einer	ART	eine
geborenen	ADJA	geboren
Pütter	NN	Pütter
–	$(	-
aus	APPR	aus
einer	ART	eine
angesehenen	ADJA	angesehen
,	$,	,
aber	ADV	aber
armen	ADJA	arm
Predigerfamilie	NN	Predigerfamilie
stammend	ADJD	stammend
–	$(	-
,	$,	,
paßte	VVFIN	passen
jede	PIS	jede
der	ART	die
beiden	PIAT	beide
Aussichten	NN	Aussicht
gleich	ADJD	gleich
gut	ADJD	gut
,	$,	,
die	ART	die
Frontaussicht	NN	Frontaussicht
,	$,	,
weil	KOUS	weil
die	ART	die
etwas	ADV	etwas
sentimental	ADJD	sentimental
angelegte	ADJA	angelegt
Dame	NN	Dame
gern	ADV	gern
vom	APPRART	von+die
Sterben	NN	Sterben
sprach	VVFIN	sprechen
,	$,	,
die	ART	die
Rückfrontaussicht	NN	Rückfrontaussicht
auf	APPR	auf
die	ART	die
Kulmstraße	NN	Kulmstraße
aber	ADV	aber
,	$,	,
weil	KOUS	weil
sie	PPER	sie
beständig	ADJD	beständig
an	APPR	an
Husten	NN	Husten
litt	VVFIN	leiden
und	KON	und
aller	PIAT	alle
Sparsamkeit	NN	Sparsamkeit
ungeachtet	APPO	ungeachtet
zu	PTKZU	zu
gutem	ADJA	gut
Teile	NN	Teil
von	APPR	von
Gerstenbonbons	NN	Gerstenbonbons
und	KON	und
Brustkaramellen	NN	Brustkaramellen
lebte	VVFIN	leben
.	$.	.
Jedesmal	ADV	jedesmal
,	$,	,
wenn	KOUS	wenn
Besuch	NN	Besuch
kam	VVFIN	kommen
,	$,	,
wurde	VAFIN	werden
denn	ADV	denn
auch	ADV	auch
von	APPR	von
den	ART	die
großen	ADJA	groß
Vorzügen	NN	Vorzug
dieser	PDAT	dies
Wohnung	NN	Wohnung
gesprochen	VVPP	sprechen
,	$,	,
deren	PRELAT	die
einziger	ADJA	einzig
wirklicher	ADJA	wirklich
Vorzug	NN	Vorzug
in	APPR	in
ihrer	PPOSAT	ihr
großen	ADJA	groß
Billigkeit	NN	Billigkeit
und	KON	und
in	APPR	in
der	ART	die
vor	APPR	vor
mehreren	PIAT	mehrere
Jahren	NN	Jahr
schon	ADV	schon
durch	APPR	durch
Rentier	NN	Rentier
Nottebohm	NN	Nottebohm
gemachten	ADJA	gemacht
Zusicherung	NN	Zusicherung
bestand	VVFIN	bestehen
,	$,	,
daß	KOUS	dass
die	ART	die
Frau	NN	Frau
Majorin	NN	Majorin
nie	ADV	nie
gesteigert	VVPP	steigern
werden	VAINF	werden
würde	VAFIN	werden
.	$.	.
»	QUO	»
Nein	NN	Nein
,	$,	,
Frau	NN	Frau
Majorin	NN	Majorin
«	QUO	«
,	$,	,
so	ADV	so
etwa	ADV	etwa
hatte	VAFIN	haben
sich	PRF	sich
Nottebohm	NN	Nottebohm
damals	ADV	damals
geäußert	VVPP	äußern
,	$,	,
»	QUO	»
was	PIAT	was
dieses	PDAT	dies
angeht	VVFIN	angehen
,	$,	,
so	ADV	so
können	VMFIN	können
Frau	NN	Frau
Majorin	NN	Majorin
ganz	ADV	ganz
ruhig	ADJD	ruhig
sein	VAINF	sein
und	KON	und
die	ART	die
Fräuleins	NN	Fräulein
auch	ADV	auch
.	$.	.
Gott	NN	Gott
,	$,	,
wenn	KOUS	wenn
ich	PPER	ich
so	ADV	so
alles	PIS	alle
bedenke	VVFIN	bedenken
...	$.	...
verzeihen	VVFIN	verzeihen
