I	NUM	I
--	PUN	--
Comment	NAM	Comment
un	DET:ART	un
démon	NOM	démon
tomba	VER:simp	tomber
du	PRP:det	du
ciel	NOM	ciel
et	KON	et
comment	ADV	comment
il	PRO:PER	il
fut	VER:simp	être
accueilli	VER:pper	accueillir
sur	PRP	sur
la	DET:ART	le
terre	NOM	terre
Le	DET:ART	le
nouveau	ADJ	nouveau
récit	NOM	récit
que	PRO:REL	que
nous	PRO:PER	nous
entreprenons	VER:pres	entreprendre
aujourd'hui	ADV	aujourd'hui
de	PRP	de
faire	VER:infi	faire
à	PRP	à
nos	DET:POS	notre
lecteurs	NOM	lecteur
se	PRO:PER	se
déroule	VER:pres	dérouler
tout	ADV	tout
entier	ADJ	entier
dans	PRP	dans
l	NOM	l
'	PUN	'
Arizona	NAM	Arizona
,	PUN	,
ancienne	ADJ	ancien
province	NOM	province
du	PRP:det	du
Mexique	NAM	Mexique
,	PUN	,
annexée	VER:pper	annexer
par	PRP	par
les	DET:ART	le
États-Unis	NAM	États-Unis
,	PUN	,
après	PRP	après
tant	ADV	tant
d'	PRP	de
autres	ADJ	autre
,	PUN	,
à	PRP	à
leur	DET:POS	leur
colossale	ADJ	colossal
confédération	NOM	confédération
,	PUN	,
sans	PRP	sans
autre	ADJ	autre
droit	NOM	droit
que	KON	que
celui	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
force	NOM	force
.	SENT	.
Toutes	PRO:IND	tout
les	DET:ART	le
tentatives	NOM	tentative
des	PRP:det	du
Anglo-Saxons	NOM	anglo-saxon
pour	PRP	pour
faire	VER:infi	faire
pénétrer	VER:infi	pénétrer
la	DET:ART	le
civilisation	NOM	civilisation
moderne	ADJ	moderne
dans	PRP	dans
cette	PRO:DEM	ce
terre	NOM	terre
rebelle	ADJ	rebelle
furent	VER:simp	être
faites	VER:pper	faire
en	PRP	en
pure	ADJ	pur
perte	NOM	perte
;	PUN	;
le	DET:ART	le
gouvernement	NOM	gouvernement
de	PRP	de
Washington	NAM	Washington
fut	VER:simp	être
contraint	VER:pper	contraindre
d'	PRP	de
y	PRO:PER	y
renoncer	VER:infi	renoncer
.	SENT	.
Aussi	ADV	aussi
aujourd'hui	ADV	aujourd'hui
l'	DET:ART	le
Arizona	NAM	Arizona
est-elle	ADJ	est-elle
restée	VER:pper	rester
ce	PRO:DEM	ce
qu'	PRO:REL	que
elle	PRO:PER	elle
était	VER:impf	être
lorsqu'	KON	lorsque
elle	PRO:PER	elle
se	PRO:PER	se
nommait	VER:impf	nommer
Cibola	NAM	Cibola
et	KON	et
que	KON	que
Cabeza	NAM	Cabeza
de	PRP	de
Vacca	NAM	Vacca
la	PRO:PER	la
découvrit	VER:simp	découvrir
au	PRP:det	au
prix	NOM	prix
de	PRP	de
fatigues	NOM	fatigue
et	KON	et
de	PRP	de
périls	NOM	péril
terribles	ADJ	terrible
;	PUN	;
c'	PRO:DEM	ce
est-à-dire	ADV	est-à-dire
une	DET:ART	un
contrée	NOM	contrée
mystérieuse	ADJ	mystérieux
,	PUN	,
pleine	ADJ	plein
de	PRP	de
légendes	NOM	légende
sinistres	ADJ	sinistre
,	PUN	,
de	PRP	de
prodiges	NOM	prodige
effrayants	ADJ	effrayant
et	KON	et
inexpliqués	ADJ	inexpliqué
;	PUN	;
peuplée	VER:pper	peupler
d'	PRP	de
animaux	NOM	animal
inconnus	ADJ	inconnu
et	KON	et
féroces	ADJ	féroce
,	PUN	,
ne	ADV	ne
ressemblant	ADJ	ressemblant
à	PRP	à
aucuns	PRO:IND	aucun
autres	ADJ	autre
;	PUN	;
dont	PRO:REL	dont
le	DET:ART	le
sol	NOM	sol
bouleversé	VER:pper	bouleverser
est	VER:pres	être
rempli	VER:pper	remplir
de	PRP	de
ruines	NOM	ruine
de	PRP	de
toutes	PRO:IND	tout
sortes	NOM	sorte
laissées	VER:pper	laisser
par	PRP	par
des	PRP:det	du
peuples	NOM	peuple
inconnus	ADJ	inconnu
et	KON	et
qui	PRO:REL	qui
depuis	PRP	depuis
des	PRP:det	du
siècles	NOM	siècle
ont	VER:pres	avoir
disparu	VER:pper	disparaître
.	SENT	.
Aussi	ADV	aussi
les	DET:ART	le
plus	ADV	plus
braves	ADJ	brave
coureurs	NOM	coureur
des	PRP:det	du
bois	NOM	bois
ne	ADV	ne
se	PRO:PER	se
risquent	VER:pres	risquer
qu'	KON	que
en	PRO:PER	en
hésitant	VER:ppre	hésiter
et	KON	et
avec	PRP	avec
une	DET:ART	un
terreur	NOM	terreur
secrète	ADJ	secret
,	PUN	,
à	PRP	à
s'	PRO:PER	se
enfoncer	VER:infi	enfoncer
dans	PRP	dans
ces	PRO:DEM	ce
forêts	NOM	forêt
presque	ADV	presque
impénétrables	ADJ	impénétrable
,	PUN	,
vieilles	ADJ	vieux
comme	KON	comme
le	DET:ART	le
monde	NOM	monde
,	PUN	,
au	PRP:det	au
fond	NOM	fond
desquelles	PRO:REL	duquel
on	PRO:PER	on
retrouve	VER:pres	retrouver
d'	PRP	de
autres	ADJ	autre
ruines	NOM	ruine
qui	PRO:REL	qui
servent	VER:pres	servir
de	PRP	de
repaires	NOM	repaire
aux	PRP:det	au
fauves	NOM	fauve
les	DET:ART	le
plus	ADV	plus
redoutables	ADJ	redoutable
et	KON	et
semblent	VER:pres	sembler
avoir	VER:infi	avoir
abrité	VER:pper	abriter
des	PRP:det	du
géants	NOM	géant
dans	PRP	dans
les	DET:ART	le
anciens	ADJ	ancien
jours	NOM	jour
de	PRP	de
la	DET:ART	le
création	NOM	création
.	SENT	.
Ces	PRO:DEM	ce
déserts	NOM	désert
inexplorés	ADJ	inexploré
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
étendent	VER:pres	étendre
à	PRP	à
l'	DET:ART	le
infini	NOM	infini
,	PUN	,
renferment	VER:pres	renfermer
une	DET:ART	un
nombreuse	ADJ	nombreux
population	NOM	population
nomade	ADJ	nomade
,	PUN	,
composée	VER:pper	composer
des	PRP:det	du
éléments	NOM	élément
les	DET:ART	le
plus	ADV	plus
hétérogènes	ADJ	hétérogène
,	PUN	,
hostiles	ADJ	hostile
les	DET:ART	le
uns	NOM	un
aux	PRP:det	au
autres	ADJ	autre
et	KON	et
se	PRO:PER	se
faisant	VER:ppre	faire
une	DET:ART	un
guerre	NOM	guerre
sans	PRP	sans
merci	NOM	merci
,	PUN	,
où	PRO:REL	où
le	DET:ART	le
sang	NOM	sang
coule	VER:pres	couler
comme	ADV	comme
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
sous	PRP	sous
les	DET:ART	le
prétextes	NOM	prétexte
les	DET:ART	le
plus	ADV	plus
futiles	ADJ	futile
.	SENT	.
Voici	ADV	voici
quelle	PRO:REL	quel
est	VER:pres	être
la	DET:ART	le
population	NOM	population
de	PRP	de
l'	DET:ART	le
Arizona	NAM	Arizona
:	PUN	:
Les	DET:ART	le
Indiens	ADJ	indien
bravos	NOM	bravos
,	PUN	,
c'	PRO:DEM	ce
est-à-dire	ADV	est-à-dire
indomptés	ADJ	indompté
,	PUN	,
les	DET:ART	le
Comanches	NAM	Comanches
,	PUN	,
les	DET:ART	le
Apaches	NAM	Apaches
,	PUN	,
les	DET:ART	le
Pawnees	NOM	Pawnees
et	KON	et
d'	PRP	de
autres	ADJ	autre
encore	ADV	encore
,	PUN	,
qui	PRO:REL	qui
prétendent	VER:pres	prétendre
avec	PRP	avec
raison	NOM	raison
être	VER:infi	être
les	DET:ART	le
maîtres	NOM	maître
du	PRP:det	du
sol	NOM	sol
;	PUN	;
puis	ADV	puis
les	DET:ART	le
coureurs	NOM	coureur
des	PRP:det	du
bois	NOM	bois
,	PUN	,
les	DET:ART	le
chasseurs	NOM	chasseur
et	KON	et
les	DET:ART	le
trappeurs	NOM	trappeur
,	PUN	,
les	DET:ART	le
seuls	ADJ	seul
honnêtes	NOM	honnête
;	PUN	;
viennent	VER:pres	venir
ensuite	ADV	ensuite
les	DET:ART	le
pirates	NOM	pirate
des	PRP:det	du
savanes	NOM	savane
,	PUN	,
sang-mêlé	NOM	sang-mêlé
pour	PRP	pour
la	DET:ART	le
plupart	NOM	plupart
,	PUN	,
féroces	ADJ	féroce
,	PUN	,
voleurs	ADJ	voleur
et	KON	et
assassins	ADJ	assassin
,	PUN	,
sans	PRP	sans
foi	NOM	foi
ni	KON	ni
loi	NOM	loi
;	PUN	;
et	KON	et
enfin	ADV	enfin
les	DET:ART	le
déclassés	ADJ	déclassé
et	KON	et
les	DET:ART	le
naufragés	NOM	naufragé
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
civilisations	NOM	civilisation
du	PRP:det	du
Vieux	NAM	Vieux
et	KON	et
du	PRP:det	du
Nouveau	NAM	Nouveau
Monde	NAM	Monde
;	PUN	;
population	NOM	population
anonyme	ADJ	anonyme
sans	PRP	sans
nom	NOM	nom
dont	PRO:REL	dont
les	DET:ART	le
mauvais	ADJ	mauvais
instincts	NOM	instinct
n'	ADV	ne
ont	VER:pres	avoir
aucun	PRO:IND	aucun
frein	NOM	frein
et	KON	et
ne	ADV	ne
connaissent	VER:pres	connaître
que	KON	que
la	DET:ART	le
force	NOM	force
et	KON	et
la	DET:ART	le
loi	NOM	loi
du	PRP:det	du
talion	NOM	talion
,	PUN	,
œil	NOM	œil
pour	PRP	pour
œil	NOM	œil
,	PUN	,
dent	NOM	dent
pour	PRP	pour
dent	NOM	dent
,	PUN	,
et	KON	et
ne	ADV	ne
s'	PRO:PER	se
inclinent	VER:pres	incliner
que	KON	que
devant	PRP	devant
le	DET:ART	le
juge	NOM	juge
Lynch	NAM	Lynch
.	SENT	.
Et	KON	et
cependant	ADV	cependant
cette	PRO:DEM	ce
contrée	NOM	contrée
est	VER:pres	être
la	DET:ART	le
plus	ADV	plus
riche	ADJ	riche
et	KON	et
la	DET:ART	le
plus	ADV	plus
belle	ADJ	beau
de	PRP	de
l'	DET:ART	le
univers	NOM	univers
,	PUN	,
son	DET:POS	son
climat	NOM	climat
est	VER:pres	être
admirable	ADJ	admirable
,	PUN	,
sa	DET:POS	son
flore	NOM	flore
et	KON	et
sa	DET:POS	son
faune	NOM	faune
sont	VER:pres	être
incomparables	ADJ	incomparable
et	KON	et
ses	DET:POS	son
mines	NOM	mine
d'	PRP	de
or	NOM	or
,	PUN	,
d'	PRP	de
argent	NOM	argent
et	KON	et
de	PRP	de
cuivre	NOM	cuivre
sont	VER:pres	être
inépuisables	ADJ	inépuisable
;	PUN	;
aussi	ADV	aussi
,	PUN	,
espérons-nous	NOM	espérons-nous
que	KON	que
dans	PRP	dans
un	DET:ART	un
avenir	NOM	avenir
prochain	ADJ	prochain
l'	DET:ART	le
Arizona	NAM	Arizona
entrera	VER:futu	entrer
malgré	PRP	malgré
elle	PRO:PER	elle
dans	PRP	dans
la	DET:ART	le
grande	ADJ	grand
famille	NOM	famille
des	PRP:det	du
peuples	NOM	peuple
,	PUN	,
tout	PRO:IND	tout
*	NOM	*
*	ADJ	*
le	PRO:PER	le
fait	VER:pres	faire
prévoir	VER:infi	prévoir
:	PUN	:
la	DET:ART	le
civilisation	NOM	civilisation
marche	VER:pres	marcher
en	PRP	en
avant	PRP	avant
quand	ADV	quand
même	ADJ	même
,	PUN	,
et	KON	et
le	DET:ART	le
désert	NOM	désert
se	PRO:PER	se
rétrécit	VER:pres	rétrécir
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
.	SENT	.
Un	DET:ART	un
vendredi	NOM	vendredi
de	PRP	de
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
mois	NOM	moi|mois
de	PRP	de
juin	NOM	juin
187	NUM	@card@
...	PUN	...
entre	PRP	entre
quatre	NUM	quatre
et	KON	et
cinq	NUM	cinq
heures	NOM	heure
du	PRP:det	du
soir	NOM	soir
,	PUN	,
ainsi	KON	ainsi
que	PRO:REL	que
l'	PRO:PER	la|le
indiquait	VER:impf	indiquer
l'	DET:ART	le
ombre	NOM	ombre
allongée	VER:pper	allonger
des	PRP:det	du
arbres	NOM	arbre
sur	PRP	sur
le	DET:ART	le
sol	NOM	sol
,	PUN	,
un	DET:ART	un
homme	NOM	homme
,	PUN	,
qui	PRO:REL	qui
semblait	VER:impf	sembler
être	VER:infi	être
un	DET:ART	un
chasseur	NOM	chasseur
ou	KON	ou
un	DET:ART	un
coureur	NOM	coureur
des	PRP:det	du
bois	NOM	bois
,	PUN	,
après	PRP	après
avoir	VER:infi	avoir
traversé	VER:pper	traverser
à	PRP	à
gué	NOM	gué
le	DET:ART	le
rio	NOM	rio
Gila	NAM	Gila
à	PRP	à
son	DET:POS	son
confluent	NOM	confluent
avec	PRP	avec
le	DET:ART	le
rio	NOM	rio
Puerco	NAM	Puerco
,	PUN	,
fit	VER:simp	faire
halte	NOM	halte
sur	PRP	sur
la	DET:ART	le
berge	NOM	berge
de	PRP	de
la	DET:ART	le
rivière	NOM	rivière
,	PUN	,
laissa	VER:simp	laisser
tomber	VER:infi	tomber
la	DET:ART	le
crosse	NOM	crosse
de	PRP	de
son	DET:POS	son
fusil	NOM	fusil
sur	PRP	sur
le	DET:ART	le
sable	NOM	sable
et	KON	et
,	PUN	,
croisant	VER:ppre	croiser
ses	DET:POS	son
mains	NOM	main
sur	PRP	sur
l'	DET:ART	le
extrémité	NOM	extrémité
des	PRP:det	du
doubles	ADJ	double
canons	NOM	canon
de	PRP	de
son	DET:POS	son
arme	NOM	arme
,	PUN	,
il	PRO:PER	il
examina	VER:simp	examiner
attentivement	ADV	attentivement
d'	PRP	de
un	DET:ART	un
regard	NOM	regard
circulaire	ADJ	circulaire
l'	DET:ART	le
immense	ADJ	immense
vallée	NOM	vallée
qui	PRO:REL	qui
s'	PRO:PER	se
étendait	VER:impf	étendre
à	PRP	à
perte	NOM	perte
de	PRP	de
vue	NOM	vue
autour	ADV	autour
de	PRP	de
lui	PRO:PER	lui
.	SENT	.
Satisfait	VER:pper	satisfaire
sans	PRP	sans
doute	NOM	doute
de	PRP	de
sa	DET:POS	son
rapide	ADJ	rapide
observation	NOM	observation
,	PUN	,
un	DET:ART	un
sourire	NOM	sourire
releva	VER:simp	relever
légèrement	ADV	légèrement
les	DET:ART	le
commissures	NOM	commissure
de	PRP	de
ses	DET:POS	son
lèvres	NOM	lèvre
,	PUN	,
il	PRO:PER	il
murmura	VER:simp	murmurer
entre	PRP	entre
ses	DET:POS	son
dents	NOM	dent
,	PUN	,
en	PRP	en
français	ADJ	français
avec	PRP	avec
un	DET:ART	un
fort	ADJ	fort
accent	NOM	accent
normand	ADJ	normand
:	PUN	:
--	PUN	--
Allons	INT	allons
!	SENT	!
je	PRO:PER	je
suis	VER:pres	suivre|être
content	ADJ	content
de	PRP	de
moi	PRO:PER	moi
;	PUN	;
je	PRO:PER	je
ne	ADV	ne
me	PRO:PER	me
suis	VER:pres	suivre|être
pas	ADV	pas
trompé	VER:pper	tromper
d'	PRP	de
une	DET:ART	un
ligne	NOM	ligne
,	PUN	,
bien	ADV	bien
que	KON	que
cette	PRO:DEM	ce
fois	NOM	foi|fois
soit	VER:subp	être
la	DET:ART	le
première	NUM	premier
que	KON	que
je	PRO:PER	je
vienne	VER:subp	venir
dans	PRP	dans
cette	PRO:DEM	ce
contrée	NOM	contrée
;	PUN	;
et	KON	et
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
loin	ADV	loin
d'	PRP	de
ici	ADV	ici
à	PRP	à
Montréal	NAM	Montréal
;	PUN	;
voici	ADV	voici
la	DET:ART	le
vallée	NOM	vallée
jonchée	VER:pper	joncher
de	PRP	de
poteries	NOM	poterie
brisées	VER:pper	briser
;	PUN	;
voici	ADV	voici
sur	PRP	sur
ma	DET:POS	mon
droite	NOM	droit|droite
la	PRO:PER	la
casa	VER:simp	caser
de	PRP	de
Moctekuzoma	NAM	Moctekuzoma
,	PUN	,
là-bas	ADV	là-bas
les	DET:ART	le
ruines	NOM	ruine
d'	PRP	de
une	DET:ART	un
ville	NOM	ville
qui	PRO:REL	qui
a	VER:pres	avoir
dû	VER:pper	devoir
être	VER:infi	être
riche	ADJ	riche
et	KON	et
bien	ADV	bien
fortifiée	VER:pper	fortifier
;	PUN	;
et	KON	et
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
plus	ADV	plus
important	ADJ	important
,	PUN	,
à	PRP	à
l'	DET:ART	le
orée	NOM	orée
de	PRP	de
ce	PRO:DEM	ce
bois	NOM	bois
de	PRP	de
châtaigniers	NOM	châtaignier
,	PUN	,
l'	DET:ART	le
immense	ADJ	immense
mahoghani	NOM	mahoghani
--	PUN	--
acajou	NOM	acajou
--	PUN	--
entouré	VER:pper	entourer
de	PRP	de
quatre	NUM	quatre
cèdres	NOM	cèdre
qui	PRO:REL	qui
lui	PRO:PER	lui
servent	VER:pres	servir
de	PRP	de
gardes	NOM	garde
du	PRP:det	du
corps	NOM	corps
;	PUN	;
donc	ADV	donc
,	PUN	,
tout	PRO:IND	tout
est	VER:pres	être
bien	ADV	bien
et	KON	et
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
plus	ADV	plus
qu'	KON	que
à	PRP	à
attendre	VER:infi	attendre
.	SENT	.
Tout	ADV	tout
en	PRO:PER	en
causant	VER:ppre	causer
ainsi	ADV	ainsi
avec	PRP	avec
lui	PRO:PER	lui
-même	ADJ	même
le	DET:ART	le
