Préface	NOM	préface
Il	NAM	Il
y	PRO:PER	y
a	VER:pres	avoir
trente	NUM	trente
ou	KON	ou
quarante	NUM	quarante
ans	NOM	an
,	PUN	,
alors	ADV	alors
qu'	KON	que
on	PRO:PER	on
mettait	VER:impf	mettre
près	ADV	près
de	PRP	de
quinze	NUM	quinze
jours	NOM	jour
pour	PRP	pour
se	PRO:PER	se
rendre	VER:infi	rendre
de	PRP	de
Paris	NAM	Paris
à	PRP	à
Marseille	NAM	Marseille
,	PUN	,
et	KON	et
qu'	KON	que
on	PRO:PER	on
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
toujours	ADV	toujours
sûr	ADJ	sûr
d'	PRP	de
arriver	VER:infi	arriver
à	PRP	à
destination	NOM	destination
,	PUN	,
il	PRO:PER	il
fallait	VER:impf	falloir
être	VER:infi	être
doué	VER:pper	douer
d'	PRP	de
une	DET:ART	un
certaine	ADJ	certain
dose	NOM	dose
de	PRP	de
courage	NOM	courage
pour	PRP	pour
se	PRO:PER	se
risquer	VER:infi	risquer
de	PRP	de
propos	NOM	propos
délibéré	VER:pper	délibérer
sur	PRP	sur
un	DET:ART	un
navire	NOM	navire
à	PRP	à
vapeur	NOM	vapeur
partant	VER:ppre	partir
à	PRP	à
la	DET:ART	le
découverte	NOM	découverte
.	SENT	.
Les	DET:ART	le
pays	NOM	pays
étrangers	ADJ	étranger
étaient	VER:impf	être
entourés	VER:pper	entourer
d'	PRP	de
une	DET:ART	un
auréole	NOM	auréole
mystérieuse	ADJ	mystérieux
qui	PRO:REL	qui
faisait	VER:impf	faire
regarder	VER:infi	regarder
comme	ADV	comme
des	PRP:det	du
êtres	NOM	être|êtres
à	PRP	à
part	NOM	part
ceux	PRO:DEM	celui
que	PRO:REL	que
le	DET:ART	le
besoin	NOM	besoin
d'	PRP	de
aventures	NOM	aventure
ou	KON	ou
le	DET:ART	le
désir	NOM	désir
d'	PRP	de
apprendre	VER:infi	apprendre
poussaient	VER:impf	pousser
vers	PRP	vers
les	DET:ART	le
régions	NOM	région
inconnues	ADJ	inconnu
.	SENT	.
Aujourd'hui	ADV	aujourd'hui
,	PUN	,
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
vapeur	NOM	vapeur
et	KON	et
aux	PRP:det	au
chemins	NOM	chemin
de	PRP	de
fer	NOM	fer
,	PUN	,
les	DET:ART	le
distances	NOM	distance
n'	ADV	ne
existent	VER:pres	exister
plus	ADV	plus
;	PUN	;
le	DET:ART	le
besoin	NOM	besoin
de	PRP	de
changer	VER:infi	changer
de	PRP	de
place	NOM	place
est	VER:pres	être
devenu	VER:pper	devenir
général	ADJ	général
,	PUN	,
et	KON	et
tous	PRO:IND	tout
,	PUN	,
grands	ADJ	grand
ou	KON	ou
petits	ADJ	petit
,	PUN	,
riches	ADJ	riche
ou	KON	ou
pauvres	ADJ	pauvre
,	PUN	,
s'	PRO:PER	se
élancent	VER:pres	élancer
à	PRP	à
qui	PRO:REL	qui
mieux	ADV	mieux
mieux	ADV	mieux
vers	PRP	vers
les	DET:ART	le
régions	NOM	région
éloignées	VER:pper	éloigner
.	SENT	.
Qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
fait	VER:pper	faire
au	PRP:det	au
moins	ADV	moins
,	PUN	,
une	DET:ART	un
fois	NOM	foi|fois
dans	PRP	dans
sa	DET:POS	son
vie	NOM	vie
le	DET:ART	le
tour	NOM	tour
du	PRP:det	du
monde	NOM	monde
?	SENT	?
Seulement	ADV	seulement
,	PUN	,
comme	KON	comme
l'	PRO:PER	la|le
a	VER:pres	avoir
dit	VER:pper	dire
un	DET:ART	un
grand	ADJ	grand
poète	NOM	poète
contemporain	ADJ	contemporain
,	PUN	,
aujourd'hui	ADV	aujourd'hui
on	PRO:PER	on
ne	ADV	ne
voyage	VER:pres	voyager
plus	ADV	plus
,	PUN	,
on	PRO:PER	on
arrive	VER:pres	arriver
.	SENT	.
En	PRP	en
effet	NOM	effet
,	PUN	,
les	DET:ART	le
pays	NOM	pays
qui	PRO:REL	qui
séparent	VER:pres	séparer
le	DET:ART	le
