[	PUN	[
Première	NOM	premier|première
partie	NOM	partie
]	PUN	]
I	NUM	I
HAUPOIS-DAGUILLON	NAM	HAUPOIS-DAGUILLON
(	PUN	(
Ch	NAM	Ch
.	SENT	.
P	NOM	P
.	SENT	.
)	PUN	)
,	PUN	,
orfèvre	VER:pres	orfévrer
fournisseur	NOM	fournisseur
des	PRP:det	du
cours	NOM	cour|cours
d'	PRP	de
Angleterre	NAM	Angleterre
,	PUN	,
d'	PRP	de
Espagne	NAM	Espagne
,	PUN	,
de	PRP	de
Belgique	NAM	Belgique
,	PUN	,
de	PRP	de
Grèce	NAM	Grèce
,	PUN	,
rue	NOM	rue
Royale	NAM	Royale
,	PUN	,
maisons	NOM	maison
à	PRP	à
Londres	NAM	Londres
,	PUN	,
Regent	NAM	Regent
street	NOM	street
,	PUN	,
et	KON	et
à	PRP	à
Madrid	NAM	Madrid
,	PUN	,
calle	VER:pres	caller
de	PRP	de
la	DET:ART	le
Montera	NAM	Montera
.	SENT	.
--	PUN	--
(	PUN	(
0	NUM	@card@
)	PUN	)
1802-6-19-23-27-31-44-40	NUM	@card@
.	SENT	.
--	PUN	--
(	PUN	(
P.M.	NAM	P.M.
)	PUN	)
Londres	NAM	Londres
,	PUN	,
1851.	NAM	@ord@
--	PUN	--
(	PUN	(
A	PRP	à
)	PUN	)
New-York	NAM	New-York
,	PUN	,
1853.	NAM	@ord@
--	PUN	--
Hors	NAM	Hors
concours	NOM	concours
,	PUN	,
Londres	NAM	Londres
1862	NUM	@card@
et	KON	et
Paris	NAM	Paris
1867.	PUN	@ord@
C'	NAM	C'
est	VER:pres	être
ainsi	ADV	ainsi
que	KON	que
se	PRO:PER	se
trouve	VER:pres	trouver
désignée	VER:pper	désigner
dans	PRP	dans
le	DET:ART	le
Bottin	NOM	bottin
une	DET:ART	un
maison	NOM	maison
d'	PRP	de
orfèvrerie	NOM	orfèvrerie
qui	PRO:REL	qui
,	PUN	,
par	PRP	par
son	DET:POS	son
ancienneté	NOM	ancienneté
,	PUN	,
--	PUN	--
près	ADV	près
d'	PRP	de
un	DET:ART	un
siècle	NOM	siècle
d'	PRP	de
existence	NOM	existence
,	PUN	,
--	PUN	--
par	PRP	par
ses	DET:POS	son
succès	NOM	succès
artistiques	ADJ	artistique
,	PUN	,
--	PUN	--
(	PUN	(
0	NUM	@card@
)	PUN	)
(	PUN	(
A	PRP	à
)	PUN	)
médailles	NOM	médaille
d'	PRP	de
or	NOM	or
et	KON	et
d'	PRP	de
argent	NOM	argent
à	PRP	à
toutes	PRO:IND	tout
les	DET:ART	le
grandes	ADJ	grand
expositions	NOM	exposition
de	PRP	de
la	DET:ART	le
France	NAM	France
et	KON	et
de	PRP	de
l'	DET:ART	le
étranger	ADJ	étranger
,	PUN	,
--	PUN	--
par	PRP	par
sa	DET:POS	son
solidité	NOM	solidité
financière	ADJ	financier
,	PUN	,
par	PRP	par
son	DET:POS	son
honorabilité	NOM	honorabilité
,	PUN	,
est	VER:pres	être
une	DET:ART	un
des	PRP:det	du
gloires	NOM	gloire
de	PRP	de
l'	DET:ART	le
industrie	NOM	industrie
parisienne	ADJ	parisien
.	SENT	.
Jusqu'	PRP	jusque
en	PRP	en
1840	NUM	@card@
,	PUN	,
elle	PRO:PER	elle
avait	VER:impf	avoir
été	VER:pper	être
connue	VER:pper	connaître
sous	PRP	sous
le	DET:ART	le
seul	ADJ	seul
nom	NOM	nom
de	PRP	de
