I	NUM	I
--	PUN	--
Deux	NOM	deux
propriétaires	ADJ	propriétaire
.	SENT	.
«	PUN:cit	«
Il	NAM	Il
arrivera	VER:futu	arriver
!	SENT	!
...	PUN	...
Il	NOM	Il
n'	ADV	ne
arrivera	VER:futu	arriver
pas	ADV	pas
!	SENT	!
...	PUN	...
»	PUN:cit	»
Ces	NAM	Ces
deux	NUM	deux
exclamations	NOM	exclamation
partent	VER:pres	partir
d'	PRP	de
un	DET:ART	un
wagon	NOM	wagon
de	PRP	de
première	NUM	premier
classe	NOM	classe
;	PUN	;
on	PRO:PER	on
regarde	VER:pres	regarder
en	PRP	en
riant	VER:ppre	rire
un	DET:ART	un
petit	ADJ	petit
homme	NOM	homme
sec	ADJ	sec
,	PUN	,
vêtu	VER:pper	vêtir
d'	PRP	de
une	DET:ART	un
longue	ADJ	longue
redingote	NOM	redingote
brune	ADJ	brun
usée	VER:pper	user
jusqu'	PRP	jusque
à	PRP	à
la	DET:ART	le
corde	NOM	corde
.	SENT	.
Il	PRO:PER	il
court	VER:pres	courir
de	PRP	de
toute	PRO:IND	tout
la	DET:ART	le
force	NOM	force
de	PRP	de
ses	DET:POS	son
vieilles	ADJ	vieux
jambes	NOM	jambe
,	PUN	,
et	KON	et
se	PRO:PER	se
démène	VER:pres	démener
tant	ADV	tant
qu'	KON	que
il	PRO:PER	il
peut	VER:pres	pouvoir
sous	PRP	sous
trois	NUM	trois
ou	KON	ou
quatre	NUM	quatre
paquets	NOM	paquet
qui	PRO:REL	qui
compliquent	VER:pres	compliquer
la	DET:ART	le
situation	NOM	situation
.	SENT	.
Le	DET:ART	le
terrible	ADJ	terrible
coup	NOM	coup
de	PRP	de
sifflet	NOM	sifflet
lui	PRO:PER	lui
donne	VER:pres	donner
une	DET:ART	un
secousse	NOM	secousse
;	PUN	;
un	DET:ART	un
paquet	NOM	paquet
tombe	VER:pres	tomber
,	PUN	,
puis	ADV	puis
un	DET:ART	un
autre	ADJ	autre
.	SENT	.
pendant	PRP	pendant
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
baisse	VER:pres	baisser
pour	PRP	pour
les	PRO:PER	la|le
ramasser	VER:infi	ramasser
,	PUN	,
le	DET:ART	le
troisième	NUM	troisième
paquet	NOM	paquet
s'	PRO:PER	se
en	PRO:PER	en
mêle	VER:pres	mêler
;	PUN	;
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
en	PRO:PER	en
perdre	VER:infi	perdre
la	DET:ART	le
tête	NOM	tête
;	PUN	;
il	PRO:PER	il
ne	ADV	ne
la	PRO:PER	la
perd	VER:pres	perdre
pas	ADV	pas
,	PUN	,
car	KON	car
il	PRO:PER	il
tient	VER:pres	tenir
et	KON	et
serre	VER:pres	serrer
étroitement	ADV	étroitement
dans	PRP	dans
sa	DET:POS	son
main	NOM	main
droite	ADJ	droit
l'	DET:ART	le
affreux	ADJ	affreux
sac	NOM	sac
de	PRP	de
voyage	NOM	voyage
qu'	PRO:REL	que
il	PRO:PER	il
promène	VER:pres	promener
depuis	PRP	depuis
trente	NUM	trente
ans	NOM	an
,	PUN	,
dit	VER:pres	dire
-on	PRO:PER	on
,	PUN	,
et	KON	et
dont	PRO:REL	dont
il	PRO:PER	il
ne	ADV	ne
se	PRO:PER	se
séparerait	VER:cond	séparer
pas	ADV	pas
,	PUN	,
le	DET:ART	le
monde	NOM	monde
croulant	ADJ	croulant
.	SENT	.
«	PUN:cit	«
En	NOM	En
voiture	NOM	voiture
,	PUN	,
messieurs	NOM	messieurs
,	PUN	,
en	PRP	en
voiture	NOM	voiture
!	SENT	!
»	PUN:cit	»
Cette	NAM	Cette
voix	NOM	voix
stridente	ADJ	strident
redouble	VER:pres	redoubler
l'	DET:ART	le
empressement	NOM	empressement
du	PRP:det	du
bonhomme	NOM	bonhomme
.	SENT	.
Il	PRO:PER	il
étouffe	VER:pres	étouffer
...	PUN	...
qu'	PRO:REL	que
importe	VER:pres	importer
!	SENT	!
On	PRO:PER	on
part	VER:pres	partir
.	SENT	.
Il	PRO:PER	il
lance	VER:pres	lancer
ses	DET:POS	son
paquets	NOM	paquet
à	PRP	à
la	DET:ART	le
volée	NOM	volée
dans	PRP	dans
un	DET:ART	un
wagon	NOM	wagon
de	PRP	de
troisième	NUM	troisième
,	PUN	,
et	KON	et
se	PRO:PER	se
lance	VER:pres	lancer
lui	PRO:PER	lui
-même	ADJ	même
,	PUN	,
au	PRP:det	au
risque	NOM	risque
de	PRP	de
se	PRO:PER	se
casser	VER:infi	casser
le	DET:ART	le
cou	NOM	cou
,	PUN	,
mais	KON	mais
tenant	VER:ppre	tenir
toujours	ADV	toujours
ferme	ADV	ferme
l'	DET:ART	le
affreux	ADJ	affreux
sac	NOM	sac
de	PRP	de
voyage	NOM	voyage
.	SENT	.
Assis	VER:pper	asseoir
enfin	ADV	enfin
,	PUN	,
il	PRO:PER	il
compte	VER:pres	compter
ses	DET:POS	son
paquets	NOM	paquet
,	PUN	,
tire	VER:pres	tirer
de	PRP	de
sa	DET:POS	son
poche	NOM	poche
un	DET:ART	un
vieux	ADJ	vieux
mouchoir	NOM	mouchoir
de	PRP	de
coton	NOM	coton
à	PRP	à
carreaux	NOM	carreau
,	PUN	,
s'	PRO:PER	se
essuie	VER:pres	essuyer
le	DET:ART	le
front	NOM	front
,	PUN	,
et	KON	et
,	PUN	,
à	PRP	à
demi	ADJ	demi
mort	NOM	mort
de	PRP	de
fatigue	NOM	fatigue
,	PUN	,
se	PRO:PER	se
plonge	VER:pres	plonger
dans	PRP	dans
une	DET:ART	un
torpeur	NOM	torpeur
qui	PRO:REL	qui
ne	ADV	ne
l'	PRO:PER	la|le
empêche	VER:pres	empêcher
pas	ADV	pas
toutefois	ADV	toutefois
de	PRP	de
surveiller	VER:infi	surveiller
son	DET:POS	son
matériel	NOM	matériel
.	SENT	.
En	PRP	en
première	NUM	premier
,	PUN	,
l'	DET:ART	le
un	NOM	un
avait	VER:impf	avoir
gagné	VER:pper	gagner
son	DET:POS	son
pari	NOM	pari
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
l'	PRO:PER	la|le
avait	VER:impf	avoir
perdu	VER:pper	perdre
.	SENT	.
Cela	PRO:DEM	cela
arrive	VER:pres	arriver
toujours	ADV	toujours
ainsi	ADV	ainsi
;	PUN	;
mais	KON	mais
tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
riaient	VER:impf	rire
,	PUN	,
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
assez	ADV	assez
rare	ADJ	rare
.	SENT	.
Dans	PRP	dans
ce	PRO:DEM	ce
wagon	NOM	wagon
,	PUN	,
trois	NUM	trois
voyageurs	NOM	voyageur
installés	VER:pper	installer
le	DET:ART	le
