Chapitre	NOM	chapitre
1	NUM	@card@
«	PUN:cit	«
Zut	NAM	Zut
!	SENT	!
»	PUN:cit	»
s’écria	VER:simp	s’écria
tout	ADV	tout
à	PRP	à
coup	NOM	coup
le	DET:ART	le
père	NOM	père
Roland	NAM	Roland
qui	PRO:REL	qui
depuis	PRP	depuis
un	DET:ART	un
quart	ADJ	quart
d’heure	NOM	d’heure
demeurait	VER:impf	demeurer
immobile	ADJ	immobile
,	PUN	,
les	DET:ART	le
yeux	NOM	œil
fixés	VER:pper	fixer
sur	PRP	sur
l’eau	NOM	l’eau
,	PUN	,
et	KON	et
soulevant	VER:ppre	soulever
par	PRP	par
moments	NOM	moment
,	PUN	,
d’un	ADJ	d’un
mouvement	NOM	mouvement
très	ADV	très
léger	ADJ	léger
,	PUN	,
sa	DET:POS	son
ligne	NOM	ligne
descendue	VER:pper	descendre
au	PRP:det	au
fond	NOM	fond
de	PRP	de
la	DET:ART	le
mer	NOM	mer
.	SENT	.
Mme	NOM	madame
Roland	NAM	Roland
,	PUN	,
assoupie	VER:pper	assoupir
à	PRP	à
l’arrière	NOM	l’arrière
du	PRP:det	du
bateau	NOM	bateau
,	PUN	,
à	PRP	à
côté	NOM	côté
de	PRP	de
Mme	NOM	madame
Rosémilly	NAM	Rosémilly
invitée	VER:pper	inviter
à	PRP	à
cette	PRO:DEM	ce
partie	NOM	partie
de	PRP	de
pêche	NOM	pêche
,	PUN	,
se	PRO:PER	se
réveilla	VER:simp	réveiller
,	PUN	,
et	KON	et
tournant	VER:ppre	tourner
la	DET:ART	le
tête	NOM	tête
vers	PRP	vers
son	DET:POS	son
mari	NOM	mari
:	PUN	:
«	PUN:cit	«
Eh	NOM	Eh
bien	ADJ	bien
,	PUN	,
...	PUN	...
eh	INT	eh
bien	ADV	bien
,	PUN	,
...	PUN	...
Jérôme	NAM	Jérôme
!	SENT	!
»	PUN:cit	»
Le	DET:ART	le
bonhomme	NOM	bonhomme
,	PUN	,
furieux	ADJ	furieux
,	PUN	,
répondit	VER:simp	répondre
:	PUN	:
«	PUN:cit	«
Ça	VER:simp	Ça
ne	ADV	ne
mord	VER:pres	mordre
plus	ADV	plus
du	PRP:det	du
tout	NOM	tout
.	SENT	.
Depuis	PRP	depuis
midi	NOM	midi
je	PRO:PER	je
n’ai	VER:simp	n’ai
rien	ADV	rien
pris	VER:pper	prendre
.	SENT	.
On	PRO:PER	on
ne	ADV	ne
devrait	VER:cond	devoir
jamais	ADV	jamais
pêcher	VER:infi	pêcher
qu’entre	NOM	qu’entre
hommes	NOM	homme
;	PUN	;
les	DET:ART	le
femmes	NOM	femme
vous	PRO:PER	vous
font	VER:pres	faire
embarquer	VER:infi	embarquer
toujours	ADV	toujours
trop	ADV	trop
tard	ADV	tard
.	SENT	.
»	PUN:cit	»
Ses	NAM	Ses
deux	NUM	deux
fils	NOM	fil|fils
,	PUN	,
Pierre	NAM	Pierre
et	KON	et
Jean	NAM	Jean
,	PUN	,
qui	PRO:REL	qui
tenaient	VER:impf	tenir
,	PUN	,
l’un	NOM	l’un
à	PRP	à
bâbord	NOM	bâbord
,	PUN	,
l’autre	NOM	l’autre
à	PRP	à
tribord	NOM	tribord
,	PUN	,
chacun	PRO:IND	chacun
une	DET:ART	un
ligne	NOM	ligne
enroulée	VER:pper	enrouler
à	PRP	à
l’index	NOM	l’index
,	PUN	,
se	PRO:PER	se
mirent	VER:simp	mettre
à	PRP	à
rire	VER:infi	rire
en	PRP	en
même	ADJ	même
temps	NOM	temps
et	KON	et
Jean	NAM	Jean
répondit	VER:simp	répondre
:	PUN	:
«	PUN:cit	«
Tu	ADJ	Tu
n’es	NOM	n’es
pas	ADV	pas
galant	VER:ppre	galer
pour	PRP	pour
notre	DET:POS	notre
invitée	NOM	invité
,	PUN	,
papa	NOM	papa
.	SENT	.
»	PUN:cit	»
M	ADJ	M
.	SENT	.
Roland	NAM	Roland
fut	VER:simp	être
confus	ADJ	confus
et	KON	et
s’excusa	VER:simp	s’excusa
:	PUN	:
«	PUN:cit	«
Je	PRO:PER	je
vous	PRO:PER	vous
demande	VER:pres	demander
pardon	NOM	pardon
,	PUN	,
madame	NOM	madame
Rosémilly	NAM	Rosémilly
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
comme	ADV	comme
ça	PRO:DEM	cela
.	SENT	.
J’invite	VER:pres	J’invite
les	DET:ART	le
dames	NOM	dame
parce	KON	parce
que	PRO:REL	que
j’aime	VER:pres	j’aime
me	PRO:PER	me
trouver	VER:infi	trouver
avec	PRP	avec
elles	PRO:PER	elle
,	PUN	,
et	KON	et
puis	ADV	puis
,	PUN	,
dès	PRP	dès
que	KON	que
je	PRO:PER	je
sens	VER:pres	sentir
de	PRP	de
l’eau	NOM	l’eau
sous	PRP	sous
moi	PRO:PER	moi
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
pense	VER:pres	penser
plus	ADV	plus
qu’au	ADJ	qu’au
poisson	NOM	poisson
.	SENT	.
»	PUN:cit	»
Mme	NOM	madame
Roland	NAM	Roland
s’était	VER:impf	s’était
tout	ADV	tout
à	PRP	à
fait	NOM	fait
réveillée	VER:pper	réveiller
et	KON	et
regardait	VER:impf	regarder
d’un	ADJ	d’un
air	NOM	air
attendri	VER:pper	attendrir
le	DET:ART	le
large	ADJ	large
horizon	NOM	horizon
de	PRP	de
falaises	NOM	falaise
et	KON	et
de	PRP	de
mer	NOM	mer
.	SENT	.
Elle	PRO:PER	elle
murmura	VER:simp	murmurer
:	PUN	:
«	PUN:cit	«
Vous	NAM	Vous
avez	VER:pres	avoir
cependant	ADV	cependant
fait	VER:pper	faire
une	DET:ART	un
belle	ADJ	beau
pêche	NOM	pêche
.	SENT	.
»	PUN:cit	»
Mais	VER:impf	Mais
son	DET:POS	son
mari	NOM	mari
remuait	VER:impf	remuer
la	DET:ART	le
tête	NOM	tête
pour	PRP	pour
dire	VER:infi	dire
non	ADV	non
,	PUN	,
tout	ADV	tout
en	PRP	en
jetant	VER:ppre	jeter
un	DET:ART	un
coup	NOM	coup
d’œil	ADJ	d’œil
bienveillant	ADJ	bienveillant
sur	PRP	sur
le	DET:ART	le
panier	NOM	panier
où	PRO:REL	où
le	DET:ART	le
poisson	NOM	poisson
capturé	VER:pper	capturer
par	PRP	par
les	DET:ART	le
trois	NUM	trois
hommes	NOM	homme
palpitait	VER:impf	palpiter
vaguement	ADV	vaguement
encore	ADV	encore
,	PUN	,
avec	PRP	avec
un	DET:ART	un
bruit	NOM	bruit
doux	ADJ	doux
d’écailles	VER:subp	d’écailles
gluantes	ADJ	gluant
et	KON	et
de	PRP	de
nageoires	NOM	nageoire
soulevées	VER:pper	soulever
,	PUN	,
d’efforts	NOM	d’efforts
impuissants	ADJ	impuissant
et	KON	et
mous	ADJ	mou
,	PUN	,
et	KON	et
de	PRP	de
bâillements	NOM	bâillement
dans	PRP	dans
l’air	NOM	l’air
mortel	ADJ	mortel
.	SENT	.
Le	DET:ART	le
père	NOM	père
