XXXIX	NUM	XXXIX
L'	DET:ART	le
affaire	NOM	affaire
de	PRP	de
ma	DET:POS	mon
démission	NOM	démission
,	PUN	,
compliquée	VER:pper	compliquer
des	PRP:det	du
scrupules	NOM	scrupule
prudents	ADJ	prudent
de	PRP	de
mon	DET:POS	mon
colonel	NOM	colonel
,	PUN	,
m'	PRO:PER	me
avait	VER:impf	avoir
amené	VER:pper	amener
à	PRP	à
entretenir	VER:infi	entretenir
une	DET:ART	un
correspondance	NOM	correspondance
active	ADJ	actif
avec	PRP	avec
le	DET:ART	le
général	ADJ	général
Martory	NAM	Martory
;	PUN	;
tous	PRO:IND	tout
les	DET:ART	le
matins	NOM	matin
,	PUN	,
pendant	PRP	pendant
ma	DET:POS	mon
maladie	NOM	maladie
officielle	ADJ	officiel
,	PUN	,
je	PRO:PER	je
lui	PRO:PER	lui
avais	VER:impf	avoir
écrit	VER:pper	écrire
,	PUN	,
et	KON	et
plus	ADV	plus
d'	PRP	de
une	DET:ART	un
fois	NOM	foi|fois
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cours	NOM	cour|cours
de	PRP	de
la	DET:ART	le
journée	NOM	journée
,	PUN	,
je	PRO:PER	je
lui	PRO:PER	lui
avais	VER:impf	avoir
envoyé	VER:pper	envoyer
une	DET:ART	un
seconde	NUM	second
lettre	NOM	lettre
.	SENT	.
Mais	KON	mais
en	PRP	en
sa	DET:POS	son
qualité	NOM	qualité
de	PRP	de
vieux	NOM	vieux
militaire	ADJ	militaire
qui	PRO:REL	qui
méprise	VER:pres	mépriser
le	DET:ART	le
papier	NOM	papier
blanc	ADJ	blanc
et	KON	et
considère	VER:pres	considérer
le	DET:ART	le
travail	NOM	travail
de	PRP	de
la	DET:ART	le
correspondance	NOM	correspondance
comme	KON	comme
une	DET:ART	un
annexe	NOM	annexe
du	PRP:det	du
ménage	NOM	ménage
,	PUN	,
--	PUN	--
le	DET:ART	le
balayage	NOM	balayage
ou	KON	ou
le	DET:ART	le
lavage	NOM	lavage
de	PRP	de
la	DET:ART	le
vaisselle	NOM	vaisselle
,	PUN	,
--	PUN	--
il	PRO:PER	il
avait	VER:impf	avoir
chargé	VER:pper	charger
Clotilde	NAM	Clotilde
de	PRP	de
me	PRO:PER	me
répondre	VER:infi	répondre
.	SENT	.
Par	PRP	par
ce	PRO:DEM	ce
moyen	NOM	moyen
,	PUN	,
nous	PRO:PER	nous
avions	VER:impf	avoir
trouvé	VER:pper	trouver
l'	DET:ART	le
occasion	NOM	occasion
d'	PRP	de
échanger	VER:infi	échanger
bien	ADV	bien
des	PRP:det	du
pensées	NOM	pensée
qui	PRO:REL	qui
n'	ADV	ne
avaient	VER:impf	avoir
