I	NUM	I
--	PUN	--
La	DET:ART	le
petite	ADJ	petit
femme	NOM	femme
de	PRP	de
ménage	NOM	ménage
.	SENT	.
Quatre	NUM	quatre
poules	NOM	poule
,	PUN	,
un	DET:ART	un
agneau	NOM	agneau
,	PUN	,
trois	NUM	trois
lapins	NOM	lapin
,	PUN	,
c'	PRO:DEM	ce
était	VER:impf	être
toute	PRO:IND	tout
la	DET:ART	le
fortune	NOM	fortune
de	PRP	de
Madeleine	NAM	Madeleine
,	PUN	,
enfant	NOM	enfant
de	PRP	de
treize	NUM	treize
ans	NOM	an
,	PUN	,
seul	ADJ	seul
appui	NOM	appui
d'	PRP	de
une	DET:ART	un
pauvre	NOM	pauvre
veuve	ADJ	veuf|veuve
qui	PRO:REL	qui
avait	VER:impf	avoir
encore	ADV	encore
deux	NUM	deux
petits	ADJ	petit
garçons	NOM	garçon
en	PRP	en
bas	ADJ	bas
âge	NOM	âge
.	SENT	.
Le	DET:ART	le
père	NOM	père
de	PRP	de
famille	NOM	famille
était	VER:impf	être
mort	VER:pper	mourir
depuis	PRP	depuis
dix-huit	NUM	dix-huit
mois	NOM	moi|mois
.	SENT	.
La	DET:ART	le
mère	NOM	mère
avait	VER:impf	avoir
lutté	VER:pper	lutter
de	PRP	de
toutes	PRO:IND	tout
ses	DET:POS	son
forces	NOM	force|forces
contre	PRP	contre
le	DET:ART	le
malheur	NOM	malheur
,	PUN	,
mais	KON	mais
sa	DET:POS	son
santé	NOM	santé
ébranlée	VER:pper	ébranler
la	PRO:PER	la
rendait	VER:impf	rendre
inhabile	ADJ	inhabile
aux	PRP:det	au
rudes	ADJ	rude
travaux	NOM	travail
de	PRP	de
la	DET:ART	le
campagne	NOM	campagne
,	PUN	,
et	KON	et
d'	PRP	de
ailleurs	ADV	ailleurs
ses	DET:POS	son
jeunes	ADJ	jeune
enfants	NOM	enfant
demandaient	VER:impf	demander
des	PRP:det	du
soins	NOM	soin
assidus	ADJ	assidu
;	PUN	;
malgré	PRP	malgré
son	DET:POS	son
courage	NOM	courage
et	KON	et
sa	DET:POS	son
bonne	ADJ	bon
volonté	NOM	volonté
,	PUN	,
la	DET:ART	le
misère	NOM	misère
menaçait	VER:impf	menacer
la	DET:ART	le
chaumière	NOM	chaumière
des	PRP:det	du
orphelins	NOM	orphelin
;	PUN	;
ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
cette	PRO:DEM	ce
misère	NOM	misère
désespérante	ADJ	désespérant
des	PRP:det	du
grandes	ADJ	grand
villes	NOM	ville
;	PUN	;
non	ADV	non
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
toujours	ADV	toujours
des	PRP:det	du
roses	NOM	rose
dans	PRP	dans
le	DET:ART	le
petit	ADJ	petit
jardin	NOM	jardin
,	PUN	,
des	PRP:det	du
parfums	NOM	parfum
dans	PRP	dans
l'	DET:ART	le
air	NOM	air
,	PUN	,
un	DET:ART	un
tapis	NOM	tapis
de	PRP	de
verdure	NOM	verdure
pour	PRP	pour
reposer	VER:infi	reposer
les	DET:ART	le
yeux	NOM	œil
.	SENT	.
Ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
non	ADV	non
plus	ADV	plus
cette	PRO:DEM	ce
pauvreté	NOM	pauvreté
hardie	ADJ	hardi
qui	PRO:REL	qui
se	PRO:PER	se
plaît	VER:pres	plaire
à	PRP	à
montrer	VER:infi	montrer
ses	DET:POS	son
haillons	NOM	haillon
et	KON	et
son	DET:POS	son
visage	NOM	visage
sombre	ADJ	sombre
pour	PRP	pour
attirer	VER:infi	attirer
la	DET:ART	le
pitié	NOM	pitié
.	SENT	.
Brigitte	NAM	Brigitte
aurait	VER:cond	avoir
abrégé	VER:pper	abréger
le	DET:ART	le
temps	NOM	temps
de	PRP	de
son	DET:POS	son
sommeil	NOM	sommeil
plutôt	ADV	plutôt
que	KON	que
de	PRP	de
laisser	VER:infi	laisser
ses	DET:POS	son
enfants	NOM	enfant
courir	VER:infi	courir
dans	PRP	dans
le	DET:ART	le
village	NOM	village
avec	PRP	avec
des	PRP:det	du
habits	NOM	habit
déchirés	VER:pper	déchirer
.	SENT	.
Au	PRP:det	au
pantalon	NOM	pantalon
noir	ADJ	noir
du	PRP:det	du
bon	ADJ	bon
petit	ADJ	petit
Jacques	NAM	Jacques
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
une	DET:ART	un
pièce	NOM	pièce
marron	ADJ	marron
parfaitement	ADV	parfaitement
mise	VER:pper	mettre
,	PUN	,
et	KON	et
qui	PRO:REL	qui
témoignait	VER:impf	témoigner
en	PRP	en
faveur	NOM	faveur
de	PRP	de
la	DET:ART	le
ménagère	NOM	ménager|ménagère
.	SENT	.
Que	KON	que
faire	VER:infi	faire
cependant	ADV	cependant
quand	KON	quand
on	PRO:PER	on
est	VER:pres	être
trop	ADV	trop
malheureux	ADJ	malheureux
,	PUN	,
quand	KON	quand
les	DET:ART	le
forces	NOM	force|forces
manquent	VER:pres	manquer
,	PUN	,
quand	KON	quand
on	PRO:PER	on
sent	VER:pres	sentir
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
plus	ADV	plus
suffire	VER:infi	suffire
aux	PRP:det	au
besoins	NOM	besoin
qui	PRO:REL	qui
se	PRO:PER	se
renouvellent	VER:pres	renouveler
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
?	SENT	?
Faut-il	NOM	Faut-il
perdre	VER:infi	perdre
toute	PRO:IND	tout
confiance	NOM	confiance
?	SENT	?
Non	ADV	non
,	PUN	,
assurément	ADV	assurément
,	PUN	,
puisque	KON	puisque
la	DET:ART	le
Providence	NAM	Providence
est	VER:pres	être
toujours	ADV	toujours
là	ADV	là
;	PUN	;
Brigitte	NAM	Brigitte
le	PRO:PER	le
savait	VER:impf	savoir
bien	ADV	bien
.	SENT	.
Un	DET:ART	un
matin	NOM	matin
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
eut	VER:simp	avoir
entre	PRP	entre
la	DET:ART	le
mère	NOM	mère
et	KON	et
la	DET:ART	le
fille	NOM	fille
le	DET:ART	le
dialogue	NOM	dialogue
suivant	VER:ppre	suivre
:	PUN	:
«	PUN:cit	«
Madeleine	NAM	Madeleine
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
tard	ADV	tard
,	PUN	,
lève	VER:pres	lever
-toi	PRO:PER	toi
,	PUN	,
