PREMIÈRE	NUM	premier
PARTIE	NOM	partie
I	NUM	i
Nous	PRO:PER	nous
étions	VER:impf	être
à	PRP	à
l'	DET:ART	le
Étude	NOM	étude
,	PUN	,
quand	KON	quand
le	DET:ART	le
Proviseur	NOM	proviseur
entra	VER:simp	entrer
,	PUN	,
suivi	VER:pper	suivre
d'	PRP	de
un	DET:ART	un
nouveau	ADJ	nouveau
habillé	VER:pper	habiller
en	PRP	en
bourgeois	NOM	bourgeois
et	KON	et
d'	PRP	de
un	DET:ART	un
garçon	NOM	garçon
de	PRP	de
classe	NOM	classe
qui	PRO:REL	qui
portait	VER:impf	porter
un	DET:ART	un
grand	ADJ	grand
pupitre	NOM	pupitre
.	SENT	.
<EOS>	<EOS>	<EOS>
Ceux	PRO:DEM	celui
qui	PRO:REL	qui
dormaient	VER:impf	dormir
se	PRO:PER	se
réveillèrent	VER:simp	réveiller
,	PUN	,
et	KON	et
chacun	PRO:IND	chacun
se	PRO:PER	se
leva	VER:simp	lever
comme	ADV	comme
surpris	VER:pper	surprendre
dans	PRP	dans
son	DET:POS	son
travail	NOM	travail
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
Proviseur	NOM	proviseur
nous	PRO:PER	nous
fit	VER:simp	faire
signe	NOM	signe
de	PRP	de
nous	PRO:PER	nous
rasseoir	VER:infi	rasseoir
;	PUN	;
puis	ADV	puis
,	PUN	,
se	PRO:PER	se
tournant	VER:ppre	tourner
vers	PRP	vers
le	DET:ART	le
maître	NOM	maître
d'	PRP	de
études	NOM	étude
:	PUN	:
--	PUN	--
Monsieur	NOM	monsieur
Roger	NAM	roger
,	PUN	,
lui	PRO:PER	lui
dit-il	NOM	dit-il
à	PRP	à
demi-voix	ADV	demi-voix
,	PUN	,
voici	ADV	voici
un	DET:ART	un
élève	NOM	élève
que	PRO:REL	que
je	PRO:PER	je
vous	PRO:PER	vous
recommande	VER:pres	recommander
,	PUN	,
il	PRO:PER	il
entre	VER:subp	entrer
en	PRP	en
cinquième	NOM	cinquième
.	SENT	.
<EOS>	<EOS>	<EOS>
Si	KON	si
son	DET:POS	son
travail	NOM	travail
et	KON	et
sa	DET:POS	son
conduite	NOM	conduite
sont	VER:pres	être
méritoires	ADJ	méritoire
,	PUN	,
il	PRO:PER	il
passera	VER:futu	passer
dans	PRP	dans
les	DET:ART	le
grands	ADJ	grand
,	PUN	,
où	PRO:REL	où
l'	PRO:PER	la|le
appelle	VER:pres	appeler
son	DET:POS	son
âge	NOM	âge
.	SENT	.
<EOS>	<EOS>	<EOS>
Resté	VER:pper	rester
dans	PRP	dans
l'	DET:ART	le
angle	NOM	angle
,	PUN	,
derrière	PRP	derrière
la	DET:ART	le
porte	NOM	porte
,	PUN	,
si	KON	si
bien	ADV	bien
qu'	KON	que
on	PRO:PER	on
l'	PRO:PER	la|le
apercevait	VER:impf	apercevoir
à	PRP	à
peine	NOM	peine
,	PUN	,
le	DET:ART	le
nouveau	ADJ	nouveau
était	VER:impf	être
un	DET:ART	un
gars	NOM	gars
de	PRP	de
la	DET:ART	le
campagne	NOM	campagne
,	PUN	,
d'	PRP	de
une	DET:ART	un
quinzaine	NOM	quinzaine
d'	PRP	de
années	NOM	année
environ	ADV	environ
,	PUN	,
et	KON	et
plus	ADV	plus
haut	ADV	haut
de	PRP	de
taille	NOM	taille
qu'	KON	que
aucun	PRO:IND	aucun
de	PRP	de
nous	PRO:PER	nous
tous	NOM	tous
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
avait	VER:impf	avoir
