Chapitre	NOM	chapitre
1	NUM	@card@
-	PUN	-
Le	DET:ART	le
Festin	NOM	festin
C'	ADJ	c'
était	VER:impf	être
à	PRP	à
Mégara	NAM	mégara
,	PUN	,
faubourg	NOM	faubourg
de	PRP	de
Carthage	NAM	carthage
,	PUN	,
dans	PRP	dans
les	DET:ART	le
jardins	NOM	jardin
d'	PRP	de
Hamilcar	NAM	hamilcar
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
soldats	NOM	soldat
qu'	PRO:REL	que
il	PRO:PER	il
avait	VER:impf	avoir
commandés	VER:pper	commander
en	PRP	en
Sicile	NAM	sicile
se	PRO:PER	se
donnaient	VER:impf	donner
un	DET:ART	un
grand	ADJ	grand
festin	NOM	festin
pour	PRP	pour
célébrer	VER:infi	célébrer
le	DET:ART	le
jour	NOM	jour
anniversaire	ADJ	anniversaire
de	PRP	de
la	DET:ART	le
bataille	NOM	bataille
d'	PRP	de
Eryx	NOM	eryx
,	PUN	,
et	KON	et
comme	KON	comme
le	DET:ART	le
maître	NOM	maître
était	VER:impf	être
absent	ADJ	absent
et	KON	et
qu'	PRO:REL	que
ils	PRO:PER	il
se	PRO:PER	se
trouvaient	VER:impf	trouver
nombreux	ADJ	nombreux
,	PUN	,
ils	PRO:PER	il
mangeaient	VER:impf	manger
et	KON	et
ils	PRO:PER	il
buvaient	VER:impf	boire
en	PRP	en
pleine	ADJ	plein
liberté	NOM	liberté
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
capitaines	NOM	capitaine
,	PUN	,
portant	VER:ppre	porter
des	PRP:det	du
cothurnes	NOM	cothurne
de	PRP	de
bronze	NOM	bronze
,	PUN	,
s'	PRO:PER	se
étaient	VER:impf	être
placés	VER:pper	placer
dans	PRP	dans
le	DET:ART	le
chemin	NOM	chemin
du	PRP:det	du
milieu	NOM	milieu
,	PUN	,
sous	PRP	sous
un	DET:ART	un
voile	NOM	voile
de	PRP	de
pourpre	NOM	pourpre
à	PRP	à
franges	NOM	frange
d'	PRP	de
or	NOM	or
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
étendait	VER:impf	étendre
depuis	PRP	depuis
le	DET:ART	le
mur	NOM	mur
des	PRP:det	du
écuries	NOM	écurie
jusqu'	PRP	jusque
à	PRP	à
