Partie	NOM	partie
1	NUM	@card@
--	PUN	--
La	DET:ART	le
Bûche	NAM	bûche
J'	NAM	j'
avais	VER:impf	avoir
chaussé	VER:pper	chausser
mes	DET:POS	mon
pantoufles	NOM	pantoufle
et	KON	et
endossé	VER:pper	endosser
ma	DET:POS	mon
robe	NOM	robe
de	PRP	de
chambre	NOM	chambre
.	SENT	.
<EOS>	<EOS>	<EOS>
J'	PRO:PER	je
essuyai	VER:simp	essuyer
une	DET:ART	un
larme	NOM	larme
dont	PRO:REL	dont
la	DET:ART	le
bise	NOM	bise
qui	PRO:REL	qui
soufflait	VER:impf	souffler
sur	PRP	sur
le	DET:ART	le
quai	NOM	quai
avait	VER:impf	avoir
obscurci	VER:pper	obscurcir
ma	DET:POS	mon
vue	NOM	vue
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
feu	NOM	feu
clair	ADJ	clair
flambait	VER:impf	flamber
dans	PRP	dans
la	DET:ART	le
cheminée	NOM	cheminée
de	PRP	de
mon	DET:POS	mon
cabinet	NOM	cabinet
de	PRP	de
travail	NOM	travail
.	SENT	.
<EOS>	<EOS>	<EOS>
Des	PRP:det	du
cristaux	NOM	cristaux
de	PRP	de
glace	NOM	glace
,	PUN	,
en	PRP	en
forme	NOM	forme
de	PRP	de
feuilles	NOM	feuille
de	PRP	de
fougère	NOM	fougère
,	PUN	,
fleurissaient	VER:impf	fleurir
les	DET:ART	le
vitres	NOM	vitre
des	PRP:det	du
fenêtres	NOM	fenêtre
et	KON	et
me	PRO:PER	me
cachaient	VER:impf	cacher
la	DET:ART	le
Seine	NAM	seine
,	PUN	,
ses	DET:POS	son
ponts	NOM	pont
et	KON	et
le	DET:ART	le
Louvre	NAM	louvre
des	PRP:det	du
Valois	NAM	valois
.	SENT	.
<EOS>	<EOS>	<EOS>
J'	PRO:PER	je
approchai	VER:simp	approcher
du	PRP:det	du
foyer	NOM	foyer
mon	DET:POS	mon
fauteuil	NOM	fauteuil
et	KON	et
ma	DET:POS	mon
table	NOM	table
volante	ADJ	volant
,	PUN	,
et	KON	et
je	PRO:PER	je
pris	VER:pper	prendre
au	PRP:det	au
feu	NOM	feu
la	DET:ART	le
place	NOM	place
qu'	KON	que
Hamilcar	NAM	hamilcar
daignait	VER:impf	daigner
me	PRO:PER	me
