I	NUM	i
Le	DET:ART	le
9	NUM	@card@
juillet	NOM	juillet
186.	ADJ	@ord@
.	SENT	.
,	PUN	,
un	DET:ART	un
jeudi	NOM	jeudi
,	PUN	,
Jean	NAM	jean
Bertaud	NAM	bertaud
,	PUN	,
dit	VER:pres	dire
La	DET:ART	le
Ripaille	NAM	ripaille
,	PUN	,
et	KON	et
son	DET:POS	son
fils	NOM	fil|fils
,	PUN	,
bien	ADV	bien
connus	VER:pper	connaître
à	PRP	à
Orcival	NAM	orcival
pour	KON	pour
vivre	VER:infi	vivre
de	PRP	de
braconnage	NOM	braconnage
et	KON	et
de	PRP	de
maraude	NOM	maraud|maraude
,	PUN	,
se	PRO:PER	se
levèrent	VER:simp	lever
sur	PRP	sur
les	DET:ART	le
trois	NUM	trois
heures	NOM	heure
du	PRP:det	du
matin	NOM	matin
,	PUN	,
avec	PRP	avec
le	DET:ART	le
jour	NOM	jour
,	PUN	,
pour	PRP	pour
aller	VER:infi	aller
à	PRP	à
la	DET:ART	le
pêche	NOM	pêche
.	SENT	.
<EOS>	<EOS>	<EOS>
Chargés	VER:pper	charger
de	PRP	de
leurs	DET:POS	leur
agrès	NOM	agrès
,	PUN	,
ils	PRO:PER	il
descendirent	VER:simp	descendre
ce	PRO:DEM	ce
chemin	NOM	chemin
charmant	ADJ	charmant
,	PUN	,
ombragé	VER:pper	ombrager
d'	PRP	de
acacias	NOM	acacia
,	PUN	,
qu'	PRO:REL	que
on	PRO:PER	on
aperçoit	VER:pres	apercevoir
de	PRP	de
la	DET:ART	le
station	NOM	station
d'	PRP	de
Évry	NAM	évry
,	PUN	,
et	KON	et
qui	PRO:REL	qui
conduit	VER:pres	conduire
du	PRP:det	du
bourg	NOM	bourg
d'	PRP	de
Orcival	NAM	orcival
à	PRP	à
la	DET:ART	le
Seine	NAM	seine
.	SENT	.
<EOS>	<EOS>	<EOS>
Ils	PRO:PER	il
se	PRO:PER	se
rendaient	VER:impf	rendre
à	PRP	à
leur	DET:POS	leur
bateau	NOM	bateau
amarré	VER:pper	amarrer
d'	PRP	de
ordinaire	NOM	ordinaire
à	PRP	à
une	DET:ART	un
cinquantaine	NOM	cinquantaine
de	PRP	de
mètres	NOM	mètre
en	PRP	en
amont	NOM	amont
du	PRP:det	du
pont	NOM	pont
de	PRP	de
fil	NOM	fil
de	PRP	de
fer	NOM	fer
,	PUN	,
le	DET:ART	le
long	NOM	long
d'	PRP	de
une	DET:ART	un
prairie	NOM	prairie
joignant	VER:ppre	joindre
Valfeuillu	ADJ	valfeuillu
,	PUN	,
la	DET:ART	le
belle	ADJ	beau
propriété	NOM	propriété
du	PRP:det	du
comte	NOM	comte
de	PRP	de
Trémorel	NAM	trémorel
.	SENT	.
<EOS>	<EOS>	<EOS>
Arrivés	VER:pper	arriver
au	PRP:det	au
bord	NOM	bord
de	PRP	de
la	DET:ART	le
rivière	NOM	rivière
,	PUN	,
ils	PRO:PER	il
se	PRO:PER	se
débarrassèrent	VER:simp	débarrasser
de	PRP	de
leurs	DET:POS	leur
engins	NOM	engin
de	PRP	de
pêche	NOM	pêche
,	PUN	,
et	KON	et
Jean	NAM	jean
La	DET:ART	le
Ripaille	NAM	ripaille
entra	VER:simp	entrer
dans	PRP	dans
le	DET:ART	le
bateau	NOM	bateau
pour	PRP	pour
vider	VER:infi	vider
l'	DET:ART	le
eau	NOM	eau
qu'	PRO:REL	que
il	PRO:PER	il
contenait	VER:impf	contenir
.	SENT	.
<EOS>	<EOS>	<EOS>
Pendant	PRP	pendant
que	KON	que
d'	PRP	de
une	DET:ART	un
main	NOM	main
exercée	VER:pper	exercer
il	PRO:PER	il
maniait	VER:impf	manier
l'	DET:ART	le
écope	NOM	écope
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
aperçut	VER:simp	apercevoir
qu'	KON	que
un	DET:ART	un
des	PRP:det	du
tolets	NOM	tolet
de	PRP	de
la	DET:ART	le
vieille	ADJ	vieux
embarcation	NOM	embarcation
,	PUN	,
usé	VER:pper	user
par	PRP	par
la	DET:ART	le
rame	NOM	rame
,	PUN	,
était	VER:impf	être
sur	PRP	sur
le	DET:ART	le
point	NOM	point
de	PRP	de
se	PRO:PER	se
rompre	VER:infi	rompre
.	SENT	.
<EOS>	<EOS>	<EOS>
--Philippe	ADJ	--philippe
,	PUN	,
cria-t-il	NOM	cria-t-il
à	PRP	à
son	DET:POS	son
fils	NOM	fil|fils
,	PUN	,
occupé	VER:pper	occuper
à	PRP	à
démêler	VER:infi	démêler
un	DET:ART	un
épervier	NOM	épervier
dont	PRO:REL	dont
un	DET:ART	un
garde-pêche	NOM	garde-pêche
eût	VER:subi	avoir
trouvé	VER:pper	trouver
les	DET:ART	le
mailles	NOM	maille
trop	ADV	trop
serrées	VER:pper	serrer
,	PUN	,
Philippe	NAM	philippe
,	PUN	,
tâche	VER:pres	tâcher
donc	ADV	donc
de	PRP	de
m'	PRO:PER	me
avoir	VER:infi	avoir
un	DET:ART	un
bout	NOM	bout
de	PRP	de
bois	NOM	bois
pour	PRP	pour
refaire	VER:infi	refaire
notre	DET:POS	notre
tolet	NOM	tolet
.	SENT	.
<EOS>	<EOS>	<EOS>
-	PUN	-
-On	ADJ	-on
y	PRO:PER	y
va	VER:pres	aller
,	PUN	,
répondit	VER:simp	répondre
Philippe	NAM	philippe
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
avait	VER:impf	avoir
pas	ADV	pas
un	DET:ART	un
arbre	NOM	arbre
dans	PRP	dans
la	DET:ART	le
prairie	NOM	prairie
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
jeune	ADJ	jeune
homme	NOM	homme
se	PRO:PER	se
dirigea	VER:simp	diriger
donc	ADV	donc
vers	PRP	vers
le	DET:ART	le
parc	NOM	parc
de	PRP	de
Valfeuillu	NAM	valfeuillu
,	PUN	,
distant	ADJ	distant
de	PRP	de
quelques	PRO:IND	quelque
pas	NOM	pas
seulement	ADV	seulement
,	PUN	,
et	KON	et
,	PUN	,
peu	ADV	peu
soucieux	ADJ	soucieux
de	PRP	de
l'	DET:ART	le
article	NOM	article
391	NUM	@card@
du	PRP:det	du
Code	NAM	code
pénal	ADJ	pénal
,	PUN	,
il	PRO:PER	il
franchit	VER:pres	franchir
le	DET:ART	le
large	ADJ	large
fossé	NOM	fossé
qui	PRO:REL	qui
entoure	VER:pres	entourer
la	DET:ART	le
propriété	NOM	propriété
de	PRP	de
M	NOM	m
.	SENT	.
de	PRP	de
Trémorel	NAM	trémorel
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
se	PRO:PER	se
proposait	VER:impf	proposer
de	PRP	de
couper	VER:infi	couper
une	DET:ART	un
branche	NOM	branche
à	PRP	à
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
vieux	ADJ	vieux
saules	NOM	saule
qui	PRO:REL	qui
,	PUN	,
à	PRP	à
cet	PRO:DEM	ce
endroit	NOM	endroit
,	PUN	,
trempent	VER:pres	tremper
au	PRP:det	au
fil	NOM	fil
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
leurs	DET:POS	leur
branches	NOM	branche
éplorées	ADJ	éploré
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
avait	VER:impf	avoir
à	PRP	à
peine	NOM	peine
tiré	VER:pper	tirer
son	DET:POS	son
couteau	NOM	couteau
de	PRP	de
sa	DET:POS	son
poche	NOM	poche
,	PUN	,
tout	ADV	tout
en	PRP	en
promenant	VER:ppre	promener
autour	ADV	autour
de	PRP	de
lui	PRO:PER	lui
le	DET:ART	le
regard	NOM	regard
inquiet	ADJ	inquiet
du	PRP:det	du
maraudeur	NOM	maraudeur
,	PUN	,
qu'	PRO:REL	que
il	PRO:PER	il
poussa	VER:simp	pousser
un	DET:ART	un
cri	NOM	cri
étouffé	VER:pper	étouffer
.	SENT	.
<EOS>	<EOS>	<EOS>
--Mon	ADJ	--mon
père	NOM	père
!	SENT	!
<EOS>	<EOS>	<EOS>
eh	INT	eh
!	SENT	!
<EOS>	<EOS>	<EOS>
mon	DET:POS	mon
père	NOM	père
!	SENT	!
<EOS>	<EOS>	<EOS>
--Qu'y	ADJ	--qu'y
a-t-il	ADJ	a-t-il
,	PUN	,
répondit	VER:simp	répondre
sans	PRP	sans
se	PRO:PER	se
déranger	VER:infi	déranger
le	DET:ART	le
vieux	NOM	vieux
braconnier	ADJ	braconnier
.	SENT	.
<EOS>	<EOS>	<EOS>
--Père	ADJ	--père
,	PUN	,
venez	VER:pres	venir
,	PUN	,
continua	VER:simp	continuer
Philippe	NAM	philippe
,	PUN	,
au	PRP:det	au
nom	NOM	nom
du	PRP:det	du
ciel	NOM	ciel
,	PUN	,
venez	VER:pres	venir
vite	ADV	vite
!	SENT	!
<EOS>	<EOS>	<EOS>
Jean	NAM	jean
La	DET:ART	le
Ripaille	NAM	ripaille
comprit	VER:simp	comprendre
à	PRP	à
la	DET:ART	le
voix	NOM	voix
rauque	ADJ	rauque
de	PRP	de
son	DET:POS	son
fils	NOM	fil|fils
,	PUN	,
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
passait	VER:impf	passer
quelque	PRO:IND	quelque
chose	NOM	chose
d'	PRP	de
extraordinaire	NOM	extraordinaire
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
lâcha	VER:simp	lâcher
son	DET:POS	son
écope	NOM	écope
,	PUN	,
et	KON	et
,	PUN	,
l'	DET:ART	le
inquiétude	NOM	inquiétude
aidant	VER:ppre	aider
,	PUN	,
en	PRP	en
trois	NUM	trois
bonds	NOM	bond
,	PUN	,
il	PRO:PER	il
fut	VER:simp	être
dans	PRP	dans
le	DET:ART	le
parc	NOM	parc
.	SENT	.
<EOS>	<EOS>	<EOS>
Lui	PRO:PER	lui
aussi	ADV	aussi
,	PUN	,
il	PRO:PER	il
resta	VER:simp	rester
épouvanté	VER:pper	épouvanter
devant	PRP	devant
le	DET:ART	le
spectacle	NOM	spectacle
qui	PRO:REL	qui
avait	VER:impf	avoir
terrifié	VER:pper	terrifier
Philippe	NAM	philippe
.	SENT	.
<EOS>	<EOS>	<EOS>
Sur	PRP	sur
le	DET:ART	le
bord	NOM	bord
de	PRP	de
la	DET:ART	le
rivière	NOM	rivière
,	PUN	,
parmi	PRP	parmi
les	DET:ART	le
joncs	NOM	jonc
et	KON	et
les	DET:ART	le
glaïeuls	NOM	glaïeul
,	PUN	,
le	DET:ART	le
cadavre	NOM	cadavre
d'	PRP	de
une	DET:ART	un
femme	NOM	femme
gisait	VER:impf	gésir
.	SENT	.
<EOS>	<EOS>	<EOS>
Ses	DET:POS	son
longs	ADJ	long
cheveux	NOM	cheveu
dénoués	VER:pper	dénouer
s'	PRO:PER	se
éparpillaient	VER:impf	éparpiller
parmi	PRP	parmi
les	DET:ART	le
herbes	NOM	herbe
aquatiques	ADJ	aquatique
;	PUN	;
sa	DET:POS	son
robe	NOM	robe
de	PRP	de
soie	NOM	soie
grise	ADJ	gris
en	PRP	en
lambeaux	NOM	lambeau
était	VER:impf	être
souillée	VER:pper	souiller
de	PRP	de
boue	NOM	boue
et	KON	et
de	PRP	de
sang	NOM	sang
.	SENT	.
<EOS>	<EOS>	<EOS>
Toute	PRO:IND	tout
la	DET:ART	le
partie	NOM	partie
supérieure	ADJ	supérieur
du	PRP:det	du
corps	NOM	corps
plongeait	VER:impf	plonger
dans	PRP	dans
l'	DET:ART	le
eau	NOM	eau
peu	ADV	peu
profonde	ADJ	profond
,	PUN	,
et	KON	et
le	DET:ART	le
visage	NOM	visage
était	VER:impf	être
enfoncé	VER:pper	enfoncer
dans	PRP	dans
la	DET:ART	le
vase	NOM	vase
.	SENT	.
<EOS>	<EOS>	<EOS>
--Un	ADJ	--un
assassinat	NOM	assassinat
!	SENT	!
<EOS>	<EOS>	<EOS>
murmura	VER:simp	murmurer
Philippe	NAM	philippe
dont	PRO:REL	dont
la	DET:ART	le
voix	NOM	voix
tremblait	VER:impf	trembler
.	SENT	.
<EOS>	<EOS>	<EOS>
--Ça	ADJ	--ça
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
sûr	ADJ	sûr
,	PUN	,
répondit	VER:simp	répondre
La	DET:ART	le
Ripaille	NOM	ripaille
d'	PRP	de
un	DET:ART	un
ton	NOM	ton
indifférent	ADJ	indifférent
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
quelle	PRO:REL	quel
peut	VER:pres	pouvoir
être	VER:infi	être
cette	PRO:DEM	ce
femme	NOM	femme
?	SENT	?
<EOS>	<EOS>	<EOS>
Vrai	ADJ	vrai
,	PUN	,
on	PRO:PER	on
dirait	VER:cond	dire
la	DET:ART	le
comtesse	NOM	comte
.	SENT	.
<EOS>	<EOS>	<EOS>
--Nous	ADJ	--nous
allons	VER:pres	aller
bien	ADV	bien
voir	VER:infi	voir
,	PUN	,
dit	VER:pres	dire
le	DET:ART	le
jeune	ADJ	jeune
homme	NOM	homme
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
fit	VER:simp	faire
un	DET:ART	un
pas	NOM	pas
vers	PRP	vers
le	DET:ART	le
cadavre	NOM	cadavre
;	PUN	;
son	DET:POS	son
père	NOM	père
l'	PRO:PER	la|le
arrêta	VER:simp	arrêter
par	PRP	par
le	DET:ART	le
bras	NOM	bras
.	SENT	.
<EOS>	<EOS>	<EOS>
--Que	ADJ	--que
veux	VER:pres	vouloir
-tu	PRO:PER	tu
faire	VER:infi	faire
,	PUN	,
malheureux	ADJ	malheureux
!	SENT	!
<EOS>	<EOS>	<EOS>
prononça-t-il	NOM	prononça-t-il
;	PUN	;
on	PRO:PER	on
ne	ADV	ne
doit	VER:pres	devoir
jamais	ADV	jamais
toucher	VER:infi	toucher
au	PRP:det	au
corps	NOM	corps
d'	PRP	de
une	DET:ART	un
personne	NOM	personne
assassinée	VER:pper	assassiner
,	PUN	,
sans	PRP	sans
la	DET:ART	le
justice	NOM	justice
.	SENT	.
<EOS>	<EOS>	<EOS>
-	PUN	-
-Vous	ADJ	-vous
croyez	VER:pres	croire
?	SENT	?
<EOS>	<EOS>	<EOS>
--Certainement	NOM	--certainement
!	SENT	!
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
des	PRP:det	du
peines	NOM	peine
pour	PRP	pour
cela	PRO:DEM	cela
.	SENT	.
<EOS>	<EOS>	<EOS>
--Alors	ADJ	--alors
,	PUN	,
allons	VER:pres	aller
prévenir	VER:infi	prévenir
le	DET:ART	le
maire	NOM	maire
.	SENT	.
<EOS>	<EOS>	<EOS>
--Pourquoi	ADJ	--pourquoi
faire	VER:infi	faire
?	SENT	?
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
gens	NOM	gens
d'	PRP	de
ici	ADV	ici
ne	ADV	ne
nous	PRO:PER	nous
en	PRO:PER	en
veulent	VER:pres	vouloir
peut-être	ADV	peut-être
pas	ADV	pas
assez	ADV	assez
!	SENT	!
<EOS>	<EOS>	<EOS>
Qui	PRO	qui
sait	VER:pres	savoir
si	KON	si
on	PRO:PER	on
ne	ADV	ne
nous	PRO:PER	nous
accuserait	VER:cond	accuser
pas	ADV	pas
?	SENT	?
<EOS>	<EOS>	<EOS>
--Cependant	ADJ	--cependant
,	PUN	,
mon	DET:POS	mon
père	NOM	père
...	PUN	...
--Quoi	ADJ	--quoi
!	SENT	!
<EOS>	<EOS>	<EOS>
si	KON	si
nous	PRO:PER	nous
allons	VER:pres	aller
avertir	VER:infi	avertir
M	VER:pper	m
.	SENT	.
Courtois	ADJ	courtois
,	PUN	,
il	PRO:PER	il
nous	PRO:PER	nous
demandera	VER:futu	demander
comment	ADV	comment
et	KON	et
pourquoi	ADV	pourquoi
nous	PRO:PER	nous
nous	PRO:PER	nous
trouvions	VER:impf	trouver
dans	PRP	dans
le	DET:ART	le
parc	NOM	parc
de	PRP	de
M	NOM	m
.	SENT	.
de	PRP	de
Trémorel	NAM	trémorel
pour	KON	pour
voir	VER:infi	voir
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
s'	PRO:PER	se
y	PRO:PER	y
passait	VER:impf	passer
.	SENT	.
<EOS>	<EOS>	<EOS>
Qu'	PRO:REL	que
est	VER:pres	être
-ce	PRO:DEM	ce
que	PRO:REL	que
cela	PRO:DEM	cela
te	PRO:PER	te
fait	VER:pres	faire
qu'	KON	que
on	PRO:PER	on
ait	VER:subp	avoir
tué	VER:pper	tuer
la	DET:ART	le
comtesse	NOM	comte
?	SENT	?
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
retrouvera	VER:futu	retrouver
bien	ADV	bien
son	DET:POS	son
corps	NOM	corps
sans	PRP	sans
toi	PRO:PER	toi
...	PUN	...
viens	VER:pres	venir
,	PUN	,
allons-nous	VER:simp	allons-nous
-en	PRO:PER	en
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
Philippe	NAM	philippe
ne	ADV	ne
bougea	VER:simp	bouger
pas	ADV	pas
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
tête	NOM	tête
baissée	VER:pper	baisser
,	PUN	,
le	DET:ART	le
menton	NOM	menton
appuyé	VER:pper	appuyer
sur	PRP	sur
la	DET:ART	le
paume	NOM	paume
de	PRP	de
sa	DET:POS	son
main	NOM	main
,	PUN	,
il	PRO:PER	il
réfléchissait	VER:impf	réfléchir
.	SENT	.
<EOS>	<EOS>	<EOS>
--Il	ADJ	--il
faut	VER:pres	falloir
avertir	VER:infi	avertir
,	PUN	,
déclara-t-il	NOM	déclara-t-il
d'	PRP	de
un	DET:ART	un
ton	NOM	ton
décidé	VER:pper	décider
;	PUN	;
on	PRO:PER	on
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
des	PRP:det	du
sauvages	ADJ	sauvage
.	SENT	.
<EOS>	<EOS>	<EOS>
Nous	PRO:PER	nous
dirons	VER:futu	dire
à	PRP	à
M	NOM	m
.	SENT	.
Courtois	ADJ	courtois
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
côtoyant	VER:ppre	côtoyer
le	DET:ART	le
parc	NOM	parc
dans	PRP	dans
notre	DET:POS	notre
bachot	NOM	bachot
que	KON	que
nous	PRO:PER	nous
avons	VER:pres	avoir
aperçu	VER:pper	apercevoir
le	DET:ART	le
corps	NOM	corps
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
vieux	NOM	vieux
La	DET:ART	le
Ripaille	NOM	ripaille
résista	VER:simp	résister
d'	PRP	de
abord	NOM	abord
,	PUN	,
puis	ADV	puis
voyant	VER:ppre	voir
que	KON	que
son	DET:POS	son
fils	NOM	fil|fils
irait	VER:cond	aller
sans	PRP	sans
lui	PRO:PER	lui
,	PUN	,
il	PRO:PER	il
parut	VER:simp	paraître
se	PRO:PER	se
rendre	VER:infi	rendre
à	PRP	à
ses	DET:POS	son
instances	NOM	instance
.	SENT	.
<EOS>	<EOS>	<EOS>
Ils	PRO:PER	il
franchirent	VER:simp	franchir
donc	ADV	donc
de	PRP	de
nouveau	ADJ	nouveau
le	DET:ART	le
fossé	NOM	fossé
,	PUN	,
et	KON	et
,	PUN	,
abandonnant	VER:ppre	abandonner
leurs	DET:POS	leur
agrès	NOM	agrès
dans	PRP	dans
la	DET:ART	le
prairie	NOM	prairie
,	PUN	,
ils	PRO:PER	il
se	PRO:PER	se
dirigèrent	VER:simp	diriger
en	PRP	en
toute	PRO:IND	tout
hâte	NOM	hâte
vers	PRP	vers
la	DET:ART	le
maison	NOM	maison
de	PRP	de
M	NOM	m
.	SENT	.
le	DET:ART	le
maire	NOM	maire
d'	PRP	de
Orcival	NAM	orcival
.	SENT	.
<EOS>	<EOS>	<EOS>
Situé	VER:pper	situer
à	PRP	à
cinq	NUM	cinq
kilomètres	NOM	kilomètre
de	PRP	de
Corbeil	NAM	corbeil
,	PUN	,
sur	PRP	sur
la	DET:ART	le
rive	NOM	rive
droite	ADJ	droit
de	PRP	de
la	DET:ART	le
Seine	NAM	seine
,	PUN	,
à	PRP	à
vingt	NUM	vingt
minutes	NOM	minute
de	PRP	de
la	DET:ART	le
station	NOM	station
d'	PRP	de
Évry	NAM	évry
,	PUN	,
Orcival	NAM	orcival
est	VER:pres	être
un	DET:ART	un
des	PRP:det	du
plus	ADV	plus
délicieux	ADJ	délicieux
villages	NOM	village
des	PRP:det	du
