I	NUM	i
Le	DET:ART	le
jeudi	NOM	jeudi
6	NUM	@card@
mars	NOM	mars
1862	NUM	@card@
,	PUN	,
surlendemain	NOM	surlendemain
du	PRP:det	du
Mardi	NAM	mardi
gras	ADJ	gras
,	PUN	,
cinq	NUM	cinq
femmes	NOM	femme
du	PRP:det	du
village	NOM	village
de	PRP	de
La	DET:ART	le
Jonchère	NOM	jonchère
se	PRO:PER	se
présentaient	VER:impf	présenter
au	PRP:det	au
bureau	NOM	bureau
de	PRP	de
police	NOM	police
de	PRP	de
Bougival	NAM	bougival
.	SENT	.
<EOS>	<EOS>	<EOS>
Elles	PRO:PER	elle
racontaient	VER:impf	raconter
que	KON	que
depuis	PRP	depuis
deux	NUM	deux
jours	NOM	jour
personne	ADV	personne
n'	ADV	ne
avait	VER:impf	avoir
aperçu	VER:pper	apercevoir
une	NUM	un
de	PRP	de
leurs	DET:POS	leur
voisines	NOM	voisin
,	PUN	,
la	DET:ART	le
veuve	ADJ	veuf
Lerouge	NOM	lerouge
,	PUN	,
qui	PRO:REL	qui
habitait	VER:impf	habiter
seule	ADJ	seul
une	DET:ART	un
maisonnette	NOM	maisonnette
isolée	VER:pper	isoler
.	SENT	.
<EOS>	<EOS>	<EOS>
À	PRP	à
plusieurs	PRO:IND	plusieurs
reprises	NOM	reprise
,	PUN	,
elles	PRO:PER	elle
avaient	VER:impf	avoir
frappé	VER:pper	frapper
en	PRP	en
vain	ADJ	vain
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
fenêtres	NOM	fenêtre
comme	KON	comme
la	DET:ART	le
porte	NOM	porte
étant	VER:ppre	être
exactement	ADV	exactement
fermées	VER:pper	fermer
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
été	VER:pper	être
impossible	ADJ	impossible
de	PRP	de
jeter	VER:infi	jeter
un	DET:ART	un
coup	NOM	coup
d'	PRP	de
œil	NOM	œil
à	PRP	à
l'	DET:ART	le
intérieur	NOM	intérieur
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
silence	NOM	silence
,	PUN	,
cette	PRO:DEM	ce
disparition	NOM	disparition
les	PRO:PER	la|le
inquiétaient	VER:impf	inquiéter
.	SENT	.
<EOS>	<EOS>	<EOS>
Redoutant	VER:ppre	redouter
un	DET:ART	un
crime	NOM	crime
,	PUN	,
ou	KON	ou
tout	ADV	tout
au	PRP:det	au
moins	ADV	moins
un	DET:ART	un
accident	NOM	accident
,	PUN	,
elles	PRO:PER	elle
demandaient	VER:impf	demander
que	KON	que
la	DET:ART	le
«	PUN:cit	«
Justice	NOM	justice
»	PUN:cit	»
voulût	VER:subi	vouloir
bien	ADV	bien
,	PUN	,
pour	PRP	pour
les	PRO:PER	la|le
rassurer	VER:infi	rassurer
,	PUN	,
forcer	VER:infi	forcer
la	DET:ART	le
porte	NOM	porte
et	KON	et
pénétrer	VER:infi	pénétrer
dans	PRP	dans
la	DET:ART	le
maison	NOM	maison
.	SENT	.
<EOS>	<EOS>	<EOS>
Bougival	NAM	bougival
est	VER:pres	être
un	DET:ART	un
pays	NOM	pays
aimable	ADJ	aimable
,	PUN	,
peuplé	VER:pper	peupler
tous	PRO:IND	tout
les	DET:ART	le
dimanches	NOM	dimanche
de	PRP	de
canotiers	NOM	canotier
et	KON	et
de	PRP	de
canotières	NOM	canotier
;	PUN	;
on	PRO:PER	on
y	PRO:PER	y
relève	VER:pres	relever
beaucoup	ADV	beaucoup
de	PRP	de
délits	NOM	délit
,	PUN	,
mais	KON	mais
les	DET:ART	le
crimes	NOM	crime
y	PRO:PER	y
sont	VER:pres	être
rares	ADJ	rare
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
commissaire	NOM	commissaire
refusa	VER:simp	refuser
donc	ADV	donc
d'	PRP	de
abord	NOM	abord
de	PRP	de
se	PRO:PER	se
rendre	VER:infi	rendre
à	PRP	à
la	DET:ART	le
prière	NOM	prière
des	PRP:det	du
solliciteuses	NOM	solliciteur
.	SENT	.
<EOS>	<EOS>	<EOS>
Cependant	ADV	cependant
elles	PRO:PER	elle
firent	VER:simp	faire
si	ADV	si
bien	ADV	bien
,	PUN	,
elles	PRO:PER	elle
insistèrent	VER:simp	insister
tant	ADV	tant
et	KON	et
si	KON	si
longtemps	ADV	longtemps
,	PUN	,
que	KON	que
le	DET:ART	le
magistrat	NOM	magistrat
fatigué	ADJ	fatigué
céda	VER:simp	céder
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
envoya	VER:simp	envoyer
chercher	VER:infi	chercher
le	DET:ART	le
brigadier	NOM	brigadier
de	PRP	de
gendarmerie	NOM	gendarmerie
et	KON	et
deux	NUM	deux
de	PRP	de
ses	DET:POS	son
hommes	NOM	homme
,	PUN	,
requit	VER:simp	requérir
un	DET:ART	un
serrurier	NOM	serrurier
et	KON	et
,	PUN	,
ainsi	ADV	ainsi
accompagné	VER:pper	accompagner
,	PUN	,
suivit	VER:simp	suivre
les	DET:ART	le
voisines	NOM	voisin
de	PRP	de
la	DET:ART	le
veuve	ADJ	veuf
Lerouge	NOM	lerouge
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
Jonchère	NAM	jonchère
doit	VER:pres	devoir
quelque	PRO:IND	quelque
célébrité	NOM	célébrité
à	PRP	à
l'	DET:ART	le
inventeur	NOM	inventeur
du	PRP:det	du
chemin	NOM	chemin
de	PRP	de
fer	NOM	fer
à	PRP	à
glissement	NOM	glissement
qui	PRO:REL	qui
,	PUN	,
depuis	PRP	depuis
plusieurs	PRO:IND	plusieurs
années	NOM	année
,	PUN	,
y	PRO:PER	y
fait	VER:pres	faire
avec	PRP	avec
plus	ADV	plus
de	PRP	de
persévérance	NOM	persévérance
que	KON	que
de	PRP	de
succès	NOM	succès
des	PRP:det	du
expériences	NOM	expérience
publiques	ADJ	publique
de	PRP	de
son	DET:POS	son
système	NOM	système
.	SENT	.
<EOS>	<EOS>	<EOS>
C'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
hameau	NOM	hameau
sans	PRP	sans
importance	NOM	importance
,	PUN	,
assis	VER:pper	asseoir
sur	PRP	sur
la	DET:ART	le
pente	NOM	pente
du	PRP:det	du
coteau	NOM	coteau
qui	PRO:REL	qui
domine	VER:pres	dominer
la	DET:ART	le
Seine	NAM	seine
,	PUN	,
entre	PRP	entre
la	DET:ART	le
Malmaison	NOM	malmaison
et	KON	et
Bougival	NAM	bougival
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
est	VER:pres	être
à	PRP	à
vingt	NUM	vingt
minutes	NOM	minute
environ	ADV	environ
de	PRP	de
la	DET:ART	le
grande	ADJ	grand
route	NOM	route
qui	PRO:REL	qui
va	VER:pres	aller
de	PRP	de
Paris	NAM	paris
à	PRP	à
Saint-Germain	NAM	saint-germain
en	PRP	en
passant	NOM	passant
par	PRP	par
Rueil	NAM	rueil
et	KON	et
Port-Marly	NAM	port-marly
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
chemin	NOM	chemin
escarpé	ADJ	escarpé
,	PUN	,
inconnu	ADJ	inconnu
aux	PRP:det	au
ponts	NOM	pont
et	KON	et
chaussées	NOM	chaussée
,	PUN	,
y	PRO:PER	y
conduit	VER:pres	conduire
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
petite	ADJ	petit
troupe	NOM	troupe
,	PUN	,
les	DET:ART	le
gendarmes	NOM	gendarme
en	PRP	en
tête	NOM	tête
,	PUN	,
suivit	VER:simp	suivre
donc	ADV	donc
la	DET:ART	le
large	ADJ	large
chaussée	NOM	chaussée
qui	PRO:REL	qui
endigue	VER:pres	endiguer
la	DET:ART	le
Seine	NAM	seine
à	PRP	à
cet	PRO:DEM	ce
endroit	NOM	endroit
,	PUN	,
et	KON	et
bientôt	ADV	bientôt
,	PUN	,
tournant	VER:ppre	tourner
à	PRP	à
droite	NOM	droit|droite
,	PUN	,
s'	PRO:PER	se
engagea	VER:simp	engager
dans	PRP	dans
le	DET:ART	le
chemin	NOM	chemin
de	PRP	de
traverse	NOM	traverse
,	PUN	,
bordé	VER:pper	border
de	PRP	de
murs	NOM	mur
et	KON	et
profondément	ADV	profondément
encaissé	VER:pper	encaisser
.	SENT	.
<EOS>	<EOS>	<EOS>
Après	PRP	après
quelques	PRO:IND	quelque
centaines	NOM	centaine
de	PRP	de
pas	ADV	pas
,	PUN	,
on	PRO:PER	on
arriva	VER:simp	arriver
devant	PRP	devant
une	DET:ART	un
habitation	NOM	habitation
aussi	ADV	aussi
modeste	ADJ	modeste
que	KON	que
possible	ADJ	possible
,	PUN	,
mais	KON	mais
d'	PRP	de
honnête	ADJ	honnête
apparence	NOM	apparence
.	SENT	.
<EOS>	<EOS>	<EOS>
Cette	PRO:DEM	ce
maison	NOM	maison
,	PUN	,
cette	PRO:DEM	ce
chaumière	NOM	chaumière
plutôt	ADV	plutôt
,	PUN	,
devait	VER:impf	devoir
avoir	VER:infi	avoir
été	VER:pper	être
bâtie	VER:pper	bâtir
par	PRP	par
quelque	PRO:IND	quelque
boutiquier	NOM	boutiquier
parisien	ADJ	parisien
,	PUN	,
amoureux	ADJ	amoureux
de	PRP	de
la	DET:ART	le
belle	ADJ	beau
nature	NOM	nature
,	PUN	,
car	KON	car
tous	PRO:IND	tout
les	DET:ART	le
arbres	NOM	arbre
avaient	VER:impf	avoir
été	VER:pper	être
soigneusement	ADV	soigneusement
abattus	VER:pper	abattre
.	SENT	.
<EOS>	<EOS>	<EOS>
Plus	ADV	plus
profonde	ADJ	profond
que	KON	que
large	ADJ	large
,	PUN	,
elle	PRO:PER	elle
se	PRO:PER	se
composait	VER:impf	composer
d'	PRP	de
un	DET:ART	un
rez-de-chaussée	NOM	rez-de-chaussée
de	PRP	de
deux	NUM	deux
pièces	NOM	pièce
,	PUN	,
avec	PRP	avec
un	DET:ART	un
grenier	NOM	grenier
au-dessus	ADV	au-dessus
.	SENT	.
<EOS>	<EOS>	<EOS>
Autour	ADV	autour
s'	PRO:PER	se
étendait	VER:impf	étendre
un	DET:ART	un
jardin	NOM	jardin
à	PRP	à
peine	NOM	peine
entretenu	VER:pper	entretenir
,	PUN	,
mal	ADV	mal
protégé	VER:pper	protéger
contre	PRP	contre
les	DET:ART	le
maraudeurs	NOM	maraudeur
par	PRP	par
un	DET:ART	un
mur	NOM	mur
en	PRP	en
pierres	NOM	pierre
sèches	ADJ	sèche
d'	PRP	de
un	DET:ART	un
mètre	NOM	mètre
de	PRP	de
haut	ADV	haut
environ	ADV	environ
,	PUN	,
qui	PRO:REL	qui
encore	ADV	encore
