Chapitre	NOM	chapitre
1	NUM	@card@
Deux	ABR	deux
heures	NOM	heure
du	PRP:det	du
matin	NOM	matin
sonnèrent	VER:simp	sonner
.	SENT	.
<EOS>	<EOS>	<EOS>
Céline	NAM	céline
fit	VER:simp	faire
à	PRP	à
sa	DET:POS	son
soeur	NOM	sœur
cette	PRO:DEM	ce
inepte	ADJ	inepte
plaisanterie	NOM	plaisanterie
qui	PRO:REL	qui
consiste	VER:pres	consister
à	PRP	à
placer	VER:infi	placer
son	DET:POS	son
doigt	NOM	doigt
près	ADV	près
du	PRP:det	du
nez	NOM	nez
d'	PRP	de
une	DET:ART	un
personne	NOM	personne
endormie	VER:pper	endormir
et	KON	et
à	PRP	à
la	PRO:PER	la
réveiller	VER:infi	réveiller
brusquement	ADV	brusquement
.	SENT	.
<EOS>	<EOS>	<EOS>
Désirée	VER:pper	désirer
frappa	VER:simp	frapper
sa	DET:POS	son
narine	NOM	narine
gauche	ADJ	gauche
contre	PRP	contre
l'	DET:ART	le
index	NOM	index
de	PRP	de
Céline	NAM	céline
.	SENT	.
<EOS>	<EOS>	<EOS>
-	PUN	-
Que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
bête	ADJ	bête
!	SENT	!
<EOS>	<EOS>	<EOS>
cria-t-elle	NOM	cria-t-elle
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
femmes	NOM	femme
se	PRO:PER	se
tordirent	VER:simp	tordre
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Allons	VER:pres	aller
,	PUN	,
mesdames	NOM	mesdames
,	PUN	,
un	DET:ART	un
peu	ADV	peu
de	PRP	de
silence	NOM	silence
,	PUN	,
hasarda	VER:simp	hasarder
la	DET:ART	le
contre-maître	NOM	contre-maître
.	SENT	.
<EOS>	<EOS>	<EOS>
L'	PRO:PER	la|le
on	PRO:PER	on
entendit	VER:simp	entendre
comme	ADV	comme
un	DET:ART	un
long	ADJ	long
bourdonnement	NOM	bourdonnement
que	PRO:REL	que
traversa	VER:simp	traverser
soudain	ADV	soudain
la	DET:ART	le
flûte	NOM	flûte
d'	PRP	de
un	DET:ART	un
rire	NOM	rire
,	PUN	,
puis	ADV	puis
deux	NUM	deux
voix	NOM	voix
claironnèrent	VER:simp	claironner
,	PUN	,
soutenues	VER:pper	soutenir
par	PRP	par
le	DET:ART	le
ronronnement	NOM	ronronnement
des	PRP:det	du
presses	NOM	presse
,	PUN	,
une	DET:ART	un
chanson	NOM	chanson
patriotique	ADJ	patriotique
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
gosiers	NOM	gosier
des	PRP:det	du
hommes	NOM	homme
,	PUN	,
gosiers	NOM	gosier
saccagés	VER:pper	saccager
par	PRP	par
le	DET:ART	le
trois-six	NOM	trois-six
,	PUN	,
tonnèrent	VER:simp	tonner
également	ADV	également
,	PUN	,
trouant	VER:ppre	trouer
de	PRP	de
leur	DET:POS	leur
toux	NOM	toux
rauque	VER:pres	rauquer
les	DET:ART	le
cris	NOM	cri
grêles	ADJ	grêle
des	PRP:det	du
filles	NOM	fille
:	PUN	:
""""	PUN:cit	""""
Il	PRO:PER	il
est	VER:pres	être
mort	VER:pper	mourir
,	PUN	,
soldat	NOM	soldat
stoïque	ADJ	stoïque
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
mort	VER:pper	mourir
pour	PRP	pour
la	DET:ART	le
républi-ique	NOM	républi-ique
!	SENT	!
""""	PUN:cit	""""
<EOS>	<EOS>	<EOS>
--	PUN	--
Allons	VER:pres	aller
,	PUN	,
mesdames	NOM	mesdames
,	PUN	,
un	DET:ART	un
peu	ADV	peu
de	PRP	de
silence	NOM	silence
,	PUN	,
hasarda	VER:simp	hasarder
la	DET:ART	le
contre-maître	NOM	contre-maître
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
presse	NOM	presse
haleta	VER:simp	haleter
et	KON	et
mugit	VER:pres	mugir
plus	ADV	plus
fort	ADJ	fort
,	PUN	,
les	DET:ART	le
massiquots	NOM	massiquots
grincèrent	VER:simp	grincer
,	PUN	,
les	DET:ART	le
couteaux	NOM	couteau
de	PRP	de
bois	NOM	bois
firent	VER:simp	faire
entendre	VER:infi	entendre
leur	DET:POS	leur
sifflement	NOM	sifflement
doux	ADJ	doux
sur	PRP	sur
le	DET:ART	le
papier	NOM	papier
;	PUN	;
les	DET:ART	le
petits	ADJ	petit
bancs	NOM	banc
qui	PRO:REL	qui
tombent	VER:pres	tomber
,	PUN	,
les	DET:ART	le
ballots	NOM	ballot
qu'	PRO:REL	que
on	PRO:PER	on
jette	VER:pres	jeter
sur	PRP	sur
la	DET:ART	le
table	NOM	table
,	PUN	,
retentirent	VER:simp	retentir
,	PUN	,
interrompus	VER:pper	interrompre
par	PRP	par
le	DET:ART	le
jet	NOM	jet
vibrant	VER:ppre	vibrer
des	PRP:det	du
gaz	NOM	gaz
,	PUN	,
par	PRP	par
le	DET:ART	le
bourdon	NOM	bourdon
du	PRP:det	du
poêle	NOM	poêle
.	SENT	.
<EOS>	<EOS>	<EOS>
Des	PRP:det	du
rires	NOM	rire
fusèrent	VER:simp	fuser
d'	PRP	de
un	DET:ART	un
bout	NOM	bout
de	PRP	de
l'	DET:ART	le
atelier	NOM	atelier
à	PRP	à
l'	DET:ART	le
autre	ADJ	autre
,	PUN	,
s'	PRO:PER	se
éteignirent	VER:simp	éteindre
,	PUN	,
puis	ADV	puis
reprirent	VER:simp	reprendre
en	PRP	en
un	DET:ART	un
long	ADJ	long
roulement	NOM	roulement
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Mesdames	NAM	mesdames
,	PUN	,
mesdames	NOM	mesdames
!	SENT	!
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
peu	ADV	peu
de	PRP	de
silence	NOM	silence
!	SENT	!
<EOS>	<EOS>	<EOS>
hasarda	VER:simp	hasarder
la	DET:ART	le
contre-maître	NOM	contre-maître
.	SENT	.
<EOS>	<EOS>	<EOS>
Çà	ADV	çà
,	PUN	,
de	PRP	de
gros	ADJ	gros
rhumes	NOM	rhume
grondaient	VER:impf	gronder
,	PUN	,
là	ADV	là
,	PUN	,
des	PRP:det	du
joies	NOM	joie
dégingandées	ADJ	dégingandé
s'	PRO:PER	se
étouffaient	VER:impf	étouffer
à	PRP	à
braire	VER:infi	braire
,	PUN	,
çà	ADV	çà
et	KON	et
là	ADV	là
,	PUN	,
des	PRP:det	du
raclements	NOM	raclement
,	PUN	,
des	PRP:det	du
roulades	NOM	roulade
de	PRP	de
gorges	NOM	gorge
déchiraient	VER:impf	déchirer
la	DET:ART	le
tempête	NOM	tempête
qui	PRO:REL	qui
allait	VER:impf	aller
croissant	ADJ	croissant
.	SENT	.
<EOS>	<EOS>	<EOS>
Dans	PRP	dans
un	DET:ART	un
coin	NOM	coin
,	PUN	,
un	DET:ART	un
rire	NOM	rire
aigu	ADJ	aigu
sautilla	VER:simp	sautiller
,	PUN	,
seul	ADJ	seul
,	PUN	,
dansant	VER:ppre	danser
au-dessus	ADV	au-dessus
du	PRP:det	du
tumulte	NOM	tumulte
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
y	PRO:PER	y
eut	VER:simp	avoir
un	DET:ART	un
instant	NOM	instant
de	PRP	de
répit	NOM	répit
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
chat	NOM	chat
en	PRP	en
chaleur	NOM	chaleur
miaula	VER:simp	miauler
furieusement	ADV	furieusement
,	PUN	,
puis	ADV	puis
une	DET:ART	un
voix	NOM	voix
lar-moyante	ADJ	lar-moyante
s'	PRO:PER	se
éleva	VER:simp	élever
:	PUN	:
--	PUN	--
Mesdames	NAM	mesdames
,	PUN	,
je	PRO:PER	je
vous	PRO:PER	vous
ai	VER:pres	avoir
respectées	VER:pper	respecter
,	PUN	,
toute	PRO:IND	tout
la	DET:ART	le
nuit	NOM	nuit
!	SENT	!
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
coup	NOM	coup
de	PRP	de
tonnerre	NOM	tonnerre
d'	PRP	de
une	DET:ART	un
énorme	ADJ	énorme
pile	NOM	pile
qui	PRO:REL	qui
s'	PRO:PER	se
écroule	VER:pres	écrouler
coupa	VER:simp	couper
net	ADV	net
l'	DET:ART	le
engueulée	VER:pper	engueuler
du	PRP:det	du
choeur	NOM	chœur
qui	PRO:REL	qui
huait	VER:impf	huer
la	DET:ART	le
femme	NOM	femme
.	SENT	.
<EOS>	<EOS>	<EOS>
Personne	NOM	personne
n'	ADV	ne
avait	VER:impf	avoir
reçu	VER:pper	recevoir
la	DET:ART	le
pile	NOM	pile
sur	PRP	sur
la	DET:ART	le
tête	NOM	tête
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
chansons	NOM	chanson
reprirent	VER:simp	reprendre
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Voyons	VER:pres	voir
,	PUN	,
mesdames	NOM	mesdames
,	PUN	,
mesdames	NOM	mesdames
,	PUN	,
un	DET:ART	un
peu	ADV	peu
de	PRP	de
silence	NOM	silence
!	SENT	!
