PREMIÈRE	NUM	premier
PARTIE	NOM	partie
--	PUN	--
I	NUM	i
--	PUN	--
Quand	NAM	quand
la	DET:ART	le
caissière	NOM	caissier
lui	PRO:PER	lui
eut	VER:simp	avoir
rendu	VER:pper	rendre
la	DET:ART	le
monnaie	NOM	monnaie
de	PRP	de
sa	DET:POS	son
pièce	NOM	pièce
de	PRP	de
cent	NUM	cent
sous	PRP	sous
,	PUN	,
Georges	NAM	georges
Duroy	NAM	duroy
sortit	VER:simp	sortir
du	PRP:det	du
restaurant	NOM	restaurant
.	SENT	.
<EOS>	<EOS>	<EOS>
Comme	KON	comme
il	PRO:PER	il
portait	VER:impf	porter
beau	ADJ	beau
par	PRP	par
nature	NOM	nature
et	KON	et
par	PRP	par
pose	NOM	pose
d'	PRP	de
ancien	ADJ	ancien
sous-officier	NOM	sous-officier
,	PUN	,
il	PRO:PER	il
cambra	VER:simp	cambrer
sa	DET:POS	son
taille	NOM	taille
,	PUN	,
frisa	VER:simp	friser
sa	DET:POS	son
moustache	NOM	moustache
d'	PRP	de
un	DET:ART	un
geste	NOM	geste
militaire	ADJ	militaire
et	KON	et
familier	ADJ	familier
,	PUN	,
et	KON	et
jeta	VER:simp	jeter
sur	PRP	sur
les	DET:ART	le
dîneurs	NOM	dîneur
attardés	VER:pper	attarder
un	DET:ART	un
regard	NOM	regard
rapide	ADJ	rapide
et	KON	et
circulaire	ADJ	circulaire
,	PUN	,
un	NUM	un
de	PRP	de
ces	PRO:DEM	ce
regards	NOM	regard
de	PRP	de
joli	ADJ	joli
garçon	NOM	garçon
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
étendent	VER:pres	étendre
comme	ADV	comme
des	PRP:det	du
coups	NOM	coup
d'	PRP	de
épervier	NOM	épervier
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
femmes	NOM	femme
avaient	VER:impf	avoir
levé	VER:pper	lever
la	DET:ART	le
tête	NOM	tête
vers	PRP	vers
lui	PRO:PER	lui
,	PUN	,
trois	NUM	trois
petites	NOM	petit
ouvrières	ADJ	ouvrier
,	PUN	,
une	DET:ART	un
maîtresse	NOM	maîtresse
de	PRP	de
musique	NOM	musique
entre	PRP	entre
deux	NUM	deux
âges	NOM	âge
,	PUN	,
mal	ADV	mal
peignée	VER:pper	peigner
,	PUN	,
négligée	VER:pper	négliger
,	PUN	,
coiffée	VER:pper	coiffer
d'	PRP	de
un	DET:ART	un
chapeau	NOM	chapeau
toujours	ADV	toujours
poussiéreux	ADJ	poussiéreux
et	KON	et
vêtue	VER:pper	vêtir
toujours	ADV	toujours
d'	PRP	de
une	DET:ART	un
robe	NOM	robe
de	PRP	de
travers	NOM	travers
,	PUN	,
et	KON	et
deux	NUM	deux
bourgeoises	NOM	bourgeois
avec	PRP	avec
leurs	DET:POS	leur
maris	NOM	mari
,	PUN	,
habituées	VER:pper	habituer
de	PRP	de
cette	PRO:DEM	ce
gargote	NOM	gargote
à	PRP	à
prix	NOM	prix
fixe	ADJ	fixe
.	SENT	.
<EOS>	<EOS>	<EOS>
Lorsqu'	KON	lorsque
il	PRO:PER	il
fut	VER:simp	être
sur	PRP	sur
le	DET:ART	le
trottoir	NOM	trottoir
,	PUN	,
il	PRO:PER	il
demeura	VER:simp	demeurer
un	DET:ART	un
instant	NOM	instant
immobile	ADJ	immobile
,	PUN	,
se	PRO:PER	se
demandant	VER:ppre	demander
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
allait	VER:impf	aller
faire	VER:infi	faire
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
était	VER:impf	être
au	PRP:det	au
28	NUM	@card@
juin	NOM	juin
,	PUN	,
et	KON	et
il	PRO:PER	il
