Chapitre	NOM	chapitre
1	NUM	@card@
«	PUN:cit	«
Zut	NAM	zut
!	SENT	!
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
s'	PRO:PER	se
écria	VER:simp	écrier
tout	ADV	tout
à	PRP	à
coup	NOM	coup
le	DET:ART	le
père	NOM	père
Roland	NAM	roland
qui	PRO:REL	qui
depuis	PRP	depuis
un	DET:ART	un
quart	NOM	quart
d'	PRP	de
heure	NOM	heure
demeurait	VER:impf	demeurer
immobile	ADJ	immobile
,	PUN	,
les	DET:ART	le
yeux	NOM	œil
fixés	VER:pper	fixer
sur	PRP	sur
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
et	KON	et
soulevant	VER:ppre	soulever
par	PRP	par
moments	NOM	moment
,	PUN	,
d'	PRP	de
un	DET:ART	un
mouvement	NOM	mouvement
très	ADV	très
léger	ADJ	léger
,	PUN	,
sa	DET:POS	son
ligne	NOM	ligne
descendue	VER:pper	descendre
au	PRP:det	au
fond	NOM	fond
de	PRP	de
la	DET:ART	le
mer	NOM	mer
.	SENT	.
<EOS>	<EOS>	<EOS>
Mme	NOM	madame
Roland	NAM	roland
,	PUN	,
assoupie	VER:pper	assoupir
à	PRP	à
l'	DET:ART	le
arrière	NOM	arrière
du	PRP:det	du
bateau	NOM	bateau
,	PUN	,
à	PRP	à
côté	NOM	côté
de	PRP	de
Mme	NOM	madame
Rosémilly	NAM	rosémilly
invitée	VER:pper	inviter
à	PRP	à
cette	PRO:DEM	ce
partie	NOM	partie
de	PRP	de
pêche	NOM	pêche
,	PUN	,
se	PRO:PER	se
réveilla	VER:simp	réveiller
,	PUN	,
et	KON	et
tournant	VER:ppre	tourner
la	DET:ART	le
tête	NOM	tête
vers	PRP	vers
son	DET:POS	son
mari	NOM	mari
:	PUN	:
«	PUN:cit	«
Eh	NOM	eh
bien	ADJ	bien
,	PUN	,
...	PUN	...
eh	INT	eh
bien	ADV	bien
,	PUN	,
...	PUN	...
Jérôme	NAM	jérôme
!	SENT	!
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
Le	DET:ART	le
bonhomme	NOM	bonhomme
,	PUN	,
furieux	ADJ	furieux
,	PUN	,
répondit	VER:simp	répondre
:	PUN	:
«	PUN:cit	«
Ça	VER:simp	ça
ne	ADV	ne
mord	VER:pres	mordre
plus	ADV	plus
du	PRP:det	du
tout	NOM	tout
.	SENT	.
<EOS>	<EOS>	<EOS>
Depuis	PRP	depuis
midi	NOM	midi
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
rien	ADV	rien
pris	VER:pper	prendre
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
ne	ADV	ne
devrait	VER:cond	devoir
jamais	ADV	jamais
pêcher	VER:infi	pêcher
qu'	KON	que
entre	PRP	entre
hommes	NOM	homme
;	PUN	;
les	DET:ART	le
femmes	NOM	femme
vous	PRO:PER	vous
font	VER:pres	faire
embarquer	VER:infi	embarquer
toujours	ADV	toujours
trop	ADV	trop
tard	ADV	tard
.	SENT	.
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
Ses	NAM	ses
deux	NUM	deux
fils	NOM	fil|fils
,	PUN	,
Pierre	NAM	pierre
et	KON	et
Jean	NAM	jean
,	PUN	,
qui	PRO:REL	qui
tenaient	VER:impf	tenir
,	PUN	,
l'	DET:ART	le
un	NOM	un
à	PRP	à
bâbord	NOM	bâbord
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
à	PRP	à
tribord	NOM	tribord
,	PUN	,
chacun	PRO:IND	chacun
une	DET:ART	un
ligne	NOM	ligne
enroulée	VER:pper	enrouler
à	PRP	à
l'	DET:ART	le
index	NOM	index
,	PUN	,
se	PRO:PER	se
mirent	VER:simp	mettre
à	PRP	à
rire	VER:infi	rire
en	PRP	en
même	ADJ	même
temps	NOM	temps
et	KON	et
Jean	NAM	jean
répondit	VER:simp	répondre
:	PUN	:
«	PUN:cit	«
Tu	NAM	tu
n'	ADV	ne
es	VER:pres	être
pas	ADV	pas
galant	ADJ	galant
pour	PRP	pour
notre	DET:POS	notre
invitée	NOM	invité
,	PUN	,
papa	NOM	papa
.	SENT	.
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
M	ADJ	m
.	SENT	.
Roland	NAM	roland
fut	VER:simp	être
confus	ADJ	confus
et	KON	et
s'	PRO:PER	se
excusa	VER:simp	excuser
:	PUN	:
«	PUN:cit	«
Je	PRO:PER	je
vous	PRO:PER	vous
demande	VER:pres	demander
pardon	NOM	pardon
,	PUN	,
madame	NOM	madame
Rosémilly	NAM	rosémilly
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
comme	ADV	comme
ça	PRO:DEM	cela
.	SENT	.
<EOS>	<EOS>	<EOS>
J'	PRO:PER	je
invite	VER:pres	inviter
les	DET:ART	le
dames	NOM	dame
parce	KON	parce
que	PRO:REL	que
j'	PRO:PER	je
aime	VER:pres	aimer
me	PRO:PER	me
trouver	VER:infi	trouver
avec	PRP	avec
elles	PRO:PER	elle
,	PUN	,
et	KON	et
puis	ADV	puis
,	PUN	,
dès	PRP	dès
que	KON	que
je	PRO:PER	je
sens	VER:pres	sentir
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
sous	PRP	sous
moi	PRO:PER	moi
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
pense	VER:pres	penser
plus	ADV	plus
qu'	KON	que
au	PRP:det	au
poisson	NOM	poisson
.	SENT	.
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
Mme	NOM	madame
Roland	NAM	roland
s'	PRO:PER	se
était	VER:impf	être
tout	ADV	tout
à	PRP	à
fait	NOM	fait
réveillée	VER:pper	réveiller
et	KON	et
regardait	VER:impf	regarder
d'	PRP	de
un	DET:ART	un
air	NOM	air
attendri	VER:pper	attendrir
le	DET:ART	le
large	ADJ	large
horizon	NOM	horizon
de	PRP	de
falaises	NOM	falaise
et	KON	et
de	PRP	de
mer	NOM	mer
.	SENT	.
<EOS>	<EOS>	<EOS>
Elle	PRO:PER	elle
murmura	VER:simp	murmurer
:	PUN	:
«	PUN:cit	«
Vous	NAM	vous
avez	VER:pres	avoir
cependant	ADV	cependant
fait	VER:pper	faire
une	DET:ART	un
belle	ADJ	beau
pêche	NOM	pêche
.	SENT	.
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
Mais	VER:impf	mais
son	DET:POS	son
mari	NOM	mari
remuait	VER:impf	remuer
la	DET:ART	le
tête	NOM	tête
pour	PRP	pour
dire	VER:infi	dire
non	ADV	non
,	PUN	,
tout	ADV	tout
en	PRP	en
jetant	VER:ppre	jeter
un	DET:ART	un
coup	NOM	coup
d'	PRP	de
œil	NOM	œil
bienveillant	ADJ	bienveillant
sur	PRP	sur
le	DET:ART	le
panier	NOM	panier
où	PRO:REL	où
le	DET:ART	le
poisson	NOM	poisson
capturé	VER:pper	capturer
par	PRP	par
les	DET:ART	le
trois	NUM	trois
hommes	NOM	homme
palpitait	VER:impf	palpiter
