PREMIÈRE	NUM	premier
PARTIE	NOM	partie
I	NUM	i
Hormis	VER:simp	hormis
les	DET:ART	le
jours	NOM	jour
où	PRO:REL	où
mon	DET:POS	mon
père	NOM	père
avait	VER:impf	avoir
pratiqué	VER:pper	pratiquer
une	DET:ART	un
opération	NOM	opération
difficile	ADJ	difficile
,	PUN	,
un	DET:ART	un
accouchement	NOM	accouchement
important	ADJ	important
,	PUN	,
et	KON	et
qu'	KON	que
il	PRO:PER	il
en	PRO:PER	en
expliquait	VER:impf	expliquer
,	PUN	,
à	PRP	à
table	NOM	table
,	PUN	,
par	PRP	par
des	PRP:det	du
termes	NOM	terme
techniques	ADJ	technique
,	PUN	,
souvent	ADV	souvent
latins	ADJ	latin
,	PUN	,
les	DET:ART	le
plus	ADV	plus
émouvantes	ADJ	émouvant
phases	NOM	phase
,	PUN	,
mes	DET:POS	mon
parents	NOM	parents
ne	ADV	ne
se	PRO:PER	se
parlaient	VER:impf	parler
presque	ADV	presque
jamais	ADV	jamais
.	SENT	.
<EOS>	<EOS>	<EOS>
Non	ADV	non
qu'	KON	que
ils	PRO:PER	il
se	PRO:PER	se
boudassent	VER:subi	bouder
;	PUN	;
ils	PRO:PER	il
s'	PRO:PER	se
aimaient	VER:impf	aimer
beaucoup	ADV	beaucoup
au	PRP:det	au
contraire	NOM	contraire
,	PUN	,
s'	PRO:PER	se
entendaient	VER:impf	entendre
,	PUN	,
en	PRP	en
toutes	PRO:IND	tout
choses	NOM	chose
,	PUN	,
le	DET:ART	le
mieux	ADV	mieux
du	PRP:det	du
monde	NOM	monde
,	PUN	,
et	KON	et
l'	PRO:PER	la|le
on	PRO:PER	on
ne	ADV	ne
pouvait	VER:impf	pouvoir
rencontrer	VER:infi	rencontrer
un	DET:ART	un
ménage	NOM	ménage
plus	ADV	plus
uni	VER:pper	unir
;	PUN	;
mais	KON	mais
,	PUN	,
habitués	VER:pper	habituer
à	PRP	à
penser	VER:infi	penser
la	DET:ART	le
même	ADJ	même
pensée	NOM	pensée
,	PUN	,
à	PRP	à
vivre	VER:infi	vivre
les	DET:ART	le
mêmes	ADJ	même
impressions	NOM	impression
,	PUN	,
et	KON	et
n'	ADV	ne
étant	VER:ppre	être
point	ADV	point
romanesques	ADJ	romanesque
de	PRP	de
leur	DET:POS	leur
nature	NOM	nature
,	PUN	,
ils	PRO:PER	il
n'	ADV	ne
avaient	VER:impf	avoir
rien	ADV	rien
à	PRP	à
se	PRO:PER	se
dire	VER:infi	dire
.	SENT	.
<EOS>	<EOS>	<EOS>
Ils	PRO:PER	il
n'	ADV	ne
avaient	VER:impf	avoir
rien	ADV	rien
à	PRP	à
me	PRO:PER	me
dire	VER:infi	dire
non	ADV	non
plus	ADV	plus
,	PUN	,
me	PRO:PER	me
trouvant	VER:ppre	trouver
ou	KON	ou
trop	ADV	trop
grand	ADJ	grand
pour	PRP	pour
m'	PRO:PER	me
amuser	VER:infi	amuser
à	PRP	à
des	PRP:det	du
chansons	NOM	chanson
,	PUN	,
ou	KON	ou
trop	ADV	trop
petit	ADJ	petit
pour	PRP	pour
m'	PRO:PER	me
ennuyer	VER:infi	ennuyer
à	PRP	à
des	PRP:det	du
questions	NOM	question
sérieuses	ADJ	sérieux
.	SENT	.
<EOS>	<EOS>	<EOS>
Et	KON	et
puis	ADV	puis
,	PUN	,
ils	PRO:PER	il
étaient	VER:impf	être
très	ADV	très
imprégnés	VER:pper	imprégner
de	PRP	de
cette	PRO:DEM	ce
idée	NOM	idée
qu'	PRO:REL	que
un	DET:ART	un
