Frontispice	NOM	frontispice
Quelques	NAM	quelques
amis	NOM	ami
se	PRO:PER	se
trouvaient	VER:impf	trouver
,	PUN	,
un	DET:ART	un
soir	NOM	soir
,	PUN	,
réunis	VER:pper	réunir
chez	PRP	chez
un	NUM	un
de	PRP	de
nos	DET:POS	notre
plus	ADV	plus
célèbres	ADJ	célèbre
écrivains	NOM	écrivain
.	SENT	.
<EOS>	<EOS>	<EOS>
Ayant	VER:ppre	avoir
copieusement	ADV	copieusement
dîné	VER:pper	dîner
,	PUN	,
ils	PRO:PER	il
disputaient	VER:impf	disputer
sur	PRP	sur
le	DET:ART	le
meurtre	NOM	meurtre
,	PUN	,
à	PRP	à
propos	NOM	propos
de	PRP	de
je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
plus	ADV	plus
quoi	PRO:REL	quoi
,	PUN	,
à	PRP	à
propos	NOM	propos
de	PRP	de
rien	NOM	rien
,	PUN	,
sans	PRP	sans
doute	NOM	doute
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
avait	VER:impf	avoir
là	ADV	là
que	KON	que
des	PRP:det	du
hommes	NOM	homme
:	PUN	:
des	PRP:det	du
moralistes	NOM	moraliste
,	PUN	,
des	PRP:det	du
poètes	NOM	poète
,	PUN	,
des	PRP:det	du
philosophes	NOM	philosophe
,	PUN	,
des	PRP:det	du
médecins	NOM	médecin
,	PUN	,
tous	PRO:IND	tout
gens	NOM	gens
pouvant	VER:ppre	pouvoir
causer	VER:infi	causer
librement	ADV	librement
,	PUN	,
au	PRP:det	au
gré	NOM	gré
de	PRP	de
leur	DET:POS	leur
fantaisie	NOM	fantaisie
,	PUN	,
de	PRP	de
leurs	DET:POS	leur
manies	NOM	manie
,	PUN	,
de	PRP	de
leurs	DET:POS	leur
paradoxes	NOM	paradoxe
,	PUN	,
sans	PRP	sans
crainte	NOM	crainte
de	PRP	de
voir	VER:infi	voir
,	PUN	,
tout	ADV	tout
d'	PRP	de
un	DET:ART	un
coup	NOM	coup
,	PUN	,
apparaître	VER:infi	apparaître
ces	PRO:DEM	ce
effarements	NOM	effarement
et	KON	et
ces	PRO:DEM	ce
terreurs	NOM	terreur
que	KON	que
la	DET:ART	le
moindre	ADJ	moindre
idée	NOM	idée
un	DET:ART	un
peu	ADV	peu
hardie	ADJ	hardi
amène	VER:pres	amener
sur	PRP	sur
le	DET:ART	le
visage	NOM	visage
bouleversé	VER:pper	bouleverser
des	PRP:det	du
notaires	NOM	notaire
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Je	PRO:PER	je
dis	VER:pres	dire
notaires	NOM	notaire
comme	KON	comme
je	PRO:PER	je
pourrais	VER:cond	pouvoir
dire	VER:infi	dire
avocats	NOM	avocat
ou	KON	ou
portiers	NOM	portier
,	PUN	,
non	ADV	non
par	PRP	par
dédain	NOM	dédain
,	PUN	,
certes	ADV	certes
,	PUN	,
mais	KON	mais
pour	PRP	pour
préciser	VER:infi	préciser
un	DET:ART	un
état	NOM	état
moyen	ADJ	moyen
de	PRP	de
la	DET:ART	le
mentalité	NOM	mentalité
française	ADJ	français
.	SENT	.
<EOS>	<EOS>	<EOS>
Avec	PRP	avec
un	DET:ART	un
calme	NOM	calme
d'	PRP	de
âme	NOM	âme
aussi	ADV	aussi
parfait	ADJ	parfait
que	KON	que
s'	PRO:PER	se
il	PRO:PER	il
se	PRO:PER	se
fût	VER:subi	être
agi	VER:pper	agir
d'	PRP	de
exprimer	VER:infi	exprimer
une	DET:ART	un
opinion	NOM	opinion
sur	PRP	sur
les	DET:ART	le
mérites	NOM	mérite
du	PRP:det	du
cigare	NOM	cigare
qu'	PRO:REL	que
il	PRO:PER	il
fumait	VER:impf	fumer
,	PUN	,
un	DET:ART	un
membre	NOM	membre
de	PRP	de
l'	DET:ART	le
Académie	NAM	académie
des	PRP:det	du
sciences	NOM	science
morales	ADJ	moral
et	KON	et
politiques	ADJ	politique
dit	VER:pres	dire
:	PUN	:
--	PUN	--
Ma	DET:POS	mon
foi	NOM	foi
!	SENT	!
...	PUN	...
<EOS>	<EOS>	<EOS>
je	PRO:PER	je
crois	VER:pres	croire
bien	ADV	bien
que	KON	que
le	DET:ART	le
meurtre	NOM	meurtre
est	VER:pres	être
la	DET:ART	le
plus	ADV	plus
grande	ADJ	grand
préoccupation	NOM	préoccupation
humaine	ADJ	humain
,	PUN	,
et	KON	et
que	KON	que
tous	PRO:IND	tout
nos	DET:POS	notre
