I	NUM	i
L'	DET:ART	le
écroulement	NOM	écroulement
du	PRP:det	du
souterrain	NOM	souterrain
durait	VER:impf	durer
toujours	ADV	toujours
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
voûte	NOM	voûte
de	PRP	de
la	DET:ART	le
galerie	NOM	galerie
se	PRO:PER	se
détachait	VER:impf	détacher
par	PRP	par
fragments	NOM	fragment
de	PRP	de
blocs	NOM	bloc
énormes	ADJ	énorme
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
sol	NOM	sol
continuait	VER:impf	continuer
à	PRP	à
mugir	VER:infi	mugir
et	KON	et
à	PRP	à
trembler	VER:infi	trembler
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
eût	VER:subi	avoir
dit	VER:pper	dire
un	NUM	un
de	PRP	de
ces	PRO:DEM	ce
tremblements	NOM	tremblement
de	PRP	de
terre	NOM	terre
qui	PRO:REL	qui
ébranlent	VER:pres	ébranler
les	DET:ART	le
cités	NOM	cité
du	PRP:det	du
nouveau	ADJ	nouveau
monde	NOM	monde
.	SENT	.
<EOS>	<EOS>	<EOS>
Vanda	NOM	vanda
était	VER:impf	être
tombée	VER:pper	tomber
à	PRP	à
genoux	NOM	genou
et	KON	et
priait	VER:impf	prier
.	SENT	.
<EOS>	<EOS>	<EOS>
Pauline	NAM	pauline
,	PUN	,
suspendue	VER:pper	suspendre
au	PRP:det	au
cou	NOM	cou
de	PRP	de
Polyte	NAM	polyte
,	PUN	,
lui	PRO:PER	lui
disait	VER:impf	dire
:	PUN	:
--	PUN	--
Au	PRP:det	au
moins	ADV	moins
,	PUN	,
nous	PRO:PER	nous
mourrons	VER:futu	mourir
ensemble	ADV	ensemble
!	SENT	!
<EOS>	<EOS>	<EOS>
Milon	NAM	milon
hurlait	VER:impf	hurler
de	PRP	de
fureur	NOM	fureur
et	KON	et
brandissait	VER:impf	brandir
ses	DET:POS	son
poings	NOM	poing
énormes	ADJ	énorme
en	PRO:PER	en
répétant	VER:ppre	répéter
:	PUN	:
--	PUN	--
Ah	INT	ah
!	SENT	!
<EOS>	<EOS>	<EOS>
les	DET:ART	le
gredins	NOM	gredin
de	PRP	de
fénians	ADJ	fénians
!	SENT	!
<EOS>	<EOS>	<EOS>
les	DET:ART	le
propres	NOM	propre
à	PRP	à
rien	NOM	rien
!	SENT	!
<EOS>	<EOS>	<EOS>
les	DET:ART	le
canailles	NOM	canaille
!	SENT	!
<EOS>	<EOS>	<EOS>
Marmouset	NOM	marmouset
,	PUN	,
lui	PRO:PER	lui
,	PUN	,
regardait	VER:impf	regarder
le	DET:ART	le
maître	NOM	maître
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
maître	NOM	maître
était	VER:impf	être
calme	ADJ	calme
,	PUN	,
debout	ADV	debout
,	PUN	,
le	DET:ART	le
front	NOM	front
haut	ADJ	haut
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
semblait	VER:impf	sembler
attendre	VER:infi	attendre
la	DET:ART	le
fin	NOM	fin
de	PRP	de
ce	PRO:DEM	ce
cataclysme	NOM	cataclysme
avec	PRP	avec
la	DET:ART	le
tranquillité	NOM	tranquillité
d'	PRP	de
un	DET:ART	un
homme	NOM	homme
qui	PRO:REL	qui
se	PRO:PER	se
sait	VER:pres	savoir
au-dessus	ADV	au-dessus
de	PRP	de
la	DET:ART	le
mort	NOM	mort
.	SENT	.
