I	NUM	i
--	PUN	--
Adalbert	NAM	adalbert
était	VER:impf	être
heureux	ADJ	heureux
.	SENT	.
<EOS>	<EOS>	<EOS>
Rien	NOM	rien
de	PRP	de
plus	ADV	plus
joli	ADJ	joli
que	KON	que
la	DET:ART	le
demeure	NOM	demeure
où	PRO:REL	où
s'	PRO:PER	se
écoulait	VER:impf	écouler
l'	DET:ART	le
enfance	NOM	enfance
du	PRP:det	du
petit	ADJ	petit
Adalbert	NAM	adalbert
;	PUN	;
c'	PRO:DEM	ce
était	VER:impf	être
la	DET:ART	le
campagne	NOM	campagne
de	PRP	de
la	DET:ART	le
Normandie	NAM	normandie
avec	PRP	avec
ses	DET:POS	son
haies	NOM	haie
,	PUN	,
ses	DET:POS	son
buissons	NOM	buisson
,	PUN	,
ses	DET:POS	son
grands	ADJ	grand
prés	NOM	pré
,	PUN	,
ses	DET:POS	son
champs	NOM	champ
dorés	ADJ	doré
,	PUN	,
tous	PRO:IND	tout
ses	DET:POS	son
parfums	NOM	parfum
,	PUN	,
toutes	PRO:IND	tout
ses	DET:POS	son
fleurs	NOM	fleur
.	SENT	.
<EOS>	<EOS>	<EOS>
Ces	PRO:DEM	ce
trésors	NOM	trésor
,	PUN	,
Adalbert	NAM	adalbert
les	PRO:PER	la|le
partageait	VER:impf	partager
avec	PRP	avec
les	DET:ART	le
enfants	NOM	enfant
du	PRP:det	du
canton	NOM	canton
,	PUN	,
car	KON	car
Dieu	NOM	dieu
a	VER:pres	avoir
mis	VER:pper	mettre
pour	PRP	pour
tous	PRO:IND	tout
du	PRP:det	du
bonheur	NOM	bonheur
dans	PRP	dans
la	DET:ART	le
plaine	NOM	plaine
;	PUN	;
mais	KON	mais
ce	PRO:DEM	ce
dont	PRO:REL	dont
le	DET:ART	le
petit	ADJ	petit
garçon	NOM	garçon
jouissait	VER:impf	jouir
seulement	ADV	seulement
avec	PRP	avec
ses	DET:POS	son
frères	NOM	frère
et	KON	et
sa	DET:POS	son
sœur	NOM	sœur
,	PUN	,
c'	PRO:DEM	ce
était	VER:impf	être
une	DET:ART	un
grande	ADJ	grand
et	KON	et
belle	ADJ	beau
maison	NOM	maison
dont	PRO:REL	dont
les	DET:ART	le
fenêtres	NOM	fenêtre
donnaient	VER:impf	donner
sur	PRP	sur
une	DET:ART	un
jolie	ADJ	joli
pelouse	NOM	pelouse
,	PUN	,
où	PRO:REL	où
l'	DET:ART	le
on	PRO:PER	on
admirait	VER:impf	admirer
deux	NUM	deux
corbeilles	NOM	corbeille
de	PRP	de
roses	NOM	rose
,	PUN	,
les	DET:ART	le
plus	ADV	plus
délicieuses	ADJ	délicieux
qu'	PRO:REL	que
on	PRO:PER	on
pût	VER:subi	pouvoir
voir	VER:infi	voir
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
de	PRP	de
tous	PRO:IND	tout
côtés	NOM	côté
des	PRP:det	du
arbres	NOM	arbre
verts	ADJ	vert
,	PUN	,
des	PRP:det	du
peupliers	NOM	peuplier
,	PUN	,
des	PRP:det	du
hêtres	NOM	hêtre
,	PUN	,
des	PRP:det	du
chênes	NOM	chêne
,	PUN	,
des	PRP:det	du
ormes	NOM	orme
,	PUN	,
entre	PRP	entre
lesquels	PRO:REL	lequel
couraient	VER:impf	courir
tantôt	ADV	tantôt
des	PRP:det	du
allées	NOM	allée
capricieuses	ADJ	capricieux
,	PUN	,
tantôt	ADV	tantôt
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
bien	ADV	bien
claire	ADJ	clair
où	PRO:REL	où
se	PRO:PER	se
plaisaient	VER:impf	plaire
de	PRP	de
beaux	ADJ	beau
poissons	NOM	poisson
.	SENT	.
<EOS>	<EOS>	<EOS>
Au	PRP:det	au
fond	NOM	fond
du	PRP:det	du
parc	NOM	parc
était	VER:impf	être
un	DET:ART	un
labyrinthe	NOM	labyrinthe
formé	VER:pper	former
de	PRP	de
lilas	NOM	lilas
et	KON	et
de	PRP	de
clématite	NOM	clématite
,	PUN	,
où	PRO:REL	où
l'	DET:ART	le
on	PRO:PER	on
se	PRO:PER	se
perdait	VER:impf	perdre
pour	PRP	pour
de	PRP	de
bon	ADJ	bon
,	PUN	,
tant	ADV	tant
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
de	PRP	de
détours	NOM	détour
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
labyrinthe	NOM	labyrinthe
semblait	VER:impf	sembler
avoir	VER:infi	avoir
été	VER:pper	être
fait	VER:pres	faire
tout	ADV	tout
exprès	ADV	exprès
pour	PRP	pour
jouer	VER:infi	jouer
à	PRP	à
cache-cache	NOM	cache-cache
,	PUN	,
et	KON	et
Adalbert	NAM	adalbert
s'	KON	si
y	PRO:PER	y
amusait	VER:impf	amuser
de	PRP	de
tout	PRO:IND	tout
son	DET:POS	son
cœur	NOM	cœur
à	PRP	à
chercher	VER:infi	chercher
ses	DET:POS	son
frères	NOM	frère
,	PUN	,
Eugène	NAM	eugène
et	KON	et
Frédéric	NAM	frédéric
,	PUN	,
ou	KON	ou
sa	DET:POS	son
sœur	NOM	sœur
Camille	NAM	camille
.	SENT	.
<EOS>	<EOS>	<EOS>
À	PRP	à
cinquante	NOM	cinquante
pas	ADV	pas
du	PRP:det	du
château	NOM	château
,	PUN	,
on	PRO:PER	on
voyait	VER:impf	voir
sur	PRP	sur
une	DET:ART	un
pièce	NOM	pièce
d'	PRP	de
eau	NOM	eau
une	DET:ART	un
barque	NOM	barque
coquette	ADJ	coquet
peinte	VER:pper	peindre
des	PRP:det	du
plus	ADV	plus
riantes	ADJ	riant
couleurs	NOM	couleur
.	SENT	.
<EOS>	<EOS>	<EOS>
Cette	PRO:DEM	ce
barque	NOM	barque
était	VER:impf	être
le	DET:ART	le
point	NOM	point
de	PRP	de
mire	NOM	mire
de	PRP	de
tout	ADV	tout
ce	PRO:DEM	ce
petit	ADJ	petit
monde	NOM	monde
.	SENT	.
<EOS>	<EOS>	<EOS>
Une	DET:ART	un
promenade	NOM	promenade
sur	PRP	sur
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
au	PRP:det	au
clair	NOM	clair
de	PRP	de
lune	NOM	lune
,	PUN	,
voilà	ADV	voilà
quel	PRO:REL	quel
était	VER:impf	être
le	DET:ART	le
plus	ADV	plus
désiré	VER:pper	désirer
des	PRP:det	du
divertissements	NOM	divertissement
à	PRP	à
Valneige	NAM	valneige
.	SENT	.
<EOS>	<EOS>	<EOS>
Cela	PRO:DEM	cela
venait	VER:impf	venir
sans	PRP	sans
doute	NOM	doute
de	PRP	de
ce	PRO:DEM	ce
que	PRO:REL	que
les	DET:ART	le
enfants	NOM	enfant
n'	ADV	ne
obtenaient	VER:impf	obtenir
cette	PRO:DEM	ce
