I	NUM	i
--	PUN	--
Navire	NAM	navire
au	PRP:det	au
large	NOM	large
Le	DET:ART	le
18	NUM	@card@
octobre	NOM	octobre
1827	NUM	@card@
,	PUN	,
vers	PRP	vers
cinq	NUM	cinq
heures	NOM	heure
du	PRP:det	du
soir	NOM	soir
,	PUN	,
un	DET:ART	un
petit	ADJ	petit
bâtiment	NOM	bâtiment
levantin	ADJ	levantin
serrait	VER:impf	serrer
le	DET:ART	le
vent	NOM	vent
pour	PRP	pour
essayer	VER:infi	essayer
d'	PRP	de
atteindre	VER:infi	atteindre
avant	PRP	avant
la	DET:ART	le
nuit	NOM	nuit
le	DET:ART	le
port	NOM	port
de	PRP	de
Vitylo	NAM	vitylo
,	PUN	,
à	PRP	à
l'	DET:ART	le
entrée	NOM	entrée
du	PRP:det	du
golfe	NOM	golfe
de	PRP	de
Coron	NAM	coron
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
port	NOM	port
,	PUN	,
l'	DET:ART	le
ancien	ADJ	ancien
Oetylos	NAM	oetylos
d'	PRP	de
Homère	NAM	homère
,	PUN	,
est	VER:pres	être
situé	VER:pper	situer
dans	PRP	dans
l'	DET:ART	le
une	NUM	un
de	PRP	de
ces	PRO:DEM	ce
trois	NUM	trois
profondes	ADJ	profond
indentations	NOM	indentation
qui	PRO:REL	qui
découpent	VER:pres	découper
,	PUN	,
sur	PRP	sur
la	DET:ART	le
mer	NOM	mer
Ionienne	NAM	ionienne
et	KON	et
sur	PRP	sur
la	DET:ART	le
mer	NOM	mer
Égée	NAM	égée
,	PUN	,
cette	PRO:DEM	ce
feuille	NOM	feuille
de	PRP	de
platane	NOM	platane
,	PUN	,
à	PRP	à
laquelle	PRO:REL	lequel
on	PRO:PER	on
a	VER:pres	avoir
très	ADV	très
justement	ADV	justement
comparé	VER:pper	comparer
la	DET:ART	le
Grèce	NAM	grèce
méridionale	ADJ	méridional
.	SENT	.
<EOS>	<EOS>	<EOS>
Sur	PRP	sur
cette	PRO:DEM	ce
