Chapitre	NOM	chapitre
I	NUM	i
À	PRP	à
neuf	ADJ	neuf
heures	NOM	heure
,	PUN	,
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
théâtre	NOM	théâtre
des	PRP:det	du
Variétés	NAM	variétés
était	VER:impf	être
encore	ADV	encore
vide	ADJ	vide
.	SENT	.
<EOS>	<EOS>	<EOS>
Quelques	PRO:IND	quelque
personnes	NOM	personne
,	PUN	,
au	PRP:det	au
balcon	NOM	balcon
et	KON	et
à	PRP	à
l'	DET:ART	le
orchestre	NOM	orchestre
,	PUN	,
attendaient	VER:impf	attendre
,	PUN	,
perdues	VER:pper	perdre
parmi	PRP	parmi
les	DET:ART	le
fauteuils	NOM	fauteuil
de	PRP	de
velours	NOM	velours
grenat	NOM	grenat
,	PUN	,
dans	PRP	dans
le	DET:ART	le
petit	ADJ	petit
jour	NOM	jour
du	PRP:det	du
lustre	NOM	lustre
à	PRP	à
demi-feux	NOM	demi-feux
.	SENT	.
<EOS>	<EOS>	<EOS>
Une	DET:ART	un
ombre	NOM	ombre
noyait	VER:impf	noyer
la	DET:ART	le
grande	ADJ	grand
tache	NOM	tache
rouge	ADJ	rouge
du	PRP:det	du
rideau	NOM	rideau
;	PUN	;
et	KON	et
pas	ADV	pas
un	DET:ART	un
bruit	NOM	bruit
ne	ADV	ne
venait	VER:impf	venir
de	PRP	de
la	DET:ART	le
scène	NOM	scène
,	PUN	,
la	DET:ART	le
rampe	NOM	rampe
éteinte	VER:pper	éteindre
,	PUN	,
les	DET:ART	le
pupitres	NOM	pupitre
des	PRP:det	du
musiciens	NOM	musicien
débandés	VER:pper	débander
.	SENT	.
<EOS>	<EOS>	<EOS>
En	PRP	en
haut	ADV	haut
seulement	ADV	seulement
,	PUN	,
à	PRP	à
la	DET:ART	le
troisième	NUM	troisième
galerie	NOM	galerie
,	PUN	,
autour	ADV	autour
de	PRP	de
la	DET:ART	le
rotonde	NOM	rotonde
du	PRP:det	du
plafond	NOM	plafond
où	PRO:REL	où
des	PRP:det	du
femmes	NOM	femme
et	KON	et
des	PRP:det	du
enfants	NOM	enfant
nus	NOM	nu
prenaient	VER:impf	prendre
leur	DET:POS	leur
volée	NOM	volée
dans	PRP	dans
un	DET:ART	un
ciel	NOM	ciel
verdi	VER:pper	verdir
par	PRP	par
le	DET:ART	le
gaz	NOM	gaz
,	PUN	,
des	PRP:det	du
appels	NOM	appel
et	KON	et
des	PRP:det	du
rires	NOM	rire
sortaient	VER:impf	sortir
d'	PRP	de
un	DET:ART	un
brouhaha	NOM	brouhaha
continu	ADJ	continu
de	PRP	de
voix	NOM	voix
,	PUN	,
des	PRP:det	du
têtes	NOM	tête
coiffées	VER:pper	coiffer
de	PRP	de
bonnets	NOM	bonnet
et	KON	et
de	PRP	de
casquettes	NOM	casquette
s'	PRO:PER	se
étageaient	VER:impf	étager
sous	PRP	sous
les	DET:ART	le
larges	ADJ	large
baies	NOM	bai|baie
rondes	ADJ	rond
,	PUN	,
encadrées	VER:pper	encadrer
d'	PRP	de
or	NOM	or
.	SENT	.
<EOS>	<EOS>	<EOS>
Par	PRP	par
moments	NOM	moment
,	PUN	,
une	DET:ART	un
ouvreuse	NOM	ouvreur|ouvreuse
se	PRO:PER	se
montrait	VER:impf	montrer
,	PUN	,
affairée	VER:pper	affairer
,	PUN	,
des	PRP:det	du
coupons	NOM	coupon
à	PRP	à
la	DET:ART	le
main	NOM	main
,	PUN	,
poussant	VER:ppre	pousser
devant	PRP	devant
elle	PRO:PER	elle
un	DET:ART	un
monsieur	NOM	monsieur
et	KON	et
une	DET:ART	un
dame	NOM	dame
qui	PRO:REL	qui
s'	PRO:PER	se
asseyaient	VER:impf	asseoir
,	PUN	,
l'	DET:ART	le
homme	NOM	homme
en	PRP	en
habit	NOM	habit
,	PUN	,
la	DET:ART	le
femme	NOM	femme
mince	ADJ	mince
et	KON	et
cambrée	VER:pper	cambrer
,	PUN	,
promenant	VER:ppre	promener
un	DET:ART	un
lent	ADJ	lent
regard	NOM	regard
.	SENT	.
<EOS>	<EOS>	<EOS>
Deux	NUM	deux
jeunes	ADJ	jeune
gens	NOM	gens
parurent	VER:simp	paraître
à	PRP	à
l'	DET:ART	le
orchestre	NOM	orchestre
.	SENT	.
<EOS>	<EOS>	<EOS>
Ils	PRO:PER	il
se	PRO:PER	se
tinrent	VER:simp	tenir
debout	ADV	debout
,	PUN	,
regardant	ADJ	regardant
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Que	PRO:REL	que
te	PRO:PER	te
disais	VER:impf	dire
-je	PRO:PER	je
,	PUN	,
Hector	NAM	hector
?	SENT	?
<EOS>	<EOS>	<EOS>
s'	PRO:PER	se
écria	VER:simp	écrier
le	DET:ART	le
plus	ADV	plus
âgé	ADJ	âgé
,	PUN	,
un	DET:ART	un
grand	ADJ	grand
garçon	NOM	garçon
à	PRP	à
petites	ADJ	petit
moustaches	NOM	moustache
noires	ADJ	noir
,	PUN	,
nous	PRO:PER	nous
venons	VER:pres	venir
trop	ADV	trop
tôt	ADV	tôt
.	SENT	.
<EOS>	<EOS>	<EOS>
Tu	PRO:PER	tu
aurais	VER:cond	avoir
bien	ADV	bien
pu	VER:pper	pouvoir
me	PRO:PER	me
laisser	VER:infi	laisser
achever	VER:infi	achever
mon	DET:POS	mon
cigare	NOM	cigare
.	SENT	.
<EOS>	<EOS>	<EOS>
Une	DET:ART	un
ouvreuse	NOM	ouvreur|ouvreuse
passait	VER:impf	passer
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Oh	INT	oh
!	SENT	!
<EOS>	<EOS>	<EOS>
monsieur	NOM	monsieur
Fauchery	NAM	fauchery
,	PUN	,
dit-elle	NOM	dit-elle
familièrement	ADV	familièrement
,	PUN	,
ça	PRO:DEM	cela
ne	ADV	ne
commencera	VER:futu	commencer
pas	ADV	pas
avant	PRP	avant
une	DET:ART	un
demi-heure	NOM	demi-heure
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
Alors	ADV	alors
,	PUN	,
pourquoi	ADV	pourquoi
affichent	VER:pres	afficher
-ils	PRO:PER	il
pour	PRP	pour
neuf	ADJ	neuf
heures	NOM	heure
?	SENT	?
<EOS>	<EOS>	<EOS>
murmura	VER:simp	murmurer
Hector	NAM	hector
,	PUN	,
dont	PRO:REL	dont
la	DET:ART	le
longue	ADJ	longue
figure	NOM	figure
maigre	ADJ	maigre
prit	VER:simp	prendre
un	DET:ART	un
air	NOM	air
vexé	VER:pper	vexer
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
matin	NOM	matin
,	PUN	,
Clarisse	NAM	clarisse
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
de	PRP	de
la	DET:ART	le
pièce	NOM	pièce
,	PUN	,
m'	PRO:PER	me
a	VER:pres	avoir
encore	ADV	encore
juré	VER:pper	jurer
qu'	KON	que
on	PRO:PER	on
commencerait	VER:cond	commencer
à	PRP	à
neuf	ADJ	neuf
heures	NOM	heure
