"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"de" 3.32612372792058 3.57820246902625 4.18337020891294 4.1608676704202 4.03614699242596 3.77118563647061 3.94673485313896 3.82947310141183 4.1902008688343 4.08931724762202 3.63804166300431 3.66668431362168 3.59931630082764 3.50459735926649 4.15151825490296 4.57210826151374 3.42632465830369 3.18561977281238 3.79346869894616 3.7282619749822 4.87912712573621 4.23679434201097 4.09452463884294 4.31395027917542
"la" 1.59443196628123 2.2183524296505 2.98874747164962 2.55542434594351 2.42449339442433 2.52899087095978 2.34280306174971 2.71846451970102 2.12416631970903 2.28004570478862 2.03744396589611 2.27857483191275 2.17884130982368 2.68858225458119 2.28506323928517 2.04503244923937 2.14379329713537 2.25273582157866 2.67320155832032 2.6522932980779 3.09958787955346 2.16260021029931 3.20369879021559 2.57733053096406
"et" 2.22943182763497 1.96102354781104 2.32790787676985 2.39937862876583 2.17803662788368 2.60206115128395 2.75125774154449 3.35701762480391 2.03932535723544 2.16615471367731 2.31080249626439 2.12081105405262 2.67452320978769 2.89032291437661 2.55645450355881 2.76079380647315 2.87773825126381 2.88187076103691 2.19385648372561 2.5180514593715 1.53795139820941 2.19005967410305 1.78955509515127 1.84347776857808
"le" 2.68557801624934 2.79179653271515 2.45715495775738 2.4858363909859 2.13395492980324 1.79069635028184 1.65208295282847 1.96179754544616 2.5098784731769 2.45106768166912 1.56807594269139 1.96516491079464 1.84148974451241 2.08723990326794 1.98806902555174 1.9469543623881 2.43212881482868 2.47076935879832 2.11127268810255 1.56412081765484 2.20113372597938 2.62070443570802 2.22311292262009 2.08974658372786
"il" 1.60829659207498 1.64823585523032 1.97667710866248 1.6226645860571 2.36571779698374 1.68441230617396 1.26853404619191 1.85475685152718 2.98043158911836 3.00605440056983 2.1121561044212 2.67245486791254 2.88233177401943 1.46132657415909 2.49756771980132 2.42795434152042 1.59146227298259 2.11459243540132 1.84018240247033 0.884775755110343 1.74638012979426 1.17071079826671 2.15988573944755 2.25887947689107
"à" 1.87449740731498 1.96767860509999 1.83501646622416 1.73512996780678 1.68979842641696 1.59426066161817 1.81480067079549 1.50595183168774 1.92541850946998 1.96100253750612 2.10512437373649 2.14304621737519 1.73443684778697 1.72384807376466 1.66675200983153 1.60263767450596 1.94158397303876 2.01639412474514 1.78273280551516 1.87328384013017 2.35271825804109 2.10567205363302 1.69866601934074 1.60782398856407
"l" 1.38923550453373 1.42085473119114 1.46553046068917 1.68873799783504 1.77996553612696 1.45096699500845 1.393062911983 1.67020393097721 1.57034337022868 1.64121740936948 1.40810406961413 1.49716766371963 1.38359121986326 1.48460434259702 1.81652926417123 1.52855741741616 1.08968357985396 1.71347730204302 1.80068580456365 1.32614664903895 1.78585526835199 1.79692052159586 1.48583880455462 1.66443750928816
"les" 1.88558910794998 1.98431624832237 1.10334655012523 1.22095230061997 1.77195068193051 4.01791645314961 1.34491175054378 2.34197656177909 1.16420654060976 1.21421893780884 0.988837127538015 1.08105246439727 1.31432169845268 1.67211969945815 1.64370935531773 1.79566369650049 0.9005804156525 0.862147879998336 1.15258253891313 1.24478795891386 1.71953703557499 1.73329493473354 2.24512953104624 1.59933196045546
"un" 1.30882067492998 1.43749237441352 1.50423156403572 1.46521305160755 1.77996553612696 1.33709123346429 1.46944061633487 1.10362646488881 1.43679741077952 1.37856326700203 1.06882306407665 1.26105140557997 1.55721482547679 1.44192843379415 1.49265195350504 1.35744245737777 1.7786931286276 1.59946739899305 1.17053553796162 1.01698362656361 1.1195149294974 1.23165741305061 1.41809539401261 1.61773135469078
"d" 0.910905914649364 1.19458278336679 1.0361672763916 1.07755893888912 1.47139364956386 1.64265786027444 1.26853404619191 1.29187044384977 1.2058414573792 1.27060796272389 0.952799507778852 1.15411085817142 1.24235336451961 1.21561679620314 1.36591735367914 1.39917781348469 1.00355738625726 0.833021262430824 0.98382434785731 0.856300213566562 1.75111714642118 1.16468311109027 1.37406217716031 1.58447091126538
"que" 1.55838393921748 1.26446088490078 1.0054984775132 1.00797098393151 0.635177195068193 0.538062973296134 1.49932754412473 1.41367537141275 1.23019395586699 1.26652717802609 1.77551199789048 1.70046058552597 0.8546239654552 0.702212681210961 1.01003635618823 1.06425158072661 1.25631904137802 1.20750634544168 1.34108902892228 1.44818468422658 1.13688399046281 1.07962574760065 0.873889995991848 0.867602205096632
"en" 1.42528353159748 1.29773617134554 1.13255493000942 1.02132624801428 1.23896287786698 1.26307198846059 1.1190994072426 1.02242317984682 0.899471315113475 0.946742049889448 1.05388063637163 1.25999258827889 1.12540482187837 1.01258292705006 1.01771724102617 0.98391102022078 0.930537352555701 1.04190071984355 1.14899193910343 1.13698769449812 1.16530609022438 0.998586842228637 1.13244401289383 1.11882470330977
"une" 0.989934281673738 1.03597058464678 0.971178631149277 0.940843209199668 1.29439895272572 1.00969841902484 1.11245786773374 0.939374365599336 0.909683653188999 0.94562910860823 0.953678474114441 0.979406003494097 1.21896365599136 1.20527112134183 1.1406113984331 1.07677218755869 1.10466204830556 0.93954146382058 0.865334554137269 0.947828739957287 0.827398904170154 1.03274373622841 1.2216395034408 1.42949139828319
"des" 0.82633169730749 0.893996029149151 0.611915558573755 0.706774633433146 1.48675545344038 2.93704568315967 1.01283477510087 1.83999261788318 0.592315608380402 0.661458101470566 0.505405642963874 0.597172957806131 0.966174883051457 1.02034218319604 1.42992472732859 1.56924938962042 0.657180303313986 0.490991553280905 0.696576363081453 0.581714634394386 0.828977909712463 1.35555987167724 1.32889990346564 1.30564932169925
"je" 1.30327482461248 0.830772984904112 1.04127874287133 1.04171059845641 0.377366051749242 0.16606881891856 2.39261460806615 0.876626372612347 0.939535102948223 0.847690275861046 1.14265623626615 0.903171157816719 0.913997840949982 0.384083179225885 1.04075989553997 0.924438137768411 1.32559445796667 1.05937669038406 0.538589971454732 1.11461405471372 0.235271825804109 1.53170228583293 0.289603080067066 0.479091919127586
"qui" 0.694617752266866 0.906196967512229 1.0829006842063 1.05612022549309 0.514286477605162 0.71362143901004 0.919853221976854 0.920919073544339 0.791063418619449 0.846206354152755 1.01081128592775 0.924347503838213 0.770960777258006 0.720317612218242 0.915305443187055 0.959913190459298 1.12525744242651 0.916240169766571 0.892264052710005 0.974270314247941 0.911086197912555 0.856601322072721 0.760984311755175 0.8463721348251
"elle" 0.141419183096248 0.413722728129818 0.517718533447246 0.45302461586043 0.987162875195362 0.576021560477519 0.870041675660418 0.782504383131863 0.854694140474638 0.839157726038374 1.77814889689725 1.78622478691302 1.30802446923354 2.29803302856699 0.363561882328844 0.366227749838275 1.21138363602322 0.508467523821412 1.23696163444103 1.72073629614563 0.628444205839162 0.123902458626625 0.903245473893383 1.06574952763094
"ne" 0.82355877214874 0.754239826081169 0.718526145151044 0.637186678475532 0.534323613096272 0.40805481219989 0.904909758081923 0.751130386638369 0.856265269409334 0.852142040985918 1.12595587588995 1.17528720419292 0.758366318819719 0.759113892948129 0.844897332172666 0.858704951900002 0.767646508144542 0.774768027295802 1.06461284357552 0.96003254347605 0.911086197912555 0.871335668503995 0.741225817013758 0.733852762385977
"qu" 0.630840473615617 0.676597491043402 0.538164399366178 0.543348375578142 0.638516717650045 0.558940196245896 0.783701662045262 0.841561317707853 0.983526713119712 0.981985190461351 1.25604289355718 1.41775636613902 0.804246131702051 0.900073712933387 0.815453940293922 0.75854009724338 0.589777195281782 0.706528523280489 1.19207913681981 0.927489067426014 0.786344760070108 0.421938102350128 0.83719564861493 0.868309874105683
"pas" 0.81801292183124 0.75645817851082 0.72874907811051 0.720832806151856 0.653878521526563 0.441268575983602 0.780380892290833 0.551813232444403 0.927751635938003 0.92337028298387 1.33866572910258 1.40928582773043 0.665707088880892 0.543147930218423 0.620871524399611 0.710544437720415 0.748923422580041 0.947863354554155 0.847381555088778 0.86443608257907 0.639497244635329 0.687826081132669 0.679692219104771 0.682900593734299
"se" 0.639159249091867 0.888450148075025 0.682015670295808 0.500470948786077 1.03458409585766 1.17861413198201 0.345360054460624 0.597951462581895 0.714863665286692 0.79686595735209 0.67240924672585 0.760230822171634 0.839330694494422 0.999650833473431 0.787290695888166 0.760626865048726 0.660924920426886 0.720675737527566 0.86174395432757 0.722058374860165 0.887401114777913 0.750112181955784 0.97155341285657 0.900154979512982
"s" 0.653023874885617 0.797497698459354 0.683476089290017 0.525424205361787 0.835548549979295 1.04291218280856 0.421737758812493 0.634862046691889 0.729003825698956 0.816527919986942 0.612639535905775 0.697760601408227 0.725980568549838 0.905246550364038 0.7834502534692 0.788798230420901 0.619734132184984 0.672408771272833 0.669646864508716 0.555273060103732 0.731079566089277 0.620851779172332 0.926955667583084 0.869725212123786
"dans" 0.661342650361867 0.810807813037257 0.638933309966629 0.680767013903533 0.832209027397443 1.04101425344949 0.896607833695851 1.02426870905232 0.534183837796649 0.447031414622565 0.726026193196801 0.776113081687755 0.775458798128823 0.949215668524577 0.8410568897537 0.790884998226247 0.666541846096237 0.829692506137394 0.685804563652358 0.679345062544493 0.742132604885443 0.707918371720771 0.758726198070442 0.763574860766122
"vous" 1.62632060560685 1.18460019743337 1.00403805851899 1.06806967230399 0.41343289563324 0.0939475032739281 0.943098610257858 0.0701301098089877 0.792634547554145 0.866610277641752 0.827107321789575 1.03552332045106 0.763763943864699 0.351752945284312 0.494136924573711 0.421527096679952 1.24508519003932 1.21832480339533 0.377012980018312 0.848164344554053 0.320538125088819 0.477526772977209 0.24669892005713 0.321281730109193
"est" 0.938635166236863 0.73316547799949 0.809802332289134 0.755978237948631 0.440816980804424 0.132855055134848 1.12408056187424 0.841561317707853 1.088006787277 0.836189882621793 0.900940493979081 0.800465879612473 0.665707088880892 0.394428854087188 0.754006861590455 0.733498883579224 1.05598202583786 1.00694877876253 0.806089657277248 1.14919149801688 0.487912712573621 0.584015913094146 0.396298951670722 0.502444996426271
"ce" 0.741757479965616 0.508002706389964 0.7272886591163 0.604149972586563 0.43347003112435 0.185997077188787 0.695701263552892 0.555504290855403 0.696010118070339 0.730831441333155 1.08552342445284 1.03022923394568 0.586541921554516 0.473314624904626 0.606789902196733 0.677156152834874 0.619734132184984 0.670744393126118 0.870720453851816 0.825790704769653 0.813187854289369 0.720643489093235 0.574125404343482 0.693515628870065
