"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"le" 7.41604797650578 8.23743851018974 7.85301290261888 7.79219423596831 6.11125845378597 9.51265449161833 6.48498860412875 8.45767509816455 7.14685358158619 5.77637259701207 5.6804990037252 6.47573171370229 5.09148056540258 6.07050863096382 7.54671534697396 7.14366755025631 5.30697190426639 7.12060525144637 7.43545183714002 6.49528292398367 8.59209046607522 8.16330589030744 7.41205396898296 5.98510399100618
"de" 4.18833797636855 4.61063773717498 5.1675603702176 5.17357160502848 4.00676302877602 5.34196643584674 5.13388099103088 5.06255136517213 5.32536561863761 4.05715274224952 4.52308758554968 4.76150583800199 3.5726085131841 3.47288967488114 5.44230622955807 5.88945158994564 3.40047569496061 3.97814369776987 4.71166122854306 4.53201375897653 6.55066849931276 5.33216667329542 4.06223571384565 4.28330522765599
"un" 2.2890392347912 2.47716092761771 2.45533291361831 2.38341283841853 2.83251558148787 2.35005294178278 2.54480463049502 2.03269107844033 2.3133829631817 2.07035146286434 1.99861387854111 2.22210586941725 2.52966756257199 2.36053977163508 2.59374762303187 2.40322630552948 2.68135870373123 2.51693616179597 2.01624343878564 1.95723452618027 1.93208796701237 2.24714632303226 2.3467210314371 2.65317594154019
"il" 2.08319038274163 2.08735945186226 2.05226175744813 1.76372550042971 2.56663572470495 2.57212732264503 1.40685719907521 2.1367911606246 3.13631630480394 3.1918378463928 2.32521874729273 2.82946751138803 3.09667741157772 1.72491125549447 2.61276336806876 2.58475756294287 1.69280511372083 2.38342481333136 1.92757837991204 0.945426749542373 1.99456453829814 1.34497341871164 2.52202501302178 2.52740303541315
"et" 2.20669969397137 1.94132115249473 2.30698536062928 2.37541013837712 2.16218008221721 2.56931625453285 2.71697246954269 3.3220710437403 2.01731346067171 2.14911683407375 2.27757082214329 2.09749201528876 2.65467760802207 2.8641728499481 2.53162952257803 2.72915742679443 2.85602794707894 2.85401110946282 2.16697403887076 2.49029428922012 1.52130451080845 2.16760132044704 1.77544288058606 1.83038223721192
"être" 3.04793533601394 2.46947470133521 2.37935002062393 2.41681541250439 1.27635592096539 1.27060278670552 2.60547329758801 2.32855446991142 2.71047355578695 1.89920240860088 3.21060382916053 3.22844127964815 1.28313882365547 1.12644650340241 1.96876346948607 2.11855228822213 1.93808532778356 2.77571741746197 2.6457653567882 2.7799569529097 2.53967262276646 1.9747046891779 1.13191484595093 1.1424957841484
"à" 1.85812897116744 1.94900737877723 1.81852390566543 1.71953667846195 1.7610396499138 1.62760843695243 1.79218521980094 1.49027486074331 1.90463609095006 1.94594634385133 2.07658321060383 2.11948269542908 1.72156691162683 1.70825163712788 1.6505666692021 1.58427279197137 1.93065259402408 1.99690121808502 1.76088806922968 1.85464566612355 2.32725228039485 2.08407906773257 1.68527054501056 1.59640247329961
"du" 1.34076218968286 1.55700983836964 1.27506530910565 1.44605310313393 2.04415859965522 3.52976452619447 1.49704035286209 2.48561775180349 1.2169155929938 1.30073281240223 0.832539201247509 1.02413738939211 1.6394174531882 1.60316789050786 1.90664536903223 2.04532092869741 1.24684108815222 1.10435312927525 1.42041424315506 1.11037354414338 1.70092465325503 2.28691882432486 2.07844433118451 1.96388420460933
"avoir" 1.94870246606925 1.61740161630358 2.11087713204379 2.02955431919639 1.03169340936215 0.999803225232147 1.62329676816371 1.32042735823212 2.10434701521533 1.41299186949977 2.39625747206099 2.29854966228598 1.0143672259378 0.84195148206528 1.33363758525392 1.42027580373996 1.45681581685744 2.3018345448252 2.025109944673 2.10407740430069 1.61189553917281 1.10965278606372 1.20024419340566 1.23594716132659
"que" 2.15180666675816 1.90289002108222 1.51821056668765 1.52225272526731 0.630552977058746 1.05977267829199 2.23490252020922 2.21897543603324 2.15174921902927 1.25656531452779 2.9585029888244 3.03890256034347 0.848282451268406 0.69585944408135 1.76466113942344 1.77199261497839 1.24684108815222 1.87575203151527 2.46488863668605 2.31327821696538 1.87273522429089 1.46826817271872 0.86699860540922 0.861439010680157
"ce" 1.80049129259356 1.3955990864371 1.5189342132876 1.47702007285936 0.776422225169076 0.634364370648701 1.77086920163313 1.33321157885125 1.65363753632874 1.33790712311322 2.28016979987871 2.31006858997853 1.02597530158673 0.971383901682621 1.37800765700667 1.6812269862717 1.04244090976661 1.54856681336432 1.9683643069939 2.07390421016635 2.20698488066975 2.03701494120299 1.06750603482556 1.29286115795391
"son" 1.0004254209609 1.31763879128602 1.38288865249767 1.52781982094829 1.90425672987667 1.37836039767244 1.07399937691639 1.45009588165464 1.59924156473898 1.60475242277129 1.37312657021572 1.40426200324624 1.38493271780768 1.97608704009842 1.5643619583682 1.70494982104731 0.973688122491452 0.999686825231997 1.88501915165272 1.63941021463199 1.3854179682619 0.922059154966923 1.30553859768016 1.50997751545812
"se" 1.27214590566633 1.66132290934645 1.33368068370131 0.988507426853582 1.0270521151041 2.17389267341948 0.749340023283651 1.20902200712264 1.40963274948324 0.790598211952461 1.24404400935632 1.41578093093879 0.833102660035181 0.990606538259454 1.53520448264496 1.51929285323817 0.655938754273822 1.35736537605696 1.48957298907646 1.24514714461006 1.58065725352993 1.34497341871164 0.963891860406504 0.893760539629005
"ne" 1.32154963015823 1.18916900913563 1.30328752650356 1.20945153669238 0.53043362949211 0.726192595646593 1.47736402839949 1.19258515204091 1.53785182537339 0.845439521813223 2.04972710733778 2.11529399444997 0.752739059388701 0.752245844706727 1.32222813823179 1.36354728579827 0.761855210346365 1.35406879955167 1.65271669740389 1.57906382636333 1.5197425965263 1.32707579312996 0.735380600066089 0.728639685216414
"en" 1.41075079937971 1.28469782150387 1.12237587651694 1.01112375305755 1.22994297838483 1.24717721910402 1.10515355731549 1.0117797461419 0.889762678146807 0.939295454796406 1.03872476825782 1.24613854128488 1.11705404898608 1.00342162931068 1.0078344869552 0.97263622580013 0.923517169614984 1.03182844615866 1.13491275358207 1.12445436807274 1.15269274022242 0.988346657121266 1.1235136966737 1.11087689713322
"je" 1.60836569734729 1.04093464511595 1.42486015529456 1.42517649433026 0.374618750828803 0.223948426270369 3.08918294062669 1.1250114144827 1.23634272570443 0.841022772025779 1.48228363510353 1.17911932561914 0.907215758409158 0.380608204221291 1.26391318678532 1.1562303384114 1.31559387542738 1.39362771761526 0.679174350971769 1.5126827992678 0.279582656503811 1.89449681157115 0.287319305280962 0.475688589094997
"elle" 0.229178388615186 0.467761770906535 0.54635318295957 0.4749428502834 1.01975865269858 0.681215505851707 0.913309393805237 0.871153319331568 0.866450118894052 0.86789133323273 1.80715585203153 1.847217131787 1.33582162852372 2.33362808042751 0.406936943789458 0.409476756779058 1.22454288687379 0.520859087837281 1.27323024542488 1.81039164805986 0.646632512807697 0.180964880881359 0.947649638470543 1.08206857785273
"qui" 0.687535165845559 0.897092410400562 1.07316790772059 1.0455701575836 0.510542368386156 0.70464107345321 0.90839031268959 0.911332298420236 0.782524905584135 0.839550522096631 0.996274798579226 0.914183988690507 0.765240063933709 0.713800571553061 0.906417180091783 0.948913391024517 1.11676824736138 0.907382683083618 0.881330685203575 0.963530666022972 0.901224540797201 0.847817152554057 0.754983281712938 0.840359752670039
