"Aimard_GrandChefAucas" "FevalPP_ErrantsNuit" "Flaubert_MadameBovary" "France_MannequinOsier" "Gaboriau_Lerouge" "Malot_ClotildeMartory" "Maupassant_PierreJean" "Mirbeau_JardinSupplices" "Ponson_CordePendu" "Stolz_MaisonRoulante" "Verne_DeuxAnsVacances" "Zola_Nana"
"le" 7.55479338277685 8.51119058606368 6.34824767514975 8.22337286342631 6.86548949315434 5.80145336616419 5.43724908360971 6.97009540117417 6.51550408571892 7.04840793373357 5.94458239722518 6.03674883933826
"de" 4.55935664800321 5.17131979695431 3.66267332958269 5.52122190672383 4.87929522138744 4.56228855123816 3.45828242276139 5.90753424657534 3.95692407597814 4.70400486359146 4.39793464979701 3.99136860001308
"un" 2.4296700182726 2.17658821719735 2.1982658768243 2.22519161887794 2.39578963426261 2.00988929593818 2.31061267236865 2.46300146771037 2.36917582120245 2.21521392203055 1.77289030783178 2.87582554109723
"il" 2.1839181543693 2.37463467158899 2.33560578482311 2.19364177941095 2.96098546966172 1.46737933657638 2.85390120439867 1.12065802348337 2.51528762378917 2.15251918838818 2.01568720192346 1.99568430000654
"et" 1.83068038577668 1.8833640978311 2.32071350564252 2.99909062227419 1.89924106632089 2.32018097011191 2.90626636411241 3.15863502935421 2.68142215487851 2.56098487727031 1.98336683615151 1.60596351271824
"être" 2.51810160349427 2.49769266266728 1.16242512492968 2.52398715735946 2.90301666603104 3.52531379496727 1.23058125327282 2.25966242661448 2.87407327236322 2.50588950528156 2.11343660084348 1.13319819525273
"à" 2.01438356833661 1.62378864790032 2.08160968990965 1.71482656867658 1.82906830403112 2.00188176886273 1.76950602199337 1.48147015655577 2.06125872612154 1.78015046736074 2.50601079973198 1.47060746746878
"du" 1.39340818260878 1.43247192739579 2.02369527087401 2.15095670248501 1.18225849509935 0.95289572197866 1.24367254320126 2.28565313111546 0.93836246550138 1.23869594954024 2.02435851956959 1.8230563002681
"avoir" 1.59860854610657 2.04968466389786 0.97048019326869 1.54779800679249 2.16238892490752 2.3902468320221 1.10403211729796 1.20474559686888 1.96276854808161 2.02902956151683 1.39529383942296 1.19662590727784
"que" 2.09646371373572 1.43439470850638 0.660224377006321 2.01547798006792 2.11814957476832 2.60645006305928 0.988392389596788 1.8361668297456 1.7923047783971 2.44699445246599 1.31409877419101 0.723206695873929
"ce" 1.5424227322917 1.67570373788648 0.795909587318397 1.58120371916931 1.75813279432516 2.26412828058375 1.29167393960552 1.56097113502935 1.57963093240976 1.9815335511817 1.60892357415947 1.11554305891584
"son" 1.35187953761518 1.62282725734502 1.90042029321243 1.52367165896479 1.59566759467602 0.834784697615759 1.89823703962297 0.963184931506849 1.00708912819958 1.93593738125997 0.87107327263411 1.51180278558818
"se" 1.730523065498 1.40266882018151 1.13098586888176 0.979900896386615 1.38896304488769 0.872820451224151 0.813841857217665 0.989175636007828 1.27496076627523 1.4761760012159 0.903393638406054 0.992610998496044
"ne" 1.18625352993482 1.36132902630365 0.582453585729887 1.50325705695674 1.5872773730979 2.1380097291454 0.833478792110316 1.39279598825832 1.33340548730992 1.58256706436659 0.901817035197667 0.719937226181913
"en" 1.25123364504246 0.99023227195816 1.28404540490452 0.968765658927677 0.94123031158232 1.04298040157748 0.953482283120964 0.998348825831703 1.00275988960442 1.21779770499278 1.2510346458555 1.07107827110443
