"Aimard_BanditsArizona" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_MonsieurLecoq" "Malot_Cara" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Oeuvre"
"nom" 11.1396057060426 12.187980983001 11.8237168364933 12.4665759311694 13.3363731055456 12.9724472884633 11.4483209947237 12.4676833365603 11.1976888393243 12.7171551349524 9.41912364276211 9.75623896826726 11.6488823991913 12.9323657860215 12.0098821740783 11.4360473103776 12.0220799082393 10.5228888115712 10.941381564611 10.3817077704796 11.7593607711833 13.0753350972582 13.4141387764576 13.2253197591442
"ver" 11.5799596763989 11.3383726100489 11.1598833672085 10.5525966836322 10.604342969969 9.88801675720468 10.6568775819052 10.6089769142284 11.7028947191325 12.2113852542127 11.9951933393417 11.784145225917 11.6146242839492 11.6670264525664 10.139110604333 10.0934217592766 11.9420282928694 11.6486902927581 11.2333841795598 11.2355930102863 10.3232688375952 9.86330274848287 11.7059088073581 11.081359049988
"pro" 9.46761036265933 8.85726989773233 8.7627820616243 8.20054878929379 6.36218746470448 7.54477027897984 10.1384514704078 8.66371308497432 9.24271994000981 7.59548066244991 11.4480065233252 11.3151757991162 7.77209929237336 6.80908653127647 8.41809198023565 8.85258595925912 7.87014911106863 9.19777324916745 9.2710830246241 10.1908538852398 7.8876411152923 8.1324688163289 6.94063628846238 7.19667622659291
"det" 8.03097662412161 9.2109313541061 8.75962738797529 9.19003251598447 8.22579093339134 10.6959534112881 8.19358664976073 9.80262633395214 7.77517136621898 7.28888030515185 6.52386163683962 6.97592022366234 6.81455689093564 8.01132495308945 8.85822881033828 8.24684326876241 7.20464538329191 7.36517719568567 8.09871431684463 7.51394224811005 8.81112526790917 9.22239159961952 8.63327095211153 7.8749326047854
"prp" 7.79561501927603 8.75397612614153 8.19403946947403 8.40929878382341 8.30945438877571 10.530798269036 8.30708822446726 8.93591335148002 7.65788284607324 7.30698662546473 7.78882880563066 8.01499671463726 7.60137032460968 7.91086165955398 8.27137970353478 8.56844892402613 6.84978971515963 6.92628858293156 7.72281542819786 7.48667740736151 10.3499362944087 9.29715764420501 8.47405376390884 8.27862427677572
"pun" 7.69354063151146 6.69699353558847 6.50223305827584 6.82748147726726 9.72294846749466 7.81408249700764 5.907194568285 6.13988132523946 6.76091408135209 8.95731736758244 6.84788206514742 6.87285001996985 9.34011007525553 8.73366433636107 10.3458760927404 9.9173192451322 8.38271840948194 7.69223122421592 7.22706471998257 7.62176230016111 7.02736871215937 7.12686551665414 9.01082241661952 10.2359172318803
"per" 6.3918812900178 5.85764613332421 5.83794892132695 5.2697338765793 4.63872028378644 5.69181014639536 7.0841343204221 5.94968281266016 6.50374458021285 5.05842306020955 7.6788549847646 7.61688805287501 5.62394698416264 4.69935736703143 5.69973394146712 5.83885995478787 5.4506786465303 6.45111586062926 6.06014382218348 6.89056884372289 4.41000721009018 5.09032153552841 4.73263118190654 4.75187234100393
"art" 5.37535536227972 6.10869788281971 5.98486657983803 6.02377211677746 4.99512660372386 6.54290580977811 5.18119350484682 6.0248510870927 5.18761356316756 4.50388682342716 4.09209905154285 4.63300565597743 4.19353027069527 4.91938028262566 5.61383504370962 5.16629822523636 4.7218505065953 5.28654505691138 5.27892787099586 4.66972363365969 6.0604264817723 6.09509410137445 5.62772917845382 4.88371776922972
"adv" 4.70132696704094 4.2603550295858 4.30297485725102 3.92905125972088 3.77238520328128 3.28583924132216 4.26806822364923 3.40421170119472 5.00350904179125 4.38607503259138 5.67143041071199 5.46207660692889 4.22891160283051 4.39962803673137 4.28050171037628 4.45252101365107 3.68117950678647 4.55241314180625 5.26803225103508 5.42942124178956 4.77643782037986 4.16280721575404 4.09068488778634 4.1696683022749
"sent" 3.1643060207017 3.14943393645039 3.74279495071949 3.66997369837595 4.58475735506352 3.20757757112605 3.70362796024377 3.30170950878672 4.06664295259429 3.90806817633142 2.50257499678125 2.67660435213935 4.0289789958441 3.40910977898075 3.17825921702775 3.24977831066482 4.49842286369719 4.94905313385357 3.34713445195032 2.5058867269798 3.49047379181605 3.82262171289008 3.73017945481714 3.30927494076017
