"Aimard_GrandChefAucas" "FevalPP_ErrantsNuit" "Flaubert_MadameBovary" "France_MannequinOsier" "Gaboriau_Lerouge" "Malot_ClotildeMartory" "Maupassant_PierreJean" "Mirbeau_JardinSupplices" "Ponson_CordePendu" "Stolz_MaisonRoulante" "Verne_DeuxAnsVacances" "Zola_Nana"
"nom" 11.8005108603105 12.1475131708188 13.7511952364395 12.9132875857767 10.7832188657472 9.38710943248148 12.1353690283543 12.0451717156708 10.651193898353 10.8528040120925 13.6274176046299 12.7175396154393
"ver" 11.4255176536657 11.0087210167574 10.9353268428373 10.2225779493638 11.8888082342212 12.1229214695639 11.4374164497291 9.62499303478891 11.6274059640255 10.9524032715427 11.7608885295432 11.6259699818351
"pro" 9.14566765094835 8.20847099443403 7.18826060500695 7.75785967348957 10.0363876635584 11.8764408691813 7.43685358474636 8.2886011998737 8.86340105081062 9.55098310327857 6.32353879869784 7.17137810666243
"det" 8.58257398718622 9.01330475935351 8.48128911682893 9.4386704174955 7.60139222364919 6.95663903467896 7.1244635193133 8.39632979810175 6.6987569051891 7.86599798457969 7.51398965935445 7.90802019068985
"prp" 8.51373465456544 8.13465487989999 8.80834926981919 9.34568438894055 7.44458093695907 7.85549614950704 7.45373953422923 8.63686175449024 6.50518652853073 7.81209720887722 9.6395667992936 8.11813060329312
"pun" 6.92710880841531 6.24222400809596 8.85398557023644 6.17238903471086 6.50790105533531 5.75734536714573 9.17892070639555 11.2854993592006 8.00326690203796 7.29066579175552 8.19804676695249 9.3507504541231
"per" 6.05725741683424 5.30702146024943 5.03194541029207 5.00712108193364 7.21936828782549 8.2662971501447 5.0066840216703 5.36599862553168 6.18460568878256 6.20913500972557 3.2447498882955 4.96187040121881
"art" 5.60889597410675 6.17614667976307 5.10311630737135 6.22888687484551 4.93792692687103 4.30911855594251 4.34672482938155 5.35021081372239 4.77269950289069 5.13697827564388 4.71180237877402 5.06901834071371
"adv" 4.18591450637972 4.12834479268982 4.20505910987483 3.99015995950988 4.99888324306215 5.30239858733507 4.63097164567649 4.70012444510485 4.75533604717715 5.1194019357409 4.72084512436435 4.2068122650907
"sent" 3.36255985700742 4.84924249188916 3.83236265646732 3.84303016749256 4.42654531241275 3.04115367636239 3.63047913881658 2.4554690837497 6.5084019832925 3.15436713458789 3.88465712036426 4.31647148441751
"adj" 3.22306963038109 3.09134744173587 3.86930632823366 4.59398062594899 2.98453291641074 2.25511355275421 4.53387743615 4.6954809710433 2.54438935298619 3.76250849523095 3.45007340581714 3.9385238697148
"kon" 2.64518154864344 2.56689585379647 2.82619089012517 3.66058922539107 2.87471848418858 3.71192426546329 3.34904664743545 3.08512416649641 3.11384639129512 3.66173747978721 3.05325645226494 2.20155531930923
"impf" 1.86379473801803 2.63952138583802 3.37871609874826 2.17516684518415 2.22420756788952 2.08343552263697 2.6145078449307 1.8694626571816 1.81866121325539 3.13796255067845 2.48728696355242 3.68739588652364
"pres" 2.81788373399033 2.51331964163467 1.32182284422809 2.74603043821137 3.25255458149534 3.44214450385049 1.73362414690776 2.96625123052063 3.54246651103866 2.19704248787233 1.13991787059299 1.36781041511456
"nam" 1.64036883389794 2.77524778998125 1.66192194019471 1.78674419425841 1.24518398570551 1.11222838083092 2.05164286216844 1.70322628577797 3.31899240509585 1.6193667830611 2.9128279325092 2.43970835670219
"pper" 2.05521639100741 1.71979641039379 1.53696540333797 2.03745335985593 2.13114448973514 2.01721685387747 2.07697178639274 1.63914634372852 1.89325976372838 1.63811487895761 2.34632651758548 1.98642234704213
"infi" 1.79646503988454 1.39119564246808 1.63530076495132 1.39479042832425 1.99527239562976 2.3679305439741 1.90248364173644 1.23144932112409 1.41640782255834 1.85254622577394 2.37185897572289 1.66832690166665
"simp" 1.72762570726376 1.84956990207459 1.77166637691238 1.04403300415495 1.17492136169896 0.898857114828077 1.79976078238233 1.12650680733297 1.95274567682107 1.02645825033395 1.74365412030043 1.61977549158303
"pos" 1.68445016092704 1.48644224186683 1.59564064673157 1.44658011511435 1.61045656746143 1.71064894295384 1.68578062337297 1.30388751648433 1.03955652447926 1.54437439947505 0.911721525989915 1.26149956889696
"dem" 1.15788965175752 1.30606899425544 0.653033727399166 1.12760272602079 1.26472723211793 1.64933536076912 1.04833603039471 1.12464941770835 1.17846417018759 1.45883621194722 1.2585374156897 0.984003147470723
"rel" 1.44955103470348 1.17034259011221 0.966511648122392 1.28414882472722 1.11954883019711 1.5193505665375 0.852740448884824 1.26023886030573 1.11544125685696 1.30533617679454 1.19098278686781 0.82411833150568
"num" 0.444738319957972 0.711373039259458 0.47755128650904 0.397838957614849 0.449959982876394 0.448815421592191 0.52065010905509 0.235888482326938 0.500324760930938 0.444095521548593 0.67661014064129 0.541180803776965
"ppre" 0.452286492394461 0.332767806649403 0.63673504867872 0.334278887463365 0.337353658309602 0.323735713935351 0.54035038345177 0.338044911681123 0.232477379275751 0.419488645684423 0.443094533926254 0.710273645792351
"cit" 0.00664239174411092 0.152394559038009 0.127129694019471 0.196565402135148 0.150296871219312 0.134889880806396 1.40575529444874 0.115158156726537 0.10803927999537 0.510885613179911 0.44362646013745 0.0803609546211734
"ind" 0.454098053779219 0.389915766288657 0.498196279554937 0.320154427429701 0.373182943399036 0.372786579683131 0.491099697460072 0.508924757146307 0.350484569032598 0.543694780998805 0.605863954552225 0.37669197478675
"futu" 0.362916130746424 0.226210673572045 0.12658640472879 0.102402335244059 0.302920319392484 0.318830627360573 0.163230845001055 0.125373799661955 0.398394844982926 0.207400810855148 0.185642247707398 0.105892299578942
"cond" 0.154586571499309 0.161919218977885 0.243393602225313 0.148306830353465 0.292218065404731 0.383823024476382 0.356012101597129 0.120730325600401 0.166882102135705 0.222633638771062 0.571820677035682 0.287541540753886
"int" 0.252712813173674 0.116677084263476 0.179828755215577 0.0341341117480196 0.187522102481062 0.0698974836905871 0.220924505734187 0.142090306283549 0.492607669502698 0.223805394764594 0.0723419647226537 0.267869848737245
"subi" 0.0806144816217098 0.113105336786023 0.151577712100139 0.163608328723267 0.082826139557392 0.159415313680286 0.121015971293886 0.126302494474266 0.120258008090084 0.179278667010382 0.337773144109449 0.0703158352935268
"subp" 0.112014878957507 0.0571479596392535 0.130932719054242 0.0741534151767323 0.0912018165912856 0.12507970765684 0.12945894603532 0.0817251434833485 0.0832802783297642 0.0703053596119144 0.132981552798996 0.120959978570412
"abr" 0.00603853794919174 0.00892936869363336 0.0184718358831711 0.00941630668910886 0.00604910008003425 0.0171678030117232 0.0211074368535847 0.0510782146770928 0.0398716390459103 0.0281221438447658 0.0377667609949148 0.0125563991595584
"impe" 0.00211348828221711 0.00416703872369557 0.00162986787204451 0.00235407667227722 0.00418783851694679 0.00245254328738902 0 0 0.00257236380941357 0.00117175599353191 0.000531926211195983 0.00125563991595583
"sym" 0 0 0 0 0 0 0 0 0.000321545476176696 0 0 0
