"Aimard_BanditsArizona" "Aimard_GrandChefAucas" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_ErrantsNuit" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_MadameBovary" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_MannequinOsier" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_Lerouge" "Gaboriau_MonsieurLecoq" "Huysmans_ARebours" "Huysmans_SœursVatard" "Malot_Cara" "Malot_ClotildeMartory" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_PierreJean" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_JardinSupplices" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_CordePendu" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_MaisonRoulante" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_DeuxAnsVacances" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Nana" "Zola_Oeuvre"
"de" 3.32612372792058 3.51667546616797 3.57820246902625 4.18337020891294 4.23295316670711 4.1608676704202 4.03614699242596 3.68621769251266 3.77118563647061 3.94673485313896 4.31556263468566 3.82947310141183 4.1902008688343 3.7100328629422 4.08931724762202 5.28047496490407 3.609301785792 3.63804166300431 3.62513915595587 3.66668431362168 3.59931630082764 3.48888399735857 3.50459735926649 4.15151825490296 4.54090047320314 4.57210826151374 3.42632465830369 3.18718141829573 3.18561977281238 3.79346869894616 3.82038434218357 3.7282619749822 4.87912712573621 4.42872679066149 4.23679434201097 4.09452463884294 4.01769259122742 4.31395027917542
"la" 1.59443196628123 2.23622466853841 2.2183524296505 2.98874747164962 2.92841543314729 2.55542434594351 2.42449339442433 2.81608046895817 2.52899087095978 2.34280306174971 2.8314438302258 2.71846451970102 2.12416631970903 2.0483278561763 2.28004570478862 2.4669513336453 2.48937373971828 2.03744396589611 1.93502681914786 2.27857483191275 2.17884130982368 2.30244331939247 2.68858225458119 2.28506323928517 2.09010897544584 2.04503244923937 2.14379329713537 1.94887411724898 2.25273582157866 2.67320155832032 2.47269097122233 2.6522932980779 3.09958787955346 2.43544251545966 2.16260021029931 3.20369879021559 2.61571270601864 2.57733053096406
"et" 2.22943182763497 1.84888213438072 1.96102354781104 2.32790787676985 1.90148022324678 2.39937862876583 2.17803662788368 2.33563149480416 2.60206115128395 2.75125774154449 3.0282020050595 3.35701762480391 2.03932535723544 1.92538179006379 2.16615471367731 2.81352363125877 2.56190793959352 2.31080249626439 2.34591640522214 2.12081105405262 2.67452320978769 2.93198327096632 2.89032291437661 2.55645450355881 3.18448756878401 2.76079380647315 2.87773825126381 2.70419245336564 2.88187076103691 2.19385648372561 2.58787843882586 2.5180514593715 1.53795139820941 1.99725337969247 2.19005967410305 1.78955509515127 1.6165552103628 1.84347776857808
"le" 2.68557801624934 2.33935153432052 2.79179653271515 2.45715495775738 2.74108226158699 2.4858363909859 2.13395492980324 1.96509459099387 1.79069635028184 1.65208295282847 1.99381617164808 1.96179754544616 2.5098784731769 2.53392615503576 2.45106768166912 1.7957416939635 1.83221388884859 1.56807594269139 1.74273858921162 1.96516491079464 1.84148974451241 1.95245432533568 2.08723990326794 1.98806902555174 1.64002651170677 1.9469543623881 2.43212881482868 2.50553936496502 2.47076935879832 2.11127268810255 2.01770047418841 1.56412081765484 2.20113372597938 2.03456296190453 2.62070443570802 2.22311292262009 2.17734716444632 2.08974658372786
"il" 1.60829659207498 1.7427946887197 1.64823585523032 1.97667710866248 2.1645231739869 1.6226645860571 2.36571779698374 2.1382893685052 1.68441230617396 1.26853404619191 1.99943783378619 1.85475685152718 2.98043158911836 2.87415426251691 3.00605440056983 1.99169396350023 1.88008646076625 2.1121561044212 1.30755996356644 2.67245486791254 2.88233177401943 2.71186440677966 1.46132657415909 2.49756771980132 0.964902816098155 2.42795434152042 1.59146227298259 2.33471953895019 2.11459243540132 1.84018240247033 2.05801608784964 0.884775755110343 1.74638012979426 1.70274582648663 1.17071079826671 2.15988573944755 1.81994102469591 2.25887947689107
"à" 1.87449740731498 2.03391837681274 1.96767860509999 1.83501646622416 1.63843727250667 1.73512996780678 1.68979842641696 2.09415800692779 1.59426066161817 1.81480067079549 1.73147193853649 1.50595183168774 1.92541850946998 1.85346994007346 1.96100253750612 1.97707065980346 1.84527004482614 2.10512437373649 2.0240866309078 2.14304621737519 1.73443684778697 1.78516398855382 1.72384807376466 1.66675200983153 1.49359557316152 1.60263767450596 1.94158397303876 2.07876267504939 2.01639412474514 1.78273280551516 1.79308491236154 1.87328384013017 2.35271825804109 2.52355663515198 2.10567205363302 1.69866601934074 1.48030646095519 1.60782398856407
"l" 1.38923550453373 1.34607698494545 1.42085473119114 1.46553046068917 1.67532152390197 1.68873799783504 1.77996553612696 1.68115507593925 1.45096699500845 1.393062911983 1.8083013210906 1.67020393097721 1.57034337022868 1.54030543205103 1.64121740936948 2.0004679457183 1.44778262950981 1.40810406961413 1.23266875822285 1.49716766371963 1.38359121986326 1.50341184239489 1.48460434259702 1.81652926417123 1.43348181944295 1.52855741741616 1.08968357985396 1.36382985690429 1.71347730204302 1.80068580456365 1.58766726180192 1.32614664903895 1.78585526835199 1.92501567796274 1.79692052159586 1.48583880455462 1.32957716813227 1.66443750928816
"les" 1.88558910794998 1.84394783458253 1.98431624832237 1.10334655012523 1.34918709051201 1.22095230061997 1.77195068193051 1.89265254463096 4.01791645314961 1.34491175054378 1.81017520846997 2.34197656177909 1.16420654060976 0.986661511695341 1.21421893780884 2.31048198408985 1.84091799283362 0.988837127538015 1.16182572614108 1.08105246439727 1.31432169845268 1.38895003301783 1.67211969945815 1.64370935531773 1.9436780369006 1.79566369650049 0.9005804156525 0.836635122302629 0.862147879998336 1.15258253891313 1.1710725873025 1.24478795891386 1.71953703557499 1.57970358727664 1.73329493473354 2.24512953104624 1.56587330840925 1.59933196045546
"un" 1.30882067492998 1.43834839117155 1.43749237441352 1.50423156403572 1.29289007522446 1.46521305160755 1.77996553612696 1.44134692246203 1.33709123346429 1.46944061633487 1.23489178300384 1.10362646488881 1.43679741077952 1.46375410786777 1.37856326700203 1.56615582592419 1.52031682938506 1.06882306407665 1.16182572614108 1.26105140557997 1.55721482547679 1.51001540832049 1.44192843379415 1.49265195350504 1.35949566102008 1.35744245737777 1.7786931286276 1.51336542344761 1.59946739899305 1.17053553796162 1.31697671293363 1.01698362656361 1.1195149294974 1.02244131679011 1.23165741305061 1.41809539401261 1.78505607919541 1.61773135469078
"d" 0.910905914649364 1.09344083527827 1.19458278336679 1.0361672763916 0.999757340451347 1.07755893888912 1.47139364956386 1.45133892885691 1.64265786027444 1.26853404619191 1.28736062962616 1.29187044384977 1.2058414573792 1.24028610090856 1.27060796272389 1.74748479176416 1.27515123380674 0.952799507778852 0.993826535775731 1.15411085817142 1.24235336451961 1.18864186660797 1.21561679620314 1.36591735367914 1.45043698074818 1.39917781348469 1.00355738625726 0.804435857973957 0.833021262430824 0.98382434785731 0.934938278715276 0.856300213566562 1.75111714642118 1.23201003389615 1.16468311109027 1.37406217716031 1.44739613501132 1.58447091126538
