Source,Target,Weight,Type
Aimard_BanditsArizona,Aimard_GrandChefAucas,4,undirected
Aimard_BanditsArizona,Aimard_TrappeursArkansas,5,undirected
Aimard_BanditsArizona,Gaboriau_MonsieurLecoq,1,undirected
Aimard_GrandChefAucas,Aimard_BanditsArizona,4,undirected
Aimard_GrandChefAucas,Aimard_TrappeursArkansas,6,undirected
Aimard_GrandChefAucas,Gaboriau_MonsieurLecoq,1,undirected
Aimard_TrappeursArkansas,Aimard_BanditsArizona,5,undirected
Aimard_TrappeursArkansas,Aimard_GrandChefAucas,6,undirected
Aimard_TrappeursArkansas,Gaboriau_MonsieurLecoq,1,undirected
Aimard_TrappeursArkansas,Verne_DeuxAnsVacances,2,undirected
FevalPP_CavalierFortune,FevalPP_ErrantsNuit,4,undirected
FevalPP_CavalierFortune,FevalPP_JeanDiable,6,undirected
FevalPP_CavalierFortune,Gaboriau_Lerouge,1,undirected
FevalPP_CavalierFortune,Ponson_Breda,3,undirected
FevalPP_CavalierFortune,Ponson_RocambolePrison,1,undirected
FevalPP_ErrantsNuit,FevalPP_CavalierFortune,4,undirected
FevalPP_ErrantsNuit,FevalPP_JeanDiable,5,undirected
FevalPP_ErrantsNuit,Gaboriau_MonsieurLecoq,1,undirected
FevalPP_JeanDiable,FevalPP_CavalierFortune,6,undirected
FevalPP_JeanDiable,FevalPP_ErrantsNuit,5,undirected
FevalPP_JeanDiable,France_CrimeSylvestreBonnard,2,undirected
FevalPP_JeanDiable,France_MannequinOsier,2,undirected
FevalPP_JeanDiable,Gaboriau_MonsieurLecoq,1,undirected
FevalPP_JeanDiable,Ponson_Breda,1,undirected
Flaubert_Education,Flaubert_MadameBovary,6,undirected
Flaubert_Education,Flaubert_Sallambo,2,undirected
Flaubert_Education,Huysmans_SœursVatard,4,undirected
Flaubert_Education,Zola_Nana,1,undirected
Flaubert_Education,Zola_Oeuvre,2,undirected
Flaubert_MadameBovary,Flaubert_Education,6,undirected
Flaubert_MadameBovary,Flaubert_Sallambo,3,undirected
Flaubert_MadameBovary,Huysmans_ARebours,3,undirected
Flaubert_MadameBovary,Huysmans_SœursVatard,4,undirected
Flaubert_MadameBovary,Maupassant_UneVie,5,undirected
Flaubert_MadameBovary,Zola_Germinal,1,undirected
Flaubert_Sallambo,Flaubert_Education,2,undirected
Flaubert_Sallambo,Flaubert_MadameBovary,3,undirected
Flaubert_Sallambo,Zola_Germinal,1,undirected
France_CrimeSylvestreBonnard,FevalPP_JeanDiable,2,undirected
France_CrimeSylvestreBonnard,France_MannequinOsier,1,undirected
France_CrimeSylvestreBonnard,Malot_ClotildeMartory,2,undirected
France_CrimeSylvestreBonnard,Mirbeau_AbbeJules,3,undirected
France_CrimeSylvestreBonnard,Mirbeau_JardinSupplices,1,undirected
France_MannequinOsier,FevalPP_JeanDiable,2,undirected
France_MannequinOsier,France_CrimeSylvestreBonnard,1,undirected
France_MannequinOsier,France_Thais,6,undirected
France_MannequinOsier,Gaboriau_MonsieurLecoq,1,undirected
France_MannequinOsier,Huysmans_ARebours,1,undirected
France_MannequinOsier,Verne_VingtMilleLieues,2,undirected
France_Thais,France_MannequinOsier,6,undirected
France_Thais,Mirbeau_AbbeJules,2,undirected
France_Thais,Mirbeau_SebastienRoch,1,undirected
Gaboriau_CrimeOrcival,Gaboriau_Lerouge,6,undirected
Gaboriau_CrimeOrcival,Gaboriau_MonsieurLecoq,5,undirected
Gaboriau_CrimeOrcival,Ponson_CordePendu,1,undirected
Gaboriau_CrimeOrcival,Stolz_MaisonRoulante,1,undirected
Gaboriau_CrimeOrcival,Stolz_TresorNanette,1,undirected
Gaboriau_Lerouge,FevalPP_CavalierFortune,1,undirected
Gaboriau_Lerouge,Gaboriau_CrimeOrcival,6,undirected
