Source,Target,Weight,Type
Aimard_BanditsArizona,Aimard_GrandChefAucas,4,undirected
Aimard_BanditsArizona,Aimard_TrappeursArkansas,5,undirected
Aimard_BanditsArizona,Ponson_CordePendu,2,undirected
Aimard_GrandChefAucas,Aimard_BanditsArizona,4,undirected
Aimard_GrandChefAucas,Aimard_TrappeursArkansas,6,undirected
Aimard_GrandChefAucas,Gaboriau_MonsieurLecoq,1,undirected
Aimard_TrappeursArkansas,Aimard_BanditsArizona,5,undirected
Aimard_TrappeursArkansas,Aimard_GrandChefAucas,6,undirected
Aimard_TrappeursArkansas,Verne_ArchipelFeu,1,undirected
Aimard_TrappeursArkansas,Verne_DeuxAnsVacances,2,undirected
FevalPP_CavalierFortune,FevalPP_ErrantsNuit,4,undirected
FevalPP_CavalierFortune,FevalPP_JeanDiable,6,undirected
FevalPP_CavalierFortune,Ponson_Breda,1,undirected
FevalPP_CavalierFortune,Ponson_RocambolePrison,2,undirected
FevalPP_ErrantsNuit,FevalPP_CavalierFortune,4,undirected
FevalPP_ErrantsNuit,FevalPP_JeanDiable,5,undirected
FevalPP_ErrantsNuit,Ponson_RocambolePrison,1,undirected
FevalPP_JeanDiable,FevalPP_CavalierFortune,6,undirected
FevalPP_JeanDiable,FevalPP_ErrantsNuit,5,undirected
FevalPP_JeanDiable,Ponson_RocambolePrison,1,undirected
Flaubert_Education,Flaubert_MadameBovary,6,undirected
Flaubert_Education,Flaubert_Sallambo,4,undirected
Flaubert_Education,Huysmans_SœursVatard,1,undirected
Flaubert_Education,Zola_Nana,1,undirected
Flaubert_MadameBovary,Flaubert_Education,6,undirected
Flaubert_MadameBovary,Flaubert_Sallambo,5,undirected
Flaubert_MadameBovary,Maupassant_UneVie,3,undirected
Flaubert_Sallambo,Flaubert_Education,4,undirected
Flaubert_Sallambo,Flaubert_MadameBovary,5,undirected
Flaubert_Sallambo,Zola_Germinal,1,undirected
France_CrimeSylvestreBonnard,France_MannequinOsier,6,undirected
France_CrimeSylvestreBonnard,France_Thais,2,undirected
France_CrimeSylvestreBonnard,Stolz_TresorNanette,3,undirected
France_MannequinOsier,France_CrimeSylvestreBonnard,6,undirected
France_MannequinOsier,France_Thais,4,undirected
France_MannequinOsier,Huysmans_ARebours,4,undirected
France_Thais,France_CrimeSylvestreBonnard,2,undirected
France_Thais,France_MannequinOsier,4,undirected
France_Thais,Mirbeau_AbbeJules,1,undirected
France_Thais,Mirbeau_JardinSupplices,4,undirected
Gaboriau_CrimeOrcival,Gaboriau_Lerouge,6,undirected
Gaboriau_CrimeOrcival,Gaboriau_MonsieurLecoq,4,undirected
Gaboriau_CrimeOrcival,Malot_Cara,1,undirected
Gaboriau_Lerouge,Gaboriau_CrimeOrcival,6,undirected
Gaboriau_Lerouge,Gaboriau_MonsieurLecoq,5,undirected
Gaboriau_Lerouge,Malot_Cara,2,undirected
Gaboriau_Lerouge,Malot_ClotildeMartory,1,undirected
Gaboriau_Lerouge,Malot_Ghislaine,1,undirected
Gaboriau_MonsieurLecoq,Aimard_GrandChefAucas,1,undirected
Gaboriau_MonsieurLecoq,Gaboriau_CrimeOrcival,4,undirected
Gaboriau_MonsieurLecoq,Gaboriau_Lerouge,5,undirected
Gaboriau_MonsieurLecoq,Malot_Ghislaine,1,undirected
Huysmans_ARebours,France_MannequinOsier,4,undirected
Huysmans_ARebours,Mirbeau_JardinSupplices,1,undirected
Huysmans_ARebours,Mirbeau_SebastienRoch,3,undirected
Huysmans_ARebours,Verne_VingtMilleLieues,1,undirected
Huysmans_SœursVatard,Flaubert_Education,1,undirected
Huysmans_SœursVatard,Zola_Germinal,3,undirected
Huysmans_SœursVatard,Zola_Nana,3,undirected
Huysmans_SœursVatard,Zola_Oeuvre,1,undirected
Malot_Cara,Gaboriau_CrimeOrcival,1,undirected
