"Aimard_BanditsArizona" "Aimard_GrandChefAucas" "Aimard_TrappeursArkansas" "FevalPP_CavalierFortune" "FevalPP_ErrantsNuit" "FevalPP_JeanDiable" "Flaubert_Education" "Flaubert_MadameBovary" "Flaubert_Sallambo" "France_CrimeSylvestreBonnard" "France_MannequinOsier" "France_Thais" "Gaboriau_CrimeOrcival" "Gaboriau_Lerouge" "Gaboriau_MonsieurLecoq" "Huysmans_ARebours" "Huysmans_SœursVatard" "Malot_Cara" "Malot_ClotildeMartory" "Malot_Ghislaine" "Maupassant_BelAmi" "Maupassant_PierreJean" "Maupassant_UneVie" "Mirbeau_AbbeJules" "Mirbeau_JardinSupplices" "Mirbeau_SebastienRoch" "Ponson_Breda" "Ponson_CordePendu" "Ponson_RocambolePrison" "Stolz_DessusHaie" "Stolz_MaisonRoulante" "Stolz_TresorNanette" "Verne_ArchipelFeu" "Verne_DeuxAnsVacances" "Verne_VingtMilleLieues" "Zola_Germinal" "Zola_Nana" "Zola_Oeuvre"
"de" 3.30517707316383 3.57316590021213 3.63745321739917 4.23914741077338 4.29357544383083 4.22362958221434 4.07792190235429 3.71589959218825 3.78557956514663 3.99393837346355 4.35013061749896 3.86450915327542 4.2481726140017 3.76624705761949 4.16477152127111 5.30049899171291 3.63505515002864 3.69507383005696 3.66756186063675 3.70771922668184 3.62993925816645 3.52291453257917 3.53142379696598 4.19754688818223 4.59249777555767 4.62152488147906 3.48231161343286 3.23943191683547 3.22026148218399 3.83059028470849 3.85599627777132 3.76361767728674 4.93393196670235 4.50644123684678 4.31427928204498 4.12994682643486 4.05840155062511 4.34810606602653
"la" 1.62570567511354 2.26626480042928 2.26139460205109 3.04251790481998 2.97764297922368 2.59797383073298 2.4516198806297 2.84539459797192 2.54669743128225 2.36403434921704 2.8603339264756 2.74225420379553 2.15847475248317 2.08072553789471 2.32344825495012 2.48318294890855 2.51589877656528 2.06402771082186 1.95780971319625 2.30685831445839 2.20200530011201 2.32040261880372 2.70764249719314 2.31033811408917 2.10892742854467 2.06844122522675 2.17644475839554 1.98172428377446 2.28458203495461 2.70010343138144 2.4950564150285 2.67625899280576 3.13483630785946 2.4762797614237 2.20080091142902 3.23781891288331 2.6456541866212 2.60085001645655
"et" 2.27513901269154 1.87910914078524 1.99907282821316 2.37094770974483 1.93438120548108 2.43848362722205 2.20287543175412 2.36750339843123 2.62424724027995 2.79003199191783 3.0590996857608 3.39099958987361 2.07530269829337 1.96027491084292 2.2120137056915 2.83203556235924 2.5775845609294 2.34613530451551 2.37602246868529 2.14906018871368 2.70742835286725 2.96619605397942 2.91783075276117 2.59199169316633 3.22349011098796 2.79276520710809 2.93438209969644 2.75638314449169 2.93236011380572 2.21742365130922 2.61331472218991 2.54470709146968 1.55463594676211 2.03177784602454 2.23081803483351 1.8082439016032 1.63588285053919 1.86245188248594
"le" 2.72365833297961 2.37208066077241 2.83691952827309 2.44383129680725 2.77610377293249 2.52573835739394 2.14677274355664 1.9841772419092 1.79130484734176 1.66863108267385 2.01415969409003 1.97233511054771 2.53994657794981 2.56016626910087 2.49173716607538 1.80608504938399 1.84763611262062 1.58283785955327 1.75895364808627 1.98696823641809 1.85594987660392 1.97078341424309 2.09535497010366 2.00532156531897 1.64218479261953 1.96179877308387 2.46472823077951 2.54379716403624 2.49204037393307 2.12669436934076 2.02783916870226 1.56834532374101 2.22090849537444 2.06895436985792 2.66811294624888 2.24402725502179 2.19871713747144 2.10643808760607
"à" 1.87331097811169 2.04610763127937 1.98437376329983 1.85258178951518 1.65677082818783 1.74902821832278 1.69727530197441 2.10407220716499 1.60269605261898 1.83027445697929 1.74156665278461 1.52119607770031 1.94734569184754 1.86895286680365 1.98914460717426 1.98419123599806 1.84616740346909 2.08902458621244 2.02751183911109 2.14691327543824 1.74849056088299 1.79931412283437 1.73242121204209 1.67823998961646 1.50169369819391 1.6017485138688 1.95307279634968 2.08523473499098 2.0263175721447 1.79281061169682 1.79907719747199 1.87461459403905 2.35831722242638 2.55952284739845 2.11484278531617 1.71857419454328 1.49534079782593 1.62275868977261
"il" 1.38093014700681 1.37059121477611 1.32743863140399 1.67409137221945 1.85633415990753 1.38105642591752 2.31643268015384 1.96475763486073 1.6524811151854 1.20895773699276 1.8967932457502 1.71693822005145 2.44717774827658 2.43735386504806 2.44928590921496 1.88704240693584 1.80357483807482 1.94618529826629 1.16443551528322 2.44640767736187 2.79394220874427 2.54977063198682 1.39820883051777 2.23765331948861 0.872605797599163 2.2711674708845 1.32686763779377 1.82590209914743 1.75873865329901 1.73837304251574 1.9890659532395 0.840698869475848 1.54025596369853 1.47251361792232 0.978285340046254 2.05040922512808 1.71381375180673 2.18728982126758
"l" 1.4177172205951 1.36808372993385 1.44842324261372 1.48221417362655 1.70122800604618 1.71827450195072 1.80069351033844 1.70132644359448 1.46291491541326 1.41269574002357 1.82675197819256 1.6871108459789 1.59866284928264 1.56821992867433 1.67606658782862 2.01215832315233 1.46430302407214 1.43017837056082 1.24848807888641 1.51786768573483 1.40061379304064 1.5187280096201 1.49873364839813 1.84178077746771 1.4517413090648 1.54578762314036 1.11113232402299 1.39071299779623 1.73841620376643 1.82002939628736 1.60327245938506 1.34018499486125 1.80708453832265 1.95984935425994 1.82899790562344 1.50268152404233 1.34547368000373 1.6828608634679
"les" 1.91717248892851 1.87108518929003 2.02055607693264 1.12374591889098 1.37125695260865 1.24230710089007 1.79055447030275 1.91494212112769 4.04790854866969 1.36049840040411 1.82864498542384 2.36381939524999 1.18200284704339 1.00296796643128 1.23866703053458 2.32568408967131 1.86232320413589 1.00076776117271 1.17673589044466 1.09385231383578 1.32776001967052 1.40515743998575 1.68020052742891 1.66526056200922 1.96687532195876 1.81397755229176 0.916397793008649 0.849787414019545 0.87640563609267 1.16496398047506 1.18064441084099 1.25179856115108 1.73678239890073 1.60828874844424 1.76214158531344 2.26515960636712 1.58059853596478 1.6148881670268
"un" 1.33565374874429 1.46186366303416 1.4653837021291 1.53129903838288 1.31593246460715 1.49012483863239 1.80136944634082 1.46069218234167 1.34898371454011 1.48846607172925 1.24749176541854 1.11479810596175 1.46270852993394 1.49028128764082 1.40771399981807 1.57646054432783 1.53626977249695 1.08557858839074 1.17673589044466 1.27848685552347 1.57637352129607 1.52763550527769 1.45565158359226 1.51340125900448 1.37681272537113 1.37368148750383 1.81370396532962 1.54319613560982 1.62748950006774 1.18310983686875 1.32992129037261 1.02774922918808 1.13282311023056 1.04094266733477 1.25457931683756 1.4347153129587 1.80639832681689 1.63563772699303
"d" 0.92675127693592 1.10931129421323 1.10129917119888 1.05160604190063 1.01263571788463 1.08746571497027 1.48029984521066 1.46913548975405 1.65631073538282 1.27799292810237 1.27210085942528 1.29935498303568 1.22518833671886 1.26040165954197 1.28794081081901 1.74867892311995 1.28658921673741 0.967736175835163 1.00248057565756 1.16577390856296 1.25308490196614 1.20251191377544 1.22718608840962 1.38230904017133 1.45954636986622 1.41274852442746 1.01376505851582 0.820292500500857 0.845921961793795 0.99257834473498 0.942189135745027 0.863309352517986 1.76873791681979 1.25430358672636 1.17817209362614 1.38959488711326 1.46137091778623 1.57410454916215
"que" 1.59033348897095 1.42224540252654 1.28899492316912 1.0240887692342 0.91482992659626 1.02560068087298 0.642815138262709 0.67377593150789 0.542848662983849 1.51877420441152 1.1017302086094 1.42798553372357 1.2523792005886 1.29504105555687 1.29400527608478 0.816933335295936 0.912068383098095 1.80334601032014 1.84300621168946 1.72397136017691 0.865138558770228 1.00654700930833 0.708895793623854 1.02407683821143 1.34090944568458 1.07698318005681 1.28104774814334 1.29777619482225 1.22866142799079 1.35368088696946 1.34155325501144 1.46351490236382 1.15039864508604 1.34724489630983 1.09971824836441 0.88413188871818 0.736680143606003 0.877205535123996
"en" 1.45025963184629 1.28032176045496 1.31839305299578 1.14605722105294 1.01559952974185 1.03775912688054 1.24777786039218 1.3078683181776 1.27143390554242 1.13318740528709 0.986256767500852 1.02904440550315 0.912493402216855 0.96911582941672 0.96197580278359 1.19228108394542 1.10006315449352 1.06415269519881 1.05783226388405 1.27419302897259 1.13014415940406 0.97091702667795 1.01699783284159 1.02407683821143 1.0115358798645 0.990402179307141 0.935489413696329 1.02620038732943 1.05422706950278 1.15952022355695 1.2426815555814 1.1469681397739 1.17915861121319 1.28016551634959 1.01444232960166 1.14286040654075 1.08970046558718 1.12691575678654
"une" 1.01022963623244 1.01603285808137 1.05607127915786 0.989134395847123 0.913841989310519 0.957298822418744 1.30928803660869 0.98786696724841 1.0186789725129 1.12813604984004 1.01843789043274 0.948883337683159 0.926088834151725 0.984073750423152 0.96614512265381 1.31445309625094 1.22930955982787 0.968628921384827 0.86102626130097 0.992947389890185 1.23396078645648 1.04885761368191 1.21674195148698 1.15646699980531 1.16763709589298 1.08965357041042 1.12640562057313 0.894308038198696 0.956001896761956 0.874630278175978 0.926679849559924 0.957862281603289 0.837234569479285 1.01912166421517 1.05196373385727 1.2359569813864 1.4047544510534 1.44531417695797
"des" 0.843272917639402 0.832484967628371 0.911342024626587 0.620997910174698 0.683652601732842 0.710911490089079 1.50192979728679 1.3813250926653 2.94689274191232 1.00690351911096 1.41218339454057 1.85861824689609 0.602997392875994 0.627445423269802 0.672776615421935 2.62154643272444 1.75951356352901 0.513328691056475 0.6088685704914 0.605429543673583 0.978061907493921 0.768271500467643 1.03005300399488 1.44980206372899 1.75145564383947 1.58802225765239 0.668206724068806 0.411259265854907 0.487738788782008 0.704059228075269 0.624248768950409 0.587872559095581 0.838832345375238 0.910824833917921 1.38078767660643 1.34218988274401 1.29485189798379 1.3201013150928
"qui" 0.708858610297551 0.994468488437987 0.922648997636843 1.10292203687315 1.04820146017131 1.07280405949056 0.520470721832057 0.968447360199937 0.719968597114381 0.932816972554302 0.950289630106387 0.930241228887812 0.805329409318469 0.800642403344276 0.863807271293854 0.796326007919102 0.910599673946568 1.02665738211295 1.13983476496033 0.937127644728791 0.780446047227459 0.786086491782835 0.727173033238466 0.926731131157116 0.881971870560872 0.971396593776727 1.14740640332958 0.83587471896356 0.932292372307275 0.901849062766517 0.949943778837579 0.984583761562179 0.921916691964785 0.930221281135339 0.871860993430343 0.768760673265291 0.748669513031779 0.855024971022166
"je" 1.27622847602473 0.871100234199084 0.79148811071788 1.04119410089171 0.571027751158356 1.01773345110338 0.373116673313371 0.345331273166325 0.159886643242156 2.14514227984509 0.486502858440919 0.857537004585959 0.926888565442011 1.33676578257481 0.834622032202311 0.0529902703975742 0.400957598366795 1.14449979466852 2.43752434449251 0.900630119046341 0.907940150625176 0.763817752638846 0.382516514791509 1.00201181127912 1.34247045784487 0.889039056478265 1.33068596193131 1.08574672216904 1.05253353204173 0.535302763613929 0.608739482765306 1.09558067831449 0.226884177225302 0.185074433866197 1.29960500194429 0.291854906417952 0.459592494654739 0.477239879223251
"se" 0.652263112469403 0.945823282498257 0.90568853812146 0.694625207309183 0.7715790201638 0.509224326904853 1.04702486768553 1.15420012327229 1.18909707129795 0.350227310995117 0.547079089842123 0.604004324969241 0.727755474160682 0.723491021311101 0.814154461930319 0.924385828046573 1.20287279510039 0.682950345492528 0.487914881403883 0.770741865882328 0.849657131929077 0.830623970070815 1.00916473014961 0.798234797845415 0.546354256099655 0.769726213981776 0.67393421027511 0.665583331478307 0.73330172063406 0.87100110689724 0.851072079407545 0.729701952723535 0.897950053525493 0.92618035463171 0.764072232114229 0.982939909873377 1.01110348824043 0.910118630242841
