	Dickens_Barnaby	Dickens_Cricket	Dickens_Dombey	sum
,	26044.0	3192.0	37907.0	67143.0
the	12792.0	1565.0	16998.0	31355.0
'	10303.0	41.0	15587.0	25931.0
and	10509.0	1260.0	13984.0	25753.0
.	9629.0	1351.0	13442.0	24422.0
to	6370.0	783.0	9432.0	16585.0
of	6403.0	703.0	9214.0	16320.0
a	5657.0	715.0	7285.0	13657.0
in	4544.0	546.0	6410.0	11500.0
his	4236.0	346.0	5168.0	9750.0
that	3321.0	390.0	5236.0	8947.0
he	3839.0	358.0	4595.0	8792.0
i	3313.0	596.0	4841.0	8750.0
it	2999.0	525.0	4460.0	7984.0
was	2910.0	397.0	4120.0	7427.0
you	3120.0	397.0	3854.0	7371.0
her	1325.0	478.0	4778.0	6581.0
with	2564.0	277.0	3675.0	6516.0
;	2561.0	433.0	3311.0	6305.0
as	2402.0	274.0	3216.0	5892.0
had	2079.0	267.0	2611.0	4957.0
---	2355.0	252.0	2345.0	4952.0
!	1667.0	530.0	2656.0	4853.0
for	1969.0	283.0	2430.0	4682.0
at	1820.0	211.0	2443.0	4474.0
him	1796.0	201.0	2399.0	4396.0
's	1565.0	270.0	2538.0	4373.0
said	1455.0	235.0	2575.0	4265.0
on	1495.0	187.0	2341.0	4023.0
she	1044.0	310.0	2636.0	3990.0
have	1432.0	231.0	2012.0	3675.0
but	1351.0	206.0	2110.0	3667.0
is	1074.0	127.0	2212.0	3413.0
?	1386.0	199.0	1810.0	3395.0
not	1265.0	142.0	1912.0	3319.0
mr	846.0	0.0	2437.0	3283.0
be	1221.0	159.0	1790.0	3170.0
this	1379.0	119.0	1418.0	2916.0
by	1218.0	103.0	1572.0	2893.0
so	1056.0	189.0	1613.0	2858.0
my	964.0	139.0	1743.0	2846.0
which	1189.0	107.0	1280.0	2576.0
me	1010.0	176.0	1351.0	2537.0
all	1070.0	172.0	1254.0	2496.0
if	889.0	115.0	1457.0	2461.0
no	978.0	100.0	1381.0	2459.0
do	1031.0	116.0	1249.0	2396.0
they	1378.0	101.0	913.0	2392.0
there	848.0	146.0	1374.0	2368.0
or	1123.0	101.0	1118.0	2342.0
from	992.0	102.0	1193.0	2287.0
were	1106.0	124.0	1056.0	2286.0
when	833.0	111.0	1250.0	2194.0
who	989.0	63.0	1086.0	2138.0
n't	792.0	180.0	1141.0	2113.0
upon	911.0	89.0	1103.0	2103.0
would	838.0	108.0	1152.0	2098.0
what	787.0	100.0	1075.0	1962.0
one	844.0	77.0	920.0	1841.0
been	731.0	96.0	993.0	1820.0
""""	116.0	1476.0	221.0	1813.0
dombey	0.0	0.0	1771.0	1771.0
very	647.0	95.0	996.0	1738.0
an	683.0	84.0	923.0	1690.0
out	611.0	76.0	918.0	1605.0
them	772.0	75.0	720.0	1567.0
up	630.0	59.0	875.0	1564.0
mrs	189.0	0.0	1331.0	1520.0
little	391.0	148.0	940.0	1479.0
your	597.0	62.0	793.0	1452.0
more	573.0	58.0	807.0	1438.0
man	793.0	62.0	569.0	1424.0
could	487.0	93.0	837.0	1417.0
into	627.0	83.0	670.0	1380.0
captain	63.0	0.0	1302.0	1365.0
are	595.0	62.0	705.0	1362.0
their	810.0	45.0	494.0	1349.0
some	647.0	63.0	631.0	1341.0
now	509.0	60.0	715.0	1284.0
time	562.0	47.0	621.0	1230.0
know	440.0	81.0	688.0	1209.0
florence	0.0	0.0	1197.0	1197.0
down	496.0	54.0	645.0	1195.0
old	351.0	73.0	754.0	1178.0
sir	550.0	13.0	591.0	1154.0
any	457.0	49.0	615.0	1121.0
again	450.0	62.0	604.0	1116.0
such	454.0	60.0	580.0	1094.0
:	330.0	48.0	705.0	1083.0
like	403.0	56.0	623.0	1082.0
miss	163.0	19.0	897.0	1079.0
than	457.0	64.0	554.0	1075.0
before	417.0	69.0	569.0	1055.0
then	428.0	59.0	544.0	1031.0
here	421.0	59.0	548.0	1028.0
will	399.0	32.0	571.0	1002.0
himself	439.0	34.0	518.0	991.0
face	295.0	65.0	627.0	987.0
come	401.0	42.0	531.0	974.0
hand	375.0	37.0	553.0	965.0
never	340.0	79.0	545.0	964.0
much	356.0	47.0	557.0	960.0
did	394.0	58.0	504.0	956.0
how	323.0	85.0	544.0	952.0
good	429.0	65.0	453.0	947.0
about	366.0	62.0	515.0	943.0
we	446.0	47.0	445.0	938.0
great	442.0	45.0	445.0	932.0
head	310.0	55.0	565.0	930.0
other	464.0	47.0	416.0	927.0
say	353.0	61.0	507.0	921.0
has	316.0	45.0	557.0	918.0
am	326.0	39.0	540.0	905.0
own	287.0	42.0	561.0	890.0
being	348.0	42.0	496.0	886.0
its	354.0	74.0	441.0	869.0
made	320.0	42.0	462.0	824.0
should	286.0	44.0	473.0	803.0
these	422.0	28.0	349.0	799.0
see	322.0	45.0	431.0	798.0
where	329.0	39.0	424.0	792.0
returned	285.0	39.0	468.0	792.0
eyes	272.0	34.0	486.0	792.0
well	287.0	41.0	443.0	771.0
after	298.0	22.0	436.0	756.0
back	305.0	24.0	405.0	734.0
house	299.0	22.0	412.0	733.0
way	308.0	49.0	363.0	720.0
might	272.0	50.0	394.0	716.0
may	234.0	67.0	413.0	714.0
dear	170.0	57.0	485.0	712.0
go	249.0	25.0	432.0	706.0
day	241.0	33.0	428.0	702.0
night	348.0	48.0	305.0	701.0
too	263.0	40.0	398.0	701.0
looked	276.0	28.0	395.0	699.0
cried	403.0	33.0	261.0	697.0
away	232.0	22.0	425.0	679.0
door	293.0	36.0	348.0	677.0
though	324.0	38.0	306.0	668.0
young	212.0	43.0	408.0	663.0
think	210.0	54.0	396.0	660.0
john	427.0	161.0	69.0	657.0
long	279.0	27.0	348.0	654.0
quite	271.0	55.0	326.0	652.0
nothing	246.0	32.0	360.0	638.0
toots	0.0	0.0	619.0	619.0
can	246.0	25.0	331.0	602.0
walter	0.0	0.0	601.0	601.0
)	257.0	42.0	301.0	600.0
looking	199.0	20.0	381.0	600.0
(	257.0	42.0	299.0	598.0
without	240.0	26.0	327.0	593.0
off	262.0	36.0	292.0	590.0
over	195.0	28.0	364.0	587.0
only	218.0	36.0	331.0	585.0
many	304.0	35.0	244.0	583.0
came	248.0	40.0	293.0	581.0
round	225.0	30.0	322.0	577.0
ever	215.0	43.0	311.0	569.0
two	246.0	25.0	287.0	558.0
why	219.0	40.0	298.0	557.0
'll	229.0	48.0	278.0	555.0
carker	0.0	0.0	555.0	555.0
every	264.0	23.0	266.0	553.0
through	208.0	15.0	328.0	551.0
room	157.0	24.0	365.0	546.0
look	227.0	28.0	287.0	542.0
went	202.0	25.0	312.0	539.0
even	232.0	24.0	273.0	529.0
must	231.0	26.0	264.0	521.0
take	199.0	19.0	299.0	517.0
make	191.0	33.0	293.0	517.0
hugh	517.0	0.0	0.0	517.0
still	200.0	30.0	285.0	515.0
last	214.0	32.0	268.0	514.0
paul	4.0	0.0	508.0	512.0
same	226.0	19.0	258.0	503.0
thought	150.0	31.0	322.0	503.0
first	187.0	29.0	286.0	502.0
major	1.0	0.0	498.0	499.0
place	209.0	14.0	269.0	492.0
having	217.0	17.0	241.0	475.0
heart	162.0	30.0	283.0	475.0
hands	227.0	30.0	218.0	475.0
better	172.0	34.0	268.0	474.0
friend	162.0	15.0	296.0	473.0
mind	172.0	34.0	263.0	469.0
oh	122.0	42.0	302.0	466.0
seemed	169.0	23.0	267.0	459.0
most	221.0	20.0	217.0	458.0
let	214.0	17.0	225.0	456.0
life	183.0	20.0	243.0	446.0
moment	177.0	27.0	240.0	444.0
woman	68.0	15.0	358.0	441.0
yet	170.0	18.0	252.0	440.0
those	253.0	12.0	174.0	439.0
took	165.0	28.0	246.0	439.0
