	hp1-quidditch	sum
,	240	240
.	229	229
""""	207	207
the	158	158
to	86	86
he	80	80
and	78	78
was	69	69
harry	69	69
a	61	61
--	58	58
it	54	54
of	52	52
's	52	52
his	49	49
had	46	46
that	45	45
in	43	43
snape	31	31
him	30	30
said	29	29
n't	29	29
on	27	27
i	27	27
you	26	26
but	24	24
?	24	24
!	23	23
ron	22	22
hermione	21	21
all	20	20
hagrid	19	19
as	19	19
'	19	19
be	19	19
up	19	19
what	19	19
for	18	18
gryffindor	18	18
she	17	17
they	16	16
were	16	16
off	16	16
by	16	16
at	15	15
quidditch	15	15
broom	15	15
them	15	15
with	15	15
her	14	14
flint	14	14
would	13	13
out	13	13
from	13	13
could	12	12
there	12	12
back	12	12
no	11	11
one	11	11
know	11	11
have	11	11
about	10	10
do	10	10
wood	10	10
we	9	9
quaffle	9	9
an	9	9
now	9	9
'd	9	9
is	8	8
snitch	8	8
did	8	8
around	8	8
if	8	8
through	8	8
crowd	7	7
jordan	7	7
into	7	7
seemed	7	7
slytherin	7	7
after	7	7
field	7	7
way	7	7
two	7	7
bludger	7	7
binoculars	7	7
when	7	7
are	7	7
something	7	7
dean	7	7
over	7	7
going	7	7
got	6	6
their	6	6
like	6	6
match	6	6
professor	6	6
toward	6	6
just	6	6
me	6	6
game	6	6
've	6	6
air	6	6
seen	6	6
so	6	6
this	6	6
saw	6	6
still	6	6
get	6	6
slytherins	5	5
'm	5	5
fire	5	5
stands	5	5
told	5	5
looking	5	5
marcus	5	5
eyes	5	5
then	5	5
try	5	5
which	5	5
lee	5	5
onto	5	5
not	5	5
doing	5	5
chaser	5	5
potter	5	5
very	5	5
seamus	5	5
right	5	5
taken	5	5
good	5	5
once	5	5
fred	5	5
tried	5	5
take	5	5
people	4	4
though	4	4
say	4	4
your	4	4
gold	4	4
made	4	4
nice	4	4
only	4	4
holding	4	4
high	4	4
time	4	4
how	4	4
team	4	4
who	4	4
or	4	4
really	4	4
head	4	4
anything	4	4
robes	4	4
playing	4	4
again	4	4
felt	4	4
row	4	4
mind	4	4
johnson	4	4
above	4	4
past	4	4
;	4	4
weasley	4	4
dog	4	4
happened	4	4
together	4	4
before	4	4
dropped	4	4
angelina	4	4
neville	4	4
ca	4	4
year	4	4
along	4	4
why	4	4
possession	4	4
hand	4	4
posts	4	4
bit	4	4
gryffindors	4	4
knocked	4	4
see	3	3
done	3	3
foul	3	3
trying	3	3
play	3	3
another	3	3
should	3	3
bright	3	3
sight	3	3
never	3	3
next	3	3
let	3	3
madam	3	3
hooch	3	3
yeh	3	3
brooms	3	3
first	3	3
come	3	3
large	3	3
neck	3	3
ages	3	3
...	3	3
decided	3	3
want	3	3
turn	3	3
little	3	3
three	3	3
whole	3	3
too	3	3
suddenly	3	3
been	3	3
room	3	3
looked	3	3
happen	3	3
rules	3	3
some	3	3
went	3	3
more	3	3
knees	3	3
anyone	3	3
much	3	3
second	3	3
troll	3	3
ahead	3	3
face	3	3
george	3	3
last	3	3
eye	3	3
read	3	3
guarding	3	3
school	3	3
forget	3	3
cold	3	3
tell	3	3
nimbus	3	3
turned	3	3
give	3	3
steal	3	3
points	3	3
weasleys	3	3
leg	3	3
left	3	3
away	3	3
broomstick	3	3
noticed	3	3
five	3	3
every	3	3
than	3	3
seeker	3	3
red	3	3
ask	3	3
blocked	3	3
dumbledore	3	3
speeding	3	3
pucey	3	3
hit	3	3
goal	3	3
-	3	3
move	3	3
down	3	3
secret	3	3
keep	3	3
catch	3	3
anyway	3	3
card	3	3
bell	3	3
heard	2	2
women	2	2
whatever	2	2
soccer	2	2
flamel	2	2
confusion	2	2
captain	2	2
ground	2	2
getting	2	2
morning	2	2
making	2	2
disappeared	2	2
put	2	2
same	2	2
blue	2	2
sure	2	2
great	2	2
shot	2	2
nearly	2	2
caught	2	2
heart	2	2
difficult	2	2
kept	2	2
oliver	2	2
words	2	2
my	2	2
homework	2	2
course	2	2
without	2	2
won	2	2
watching	2	2
limped	2	2
friend	2	2
wrong	2	2
're	2	2
book	2	2
word	2	2
thousand	2	2
shut	2	2
sausages	2	2
sudden	2	2
any	2	2
higgs	2	2
muttering	2	2
sleep	2	2
kill	2	2
locker	2	2
gave	2	2
joined	2	2
gasped	2	2
excellent	2	2
scored	2	2
door	2	2
underneath	2	2
hope	2	2
sorry	2	2
dunno	2	2
look	2	2
later	2	2
dodged	2	2
buck	2	2
angrily	2	2
muttered	2	2
furiously	2	2
seized	2	2
jar	2	2
waiting	2	2
cheers	2	2
top	2	2
better	2	2
hundred	2	2
few	2	2
minutes	2	2
telling	2	2
nicolas	2	2
think	2	2
trouble	2	2
outta	2	2
fluffy	2	2
enough	2	2
(	2	2
yet	2	2
nothing	2	2
started	2	2
