	hp1-quidditch_0	hp1-quidditch_1	hp1-quidditch_2	hp1-quidditch_3	hp1-quidditch_4	hp1-quidditch_5	hp1-quidditch_6	hp1-quidditch_7	hp1-quidditch_8	hp1-quidditch_9	hp1-quidditch_10	hp1-quidditch_11	hp1-quidditch_12	hp1-quidditch_13	hp1-quidditch_14	hp1-quidditch_15	hp1-quidditch_16	hp1-quidditch_17	hp1-quidditch_18	hp1-quidditch_19	hp1-quidditch_20	hp1-quidditch_21	hp1-quidditch_22	hp1-quidditch_23	hp1-quidditch_24	hp1-quidditch_25	hp1-quidditch_26	hp1-quidditch_27	hp1-quidditch_28	hp1-quidditch_29	hp1-quidditch_30	hp1-quidditch_31	hp1-quidditch_32	hp1-quidditch_33	hp1-quidditch_34	hp1-quidditch_35	hp1-quidditch_36	hp1-quidditch_37	hp1-quidditch_38	hp1-quidditch_39	hp1-quidditch_40	hp1-quidditch_41	hp1-quidditch_42	hp1-quidditch_sum
,_PUN_,	5.0	6.0	3.0	3.0	7.0	6.0	4.0	3.0	3.0	1.0	6.0	3.0	6.0	7.0	7.0	7.0	8.0	5.0	11.0	5.0	7.0	9.0	5.0	8.0	5.0	4.0	8.0	7.0	10.0	1.0	5.0	4.0	8.0	3.0	9.0	4.0	3.0	6.0	10.0	1.0	5.0	8.0	4.0	240.0
._SENT_.	5.0	4.0	3.0	3.0	6.0	8.0	6.0	9.0	6.0	5.0	6.0	5.0	9.0	5.0	8.0	10.0	5.0	10.0	2.0	0.0	1.0	5.0	6.0	3.0	4.0	3.0	4.0	7.0	7.0	6.0	5.0	7.0	6.0	8.0	4.0	5.0	5.0	4.0	4.0	8.0	7.0	2.0	3.0	229.0
"""_PUQ_"""	0.0	0.0	0.0	0.0	2.0	10.0	2.0	2.0	10.0	7.0	8.0	1.0	13.0	0.0	10.0	13.0	3.0	3.0	6.0	0.0	2.0	13.0	4.0	5.0	1.0	2.0	10.0	8.0	1.0	0.0	3.0	3.0	11.0	6.0	2.0	0.0	2.0	4.0	8.0	9.0	14.0	4.0	5.0	207.0
the_AT0_the	9.0	2.0	3.0	5.0	3.0	3.0	2.0	3.0	1.0	1.0	0.0	6.0	4.0	7.0	5.0	3.0	6.0	5.0	5.0	8.0	5.0	3.0	5.0	3.0	8.0	3.0	6.0	3.0	1.0	3.0	4.0	2.0	1.0	6.0	4.0	4.0	6.0	3.0	1.0	3.0	3.0	0.0	0.0	158.0
he_PNP_he	0.0	2.0	2.0	0.0	3.0	1.0	5.0	3.0	1.0	7.0	4.0	4.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	4.0	4.0	2.0	3.0	0.0	2.0	1.0	1.0	2.0	4.0	2.0	5.0	2.0	0.0	0.0	80.0
and_CJC_and	3.0	1.0	3.0	4.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	2.0	0.0	3.0	3.0	0.0	2.0	1.0	3.0	3.0	3.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	3.0	1.0	2.0	0.0	1.0	3.0	2.0	0.0	4.0	3.0	0.0	1.0	1.0	0.0	78.0
harry_NP0_harry	2.0	4.0	1.0	2.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	4.0	0.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	69.0
was_VBD_be	1.0	3.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0	1.0	1.0	3.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	1.0	1.0	1.0	2.0	3.0	4.0	2.0	1.0	0.0	4.0	2.0	2.0	4.0	3.0	3.0	1.0	0.0	1.0	0.0	69.0
a_AT0_a	1.0	1.0	4.0	3.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	1.0	2.0	3.0	1.0	3.0	1.0	1.0	4.0	3.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	1.0	1.0	2.0	0.0	60.0
to_TO0_to	0.0	0.0	2.0	1.0	3.0	1.0	3.0	0.0	3.0	1.0	1.0	4.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	3.0	0.0	1.0	1.0	5.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	0.0	3.0	3.0	1.0	0.0	60.0
