TALE	NN1	tale
OF	PRF	of
THE	AT0	the
A	ZZ0	a
THE	AT0	the
CRICKET	NN1	cricket
FAIRY	NP0	fairy
ON	PRP	on
HEARTH	AJ0	HEARTH
HOME	NN1	home
<SEG>
FIRST	ORD	first
!	SENT	!
The	AT0	the
kettle	NN1	kettle
n't	XX0	not
began	VVD	begin
CHIRP	NN1	chirp
THE	AT0	the
Do	VDB	do
it	PNP	it
<SEG>
better	AV0	well
Mrs.	NP0	mrs.
what	DTQ	what
.	SENT	.
said	VVD	say|said
I	PNP	i
know	VVB	know
Peerybingle	NP0	peerybingle
me	PNP	i
tell	VVI	tell
<SEG>
to	PRP	to
the	AT0	the
it	PNP	it
Mrs.	NP0	mrs.
on	PRP	on
.	SENT	.
Peerybingle	NP0	peerybingle
may	VM0	may
record	NN1	record
leave	VVI	leave
<SEG>
she	PNP	she
of	PRF	of
time	NN1	time
n't	XX0	not
could	VM0	could
end	NN1	end
of	PRF	of
which	DTQ	which
say	VVI	say
that	CJT	that
<SEG>
began	VVD	begin
say	VVB	say
it	PNP	it
kettle	NN1	kettle
the	AT0	the
but	CJC	but
did	VDD	do
;	PUN	;
them	PNP	they
I	PNP	i
<SEG>
The	AT0	the
I	PNP	i
I	PNP	i
hope	VVB	hope
ought	VM0	ought
?	SENT	?
to	TO0	to
,	PUN	,
.	SENT	.
know	VVI	know
<SEG>
full	AJ0	full
five	CRD	five
,	PUN	,
by	PRP	by
began	VVD	begin
it	PNP	it
kettle	NN1	kettle
minutes	NN2	minute
little	AJ0	little
the	AT0	the
<SEG>
corner	NN1	corner
Cricket	NN1	cricket
waxy-faced	AJ0	waxy-faced
,	PUN	,
Dutch	AJ0	dutch
in	PRP	in
the	AT0	the
before	CJS	before
clock	NN1	clock
the	AT0	the
<SEG>
a	AT0	a
.	SENT	.
the	AT0	the
if	CJS	if
had	VHD	have
clock	NN1	clock
uttered	VVD	utter
As	CJS	as
n't	XX0	not
chirp	NN1	chirp
<SEG>
little	AJ0	little
finished	VVN	finish|finished
striking	AJ0	striking|strike
convulsive	AJ0	convulsive
at	PRP	at
Hay-maker	NN1	Hay-maker
the	AT0	the
and	CJC	and
,	PUN	,
the	AT0	the
<SEG>
it	PNP	it
,	PUN	,
top	NN1	top
with	PRP	with
right	AJ0	right
and	CJC	and
of	PRF	of
jerking	VVG	jerk|jerking
away	AV0	away
left	VVN	leave|left
<SEG>
,	PUN	,
in	PRP	in
a	AT0	a
front	NN1	front
a	AT0	a
Moorish	AJ0	moorish
scythe	NN1	scythe
had	VHD	have
of	PRF	of
Palace	NN1	palace
<SEG>
mowed	VVN	mow
imaginary	AJ0	imaginary
down	AVP	down
of	PRF	of
grass	NN1	grass
an	AT0	an
n't	XX0	not
acre	NN1	acre
before	PRP	before
half	DT0	half
<SEG>
the	AT0	the
all	DT0	all
!	SENT	!
I	PNP	i
Why	AVQ	why
Cricket	NN1	cricket
joined	VVD	join|joined
,	PUN	,
at	PRP	at
in	AVP	in
<SEG>
positive	AJ0	positive
that	CJT	that
not	XX0	not
am	VBB	be
naturally	AV0	naturally
.	SENT	.
I	PNP	i
Every	AT0	every
knows	VVZ	know
one	PNI	one
<SEG>
n't	XX0	not
set	VVI	set
against	PRP	against
would	VM0	would
opinion	NN1	opinion
opinion	NN1	opinion
my	DPS	i
own	DT0	own
of	PRF	of
the	AT0	the
<SEG>
quite	AV0	quite
on	PRP	on
sure	AJ0	sure
unless	CJS	unless
I	PNP	i
Peerybingle	NP0	peerybingle
,	PUN	,
,	PUN	,
were	VBD	be
Mrs.	NP0	mrs.
<SEG>
.	SENT	.
any	DT0	any
should	VM0	should
account	NN1	account
me	PNP	i
.	SENT	.
But	CJC	but
induce	VVI	induce
whatever	DTQ	whatever
Nothing	PNI	nothing
<SEG>
the	AT0	the
fact	NN1	fact
.	SENT	.
of	PRF	of
question	NN1	question
And	CJC	and
is	VBZ	be
a	AT0	a
,	PUN	,
this	DT0	this
<SEG>
at	PRP	at
,	PUN	,
kettle	NN1	kettle
the	AT0	the
least	AV0	least
