PREMIÈRE	NUM	premier
Nous	PRO:PER	nous
,	PUN	,
PARTIE	NOM	partie
quand	KON	quand
à	PRP	à
l’Étude	NOM	l’Étude
étions	VER:impf	être
I	NUM	I
le	DET:ART	le
<SEG>
d’un	NOM	d’un
Proviseur	NOM	proviseur
suivi	VER:pper	suivre
bourgeois	ADJ	bourgeois
en	PRP	en
et	KON	et
entra	VER:simp	entrer
nouveau	ADJ	nouveau
habillé	VER:pper	habiller
,	PUN	,
<SEG>
.	SENT	.
d’un	ADJ	d’un
classe	NOM	classe
grand	ADJ	grand
portait	VER:impf	porter
de	PRP	de
un	DET:ART	un
qui	PRO:REL	qui
pupitre	NOM	pupitre
garçon	NOM	garçon
<SEG>
se	PRO:PER	se
chacun	PRO:IND	chacun
réveillèrent	VER:simp	réveiller
Ceux	PRO:DEM	celui
,	PUN	,
et	KON	et
leva	VER:simp	lever
qui	PRO:REL	qui
se	PRO:PER	se
dormaient	VER:impf	dormir
<SEG>
dans	PRP	dans
son	DET:POS	son
travail	NOM	travail
nous	PRO:PER	nous
.	SENT	.
Le	DET:ART	le
surpris	VER:pper	surprendre
fit	VER:simp	faire
Proviseur	NOM	proviseur
comme	ADV	comme
<SEG>
,	PUN	,
signe	NOM	signe
puis	ADV	puis
de	PRP	de
vers	PRP	vers
rasseoir	VER:infi	rasseoir
nous	PRO:PER	nous
tournant	VER:ppre	tourner
se	PRO:PER	se
;	PUN	;
<SEG>
Roger	NAM	Roger
dit-il	NOM	dit-il
le	DET:ART	le
,	PUN	,
maître	NOM	maître
--	PUN	--
:	PUN	:
Monsieur	NOM	monsieur
lui	PRO:PER	lui
d’études	NOM	d’études
<SEG>
demi-voix	ADV	demi-voix
à	PRP	à
voici	ADV	voici
je	PRO:PER	je
un	DET:ART	un
recommande	VER:pres	recommander
vous	PRO:PER	vous
élève	NOM	élève
que	PRO:REL	que
,	PUN	,
<SEG>
Si	KON	si
travail	NOM	travail
son	DET:POS	son
cinquième	NOM	cinquième
.	SENT	.
,	PUN	,
entre	VER:subp	entrer
il	PRO:PER	il
en	PRP	en
et	KON	et
<SEG>
conduite	NOM	conduite
sont	VER:pres	être
il	PRO:PER	il
les	DET:ART	le
sa	DET:POS	son
méritoires	ADJ	méritoire
passera	VER:futu	passer
,	PUN	,
grands	ADJ	grand
dans	PRP	dans
<SEG>
,	PUN	,
âge	NOM	âge
,	PUN	,
où	PRO:REL	où
Resté	VER:pper	rester
l’angle	NOM	l’angle
dans	PRP	dans
son	DET:POS	son
.	SENT	.
l’appelle	VER:pres	l’appelle
<SEG>
derrière	PRP	derrière
la	DET:ART	le
porte	NOM	porte
à	PRP	à
,	PUN	,
peine	NOM	peine
qu’on	NOM	qu’on
si	KON	si
bien	ADV	bien
l’apercevait	VER:impf	l’apercevait
<SEG>
de	PRP	de
le	DET:ART	le
était	VER:impf	être
la	DET:ART	le
,	PUN	,
nouveau	ADJ	nouveau
campagne	NOM	campagne
,	PUN	,
un	DET:ART	un
gars	NOM	gars
<SEG>
environ	ADV	environ
de	PRP	de
,	PUN	,
plus	ADV	plus
haut	ADV	haut
taille	NOM	taille
d’années	VER:pper	d’années
d’une	NOM	d’une
quinzaine	NOM	quinzaine
et	KON	et
<SEG>
les	DET:ART	le
cheveux	NOM	cheveu
coupés	VER:pper	couper
de	PRP	de
nous	PRO:PER	nous
Il	PRO:PER	il
.	SENT	.
tous	NOM	tous
avait	VER:impf	avoir
qu’aucun	ADJ	qu’aucun
<SEG>
droit	ADJ	droit
front	NOM	front
de	PRP	de
village	NOM	village
comme	KON	comme
,	PUN	,
le	DET:ART	le
chantre	NOM	chantre
sur	PRP	sur
un	DET:ART	un
<SEG>
Quoiqu’il	NAM	Quoiqu’il
fût	VER:subi	être
et	KON	et
,	PUN	,
.	SENT	.
embarrassé	VER:pper	embarrasser
ne	ADV	ne
raisonnable	ADJ	raisonnable
fort	ADV	fort
l’air	NOM	l’air
<SEG>
de	PRP	de
drap	NOM	drap
épaules	NOM	épaule
habit-veste	NOM	habit-veste
des	PRP:det	du
pas	ADV	pas
son	DET:POS	son
large	ADJ	large
,	PUN	,
vert	ADJ	vert
<SEG>
à	PRP	à
devait	VER:impf	devoir
aux	PRP:det	au
entournures	NOM	entournure
boutons	NOM	bouton
noirs	ADJ	noir
laissait	VER:impf	laisser
et	KON	et
gêner	VER:infi	gêner
le	PRO:PER	le
<SEG>
fente	NOM	fente
des	PRP:det	du
poignets	NOM	poignet
parements	NOM	parement
la	DET:ART	le
,	PUN	,
par	PRP	par
,	PUN	,
voir	VER:infi	voir
des	PRP:det	du
<SEG>
nus	NOM	nu
être	VER:infi	être
,	PUN	,
Ses	DET:POS	son
jambes	NOM	jambe
à	PRP	à
habitués	VER:pper	habituer
rouges	ADJ	rouge
en	PRP	en
.	SENT	.
<SEG>
,	PUN	,
d’un	ADJ	d’un
par	PRP	par
très	ADV	très
tiré	VER:pper	tirer
bleus	ADJ	bleu
pantalon	NOM	pantalon
bas	ADV	bas
jaunâtre	ADJ	jaunâtre
sortaient	VER:impf	sortir
<SEG>
souliers	NOM	soulier
de	PRP	de
,	PUN	,
les	DET:ART	le
Il	PRO:PER	il
forts	ADJ	fort
était	VER:impf	être
bretelles	NOM	bretelle
chaussé	VER:pper	chausser
.	SENT	.
<SEG>
garnis	VER:pper	garnir
mal	ADV	mal
,	PUN	,
clous	NOM	clou
la	DET:ART	le
cirés	VER:pper	cirer
.	SENT	.
de	PRP	de
commença	VER:simp	commencer
On	PRO:PER	on
<SEG>
récitation	NOM	récitation
leçons	NOM	leçon
toutes	PRO:IND	tout
Il	PRO:PER	il
.	SENT	.
des	PRP:det	du
écouta	VER:simp	écouter
les	PRO:PER	la|le
ses	DET:POS	son
de	PRP	de
<SEG>
,	PUN	,
,	PUN	,
au	PRP:det	au
sermon	NOM	sermon
oreilles	NOM	oreille
comme	KON	comme
croiser	VER:infi	croiser
même	ADV	même
attentif	ADJ	attentif
n’osant	VER:ppre	n’osant
<SEG>
s’appuyer	VER:infi	s’appuyer
sur	PRP	sur
ni	KON	ni
,	PUN	,
coude	NOM	coude
,	PUN	,
les	DET:ART	le
cuisses	NOM	cuisse
et	KON	et
le	DET:ART	le
<SEG>
sonna	VER:simp	sonner
à	PRP	à
deux	NUM	deux
la	DET:ART	le
quand	KON	quand
,	PUN	,
,	PUN	,
heures	NOM	heure
cloche	NOM	cloche
,	PUN	,
<SEG>
qu’il	NOM	qu’il
l’avertir	VER:infi	l’avertir
maître	NOM	maître
pour	PRP	pour
fut	VER:simp	être
d’études	NOM	d’études
obligé	VER:pper	obliger
de	PRP	de
,	PUN	,
le	DET:ART	le
<SEG>
avec	PRP	avec
mît	VER:subi	mettre
Nous	PRO:PER	nous
les	DET:ART	le
se	PRO:PER	se
nous	PRO:PER	nous
dans	PRP	dans
.	SENT	.
rangs	NOM	rang
avions	VER:impf	avoir
<SEG>
,	PUN	,
en	PRP	en
entrant	VER:ppre	entrer
classe	NOM	classe
en	PRO:PER	en
jeter	VER:infi	jeter
l’habitude	NOM	l’habitude
nos	DET:POS	notre
,	PUN	,
de	PRP	de
<SEG>
plus	ADV	plus
afin	KON	afin
mains	NOM	main
,	PUN	,
ensuite	ADV	ensuite
par	PRP	par
d’avoir	VER:infi	d’avoir
terre	NOM	terre
nos	DET:POS	notre
casquettes	NOM	casquette
<SEG>
le	DET:ART	le
,	PUN	,
il	PRO:PER	il
de	PRP	de
la	DET:ART	le
libres	ADJ	libre
;	PUN	;
dès	PRP	dès
seuil	NOM	seuil
fallait	VER:impf	falloir
<SEG>
façon	NOM	façon
les	DET:ART	le
sous	PRP	sous
,	PUN	,
lancer	NOM	lancer
,	PUN	,
le	DET:ART	le
porte	NOM	porte
banc	NOM	banc
de	PRP	de
<SEG>
frapper	VER:infi	frapper
beaucoup	ADV	beaucoup
muraille	NOM	muraille
poussière	NOM	poussière
en	PRP	en
de	PRP	de
à	PRP	à
la	DET:ART	le
faisant	VER:ppre	faire
contre	PRP	contre
<SEG>
,	PUN	,
c’était	VER:impf	c’était
là	ADV	là
soit	KON	soit
genre	NOM	genre
le	DET:ART	le
qu’il	ADJ	qu’il
.	SENT	.
;	PUN	;
Mais	KON	mais
<SEG>
qu’il	NOM	qu’il
pas	ADV	pas
n’eût	NOM	n’eût
ou	KON	ou
osé	VER:pper	oser
s’y	NOM	s’y
remarqué	VER:pper	remarquer
cette	PRO:DEM	ce
manœuvre	NOM	manœuvre
n’eût	VER:subi	n’eût
<SEG>
la	DET:ART	le
le	DET:ART	le
tenait	VER:impf	tenir
était	VER:impf	être
finie	VER:pper	finir
prière	NOM	prière
soumettre	VER:infi	soumettre
,	PUN	,
nouveau	ADJ	nouveau
que	KON	que
<SEG>
.	SENT	.
sa	DET:POS	son
C’était	ABR	C’était
ses	DET:POS	son
casquette	NOM	casquette
une	NUM	un
encore	ADV	encore
deux	NUM	deux
genoux	NOM	genou
sur	PRP	sur
<SEG>
coiffures	NOM	coiffure
,	PUN	,
où	PRO:REL	où
ces	PRO:DEM	ce
de	PRP	de
l’on	NOM	l’on
d’ordre	NOM	d’ordre
composite	ADJ	composite
retrouve	VER:pres	retrouver
les	DET:ART	le
<SEG>
chapska	NOM	chapska
,	PUN	,
à	PRP	à
,	PUN	,
bonnet	NOM	bonnet
poil	NOM	poil
éléments	NOM	élément
du	PRP:det	du
du	PRP:det	du
du	PRP:det	du
<SEG>
chapeau	NOM	chapeau
de	PRP	de
du	PRP:det	du
la	DET:ART	le
loutre	NOM	loutre
,	PUN	,
casquette	NOM	casquette
et	KON	et
de	PRP	de
rond	ADJ	rond
<SEG>
une	NUM	un
de	PRP	de
,	PUN	,
,	PUN	,
coton	NOM	coton
pauvres	ADJ	pauvre
choses	NOM	chose
ces	PRO:DEM	ce
bonnet	NOM	bonnet
de	PRP	de
<SEG>
muette	ADJ	muet
la	DET:ART	le
d’expression	NOM	d’expression
enfin	ADV	enfin
des	PRP:det	du
dont	PRO:REL	dont
,	PUN	,
profondeurs	NOM	profondeur
a	VER:pres	avoir
laideur	NOM	laideur
<SEG>
.	SENT	.
Ovoïde	ADJ	ovoïde
renflée	VER:pper	renfler
de	PRP	de
d’un	ADJ	d’un
le	DET:ART	le
visage	NOM	visage
imbécile	ADJ	imbécile
et	KON	et
comme	KON	comme
<SEG>
puis	ADV	puis
elle	PRO:PER	elle
circulaires	ADJ	circulaire
,	PUN	,
boudins	NOM	boudin
;	PUN	;
par	PRP	par
commençait	VER:impf	commencer
baleines	NOM	baleine
trois	NUM	trois
<SEG>
,	PUN	,
séparés	VER:pper	séparer
,	PUN	,
s’alternaient	VER:cond	s’alternaient
une	DET:ART	un
des	PRP:det	du
bande	NOM	bande
par	PRP	par
rouge	ADJ	rouge
losanges	NOM	losange
<SEG>
velours	NOM	velours
de	PRP	de
et	KON	et
poils	NOM	poil
lapin	NOM	lapin
de	PRP	de
de	PRP	de
;	PUN	;
ensuite	ADV	ensuite
venait	VER:impf	venir
<SEG>
un	DET:ART	un
polygone	NOM	polygone
de	PRP	de
une	DET:ART	un
façon	NOM	façon
qui	PRO:REL	qui
par	PRP	par
terminait	VER:impf	terminer
sac	NOM	sac
se	PRO:PER	se
<SEG>
,	PUN	,
en	PRP	en
broderie	NOM	broderie
d’une	NOM	d’une
soutache	NOM	soutache
compliquée	VER:pper	compliquer
et	KON	et
cartonné	VER:pper	cartonner
,	PUN	,
couvert	VER:pper	couvrir
<SEG>
,	PUN	,
au	PRP:det	au
cordon	NOM	cordon
trop	ADV	trop
bout	NOM	bout
d’où	NOM	d’où
long	ADJ	long
pendait	VER:impf	pendre
mince	ADJ	mince
d’un	ADJ	d’un
<SEG>
en	PRP	en
manière	NOM	manière
fils	NOM	fil|fils
,	PUN	,
petit	ADJ	petit
un	DET:ART	un
de	PRP	de
d’or	ADJ	d’or
,	PUN	,
croisillon	NOM	croisillon
<SEG>
visière	NOM	visière
était	VER:impf	être
Elle	PRO:PER	elle
la	DET:ART	le
gland	NOM	gland
.	SENT	.
brillait	VER:impf	briller
neuve	ADJ	neuf
;	PUN	;
de	PRP	de
<SEG>
-vous	PRO:PER	vous
professeur	NOM	professeur
.	SENT	.
,	PUN	,
dit	VER:pres	dire
--	PUN	--
Levez	VER:pres	lever
le	DET:ART	le
Il	PRO:PER	il
.	SENT	.
<SEG>
classe	NOM	classe
.	SENT	.
casquette	NOM	casquette
Toute	PRO:IND	tout
se	PRO:PER	se
;	PUN	;
la	DET:ART	le
tomba	VER:simp	tomber
leva	VER:simp	lever
sa	DET:POS	son
<SEG>
à	PRP	à
rire	VER:infi	rire
Il	PRO:PER	il
la	PRO:PER	la
mit	VER:simp	mettre
.	SENT	.
baissa	VER:simp	baisser
se	PRO:PER	se
se	PRO:PER	se
pour	PRP	pour
<SEG>
la	PRO:PER	la
tomber	VER:infi	tomber
Un	DET:ART	un
coup	NOM	coup
.	SENT	.
d’un	ADJ	d’un
fit	VER:simp	faire
de	PRP	de
voisin	NOM	voisin
reprendre	VER:infi	reprendre
<SEG>
ramassa	VER:simp	ramasser
encore	ADV	encore
.	SENT	.
il	PRO:PER	il
fois	NOM	foi|fois
,	PUN	,
une	DET:ART	un
la	PRO:PER	la
--	PUN	--
coude	NOM	coude
<SEG>
votre	DET:POS	votre
dit	VER:pres	dire
casque	NOM	casque
-vous	PRO:PER	vous
,	PUN	,
le	DET:ART	le
de	PRP	de
donc	ADV	donc
Débarrassez	VER:pres	débarrasser
professeur	NOM	professeur
<SEG>
homme	NOM	homme
y	PRO:PER	y
eut	VER:simp	avoir
était	VER:impf	être
d’esprit	VER:simp	d’esprit
,	PUN	,
un	DET:ART	un
.	SENT	.
qui	PRO:REL	qui
Il	PRO:PER	il
<SEG>
décontenança	VER:simp	décontenancer
un	DET:ART	un
le	DET:ART	le
qui	PRO:REL	qui
des	PRP:det	du
garçon	NOM	garçon
rire	NOM	rire
éclatant	VER:ppre	éclater
pauvre	ADJ	pauvre
écoliers	NOM	écolier
<SEG>
s’il	NOM	s’il
fallait	VER:impf	falloir
garder	VER:infi	garder
savait	VER:impf	savoir
ne	ADV	ne
si	KON	si
,	PUN	,
sa	DET:POS	son
qu’il	NOM	qu’il
bien	ADV	bien
<SEG>
casquette	NOM	casquette
,	PUN	,
laisser	VER:infi	laisser
main	NOM	main
terre	NOM	terre
par	PRP	par
la	DET:ART	le
ou	KON	ou
