s’écria	VER:simp	s’écria
à	PRP	à
!	SENT	!
«	PUN:cit	«
Zut	NAM	Zut
coup	NOM	coup
»	PUN:cit	»
Chapitre	NOM	chapitre
tout	ADV	tout
1	NUM	@card@
<SEG>
quart	ADJ	quart
Roland	NAM	Roland
un	DET:ART	un
le	DET:ART	le
qui	PRO:REL	qui
immobile	ADJ	immobile
d’heure	NOM	d’heure
demeurait	VER:impf	demeurer
depuis	PRP	depuis
père	NOM	père
<SEG>
les	DET:ART	le
l’eau	NOM	l’eau
,	PUN	,
et	KON	et
fixés	VER:pper	fixer
par	PRP	par
,	PUN	,
yeux	NOM	œil
soulevant	VER:ppre	soulever
sur	PRP	sur
<SEG>
léger	ADJ	léger
sa	DET:POS	son
,	PUN	,
ligne	NOM	ligne
mouvement	NOM	mouvement
descendue	VER:pper	descendre
moments	NOM	moment
très	ADV	très
d’un	ADJ	d’un
,	PUN	,
<SEG>
Mme	NOM	madame
assoupie	VER:pper	assoupir
la	DET:ART	le
fond	NOM	fond
Roland	NAM	Roland
au	PRP:det	au
,	PUN	,
.	SENT	.
mer	NOM	mer
de	PRP	de
<SEG>
l’arrière	NOM	l’arrière
Mme	NOM	madame
bateau	NOM	bateau
,	PUN	,
côté	NOM	côté
du	PRP:det	du
de	PRP	de
à	PRP	à
Rosémilly	NAM	Rosémilly
à	PRP	à
<SEG>
réveilla	VER:simp	réveiller
,	PUN	,
se	PRO:PER	se
,	PUN	,
invitée	VER:pper	inviter
cette	PRO:DEM	ce
partie	NOM	partie
à	PRP	à
pêche	NOM	pêche
de	PRP	de
<SEG>
:	PUN	:
tête	NOM	tête
son	DET:POS	son
Eh	NOM	Eh
mari	NOM	mari
tournant	VER:ppre	tourner
et	KON	et
la	DET:ART	le
«	PUN:cit	«
vers	PRP	vers
<SEG>
eh	INT	eh
»	PUN:cit	»
...	PUN	...
!	SENT	!
,	PUN	,
Jérôme	NAM	Jérôme
,	PUN	,
bien	ADJ	bien
bien	ADV	bien
...	PUN	...
<SEG>
Ça	VER:simp	Ça
répondit	VER:simp	répondre
,	PUN	,
Le	DET:ART	le
«	PUN:cit	«
ne	ADV	ne
bonhomme	NOM	bonhomme
furieux	ADJ	furieux
,	PUN	,
:	PUN	:
<SEG>
midi	NOM	midi
Depuis	PRP	depuis
tout	NOM	tout
n’ai	VER:simp	n’ai
du	PRP:det	du
plus	ADV	plus
.	SENT	.
je	PRO:PER	je
rien	ADV	rien
mord	VER:pres	mordre
<SEG>
.	SENT	.
pêcher	VER:infi	pêcher
jamais	ADV	jamais
devrait	VER:cond	devoir
qu’entre	NOM	qu’entre
hommes	NOM	homme
;	PUN	;
pris	VER:pper	prendre
On	PRO:PER	on
ne	ADV	ne
<SEG>
femmes	NOM	femme
font	VER:pres	faire
trop	ADV	trop
embarquer	VER:infi	embarquer
toujours	ADV	toujours
»	PUN:cit	»
les	DET:ART	le
vous	PRO:PER	vous
tard	ADV	tard
.	SENT	.
<SEG>
fils	NOM	fil|fils
Pierre	NAM	Pierre
et	KON	et
Ses	NAM	Ses
qui	PRO:REL	qui
Jean	NAM	Jean
,	PUN	,
tenaient	VER:impf	tenir
deux	NUM	deux
,	PUN	,
<SEG>
l’autre	NOM	l’autre
tribord	NOM	tribord
,	PUN	,
à	PRP	à
à	PRP	à
bâbord	NOM	bâbord
chacun	PRO:IND	chacun
l’un	NOM	l’un
,	PUN	,
,	PUN	,
<SEG>
une	DET:ART	un
enroulée	VER:pper	enrouler
se	PRO:PER	se
l’index	NOM	l’index
ligne	NOM	ligne
à	PRP	à
à	PRP	à
rire	VER:infi	rire
mirent	VER:simp	mettre
,	PUN	,
<SEG>
Tu	ADJ	Tu
répondit	VER:simp	répondre
n’es	NOM	n’es
temps	NOM	temps
«	PUN:cit	«
:	PUN	:
Jean	NAM	Jean
en	PRP	en
et	KON	et
même	ADJ	même
<SEG>
»	PUN:cit	»
papa	NOM	papa
pour	PRP	pour
galant	VER:ppre	galer
pas	ADV	pas
notre	DET:POS	notre
.	SENT	.
M	ADJ	M
invitée	NOM	invité
,	PUN	,
<SEG>
vous	PRO:PER	vous
:	PUN	:
fut	VER:simp	être
Je	PRO:PER	je
Roland	NAM	Roland
et	KON	et
.	SENT	.
«	PUN:cit	«
confus	ADJ	confus
s’excusa	VER:simp	s’excusa
<SEG>
je	PRO:PER	je
demande	VER:pres	demander
ça	PRO:DEM	cela
pardon	NOM	pardon
madame	NOM	madame
,	PUN	,
,	PUN	,
comme	ADV	comme
suis	VER:pres	suivre|être
Rosémilly	NAM	Rosémilly
<SEG>
J’invite	VER:pres	J’invite
trouver	VER:infi	trouver
avec	PRP	avec
.	SENT	.
j’aime	VER:pres	j’aime
les	DET:ART	le
que	PRO:REL	que
dames	NOM	dame
me	PRO:PER	me
parce	KON	parce
<SEG>
,	PUN	,
je	PRO:PER	je
que	KON	que
puis	ADV	puis
,	PUN	,
de	PRP	de
sens	VER:pres	sentir
elles	PRO:PER	elle
dès	PRP	dès
et	KON	et
<SEG>
pense	VER:pres	penser
ne	ADV	ne
plus	ADV	plus
l’eau	NOM	l’eau
qu’au	ADJ	qu’au
poisson	NOM	poisson
moi	PRO:PER	moi
sous	PRP	sous
je	PRO:PER	je
,	PUN	,
<SEG>
tout	ADV	tout
à	PRP	à
fait	NOM	fait
et	KON	et
Mme	NOM	madame
s’était	VER:impf	s’était
»	PUN:cit	»
.	SENT	.
réveillée	VER:pper	réveiller
Roland	NAM	Roland
<SEG>
regardait	VER:impf	regarder
large	ADJ	large
de	PRP	de
falaises	NOM	falaise
le	DET:ART	le
attendri	VER:pper	attendrir
horizon	NOM	horizon
d’un	ADJ	d’un
air	NOM	air
et	KON	et
<SEG>
cependant	ADV	cependant
mer	NOM	mer
.	SENT	.
avez	VER:pres	avoir
murmura	VER:simp	murmurer
de	PRP	de
Elle	PRO:PER	elle
Vous	NAM	Vous
:	PUN	:
«	PUN:cit	«
<SEG>
belle	ADJ	beau
son	DET:POS	son
fait	VER:pper	faire
Mais	VER:impf	Mais
remuait	VER:impf	remuer
pêche	NOM	pêche
»	PUN:cit	»
mari	NOM	mari
.	SENT	.
une	DET:ART	un
<SEG>
un	DET:ART	un
dire	VER:infi	dire
,	PUN	,
en	PRP	en
tout	ADV	tout
pour	PRP	pour
non	ADV	non
tête	NOM	tête
la	DET:ART	le
jetant	VER:ppre	jeter
<SEG>
capturé	VER:pper	capturer
poisson	NOM	poisson
le	DET:ART	le
d’œil	ADJ	d’œil
panier	NOM	panier
le	DET:ART	le
où	PRO:REL	où
coup	NOM	coup
sur	PRP	sur
bienveillant	ADJ	bienveillant
<SEG>
encore	ADV	encore
trois	NUM	trois
,	PUN	,
les	DET:ART	le
un	DET:ART	un
par	PRP	par
avec	PRP	avec
vaguement	ADV	vaguement
hommes	NOM	homme
palpitait	VER:impf	palpiter
<SEG>
et	KON	et
d’efforts	NOM	d’efforts
,	PUN	,
nageoires	NOM	nageoire
soulevées	VER:pper	soulever
bruit	NOM	bruit
d’écailles	VER:subp	d’écailles
de	PRP	de
gluantes	ADJ	gluant
doux	ADJ	doux
<SEG>
et	KON	et
dans	PRP	dans
l’air	NOM	l’air
,	PUN	,
bâillements	NOM	bâillement
et	KON	et
de	PRP	de
impuissants	ADJ	impuissant
mous	ADJ	mou
mortel	ADJ	mortel
<SEG>
père	NOM	père
.	SENT	.
entre	PRP	entre
la	DET:ART	le
ses	DET:POS	son
genoux	NOM	genou
saisit	VER:pres	saisir
manne	NOM	manne
Roland	NAM	Roland
Le	DET:ART	le
<SEG>
le	DET:ART	le
fit	VER:simp	faire
couler	VER:infi	couler
,	PUN	,
pencha	VER:simp	pencher
,	PUN	,
jusqu’au	NOM	jusqu’au
flot	NOM	flot
bord	NOM	bord
la	PRO:PER	la
<SEG>
pour	PRP	pour
du	PRP:det	du
d’argent	ADJ	d’argent
bêtes	NOM	bête
des	PRP:det	du
et	KON	et
celles	PRO:DEM	celui
,	PUN	,
voir	VER:infi	voir
fond	NOM	fond
<SEG>
d’agonie	NOM	d’agonie
leur	DET:POS	leur
palpitation	NOM	palpitation
s’accentua	VER:simp	s’accentua
et	KON	et
,	PUN	,
de	PRP	de
leur	DET:POS	leur
forte	ADJ	fort
l’odeur	NOM	l’odeur
<SEG>
,	PUN	,
du	PRP:det	du
puanteur	NOM	puanteur
monta	VER:simp	monter
de	PRP	de
,	PUN	,
marée	NOM	marée
corps	NOM	corps
une	DET:ART	un
saine	ADJ	sain
<SEG>
la	PRO:PER	la
.	SENT	.
la	DET:ART	le
ventre	NOM	ventre
pêcheur	NOM	pêcheur
plein	ADJ	plein
de	PRP	de
Le	DET:ART	le
vieux	ADJ	vieux
corbeille	NOM	corbeille
<SEG>
,	PUN	,
on	PRO:PER	on
comme	KON	comme
sent	VER:pres	sentir
et	KON	et
,	PUN	,
des	PRP:det	du
huma	VER:simp	humer
vivement	ADV	vivement
roses	NOM	rose
<SEG>
ils	PRO:PER	il
Cristi	NAM	Cristi
frais	ADJ	frais
,	PUN	,
sont	VER:pres	être
!	SENT	!
déclara	VER:simp	déclarer
ceux	PRO:DEM	celui
:	PUN	:
«	PUN:cit	«
<SEG>
«	PUN:cit	«
:	PUN	:
-là	ADV	là
