I	NUM	I
de	PRP	de
La	DET:ART	le
.	SENT	.
--	PUN	--
Quatre	NUM	quatre
petite	ADJ	petit
poules	NOM	poule
femme	NOM	femme
ménage	NOM	ménage
<SEG>
c'	PRO:DEM	ce
agneau	NOM	agneau
trois	NUM	trois
,	PUN	,
,	PUN	,
lapins	NOM	lapin
était	VER:impf	être
toute	PRO:IND	tout
un	DET:ART	un
,	PUN	,
<SEG>
Madeleine	NAM	Madeleine
enfant	NOM	enfant
de	PRP	de
la	DET:ART	le
fortune	NOM	fortune
ans	NOM	an
,	PUN	,
treize	NUM	treize
,	PUN	,
de	PRP	de
<SEG>
d'	PRP	de
pauvre	NOM	pauvre
seul	ADJ	seul
deux	NUM	deux
avait	VER:impf	avoir
appui	NOM	appui
veuve	ADJ	veuf|veuve
une	DET:ART	un
qui	PRO:REL	qui
encore	ADV	encore
<SEG>
petits	ADJ	petit
garçons	NOM	garçon
en	PRP	en
de	PRP	de
famille	NOM	famille
.	SENT	.
bas	ADJ	bas
Le	DET:ART	le
âge	NOM	âge
père	NOM	père
<SEG>
.	SENT	.
La	DET:ART	le
dix-huit	NUM	dix-huit
depuis	PRP	depuis
mère	NOM	mère
mort	VER:pper	mourir
avait	VER:impf	avoir
lutté	VER:pper	lutter
était	VER:impf	être
mois	NOM	moi|mois
<SEG>
le	DET:ART	le
forces	NOM	force|forces
ses	DET:POS	son
,	PUN	,
toutes	PRO:IND	tout
de	PRP	de
contre	PRP	contre
sa	DET:POS	son
malheur	NOM	malheur
mais	KON	mais
<SEG>
la	PRO:PER	la
aux	PRP:det	au
la	DET:ART	le
rudes	ADJ	rude
santé	NOM	santé
ébranlée	VER:pper	ébranler
travaux	NOM	travail
rendait	VER:impf	rendre
inhabile	ADJ	inhabile
de	PRP	de
<SEG>
,	PUN	,
d'	PRP	de
campagne	NOM	campagne
ses	DET:POS	son
demandaient	VER:impf	demander
et	KON	et
ailleurs	ADV	ailleurs
des	PRP:det	du
jeunes	ADJ	jeune
enfants	NOM	enfant
<SEG>
soins	NOM	soin
bonne	ADJ	bon
courage	NOM	courage
volonté	NOM	volonté
;	PUN	;
assidus	ADJ	assidu
et	KON	et
malgré	PRP	malgré
son	DET:POS	son
sa	DET:POS	son
<SEG>
orphelins	NOM	orphelin
ce	PRO:DEM	ce
la	DET:ART	le
des	PRP:det	du
menaçait	VER:impf	menacer
,	PUN	,
chaumière	NOM	chaumière
la	DET:ART	le
;	PUN	;
misère	NOM	misère
<SEG>
grandes	ADJ	grand
cette	PRO:DEM	ce
villes	NOM	ville
désespérante	ADJ	désespérant
des	PRP:det	du
n'	ADV	ne
misère	NOM	misère
;	PUN	;
pas	ADV	pas
était	VER:impf	être
<SEG>
,	PUN	,
des	PRP:det	du
roses	NOM	rose
il	PRO:PER	il
toujours	ADV	toujours
non	ADV	non
dans	PRP	dans
y	PRO:PER	y
avait	VER:impf	avoir
le	DET:ART	le
<SEG>
jardin	NOM	jardin
