garçons	NOM	garçon
toute	PRO:IND	tout
--	PUN	--
encore	ADV	encore
deux	NUM	deux
,	PUN	,
trois	NUM	trois
,	PUN	,
père	NOM	père
famille	NOM	famille
était	VER:impf	être
ménage	NOM	ménage
une	DET:ART	un
en	PRP	en
c'	PRO:DEM	ce
de	PRP	de
qui	PRO:REL	qui
appui	NOM	appui
I	NUM	I
Quatre	NUM	quatre
avait	VER:impf	avoir
,	PUN	,
,	PUN	,
fortune	NOM	fortune
de	PRP	de
veuve	ADJ	veuf|veuve
Le	DET:ART	le
Madeleine	NAM	Madeleine
âge	NOM	âge
agneau	NOM	agneau
petite	ADJ	petit
.	SENT	.
.	SENT	.
un	DET:ART	un
bas	ADJ	bas
lapins	NOM	lapin
de	PRP	de
d'	PRP	de
petits	ADJ	petit
La	DET:ART	le
enfant	NOM	enfant
pauvre	NOM	pauvre
,	PUN	,
poules	NOM	poule
seul	ADJ	seul
la	DET:ART	le
femme	NOM	femme
treize	NUM	treize
ans	NOM	an
de	PRP	de
<SEG>
la	DET:ART	le
assidus	ADJ	assidu
malheur	NOM	malheur
ses	DET:POS	son
était	VER:impf	être
et	KON	et
enfants	NOM	enfant
lutté	VER:pper	lutter
la	PRO:PER	la
et	KON	et
des	PRP:det	du
santé	NOM	santé
aux	PRP:det	au
contre	PRP	contre
.	SENT	.
mais	KON	mais
,	PUN	,
son	DET:POS	son
d'	PRP	de
toutes	PRO:IND	tout
le	DET:ART	le
demandaient	VER:impf	demander
de	PRP	de
,	PUN	,
forces	NOM	force|forces
soins	NOM	soin
campagne	NOM	campagne
ailleurs	ADV	ailleurs
ses	DET:POS	son
travaux	NOM	travail
avait	VER:impf	avoir
sa	DET:POS	son
courage	NOM	courage
;	PUN	;
mois	NOM	moi|mois
bonne	ADJ	bon
mort	VER:pper	mourir
La	DET:ART	le
sa	DET:POS	son
dix-huit	NUM	dix-huit
volonté	NOM	volonté
inhabile	ADJ	inhabile
ébranlée	VER:pper	ébranler
malgré	PRP	malgré
depuis	PRP	depuis
mère	NOM	mère
jeunes	ADJ	jeune
rudes	ADJ	rude
rendait	VER:impf	rendre
de	PRP	de
<SEG>
cette	PRO:DEM	ce
la	DET:ART	le
désespérante	ADJ	désespérant
était	VER:impf	être
n'	ADV	ne
roses	NOM	rose
dans	PRP	dans
un	DET:ART	un
,	PUN	,
n'	ADV	ne
,	PUN	,
;	PUN	;
verdure	NOM	verdure
,	PUN	,
dans	PRP	dans
yeux	NOM	œil
des	PRP:det	du
reposer	VER:infi	reposer
;	PUN	;
des	PRP:det	du
orphelins	NOM	orphelin
misère	NOM	misère
tapis	NOM	tapis
parfums	NOM	parfum
l'	DET:ART	le
il	PRO:PER	il
grandes	ADJ	grand
des	PRP:det	du
,	PUN	,
ce	PRO:DEM	ce
Ce	PRO:DEM	ce
la	DET:ART	le
les	DET:ART	le
le	DET:ART	le
des	PRP:det	du
air	NOM	air
.	SENT	.
toujours	ADV	toujours
non	ADV	non
petit	ADJ	petit
y	PRO:PER	y
misère	NOM	misère
chaumière	NOM	chaumière
de	PRP	de
avait	VER:impf	avoir
villes	NOM	ville
pour	PRP	pour
jardin	NOM	jardin
pas	ADV	pas
menaçait	VER:impf	menacer
<SEG>
plutôt	ADV	plutôt
du	PRP:det	du
sommeil	NOM	sommeil
village	NOM	village
son	DET:POS	son
son	DET:POS	son
montrer	VER:infi	montrer
courir	VER:infi	courir
ses	DET:POS	son
dans	PRP	dans
enfants	NOM	enfant
de	PRP	de
pantalon	NOM	pantalon
avec	PRP	avec
laisser	VER:infi	laisser
la	DET:ART	le
à	PRP	à
se	PRO:PER	se
des	PRP:det	du
abrégé	VER:pper	abréger
pas	ADV	pas
sombre	ADJ	sombre
cette	PRO:DEM	ce
habits	NOM	habit
que	KON	que
non	ADV	non
plus	ADV	plus
temps	NOM	temps
était	VER:impf	être
pour	PRP	pour
.	SENT	.
pitié	NOM	pitié
haillons	NOM	haillon
.	SENT	.
qui	PRO:REL	qui
noir	ADJ	noir
visage	NOM	visage
le	DET:ART	le
Au	PRP:det	au
ses	DET:POS	son
aurait	VER:cond	avoir
plaît	VER:pres	plaire
attirer	VER:infi	attirer
déchirés	VER:pper	déchirer
hardie	ADJ	hardi
le	DET:ART	le
et	KON	et
pauvreté	NOM	pauvreté
Brigitte	NAM	Brigitte
de	PRP	de
<SEG>
petit	ADJ	petit
ne	ADV	ne
se	PRO:PER	se
on	PRO:PER	on
faveur	NOM	faveur
bon	ADJ	bon
quand	KON	quand
quand	KON	quand
est	VER:pres	être
,	PUN	,
témoignait	VER:impf	témoigner
on	PRO:PER	on
de	PRP	de
parfaitement	ADV	parfaitement
ménagère	NOM	ménager|ménagère
les	DET:ART	le
cependant	ADV	cependant
et	KON	et
renouvellent	VER:pres	renouveler
,	PUN	,
il	PRO:PER	il
faire	VER:infi	faire
marron	ADJ	marron
y	PRO:PER	y
mise	VER:pper	mettre
la	DET:ART	le
on	PRO:PER	on
qui	PRO:REL	qui
,	PUN	,
Que	KON	que
pièce	NOM	pièce
quand	KON	quand
.	SENT	.
peut	VER:pres	pouvoir
,	PUN	,
besoins	NOM	besoin
Jacques	NAM	Jacques
qu'	KON	que
manquent	VER:pres	manquer
en	PRP	en
plus	ADV	plus
trop	ADV	trop
aux	PRP:det	au
malheureux	ADJ	malheureux
qui	PRO:REL	qui
sent	VER:pres	sentir
suffire	VER:infi	suffire
forces	NOM	force|forces
une	DET:ART	un
avait	VER:impf	avoir
<SEG>
;	PUN	;
?	SENT	?
les	DET:ART	le
et	KON	et
,	PUN	,
,	PUN	,
?	SENT	?
:	PUN	:
,	PUN	,
savait	VER:impf	savoir
Un	DET:ART	un
lève	VER:pres	lever
eut	VER:simp	avoir
