	Flaubert_MadameBovary_0	Flaubert_MadameBovary_1	Flaubert_MadameBovary_2	Flaubert_MadameBovary_3	Flaubert_MadameBovary_4	Flaubert_MadameBovary_5	Flaubert_MadameBovary_6	Flaubert_MadameBovary_7	Flaubert_MadameBovary_8	Flaubert_MadameBovary_9	Flaubert_MadameBovary_10	Flaubert_MadameBovary_11	Flaubert_MadameBovary_12	Flaubert_MadameBovary_13	Flaubert_MadameBovary_14	Flaubert_MadameBovary_15	Flaubert_MadameBovary_16	Flaubert_MadameBovary_17	Flaubert_MadameBovary_18	Flaubert_MadameBovary_19	Flaubert_MadameBovary_20	Flaubert_MadameBovary_21	Flaubert_MadameBovary_22	Flaubert_MadameBovary_23	Flaubert_MadameBovary_24	Flaubert_MadameBovary_25	Flaubert_MadameBovary_26	Flaubert_MadameBovary_sum
,_PUN_,	498.0	467.0	509.0	494.0	502.0	485.0	497.0	465.0	456.0	429.0	437.0	483.0	433.0	455.0	428.0	435.0	456.0	483.0	466.0	452.0	449.0	455.0	447.0	428.0	433.0	428.0	419.0	12389.0
._SENT_.	187.0	165.0	134.0	150.0	192.0	151.0	162.0	184.0	188.0	190.0	192.0	158.0	252.0	184.0	180.0	180.0	187.0	155.0	189.0	192.0	191.0	215.0	197.0	196.0	199.0	216.0	220.0	5006.0
de_PRP_de	195.0	183.0	210.0	194.0	170.0	214.0	184.0	156.0	151.0	159.0	165.0	154.0	147.0	152.0	167.0	146.0	158.0	189.0	148.0	132.0	146.0	152.0	146.0	146.0	125.0	135.0	142.0	4366.0
la_DET:ART_le	98.0	115.0	133.0	119.0	116.0	147.0	131.0	136.0	97.0	118.0	104.0	107.0	87.0	100.0	92.0	89.0	110.0	105.0	89.0	97.0	128.0	86.0	81.0	97.0	100.0	105.0	102.0	2889.0
et_KON_et	101.0	78.0	98.0	104.0	105.0	97.0	103.0	118.0	91.0	91.0	95.0	110.0	87.0	91.0	88.0	84.0	88.0	89.0	91.0	99.0	99.0	78.0	84.0	81.0	85.0	86.0	101.0	2522.0
à_PRP_à	88.0	94.0	119.0	100.0	95.0	106.0	100.0	106.0	83.0	80.0	62.0	83.0	69.0	84.0	71.0	77.0	94.0	91.0	82.0	85.0	76.0	88.0	73.0	87.0	63.0	77.0	82.0	2315.0
les_DET:ART_le	75.0	79.0	96.0	109.0	110.0	92.0	76.0	65.0	68.0	71.0	74.0	78.0	81.0	58.0	70.0	51.0	66.0	92.0	66.0	66.0	94.0	48.0	62.0	60.0	60.0	80.0	64.0	2011.0
le_DET:ART_le	90.0	85.0	71.0	87.0	76.0	68.0	79.0	69.0	66.0	63.0	66.0	85.0	57.0	66.0	62.0	40.0	63.0	75.0	60.0	81.0	61.0	72.0	59.0	60.0	58.0	86.0	65.0	1870.0
des_PRP:det_du	60.0	53.0	99.0	99.0	96.0	64.0	69.0	72.0	42.0	64.0	75.0	77.0	58.0	31.0	34.0	58.0	62.0	58.0	48.0	60.0	81.0	38.0	54.0	23.0	34.0	48.0	54.0	1611.0
!_SENT_!	16.0	29.0	5.0	9.0	19.0	36.0	31.0	15.0	54.0	59.0	90.0	55.0	90.0	50.0	95.0	94.0	46.0	58.0	54.0	95.0	59.0	59.0	74.0	91.0	133.0	64.0	36.0	1516.0
;_PUN_;	33.0	69.0	39.0	40.0	47.0	40.0	46.0	66.0	61.0	52.0	56.0	54.0	43.0	50.0	40.0	72.0	76.0	57.0	44.0	39.0	47.0	54.0	50.0	48.0	53.0	62.0	55.0	1393.0
se_PRO:PER_se	59.0	62.0	48.0	56.0	41.0	36.0	29.0	44.0	46.0	60.0	41.0	50.0	53.0	50.0	50.0	60.0	46.0	57.0	67.0	40.0	59.0	50.0	43.0	51.0	52.0	62.0	53.0	1365.0
--_PUN_--	12.0	14.0	2.0	9.0	11.0	17.0	41.0	28.0	68.0	58.0	73.0	50.0	62.0	45.0	48.0	69.0	36.0	59.0	87.0	65.0	47.0	67.0	76.0	90.0	85.0	47.0	18.0	1284.0
il_PRO:PER_il	66.0	49.0	46.0	15.0	35.0	30.0	46.0	52.0	50.0	51.0	50.0	30.0	36.0	54.0	35.0	52.0	44.0	39.0	38.0	38.0	37.0	63.0	48.0	57.0	41.0	63.0	79.0	1244.0
un_DET:ART_un	51.0	48.0	49.0	48.0	44.0	52.0	54.0	50.0	35.0	48.0	40.0	35.0	47.0	45.0	42.0	40.0	43.0	54.0	52.0	40.0	45.0	34.0	51.0	40.0	34.0	46.0	44.0	1211.0
qui_PRO:REL_qui	38.0	34.0	57.0	38.0	39.0	54.0	44.0	37.0	49.0	37.0	41.0	47.0	39.0	44.0	39.0	34.0	51.0	50.0	36.0	30.0	42.0	31.0	33.0	32.0	43.0	55.0	44.0	1118.0
dans_PRP_dans	49.0	43.0	66.0	50.0	52.0	37.0	48.0	38.0	38.0	37.0	26.0	36.0	34.0	36.0	32.0	37.0	48.0	39.0	46.0	40.0	42.0	39.0	40.0	29.0	37.0	53.0	42.0	1114.0
elle_PRO:PER_elle	20.0	45.0	35.0	39.0	50.0	27.0	21.0	34.0	40.0	51.0	15.0	23.0	53.0	35.0	28.0	41.0	73.0	29.0	34.0	24.0	64.0	40.0	53.0	50.0	46.0	23.0	20.0	1013.0
en_PRP_en	42.0	40.0	39.0	44.0	35.0	55.0	45.0	32.0	29.0	40.0	35.0	30.0	33.0	25.0	45.0	33.0	30.0	37.0	35.0	28.0	51.0	24.0	27.0	38.0	24.0	38.0	28.0	962.0
une_DET:ART_un	33.0	31.0	38.0	34.0	40.0	33.0	23.0	34.0	29.0	30.0	31.0	15.0	33.0	31.0	30.0	33.0	23.0	29.0	33.0	30.0	29.0	29.0	27.0	34.0	29.0	34.0	40.0	835.0
sa_DET:POS_son	41.0	35.0	27.0	35.0	34.0	30.0	21.0	33.0	39.0	34.0	18.0	25.0	38.0	32.0	24.0	24.0	36.0	37.0	27.0	22.0	28.0	35.0	29.0	39.0	25.0	21.0	36.0	825.0
sur_PRP_sur	31.0	30.0	36.0	49.0	35.0	36.0	30.0	47.0	36.0	30.0	26.0	28.0	29.0	23.0	24.0	17.0	18.0	31.0	24.0	31.0	33.0	25.0	27.0	25.0	34.0	41.0	23.0	819.0
lui_PRO:PER_lui	49.0	32.0	33.0	28.0	26.0	17.0	21.0	24.0	26.0	23.0	23.0	16.0	24.0	31.0	40.0	27.0	40.0	21.0	23.0	23.0	37.0	40.0	36.0	35.0	32.0	32.0	38.0	797.0
son_DET:POS_son	41.0	37.0	37.0	25.0	33.0	29.0	30.0	42.0	36.0	29.0	24.0	22.0	31.0	23.0	31.0	24.0	28.0	26.0	34.0	29.0	31.0	30.0	22.0	25.0	32.0	15.0	28.0	794.0
du_PRP:det_du	26.0	28.0	24.0	44.0	36.0	43.0	31.0	34.0	27.0	28.0	31.0	29.0	28.0	30.0	24.0	20.0	27.0	35.0	25.0	35.0	20.0	26.0	24.0	23.0	25.0	26.0	31.0	780.0
ne_ADV_ne	20.0	33.0	15.0	19.0	11.0	18.0	23.0	22.0	31.0	30.0	13.0	16.0	21.0	35.0	37.0	27.0	29.0	19.0	34.0	35.0	23.0	40.0	34.0	25.0	36.0	21.0	26.0	693.0
pas_ADV_pas	14.0	25.0	11.0	11.0	12.0	19.0	20.0	19.0	33.0	23.0	16.0	23.0	26.0	35.0	34.0	21.0	30.0	16.0	30.0	29.0	17.0	30.0	36.0	29.0	32.0	23.0	19.0	633.0
au_PRP:det_au	33.0	34.0	36.0	30.0	35.0	20.0	25.0	21.0	16.0	17.0	21.0	22.0	22.0	25.0	15.0	25.0	20.0	24.0	23.0	29.0	25.0	17.0	17.0	23.0	14.0	19.0	23.0	631.0
que_KON_que	17.0	22.0	15.0	13.0	19.0	25.0	28.0	27.0	25.0	21.0	22.0	29.0	22.0	34.0	36.0	25.0	36.0	24.0	19.0	17.0	15.0	25.0	27.0	19.0	25.0	19.0	23.0	629.0
