	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_sum
,_PUN_,	509.0	499.0	489.0	453.0	517.0	446.0	505.0	515.0	510.0	521.0	528.0	530.0	477.0	552.0	549.0	522.0	512.0	517.0	517.0	519.0	516.0	513.0	537.0	535.0	510.0	567.0	533.0	554.0	508.0	515.0	485.0	505.0	525.0	508.0	483.0	17981.0
._SENT_.	232.0	229.0	230.0	276.0	223.0	252.0	249.0	221.0	238.0	204.0	241.0	195.0	246.0	229.0	212.0	248.0	269.0	241.0	212.0	202.0	228.0	231.0	206.0	211.0	217.0	201.0	233.0	211.0	223.0	238.0	210.0	208.0	182.0	169.0	202.0	7819.0
de_PRP_de	188.0	164.0	192.0	149.0	172.0	149.0	168.0	156.0	177.0	182.0	188.0	209.0	157.0	158.0	184.0	176.0	143.0	167.0	164.0	156.0	162.0	165.0	208.0	167.0	184.0	189.0	159.0	176.0	169.0	196.0	193.0	169.0	202.0	165.0	163.0	6066.0
la_DET:ART_le	86.0	97.0	90.0	88.0	94.0	93.0	58.0	81.0	76.0	115.0	115.0	101.0	95.0	120.0	112.0	72.0	88.0	94.0	97.0	98.0	97.0	75.0	81.0	87.0	89.0	92.0	83.0	85.0	86.0	113.0	82.0	94.0	75.0	78.0	117.0	3204.0
le_DET:ART_le	80.0	95.0	78.0	68.0	66.0	75.0	62.0	53.0	77.0	96.0	94.0	109.0	82.0	67.0	78.0	76.0	69.0	70.0	43.0	51.0	75.0	73.0	63.0	59.0	61.0	54.0	55.0	71.0	70.0	62.0	66.0	59.0	62.0	59.0	60.0	2438.0
à_PRP_à	61.0	55.0	62.0	47.0	61.0	59.0	74.0	74.0	60.0	67.0	61.0	70.0	56.0	70.0	59.0	44.0	48.0	59.0	74.0	61.0	73.0	42.0	55.0	57.0	57.0	58.0	51.0	43.0	60.0	40.0	49.0	57.0	55.0	53.0	67.0	2039.0
les_DET:ART_le	64.0	60.0	56.0	49.0	50.0	65.0	55.0	58.0	50.0	68.0	55.0	63.0	34.0	57.0	62.0	54.0	62.0	44.0	41.0	69.0	49.0	54.0	62.0	50.0	55.0	71.0	62.0	77.0	54.0	55.0	70.0	42.0	64.0	74.0	58.0	2013.0
et_KON_et	68.0	67.0	69.0	46.0	52.0	55.0	65.0	60.0	49.0	67.0	57.0	64.0	46.0	59.0	58.0	54.0	44.0	44.0	53.0	63.0	56.0	44.0	57.0	60.0	58.0	58.0	49.0	60.0	38.0	32.0	48.0	59.0	57.0	60.0	58.0	1934.0
un_DET:ART_un	60.0	61.0	56.0	52.0	62.0	51.0	46.0	39.0	58.0	42.0	47.0	58.0	72.0	58.0	61.0	59.0	42.0	44.0	50.0	37.0	66.0	44.0	69.0	50.0	47.0	59.0	62.0	55.0	45.0	50.0	56.0	48.0	64.0	70.0	49.0	1889.0
des_PRP:det_du	59.0	55.0	52.0	46.0	34.0	38.0	46.0	57.0	49.0	59.0	47.0	64.0	40.0	46.0	85.0	36.0	33.0	55.0	75.0	77.0	42.0	38.0	63.0	57.0	44.0	84.0	64.0	65.0	37.0	63.0	49.0	45.0	68.0	59.0	48.0	1879.0
!_SENT_!	59.0	38.0	37.0	56.0	42.0	36.0	56.0	39.0	64.0	52.0	47.0	26.0	88.0	31.0	20.0	52.0	52.0	62.0	46.0	29.0	67.0	81.0	44.0	39.0	58.0	60.0	62.0	90.0	48.0	60.0	36.0	67.0	51.0	78.0	101.0	1874.0
elle_PRO:PER_elle	16.0	30.0	52.0	67.0	39.0	14.0	51.0	28.0	43.0	25.0	52.0	33.0	64.0	47.0	48.0	90.0	25.0	81.0	62.0	74.0	39.0	41.0	61.0	81.0	51.0	37.0	49.0	29.0	65.0	32.0	78.0	73.0	72.0	64.0	38.0	1751.0
une_DET:ART_un	66.0	50.0	32.0	38.0	47.0	39.0	36.0	42.0	29.0	42.0	39.0	58.0	44.0	41.0	57.0	45.0	51.0	33.0	49.0	28.0	42.0	45.0	47.0	29.0	44.0	42.0	51.0	47.0	43.0	45.0	50.0	45.0	42.0	41.0	52.0	1531.0
--_PUN_--	48.0	39.0	42.0	68.0	68.0	65.0	48.0	49.0	45.0	50.0	46.0	32.0	46.0	25.0	25.0	61.0	32.0	32.0	29.0	26.0	55.0	66.0	33.0	44.0	51.0	42.0	46.0	35.0	47.0	52.0	33.0	30.0	22.0	31.0	62.0	1525.0
se_PRO:PER_se	43.0	46.0	38.0	36.0	20.0	39.0	52.0	58.0	40.0	48.0	44.0	43.0	44.0	46.0	51.0	48.0	54.0	57.0	50.0	46.0	37.0	45.0	35.0	40.0	51.0	38.0	37.0	33.0	40.0	45.0	47.0	46.0	51.0	35.0	34.0	1517.0
il_PRO:PER_il	29.0	30.0	25.0	23.0	44.0	46.0	41.0	38.0	36.0	39.0	30.0	41.0	32.0	49.0	48.0	30.0	113.0	44.0	41.0	48.0	30.0	63.0	49.0	61.0	45.0	34.0	33.0	25.0	52.0	44.0	41.0	62.0	74.0	42.0	22.0	1504.0
dans_PRP_dans	25.0	38.0	34.0	34.0	28.0	33.0	26.0	19.0	43.0	35.0	39.0	39.0	40.0	33.0	43.0	34.0	41.0	28.0	37.0	36.0	41.0	31.0	32.0	37.0	35.0	37.0	41.0	37.0	39.0	27.0	37.0	32.0	33.0	43.0	32.0	1219.0
;_PUN_;	23.0	35.0	34.0	30.0	34.0	29.0	34.0	46.0	38.0	30.0	19.0	35.0	23.0	36.0	37.0	18.0	21.0	33.0	34.0	34.0	23.0	23.0	37.0	35.0	35.0	35.0	36.0	31.0	29.0	19.0	42.0	35.0	39.0	29.0	45.0	1116.0
qui_PRO:REL_qui	42.0	34.0	35.0	27.0	44.0	33.0	27.0	35.0	37.0	42.0	31.0	30.0	28.0	40.0	27.0	26.0	24.0	25.0	34.0	38.0	32.0	23.0	30.0	35.0	29.0	30.0	29.0	40.0	24.0	32.0	31.0	27.0	31.0	30.0	31.0	1113.0
pas_ADV_pas	22.0	22.0	31.0	42.0	21.0	33.0	36.0	37.0	32.0	20.0	25.0	17.0	39.0	26.0	25.0	33.0	42.0	35.0	34.0	42.0	42.0	53.0	27.0	35.0	37.0	31.0	28.0	17.0	37.0	25.0	28.0	41.0	22.0	28.0	40.0	1105.0
ne_ADV_ne	23.0	21.0	28.0	35.0	35.0	30.0	23.0	35.0	39.0	22.0	27.0	12.0	36.0	29.0	32.0	34.0	46.0	41.0	37.0	37.0	24.0	35.0	27.0	40.0	22.0	22.0	34.0	19.0	43.0	25.0	36.0	33.0	40.0	31.0	30.0	1083.0
en_PRP_en	40.0	34.0	26.0	25.0	27.0	28.0	31.0	19.0	31.0	36.0	45.0	38.0	38.0	31.0	36.0	27.0	24.0	34.0	36.0	32.0	20.0	21.0	37.0	29.0	26.0	31.0	29.0	27.0	20.0	20.0	35.0	16.0	40.0	29.0	34.0	1052.0
..._PUN_...	20.0	14.0	20.0	25.0	31.0	34.0	26.0	31.0	22.0	24.0	13.0	16.0	31.0	15.0	10.0	34.0	29.0	19.0	18.0	19.0	39.0	51.0	20.0	25.0	37.0	34.0	38.0	48.0	35.0	38.0	26.0	45.0	28.0	53.0	53.0	1021.0
son_DET:POS_son	21.0	20.0	29.0	22.0	34.0	25.0	34.0	36.0	24.0	23.0	38.0	20.0	25.0	19.0	25.0	30.0	22.0	24.0	16.0	19.0	20.0	17.0	29.0	28.0	26.0	26.0	24.0	31.0	32.0	30.0	28.0	46.0	36.0	34.0	21.0	934.0
que_KON_que	26.0	29.0	24.0	27.0	23.0	29.0	25.0	22.0	37.0	26.0	28.0	21.0	21.0	26.0	23.0	23.0	18.0	30.0	29.0	29.0	24.0	19.0	25.0	27.0	22.0	28.0	28.0	24.0	19.0	27.0	20.0	21.0	19.0	25.0	21.0	865.0
avec_PRP_avec	32.0	28.0	22.0	18.0	25.0	22.0	24.0	25.0	23.0	22.0	28.0	19.0	18.0	25.0	22.0	21.0	21.0	31.0	23.0	33.0	32.0	22.0	25.0	34.0	25.0	21.0	28.0	21.0	28.0	26.0	17.0	30.0	24.0	28.0	20.0	863.0
lui_PRO:PER_lui	8.0	11.0	32.0	23.0	30.0	17.0	19.0	31.0	12.0	17.0	20.0	18.0	31.0	31.0	21.0	31.0	33.0	32.0	32.0	32.0	16.0	19.0	28.0	23.0	28.0	18.0	21.0	14.0	29.0	16.0	34.0	40.0	40.0	32.0	15.0	854.0
avait_VER:impf_avoir	22.0	19.0	32.0	20.0	29.0	26.0	34.0	21.0	18.0	20.0	25.0	26.0	30.0	25.0	18.0	22.0	22.0	28.0	32.0	35.0	15.0	18.0	24.0	18.0	24.0	25.0	22.0	23.0	25.0	21.0	27.0	25.0	27.0	25.0	20.0	843.0
du_PRP:det_du	35.0	27.0	26.0	31.0	22.0	26.0	21.0	29.0	37.0	32.0	32.0	28.0	18.0	17.0	27.0	23.0	17.0	19.0	18.0	27.0	21.0	17.0	18.0	18.0	10.0	21.0	24.0	22.0	9.0	36.0	21.0	16.0	14.0	19.0	18.0	796.0
