LA	NAM	la
CONSPIRATION	NAM	conspiration
Où	ABR	où
--	PUN	--
PREMIÈRE	NUM	premier
PARTIE	NOM	partie
établit	VER:pres	établir
EN	NAM	en
Fortune	NAM	fortune
DENTELLES	NAM	dentelles
<SEG>
a	VER:pres	avoir
une	DET:ART	un
qu'	KON	que
.	SENT	.
--	PUN	--
Monseigneur	NOM	monseigneur
étoile	NOM	étoile
il	PRO:PER	il
,	PUN	,
<EOS>	<EOS>	<EOS>
<SEG>
dit	VER:pres	dire
nous	PRO:PER	nous
n'	ADV	ne
nous	PRO:PER	nous
avons	VER:pres	avoir
,	PUN	,
Fortune	NAM	fortune
point	ADV	point
Français	NAM	français
autres	ADJ	autre
<SEG>
vanterie	NOM	vanterie
S'	PRO:PER	se
.	SENT	.
Espagnols	NAM	espagnols
y	PRO:PER	y
il	PRO:PER	il
la	DET:ART	le
a	VER:pres	avoir
<EOS>	<EOS>	<EOS>
des	PRP:det	du
<SEG>
que	KON	que
chez	PRP	chez
est	VER:pres	être
défaut	NOM	défaut
ne	ADV	ne
,	PUN	,
c'	PRO:DEM	ce
nous	PRO:PER	nous
un	DET:ART	un
nous	PRO:PER	nous
<SEG>
suffisamment	ADV	suffisamment
faire	VER:infi	faire
.	SENT	.
valoir	VER:infi	valoir
nous	PRO:PER	nous
suis	VER:pres	suivre|être
savons	VER:pres	savoir
<EOS>	<EOS>	<EOS>
pas	ADV	pas
Je	PRO:PER	je
<SEG>
et	KON	et
à	PRP	à
quant	PRP	quant
faites	VER:pper	faire
,	PUN	,
,	PUN	,
preuves	NOM	preuve
sont	VER:pres	être
mes	DET:POS	mon
brave	ADJ	brave
<SEG>
en	PRO:PER	en
à	PRP	à
,	PUN	,
revendre	VER:infi	revendre
vérité	NOM	vérité
en	PRP	en
prudence	NOM	prudence
ai	VER:pres	avoir
j'	PRO:PER	je
la	DET:ART	le
<SEG>
.	SENT	.
,	PUN	,
<EOS>	<EOS>	<EOS>
à	PRP	à
à	PRP	à
Florence	NAM	florence
Paris	NAM	paris
comme	ADV	comme
À	PRP	à
,	PUN	,
<SEG>
et	KON	et
Turin	NAM	turin
villes	NOM	ville
mon	DET:POS	mon
adresse	NOM	adresse
autres	ADJ	autre
capitales	ADJ	capital
dans	PRP	dans
d'	PRP	de
,	PUN	,
<SEG>
,	PUN	,
proverbe	NOM	proverbe
est	VER:pres	être
en	PRP	en
c'	PRO:DEM	ce
passe	VER:pres	passer
et	KON	et
justice	NOM	justice
,	PUN	,
car	KON	car
<SEG>
affaire	NOM	affaire
le	DET:ART	le
entreprends	VER:pres	entreprendre
aussitôt	ADV	aussitôt
j'	PRO:PER	je
une	DET:ART	un
que	KON	que
dans	PRP	dans
elle	PRO:PER	elle
est	VER:pres	être
<SEG>
Votre	NAM	votre
a	VER:pres	avoir
.	SENT	.
En	PRP	en
choisissant	VER:ppre	choisir
Éminence	NAM	éminence
sac	NOM	sac
<EOS>	<EOS>	<EOS>
me	PRO:PER	me
,	PUN	,
<SEG>
main	NOM	main
heureuse	ADJ	heureux
lui	PRO:PER	lui
la	DET:ART	le
eu	VER:pper	avoir
fais	VER:pres	faire
mon	DET:POS	mon
:	PUN	:
en	PRO:PER	en
je	PRO:PER	je
<SEG>
garçon	NOM	garçon
un	DET:ART	un
était	VER:impf	être
<EOS>	<EOS>	<EOS>
sincère	ADJ	sincère
magnifique	ADJ	magnifique
compliment	NOM	compliment
,	PUN	,
C'	PRO:DEM	ce
.	SENT	.
<SEG>
la	DET:ART	le
.	SENT	.
à	PRP	à
à	PRP	à
et	KON	et
fois	NOM	fois
élégante	ADJ	élégant
taille	NOM	taille
la	DET:ART	le
robuste	ADJ	robuste
<SEG>
en	PRP	en
souriant	VER:ppre	sourire
cela	PRO:DEM	cela
tout	ADV	tout
Il	PRO:PER	il
debout	ADV	debout
,	PUN	,
<EOS>	<EOS>	<EOS>
disait	VER:impf	dire
qu'	KON	que
<SEG>
noble	ADJ	noble
il	PRO:PER	il
attitude	NOM	attitude
,	PUN	,
,	PUN	,
une	DET:ART	un
était	VER:impf	être
mais	KON	mais
dans	PRP	dans
respectueuse	ADJ	respectueux
<SEG>
traits	NOM	trait
à	PRP	à
aux	PRP:det	au
incliné	VER:pper	incliner
demi	NOM	demi
et	KON	et
un	DET:ART	un
devant	PRP	devant
sévères	ADJ	sévère
personnage	NOM	personnage
<SEG>
le	DET:ART	le
de	PRP	de
<EOS>	<EOS>	<EOS>
prêtre	NOM	prêtre
.	SENT	.
qui	PRO:REL	qui
costume	NOM	costume
portait	VER:impf	porter
fortement	ADV	fortement
accentués	VER:pper	accentuer
<SEG>
,	PUN	,
notre	DET:POS	notre
jeune	ADJ	jeune
homme	NOM	homme
beau	NOM	beau
lui	PRO:PER	lui
,	PUN	,
Il	PRO:PER	il
avait	VER:impf	avoir
,	PUN	,
<SEG>
cavalier	NOM	cavalier
Espagne	NAM	espagne
La	DET:ART	le
d'	PRP	de
<EOS>	<EOS>	<EOS>
l'	DET:ART	le
.	SENT	.
accoutrement	NOM	accoutrement
un	DET:ART	un
d'	PRP	de
<SEG>
son	DET:POS	son
plume	NOM	plume
qu'	PRO:REL	que
à	PRP	à
la	DET:ART	le
de	PRP	de
,	PUN	,
il	PRO:PER	il
tenait	VER:impf	tenir
feutre	NOM	feutre
<SEG>
étaient	VER:impf	être
main	NOM	main
la	DET:ART	le
Castillane	NOM	castillan
les	DET:ART	le
bords	NOM	bord
à	PRP	à
relevés	VER:pper	relever
dont	PRO:REL	dont
et	KON	et
<SEG>
le	DET:ART	le
sol	NOM	sol
de	PRP	de
balayait	VER:impf	balayer
,	PUN	,
expression	NOM	expression
.	SENT	.
presque	ADV	presque
L'	DET:ART	le
<EOS>	<EOS>	<EOS>
<SEG>
,	PUN	,
moqueuse	ADJ	moqueur
douce	ADJ	doux
franche	ADJ	franc
visage	NOM	visage
,	PUN	,
était	VER:impf	être
mais	KON	mais
son	DET:POS	son
légèrement	ADV	légèrement
<SEG>
un	DET:ART	un
par	PRP	par
une	DET:ART	un
péché	VER:pper	pécher
auraient	VER:cond	avoir
délicatesse	NOM	délicatesse
et	KON	et
ses	DET:POS	son
traits	NOM	trait
,	PUN	,
<SEG>
,	PUN	,
efféminée	VER:pper	efféminer
peu	ADV	peu
soyeuse	ADJ	soyeux
noire	ADJ	noir
une	DET:ART	un
et	KON	et
belle	ADJ	beau
sans	PRP	sans
moustache	NOM	moustache
<SEG>
crocs	NOM	croc
au	PRP:det	au
,	PUN	,
ses	DET:POS	son
tordus	VER:pper	tordre
milieu	NOM	milieu
jusqu'	PRP	jusque
qui	PRO:REL	qui
relevait	VER:impf	relever
galamment	ADV	galamment
<SEG>
joue	NOM	joue
<EOS>	<EOS>	<EOS>
y	PRO:PER	y
Il	PRO:PER	il
un	DET:ART	un
singulier	ADJ	singulier
sa	DET:POS	son
avait	VER:impf	avoir
de	PRP	de
.	SENT	.
<SEG>
où	PRO:REL	où
charmante	ADJ	charmant
