MORT	NAM	mort
I	NUM	i
LES	NAM	les
--	PUN	--
--	PUN	--
À	PRP	à
PREMIÈRE	NUM	premier
LE	NAM	le
CONDAMNÉ	NAM	condamné
PARTIE	NOM	partie
<SEG>
magnifiques	ADJ	magnifique
à	PRP	à
variés	ADJ	varié
sont	VER:pres	être
l'	DET:ART	le
SAUDEURS	NAM	saudeurs
et	KON	et
Ce	NAM	ce
des	PRP:det	du
paysages	NOM	paysage
<SEG>
infini	NOM	infini
des	PRP:det	du
rivières	NOM	rivière
de	PRP	de
,	PUN	,
:	PUN	:
grandes	ADJ	grand
forêts	NOM	forêt
,	PUN	,
des	PRP:det	du
<SEG>
.	SENT	.
les	DET:ART	le
Cela	PRO:DEM	cela
c'	PRO:DEM	ce
;	PUN	;
montagnes	NOM	montagne
appelle	VER:pres	appeler
s'	PRO:PER	se
Ardennes	NAM	ardennes
<EOS>	<EOS>	<EOS>
<SEG>
souvenirs	NOM	souvenir
Et	KON	et
<EOS>	<EOS>	<EOS>
ne	ADV	ne
plein	ADJ	plein
nul	ADJ	nul
saurait	VER:cond	savoir
.	SENT	.
est	VER:pres	être
de	PRP	de
<SEG>
admirables	ADJ	admirable
est	VER:pres	être
la	DET:ART	le
pourquoi	ADV	pourquoi
de	PRP	de
ces	PRO:DEM	ce
s'	PRO:PER	se
retirée	VER:pper	retirer
dire	VER:infi	dire
poésie	NOM	poésie
<SEG>
odeur	NOM	odeur
Est	VER:pres	être
.	SENT	.
<EOS>	<EOS>	<EOS>
des	PRP:det	du
l'	DET:ART	le
-ce	PRO:DEM	ce
moulins	NOM	moulin
campagnes	NOM	campagne
à	PRP	à
<SEG>
fumée	NOM	fumée
des	PRP:det	du
ou	KON	ou
la	DET:ART	le
,	PUN	,
foulons	NOM	foulon
la	DET:ART	le
noire	ADJ	noir
de	PRP	de
cheminées	NOM	cheminée
<SEG>
<EOS>	<EOS>	<EOS>
la	DET:ART	le
?	SENT	?
fabrique	NOM	fabrique
charmante	ADJ	charmant
,	PUN	,
,	PUN	,
Meuse	NAM	meuse
rivière	NOM	rivière
Cette	PRO:DEM	ce
<SEG>
de	PRP	de
coule	VER:pres	couler
et	KON	et
folies	NOM	folie
faire	VER:infi	faire
sans	PRP	sans
doucement	ADV	doucement
parmi	PRP	parmi
jamais	ADV	jamais
tout	ADV	tout
<SEG>
voit	VER:pres	voir
fades	ADJ	fade
belles	ADJ	beau
peu	ADV	peu
prairies	NOM	prairie
.	SENT	.
un	DET:ART	un
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
les	DET:ART	le
<SEG>
fanges	NOM	fange
les	DET:ART	le
à	PRP	à
est	VER:pres	être
prédestinée	VER:pper	prédestiner
baigner	VER:infi	baigner
bien	ADV	bien
qu'	KON	que
déjà	ADV	déjà
elle	PRO:PER	elle
<SEG>
.	SENT	.
est	VER:pres	être
de	PRP	de
Ce	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
grasses	ADJ	gras
la	DET:ART	le
pacifique	ADJ	pacifique
Hollande	NAM	hollande
n'	ADV	ne
<SEG>
pas	ADV	pas
,	PUN	,
,	PUN	,
-là	ADV	là
celle	PRO:DEM	celui
la	DET:ART	le
riante	ADJ	riant
Loire	NAM	loire
aussi	ADV	aussi
,	PUN	,
<SEG>
!	SENT	!
si	ADV	si
n'	ADV	ne
Ce	PRO:DEM	ce
pas	ADV	pas
mais	KON	mais
le	DET:ART	le
est	VER:pres	être
fière	ADJ	fier
<EOS>	<EOS>	<EOS>
<SEG>
fougueux	ADJ	fougueux
n'	ADV	ne
Ce	PRO:DEM	ce
ce	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
,	PUN	,
dieu	NOM	dieu
!	SENT	!
est	VER:pres	être
Rhône	NAM	rhône
<SEG>
la	DET:ART	le
élégante	ADJ	élégant
Seine	NAM	seine
,	PUN	,
l'	DET:ART	le
,	PUN	,
,	PUN	,
pas	ADV	pas
la	DET:ART	le
française	ADJ	français
<SEG>
baigne	VER:pres	baigner
tant	ADV	tant
!	SENT	!
de	PRP	de
tant	ADV	tant
qui	PRO:REL	qui
palais	NOM	palais
et	KON	et
de	PRP	de
cathédrales	NOM	cathédrale
<SEG>
encore	ADV	encore
mais	KON	mais
France	NAM	france
<EOS>	<EOS>	<EOS>
bien	ADV	bien
une	DET:ART	un
,	PUN	,
est	VER:pres	être
la	DET:ART	le
C'	PRO:DEM	ce
<SEG>
<EOS>	<EOS>	<EOS>
.	SENT	.
est	VER:pres	être
La	DET:ART	le
part	NOM	part
poésie	NOM	poésie
à	PRP	à
pas	ADV	pas
France	NAM	france
n'	ADV	ne
<SEG>
pays	NOM	pays
comme	ADV	comme
en	PRP	en
là	ADV	là
notre	DET:POS	notre
de	PRP	de
,	PUN	,
autres	ADJ	autre
d'	PRP	de
campagnes	NOM	campagne
<SEG>
,	PUN	,
autres	ADJ	autre
comme	ADV	comme
pittoresques	ADJ	pittoresque
moins	ADV	moins
assurément	ADV	assurément
,	PUN	,
d'	PRP	de
en	PRP	en
ni	KON	ni
<SEG>
villes	NOM	ville
moins	ADV	moins
riches	ADJ	riche
caractère	NOM	caractère
.	SENT	.
Le	DET:ART	le
<EOS>	<EOS>	<EOS>
parce	KON	parce
manque	VER:pres	manquer
ici	ADV	ici
<SEG>
et	KON	et
la	DET:ART	le
la	DET:ART	le
a	VER:pres	avoir
la	DET:ART	le
,	PUN	,
envahi	VER:pper	envahir
que	KON	que
campagne	NOM	campagne
ville	NOM	ville
<SEG>
la	DET:ART	le
ville	NOM	ville
par	PRP	par
la	DET:ART	le
porte	NOM	porte
.	SENT	.
fabrique	NOM	fabrique
de	PRP	de
la	DET:ART	le
campagne	NOM	campagne
<SEG>
était	VER:impf	être
brave	ADJ	brave
paysan	NOM	paysan
son	DET:POS	son
le	DET:ART	le
Autant	ADV	autant
sous	PRP	sous
costume	NOM	costume
beau	ADJ	beau
<EOS>	<EOS>	<EOS>
<SEG>
et	KON	et
blouse	NOM	blouse
autant	ADV	autant
sous	PRP	sous
de	PRP	de
il	PRO:PER	il
,	PUN	,
même	ADV	même
la	DET:ART	le
travail	NOM	travail
<SEG>
,	PUN	,
est	VER:pres	être
sa	DET:POS	son
de	PRP	de
lourd	ADJ	lourd
sous	PRP	sous
et	KON	et
gauche	ADJ	gauche
la	DET:ART	le
farauderie	NOM	farauderie
<SEG>
,	PUN	,
c'	PRO:DEM	ce
redingote	NOM	redingote
<EOS>	<EOS>	<EOS>
.	SENT	.
pourtant	ADV	pourtant
faite	VER:pper	faire
Et	KON	et
terrible	ADJ	terrible
mal	ADV	mal
<SEG>
de	PRP	de
des	PRP:det	du
<EOS>	<EOS>	<EOS>
comté	NOM	comté
le	DET:ART	le
forêt	NOM	forêt
.	SENT	.
La	DET:ART	le
était	VER:impf	être
Champagne	NAM	champagne
<SEG>
des	PRP:det	du
.	SENT	.
pages	NOM	page
Ardennes	NAM	ardennes
notre	DET:POS	notre
parsemée	VER:pper	parsemer
<EOS>	<EOS>	<EOS>
est	VER:pres	être
histoire	NOM	histoire
de	PRP	de
<SEG>
:	PUN	:
autres	ADJ	autre
plus	ADV	plus
Et	KON	et
encore	ADV	encore
d'	PRP	de
abondent	VER:pres	abonder
c'	PRO:DEM	ce
lointains	ADJ	lointain
souvenirs	NOM	souvenir
<SEG>
de	PRP	de
était	VER:impf	être
la	DET:ART	le
-vous	PRO:PER	vous
le	PRO:PER	le
chevalerie	NOM	chevalerie
.	SENT	.
Là-haut	ADV	là-haut
<EOS>	<EOS>	<EOS>
rendez	VER:pres	rendre
<SEG>
fils	NOM	fil|fils
fier	ADJ	fier
coursier	NOM	coursier
,	PUN	,
vers	PRP	vers
quatre	NUM	quatre
Francheval	NAM	francheval
des	PRP:det	du
,	PUN	,
le	DET:ART	le
<SEG>
Aymon	NAM	aymon
de	PRP	de
empreinte	NOM	empreinte
n'	ADV	ne
a-t-il	ADJ	a-t-il
laissé	VER:pper	laisser
pas	ADV	pas
sabot	NOM	sabot
l'	DET:ART	le
son	DET:POS	son
<SEG>
<EOS>	<EOS>	<EOS>
Château-	NAM	château-
Renaud	NAM	renaud
<EOS>	<EOS>	<EOS>
?	SENT	?
Roche	NAM	roche
!	SENT	!
Voici	ADV	voici
la	DET:ART	le
voici	ADV	voici
<SEG>
Les	DET:ART	le
sont	VER:pres	être
.	SENT	.
une	DET:ART	un
!	SENT	!
<EOS>	<EOS>	<EOS>
mémoire	NOM	mémoire
-Aymon	ADJ	-aymon
noms	NOM	nom
obstinée	ADJ	obstiné
<SEG>
sont	VER:pres	être
.	SENT	.
noms	NOM	nom
ne	ADV	ne
<EOS>	<EOS>	<EOS>
des	PRP:det	du
plus	ADV	plus
que	KON	que
ce	PRO:DEM	ce
Mais	KON	mais
<SEG>
dans	PRP	dans
oublié	VER:pper	oublier
la	DET:ART	le
Sedan	NAM	sedan
<EOS>	<EOS>	<EOS>
Turenne	NAM	turenne
gloire	NOM	gloire
vit	VER:simp	voir
et	KON	et
a	VER:pres	avoir
<SEG>
aurais	VER:cond	avoir
J'	PRO:PER	je
<EOS>	<EOS>	<EOS>
ses	DET:POS	son
à	PRP	à
casimirs	NOM	casimir
renoncé	VER:pper	renoncer
noirs	ADJ	noir
de	PRP	de
.	SENT	.
<SEG>
il	PRO:PER	il
,	PUN	,
dire	VER:infi	dire
fallu	VER:pper	falloir
cette	PRO:DEM	ce
avait	VER:impf	avoir
vous	PRO:PER	vous
nous	PRO:PER	nous
s'	PRO:PER	se
histoire	NOM	histoire
<SEG>
la	DET:ART	le
et	KON	et
bord	NOM	bord
de	PRP	de
,	PUN	,
rester	VER:infi	rester
Meuse	NAM	meuse
au	PRP:det	au
voir	VER:infi	voir
toujours	ADV	toujours
<SEG>
Sedan	NAM	sedan
ville	NOM	ville
à	PRP	à
la	DET:ART	le
et	KON	et
minutieuse	ADJ	minutieux
,	PUN	,
horizon	NOM	horizon
soigneuse	ADJ	soigneux
l'	DET:ART	le
<SEG>
comme	ADV	comme
:	PUN	:
.	SENT	.
le	DET:ART	le
est	VER:pres	être
La	DET:ART	le
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
plume	NOM	plume
pinceau	NOM	pinceau
<SEG>
de	PRP	de
peu	ADV	peu
,	PUN	,
d'	PRP	de
imprévu	NOM	imprévu
faut	VER:pres	falloir
un	DET:ART	un
peu	ADV	peu
un	DET:ART	un
lui	PRO:PER	lui
<SEG>
<EOS>	<EOS>	<EOS>
,	PUN	,
On	PRO:PER	on
.	SENT	.
désordre	NOM	désordre
de	PRP	de
grain	NOM	grain
ne	ADV	ne
un	DET:ART	un
poussière	NOM	poussière
<SEG>
faire	VER:infi	faire
pas	ADV	pas
tableau	NOM	tableau
bien	ADJ	bien
un	DET:ART	un
monsieur	NOM	monsieur
peut	VER:pres	pouvoir
,	PUN	,
avec	PRP	avec
un	DET:ART	un
<SEG>
;	PUN	;
épingles	NOM	épingle
avec	PRP	avec
et	KON	et
brossé	VER:pper	brosser
non	ADV	non
tiré	VER:pper	tirer
quatre	NUM	quatre
à	PRP	à
plus	ADV	plus
<SEG>
parterre	NOM	parterre
à	PRP	à
,	PUN	,
réguliers	ADJ	régulier
taillés	VER:pper	tailler
un	DET:ART	un
bordés	VER:pper	border
buis	NOM	buis
de	PRP	de
compartiments	NOM	compartiment
<SEG>
.	SENT	.
gênerait	VER:cond	gêner
<EOS>	<EOS>	<EOS>
nous	PRO:PER	nous
.	SENT	.
cordeau	NOM	cordeau
balayé	VER:pper	balayer
trop	ADV	trop
au	PRP:det	au
Sedan	NAM	sedan
<SEG>
<EOS>	<EOS>	<EOS>
pas	ADV	pas
La	DET:ART	le
<EOS>	<EOS>	<EOS>
Sedan	NAM	sedan
Mais	KON	mais
gênera	VER:futu	gêner
.	SENT	.
nous	PRO:PER	nous
ne	ADV	ne
<SEG>
forêt	NOM	forêt
Ardennes	NAM	ardennes
tout	ADV	tout
Le	DET:ART	le
près	ADV	près
est	VER:pres	être
là	ADV	là
<EOS>	<EOS>	<EOS>
des	PRP:det	du
.	SENT	.
<SEG>
encore	ADV	encore
conquis	VER:pper	conquérir
perdus	ADJ	perdu
ces	PRO:DEM	ce
pas	ADV	pas
sentiers	NOM	sentier
terrible	ADJ	terrible
balai	NOM	balai
n'	ADV	ne
a	VER:pres	avoir
<SEG>
l'	DET:ART	le
abri	NOM	abri
du	PRP:det	du
,	PUN	,
sont	VER:pres	être
à	PRP	à
arbres	NOM	arbre
ces	PRO:DEM	ce
énormes	ADJ	énorme
et	KON	et
<SEG>
récit	NOM	récit
s'	PRO:PER	se
la	DET:ART	le
traversant	VER:ppre	traverser
va	VER:pres	aller
badigeon	NOM	badigeon
<EOS>	<EOS>	<EOS>
.	SENT	.
en	PRO:PER	en
Notre	DET:POS	notre
<SEG>
forêt	NOM	forêt
séculaire	ADJ	séculaire
;	PUN	;
,	PUN	,
Luxembourg	NAM	luxembourg
il	PRO:PER	il
du	PRP:det	du
frontière	NOM	frontière
passe	VER:pres	passer
la	DET:ART	le
<SEG>
dans	PRP	dans
comté	NOM	comté
ancien	ADJ	ancien
,	PUN	,
de	PRP	de
l'	DET:ART	le
chercher	VER:infi	chercher
il	PRO:PER	il
Chiny	NAM	chiny
va	VER:pres	aller
<SEG>
de	PRP	de
ce	PRO:DEM	ce
paysans	NOM	paysan
les	DET:ART	le
derniers	ADJ	dernier
et	KON	et
les	DET:ART	le
aspects	NOM	aspect
,	PUN	,
larges	ADJ	large
<SEG>
la	DET:ART	le
vallée	NOM	vallée
Orval	NAM	orval
pays	NOM	pays
illustre	ADJ	illustre
qui	PRO:REL	qui
s'	PRO:PER	se
appelle	VER:pres	appeler
d'	PRP	de
encore	ADV	encore
<SEG>
ruines	NOM	ruine
guerre	NOM	guerre
.	SENT	.
les	DET:ART	le
faites	VER:pres	faire
<EOS>	<EOS>	<EOS>
et	KON	et
Grandes	ADJ	grand
par	PRP	par
la	DET:ART	le
<SEG>
<EOS>	<EOS>	<EOS>
révolutions	NOM	révolution
le	DET:ART	le
,	PUN	,
!	SENT	!
hospitalière	ADJ	hospitalier
Thébaïde	NOM	thébaïde
et	KON	et
opulente	ADJ	opulent
que	KON	que
<SEG>
Vallis	NAM	vallis
:	PUN	:
<EOS>	<EOS>	<EOS>
a	VER:pres	avoir
stupide	ADJ	stupide
broyée	VER:pper	broyer
Orval	NAM	orval
?	SENT	?
Aurea	NAM	aurea
canon	NOM	canon
<SEG>
le	DET:ART	le
<EOS>	<EOS>	<EOS>
!	SENT	!
or	NOM	or
!	SENT	!
d'	PRP	de
Pactole	NOM	pactole
caché	VER:pper	cacher
val	NOM	val
<EOS>	<EOS>	<EOS>
<SEG>
son	DET:POS	son
de	PRP	de
derrière	PRP	derrière
et	KON	et
pieuses	ADJ	pieux
,	PUN	,
chênes	NOM	chêne
rempart	NOM	rempart
monstrueux	ADJ	monstrueux
reliques	NOM	relique
<SEG>
terre	NOM	terre
,	PUN	,
où	PRO:REL	où
décombres	NOM	décombre|décombres
les	DET:ART	le
eau	NOM	eau
la	DET:ART	le
et	KON	et
mystérieuses	ADJ	mystérieux
l'	DET:ART	le
<SEG>
dit	VER:pres	dire
,	PUN	,
C'	NAM	c'
...	PUN	...
trésors	NOM	trésor
d'	PRP	de
,	PUN	,
incalculables	ADJ	incalculable
-on	PRO:PER	on
recouvrent	VER:pres	recouvrer|recouvrir
<SEG>
carême	NOM	carême
premier	NUM	premier
dimanche	NOM	dimanche
de	PRP	de
l'	DET:ART	le
1832.	INT	@ord@
année	NOM	année
était	VER:impf	être
le	DET:ART	le
en	PRP	en
<SEG>
des	PRP:det	du
On	PRO:PER	on
nuit	NOM	nuit
commencée	VER:pper	commencer
Sauderies	NOM	sauderies
était	VER:impf	être
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
<EOS>	<EOS>	<EOS>
<SEG>
de	PRP	de
autre	ADJ	autre
l'	DET:ART	le
ville	NOM	ville
un	DET:ART	un
saudait	VER:impf	saudait
d'	PRP	de
bout	NOM	bout
la	DET:ART	le
à	PRP	à
<SEG>
tourbillonnant	VER:ppre	tourbillonner
au	PRP:det	au
neige	NOM	neige
la	DET:ART	le
malgré	PRP	malgré
qui	PRO:REL	qui
fine	ADJ	fin
,	PUN	,
vent	NOM	vent
tombait	VER:impf	tomber
<SEG>
.	SENT	.
là	ADV	là
C'	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
est	VER:pres	être
