Chapitre	NOM	chapitre
1	NUM	@card@
était	VER:impf	être
C'	ADJ	c'
-	PUN	-
Mégara	NAM	mégara
à	PRP	à
Le	DET:ART	le
,	PUN	,
Festin	NOM	festin
<SEG>
jardins	NOM	jardin
d'	PRP	de
faubourg	NOM	faubourg
les	DET:ART	le
.	SENT	.
Hamilcar	NAM	hamilcar
dans	PRP	dans
de	PRP	de
,	PUN	,
Carthage	NAM	carthage
<SEG>
Sicile	NAM	sicile
Les	DET:ART	le
en	PRP	en
qu'	PRO:REL	que
se	PRO:PER	se
il	PRO:PER	il
avait	VER:impf	avoir
soldats	NOM	soldat
commandés	VER:pper	commander
<EOS>	<EOS>	<EOS>
<SEG>
le	DET:ART	le
anniversaire	ADJ	anniversaire
jour	NOM	jour
pour	PRP	pour
grand	ADJ	grand
de	PRP	de
un	DET:ART	un
donnaient	VER:impf	donner
festin	NOM	festin
célébrer	VER:infi	célébrer
<SEG>
la	DET:ART	le
était	VER:impf	être
le	DET:ART	le
d'	PRP	de
et	KON	et
Eryx	NOM	eryx
comme	KON	comme
,	PUN	,
bataille	NOM	bataille
maître	NOM	maître
<SEG>
se	PRO:PER	se
absent	ADJ	absent
ils	PRO:PER	il
ils	PRO:PER	il
et	KON	et
nombreux	ADJ	nombreux
trouvaient	VER:impf	trouver
,	PUN	,
qu'	PRO:REL	que
mangeaient	VER:impf	manger
<SEG>
.	SENT	.
capitaines	NOM	capitaine
pleine	ADJ	plein
en	PRP	en
<EOS>	<EOS>	<EOS>
buvaient	VER:impf	boire
Les	DET:ART	le
et	KON	et
ils	PRO:PER	il
liberté	NOM	liberté
<SEG>
placés	VER:pper	placer
bronze	NOM	bronze
cothurnes	NOM	cothurne
,	PUN	,
de	PRP	de
,	PUN	,
étaient	VER:impf	être
s'	PRO:PER	se
des	PRP:det	du
portant	VER:ppre	porter
<SEG>
,	PUN	,
le	DET:ART	le
milieu	NOM	milieu
dans	PRP	dans
chemin	NOM	chemin
du	PRP:det	du
de	PRP	de
voile	NOM	voile
un	DET:ART	un
sous	PRP	sous
<SEG>
,	PUN	,
étendait	VER:impf	étendre
