mars	NOM	mars
,	PUN	,
surlendemain	NOM	surlendemain
Mardi	NAM	mardi
Le	DET:ART	le
du	PRP:det	du
jeudi	NOM	jeudi
6	NUM	@card@
I	NUM	i
1862	NUM	@card@
<SEG>
de	PRP	de
Jonchère	NOM	jonchère
se	PRO:PER	se
village	NOM	village
,	PUN	,
La	DET:ART	le
gras	ADJ	gras
du	PRP:det	du
cinq	NUM	cinq
femmes	NOM	femme
<SEG>
bureau	NOM	bureau
présentaient	VER:impf	présenter
de	PRP	de
<EOS>	<EOS>	<EOS>
de	PRP	de
Elles	PRO:PER	elle
police	NOM	police
.	SENT	.
au	PRP:det	au
Bougival	NAM	bougival
<SEG>
deux	NUM	deux
avait	VER:impf	avoir
que	KON	que
personne	ADV	personne
n'	ADV	ne
depuis	PRP	depuis
racontaient	VER:impf	raconter
aperçu	VER:pper	apercevoir
jours	NOM	jour
une	NUM	un
<SEG>
voisines	NOM	voisin
,	PUN	,
qui	PRO:REL	qui
leurs	DET:POS	leur
la	DET:ART	le
de	PRP	de
,	PUN	,
veuve	ADJ	veuf
habitait	VER:impf	habiter
Lerouge	NOM	lerouge
<SEG>
isolée	VER:pper	isoler
À	PRP	à
une	DET:ART	un
<EOS>	<EOS>	<EOS>
.	SENT	.
maisonnette	NOM	maisonnette
plusieurs	PRO:IND	plusieurs
,	PUN	,
seule	ADJ	seul
reprises	NOM	reprise
<SEG>
comme	KON	comme
vain	ADJ	vain
.	SENT	.
elles	PRO:PER	elle
en	PRP	en
frappé	VER:pper	frapper
avaient	VER:impf	avoir
fenêtres	NOM	fenêtre
Les	DET:ART	le
<EOS>	<EOS>	<EOS>
<SEG>
avait	VER:impf	avoir
il	PRO:PER	il
exactement	ADV	exactement
été	VER:pper	être
étant	VER:ppre	être
,	PUN	,
fermées	VER:pper	fermer
porte	NOM	porte
impossible	ADJ	impossible
la	DET:ART	le
<SEG>
œil	NOM	œil
jeter	VER:infi	jeter
à	PRP	à
coup	NOM	coup
.	SENT	.
l'	DET:ART	le
intérieur	NOM	intérieur
d'	PRP	de
un	DET:ART	un
de	PRP	de
<SEG>
<EOS>	<EOS>	<EOS>
,	PUN	,
Ce	PRO:DEM	ce
les	PRO:PER	la|le
disparition	NOM	disparition
silence	NOM	silence
.	SENT	.
cette	PRO:DEM	ce
inquiétaient	VER:impf	inquiéter
<EOS>	<EOS>	<EOS>
<SEG>
au	PRP:det	au
ou	KON	ou
un	DET:ART	un
accident	NOM	accident
,	PUN	,
crime	NOM	crime
un	DET:ART	un
moins	ADV	moins
Redoutant	VER:ppre	redouter
tout	ADV	tout
<SEG>
que	KON	que
voulût	VER:subi	vouloir
bien	ADV	bien
«	PUN:cit	«
la	DET:ART	le
»	PUN:cit	»
elles	PRO:PER	elle
Justice	NOM	justice
,	PUN	,
demandaient	VER:impf	demander
<SEG>
forcer	VER:infi	forcer
rassurer	VER:infi	rassurer
porte	NOM	porte
,	PUN	,
la	DET:ART	le
les	PRO:PER	la|le
pénétrer	VER:infi	pénétrer
et	KON	et
pour	PRP	pour
,	PUN	,
<SEG>
.	SENT	.
pays	NOM	pays
la	DET:ART	le
un	DET:ART	un
maison	NOM	maison
<EOS>	<EOS>	<EOS>
Bougival	NAM	bougival
est	VER:pres	être
dans	PRP	dans
aimable	ADJ	aimable
<SEG>
dimanches	NOM	dimanche
peuplé	VER:pper	peupler
canotiers	NOM	canotier
de	PRP	de
les	DET:ART	le
