propriétaires	ADJ	propriétaire
arrivera	VER:futu	arriver
I	NUM	i
Il	NAM	il
.	SENT	.
<EOS>	<EOS>	<EOS>
!	SENT	!
«	PUN:cit	«
--	PUN	--
Deux	NOM	deux
<SEG>
...	PUN	...
Il	PRO:PER	il
arrivera	VER:futu	arriver
<EOS>	<EOS>	<EOS>
n'	ADV	ne
»	PUN:cit	»
...	PUN	...
pas	ADV	pas
<EOS>	<EOS>	<EOS>
!	SENT	!
<SEG>
classe	NOM	classe
première	NUM	premier
d'	PRP	de
partent	VER:pres	partir
exclamations	NOM	exclamation
wagon	NOM	wagon
un	DET:ART	un
Ces	NAM	ces
deux	NUM	deux
de	PRP	de
<SEG>
riant	VER:ppre	rire
en	PRP	en
,	PUN	,
sec	ADJ	sec
un	DET:ART	un
petit	ADJ	petit
;	PUN	;
on	PRO:PER	on
homme	NOM	homme
regarde	VER:pres	regarder
<SEG>
à	PRP	à
d'	PRP	de
longue	ADJ	longue
redingote	NOM	redingote
brune	ADJ	brun
la	DET:ART	le
une	DET:ART	un
vêtu	VER:pper	vêtir
jusqu'	PRP	jusque
usée	VER:pper	user
<SEG>
la	DET:ART	le
toute	PRO:IND	tout
de	PRP	de
Il	PRO:PER	il
<EOS>	<EOS>	<EOS>
de	PRP	de
corde	NOM	corde
court	VER:pres	courir
force	NOM	force
.	SENT	.
<SEG>
il	PRO:PER	il
démène	VER:pres	démener
qu'	KON	que
vieilles	ADJ	vieux
ses	DET:POS	son
se	PRO:PER	se
tant	ADV	tant
jambes	NOM	jambe
,	PUN	,
et	KON	et
<SEG>
quatre	NUM	quatre
la	DET:ART	le
ou	KON	ou
qui	PRO:REL	qui
compliquent	VER:pres	compliquer
paquets	NOM	paquet
trois	NUM	trois
sous	PRP	sous
peut	VER:pres	pouvoir
situation	NOM	situation
<SEG>
Le	DET:ART	le
une	DET:ART	un
<EOS>	<EOS>	<EOS>
.	SENT	.
donne	VER:pres	donner
terrible	ADJ	terrible
de	PRP	de
coup	NOM	coup
sifflet	NOM	sifflet
lui	PRO:PER	lui
<SEG>
autre	ADJ	autre
un	DET:ART	un
puis	ADV	puis
tombe	VER:pres	tomber
;	PUN	;
,	PUN	,
un	DET:ART	un
.	SENT	.
secousse	NOM	secousse
paquet	NOM	paquet
<SEG>
ramasser	VER:infi	ramasser
,	PUN	,
pendant	PRP	pendant
il	PRO:PER	il
pour	PRP	pour
baisse	VER:pres	baisser
<EOS>	<EOS>	<EOS>
les	PRO:PER	la|le
qu'	KON	que
se	PRO:PER	se
<SEG>
c'	PRO:DEM	ce
est	VER:pres	être
en	PRO:PER	en
mêle	VER:pres	mêler
le	DET:ART	le
à	PRP	à
troisième	NUM	troisième
;	PUN	;
s'	PRO:PER	se
paquet	NOM	paquet
<SEG>
ne	ADV	ne
la	DET:ART	le
perd	VER:pres	perdre
il	PRO:PER	il
tête	NOM	tête
;	PUN	;
pas	ADV	pas
perdre	VER:infi	perdre
la	PRO:PER	la
en	PRO:PER	en
<SEG>
étroitement	ADV	étroitement
sa	DET:POS	son
dans	PRP	dans
serre	VER:pres	serrer
et	KON	et
tient	VER:pres	tenir
il	PRO:PER	il
,	PUN	,
main	NOM	main
car	KON	car
<SEG>
voyage	NOM	voyage
sac	NOM	sac
affreux	ADJ	affreux
de	PRP	de
il	PRO:PER	il
qu'	PRO:REL	que
promène	VER:pres	promener
l'	DET:ART	le
droite	ADJ	droit
depuis	PRP	depuis
<SEG>
-on	PRO:PER	on
dit	VER:pres	dire
ne	ADV	ne
,	PUN	,
il	PRO:PER	il
trente	NUM	trente
ans	NOM	an
et	KON	et
,	PUN	,
dont	PRO:REL	dont
<SEG>
«	PUN:cit	«
monde	NOM	monde
.	SENT	.
le	DET:ART	le
pas	ADV	pas
séparerait	VER:cond	séparer
,	PUN	,
<EOS>	<EOS>	<EOS>
croulant	ADJ	croulant
se	PRO:PER	se
<SEG>
»	PUN:cit	»
<EOS>	<EOS>	<EOS>
,	PUN	,
En	NOM	en
en	PRP	en
messieurs	NOM	messieurs
!	SENT	!
voiture	NOM	voiture
,	PUN	,
voiture	NOM	voiture
