ÉCUEIL	NOM	écueil
PREMIÈRE	NUM	premier
année	NOM	année
FUYANT	VER:ppre	fuir
1866	NUM	@card@
I	NUM	i
PARTIE	NOM	partie
UN	ABR	un
L'	DET:ART	le
fut	VER:simp	être
<SEG>
un	DET:ART	un
,	PUN	,
marquée	VER:pper	marquer
inexpliqué	ADJ	inexpliqué
bizarre	ADJ	bizarre
et	KON	et
événement	NOM	événement
phénomène	NOM	phénomène
un	DET:ART	un
par	PRP	par
<SEG>
personne	NOM	personne
sans	PRP	sans
inexplicable	ADJ	inexplicable
<EOS>	<EOS>	<EOS>
a	VER:pres	avoir
n'	ADV	ne
oublié	VER:pper	oublier
doute	NOM	doute
que	KON	que
.	SENT	.
<SEG>
rumeurs	NOM	rumeur
qui	PRO:REL	qui
les	DET:ART	le
des	PRP:det	du
agitaient	VER:impf	agiter
populations	NOM	population
parler	VER:infi	parler
Sans	PRP	sans
ports	NOM	port
des	PRP:det	du
<SEG>
esprit	NOM	esprit
l'	DET:ART	le
intérieur	NOM	intérieur
public	ADJ	public
surexcitaient	VER:impf	surexciter
l'	DET:ART	le
et	KON	et
à	PRP	à
des	PRP:det	du
continents	NOM	continent
<SEG>
<EOS>	<EOS>	<EOS>
gens	NOM	gens
furent	VER:simp	être
émus	VER:pper	émouvoir
.	SENT	.
les	DET:ART	le
,	PUN	,
mer	NOM	mer
de	PRP	de
particulièrement	ADV	particulièrement
<SEG>
navires	NOM	navire
skippers	NOM	skipper
négociants	NOM	négociant
de	PRP	de
,	PUN	,
,	PUN	,
armateurs	NOM	armateur
Les	DET:ART	le
capitaines	NOM	capitaine
,	PUN	,
<SEG>
,	PUN	,
Europe	NAM	europe
et	KON	et
de	PRP	de
l'	DET:ART	le
l'	DET:ART	le
masters	NOM	masters
de	PRP	de
Amérique	NAM	amérique
et	KON	et
<SEG>
des	PRP:det	du
marines	NOM	marine
pays	NOM	pays
officiers	NOM	officier
tous	PRO:IND	tout
et	KON	et
de	PRP	de
militaires	ADJ	militaire
,	PUN	,
,	PUN	,
<SEG>
les	DET:ART	le
États	NAM	états
après	PRP	après
,	PUN	,
eux	PRO:PER	eux
divers	ADJ	divers
des	PRP:det	du
des	PRP:det	du
gouvernements	NOM	gouvernement
deux	NUM	deux
<SEG>
se	PRO:PER	se
continents	NOM	continent
fait	NOM	fait
préoccupèrent	VER:simp	préoccuper
au	PRP:det	au
ce	PRO:DEM	ce
,	PUN	,
de	PRP	de
plus	ADV	plus
haut	ADJ	haut
<SEG>
temps	NOM	temps
.	SENT	.
,	PUN	,
effet	NOM	effet
,	PUN	,
point	NOM	point
En	PRP	en
<EOS>	<EOS>	<EOS>
depuis	PRP	depuis
quelque	PRO:IND	quelque
<SEG>
s'	PRO:PER	se
avec	PRP	avec
une	DET:ART	un
sur	PRP	sur
rencontrés	VER:pper	rencontrer
plusieurs	PRO:IND	plusieurs
«	PUN:cit	«
mer	NOM	mer
étaient	VER:impf	être
navires	NOM	navire
<SEG>
un	DET:ART	un
fusiforme	ADJ	fusiforme
chose	NOM	chose
long	ADJ	long
»	PUN:cit	»
énorme	ADJ	énorme
objet	NOM	objet
,	PUN	,
parfois	ADV	parfois
,	PUN	,
<SEG>
qu'	KON	que
plus	ADV	plus
plus	ADV	plus
une	DET:ART	un
et	KON	et
rapide	ADJ	rapide
infiniment	ADV	infiniment
,	PUN	,
phosphorescent	ADJ	phosphorescent
vaste	ADJ	vaste
<SEG>
relatifs	ADJ	relatif
cette	PRO:DEM	ce
Les	DET:ART	le
apparition	NOM	apparition
baleine	NOM	baleine
à	PRP	à
,	PUN	,
.	SENT	.
faits	NOM	fait
<EOS>	<EOS>	<EOS>
<SEG>
bord	NOM	bord
livres	NOM	livre
s'	PRO:PER	se
de	PRP	de
consignés	VER:pper	consigner
,	PUN	,
divers	ADJ	divers
aux	PRP:det	au
assez	ADV	assez
accordaient	VER:impf	accorder
<SEG>
structure	NOM	structure
l'	PRO:PER	la|le
la	DET:ART	le
exactement	ADV	exactement
de	PRP	de
sur	PRP	sur
ou	KON	ou
objet	NOM	objet
l'	DET:ART	le
de	PRP	de
<SEG>
la	DET:ART	le
être	VER:infi	être
de	PRP	de
,	PUN	,
question	NOM	question
inouïe	NOM	inouïe
ses	DET:POS	son
en	PRP	en
vitesse	NOM	vitesse
mouvements	NOM	mouvement
<SEG>
,	PUN	,
de	PRP	de
vie	NOM	vie
sa	DET:POS	son
puissance	NOM	puissance
la	DET:ART	le
locomotion	NOM	locomotion
,	PUN	,
la	DET:ART	le
surprenante	ADJ	surprenant
<SEG>
Si	KON	si
doué	VER:pper	douer
.	SENT	.
c'	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
était	VER:impf	être
dont	PRO:REL	dont
semblait	VER:impf	sembler
particulière	ADJ	particulier
il	PRO:PER	il
<SEG>
volume	NOM	volume
un	DET:ART	un
tous	PRO:IND	tout
,	PUN	,
cétacé	NOM	cétacé
il	PRO:PER	il
surpassait	VER:impf	surpasser
en	PRP	en
ceux	PRO:DEM	celui
que	PRO:REL	que
<SEG>
classés	VER:pper	classer
avait	VER:impf	avoir
Ni	KON	ni
Cuvier	NAM	cuvier
<EOS>	<EOS>	<EOS>
jusqu'	PRP	jusque
.	SENT	.
alors	ADV	alors
la	DET:ART	le
science	NOM	science
<SEG>
,	PUN	,
ni	KON	ni
,	PUN	,
.	SENT	.
Lacépède	NAM	lacépède
Dumeril	NAM	dumeril
,	PUN	,
M	VER:subi	m
ni	KON	ni
ni	KON	ni
<SEG>
d'	PRP	de
admis	VER:pper	admettre
de	PRP	de
existence	NOM	existence
Quatrefages	NAM	quatrefages
M	VER:subi	m
n'	ADV	ne
l'	DET:ART	le
eussent	VER:subi	avoir
.	SENT	.
<SEG>
de	PRP	de
moins	ADV	moins
l'	PRO:PER	la|le
avoir	VER:infi	avoir
tel	NOM	tel
à	PRP	à
un	DET:ART	un
monstre	ADJ	monstre
--	PUN	--
,	PUN	,
<SEG>
ce	PRO:DEM	ce
,	PUN	,
vu	VER:pper	voir
leurs	DET:POS	leur
appelle	VER:pres	appeler
qui	PRO:REL	qui
de	PRP	de
s'	PRO:PER	se
propres	ADJ	propre
vu	VER:pper	voir
<SEG>
À	PRP	à
la	DET:ART	le
yeux	NOM	œil
<EOS>	<EOS>	<EOS>
moyenne	NOM	moyenne
.	SENT	.
prendre	VER:infi	prendre
des	PRP:det	du
savants	NOM	savant
de	PRP	de
<SEG>
