mystérieuse	ADJ	mystérieux
et	KON	et
vers	PRP	vers
sûr	ADJ	sûr
comme	ADV	comme
inconnues	ADJ	inconnu
de	PRP	de
quarante	NUM	quarante
désir	NOM	désir
quinze	NUM	quinze
de	PRP	de
des	PRP:det	du
risquer	VER:infi	risquer
apprendre	VER:infi	apprendre
Paris	NAM	paris
d'	PRP	de
auréole	NOM	auréole
courage	NOM	courage
vapeur	NOM	vapeur
il	PRO:PER	il
le	DET:ART	le
arriver	VER:infi	arriver
pour	PRP	pour
Marseille	NAM	marseille
ceux	PRO:DEM	celui
qu'	KON	que
être	VER:infi	être
ans	NOM	an
ou	KON	ou
découverte	NOM	découverte
poussaient	VER:impf	pousser
êtres	NOM	être|êtres
d'	PRP	de
d'	PRP	de
propos	NOM	propos
faisait	VER:impf	faire
.	SENT	.
.	SENT	.
à	PRP	à
se	PRO:PER	se
partant	VER:ppre	partir
Les	DET:ART	le
délibéré	VER:pper	délibérer
ou	KON	ou
destination	NOM	destination
de	PRP	de
une	DET:ART	un
Préface	NOM	préface
jours	NOM	jour
fallait	VER:impf	falloir
étaient	VER:impf	être
regarder	VER:infi	regarder
une	DET:ART	un
entourés	VER:pper	entourer
,	PUN	,
rendre	VER:infi	rendre
était	VER:impf	être
pour	PRP	pour
certaine	ADJ	certain
<EOS>	<EOS>	<EOS>
besoin	NOM	besoin
<EOS>	<EOS>	<EOS>
mettait	VER:impf	mettre
,	PUN	,
trente	NUM	trente
à	PRP	à
y	PRO:PER	y
doué	VER:pper	douer
sur	PRP	sur
pas	ADV	pas
part	NOM	part
d'	PRP	de
qui	PRO:REL	qui
régions	NOM	région
dose	NOM	dose
la	DET:ART	le
toujours	ADV	toujours
,	PUN	,
pays	NOM	pays
de	PRP	de
on	PRO:PER	on
que	PRO:REL	que
les	DET:ART	le
on	PRO:PER	on
a	VER:pres	avoir
à	PRP	à
Il	NAM	il
d'	PRP	de
à	PRP	à
le	DET:ART	le
qu'	KON	que
navire	NOM	navire
se	PRO:PER	se
alors	ADV	alors
étrangers	ADJ	étranger
aventures	NOM	aventure
n'	ADV	ne
à	PRP	à
près	ADV	près
un	DET:ART	un
<SEG>
;	PUN	;
.	SENT	.
vapeur	NOM	vapeur
,	PUN	,
poète	NOM	poète
point	NOM	point
fois	NOM	fois
de	PRP	de
voyage	VER:pres	voyager
grands	ADJ	grand
petits	ADJ	petit
on	PRO:PER	on
,	PUN	,
effet	NOM	effet
une	DET:ART	un
monde	NOM	monde
,	PUN	,
et	KON	et
séparent	VER:pres	séparer
plus	ADV	plus
ou	KON	ou
grand	ADJ	grand
chemins	NOM	chemin
s'	PRO:PER	se
,	PUN	,
les	DET:ART	le
Qui	PRO:REL	qui
le	DET:ART	le
n'	ADV	ne
contemporain	ADJ	contemporain
Seulement	ADV	seulement
aux	PRP:det	au
changer	VER:infi	changer
aujourd'hui	ADV	aujourd'hui
du	PRP:det	du
,	PUN	,
l'	PRO:PER	la|le
En	PRP	en
pays	NOM	pays
sa	DET:POS	son
arrive	VER:pres	arriver
existent	VER:pres	exister
a	VER:pres	avoir
qui	PRO:REL	qui
distances	NOM	distance
pauvres	ADJ	pauvre
besoin	NOM	besoin
de	PRP	de
devenu	VER:pper	devenir
moins	ADV	moins
.	SENT	.
,	PUN	,
de	PRP	de
<EOS>	<EOS>	<EOS>
,	PUN	,
au	PRP:det	au
les	DET:ART	le
grâce	NOM	grâce
vie	NOM	vie
Aujourd'hui	ADV	aujourd'hui
,	PUN	,
et	KON	et
les	DET:ART	le
élancent	VER:pres	élancer
fait	VER:pper	faire
la	DET:ART	le
fer	NOM	fer
dans	PRP	dans
plus	ADV	plus
à	PRP	à
place	NOM	place
riches	ADJ	riche
a	VER:pres	avoir
régions	NOM	région
ne	ADV	ne
,	PUN	,
le	DET:ART	le
on	PRO:PER	on
ou	KON	ou
,	PUN	,
tour	NOM	tour
,	PUN	,
un	DET:ART	un
tous	PRO:IND	tout
vers	PRP	vers
mieux	ADV	mieux
<EOS>	<EOS>	<EOS>
?	SENT	?
dit	VER:pper	dire
qui	PRO:REL	qui
est	VER:pres	être
à	PRP	à
<EOS>	<EOS>	<EOS>
général	ADJ	général
comme	KON	comme
n'	ADV	ne
de	PRP	de
éloignées	VER:pper	éloigner
le	DET:ART	le
mieux	ADV	mieux
<SEG>
lointaines	ADJ	lointain
des	PRP:det	du
et	KON	et
ne	ADV	ne
de	PRP	de
coin	NOM	coin
travers	NOM	travers
époque	NOM	époque
et	KON	et
était	VER:impf	être
n'	ADV	ne
en	PRP	en
Tourmenté	VER:pper	tourmenter
tourne	VER:pres	tourner
,	PUN	,
aucun	PRO:IND	aucun
inquiétude	NOM	inquiétude
ne	ADV	ne
à	PRP	à
entrevues	VER:pper	entrevoir
ces	PRO:DEM	ce
à	PRP	à
supprimés	VER:pper	supprimer
<EOS>	<EOS>	<EOS>
les	DET:ART	le
vapeur	NOM	vapeur
seulement	ADV	seulement
départ	NOM	départ
fumée	NOM	fumée
fiévreuse	ADJ	fiévreux
plus	ADV	plus
,	PUN	,
pas	ADV	pas
voile	NOM	voile
se	PRO:PER	se
la	DET:ART	le
souffrir	VER:infi	souffrir
où	PRO:REL	où
se	PRO:PER	se
compte	NOM	compte
il	PRO:PER	il
Aimard	NAM	aimard
ses	DET:POS	son
contrées	NOM	contrée
un	DET:ART	un
et	KON	et
à	PRP	à
,	PUN	,
rendre	VER:infi	rendre
cherchait	VER:impf	chercher
curiosité	NOM	curiosité
de	PRP	de
plus	ADV	plus
a	VER:pres	avoir
frein	NOM	frein
de	PRP	de
est	VER:pres	être
,	PUN	,
de	PRP	de
et	KON	et
fer	NOM	fer
.	SENT	.
M	VER:subi	m
nuages	NOM	nuage
dont	PRO:REL	dont
la	DET:ART	le
l'	DET:ART	le
vapeur	NOM	vapeur
demeurent	VER:pres	demeurer
chemins	NOM	chemin
vers	PRP	vers
soulevé	VER:pper	soulever
celui	PRO:DEM	celui
l'	DET:ART	le
,	PUN	,
dans	PRP	dans
par	PRP	par
encore	ADV	encore
pouvant	VER:ppre	pouvoir
voyages	NOM	voyage
<EOS>	<EOS>	<EOS>
À	PRP	à
n'	ADV	ne
même	ADV	même
existaient	VER:impf	exister
du	PRP:det	du
de	PRP	de
arrivée	NOM	arrivé|arrivée
une	DET:ART	un
.	SENT	.
pas	ADV	pas
entrepris	VER:pper	entreprendre
excitée	VER:pper	exciter
vivement	ADV	vivement
peine	NOM	peine
que	KON	que
.	SENT	.
enfance	NOM	enfance
de	PRP	de
l'	DET:ART	le
<SEG>
prairies	NOM	prairie
monde	NOM	monde
laissant	VER:ppre	laisser
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
quel	PRO:REL	quel
ne	ADV	ne
plus	ADV	plus
il	PRO:PER	il
possibles	ADJ	possible
sa	DET:POS	son
ainsi	ADV	ainsi
derrière	PRP	derrière
lui	PRO:PER	lui
se	PRO:PER	se
vie	NOM	vie
était	VER:impf	être
posa	VER:simp	poser
Aussi	ADV	aussi
dans	PRP	dans
<EOS>	<EOS>	<EOS>
voulait	VER:impf	vouloir
aspirant	VER:ppre	aspirer
ne	ADV	ne
en	PRP	en
du	PRP:det	du
Pampas	NOM	pampa
élança	VER:simp	élancer
mener	VER:infi	mener
bonheur	NOM	bonheur
.	SENT	.
et	KON	et
conditions	NOM	condition
,	PUN	,
ne	ADV	ne
les	DET:ART	le
de	PRP	de
revenir	VER:infi	revenir
s'	PRO:PER	se
des	PRP:det	du
!	SENT	!
sont	VER:pres	être
étrange	ADJ	étrange
aventurier	NOM	aventurier
suprêmes	ADJ	suprême
partit	VER:simp	partir
Amérique	NAM	amérique
allait	VER:impf	aller
M	VER:pper	m
Vingt	NUM	vingt
pied	NOM	pied
toute	PRO:IND	tout
civilisé	VER:pper	civiliser
loin	ADV	loin
jeune	ADJ	jeune
de	PRP	de
à	PRP	à
lui	PRO:PER	lui
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
travers	NOM	travers
.	SENT	.
les	DET:ART	le
intention	NOM	intention
lien	NOM	lien
pour	PRP	pour
de	PRP	de
qui	PRO:REL	qui
à	PRP	à
meilleures	ADJ	meilleur
la	DET:ART	le
le	DET:ART	le
amitiés	NOM	amitié
,	PUN	,
,	PUN	,
,	PUN	,
l'	DET:ART	le
années	NOM	année
