lamentable	ADJ	lamentable
première	NUM	premier
Monde	NAM	monde
,	PUN	,
fois	NOM	fois
continuellement	ADV	continuellement
fut	VER:simp	être
marchent	VER:pres	marcher
indéfinissable	ADJ	indéfinissable
côte	NOM	côte
qu'	KON	que
de	PRP	de
de	PRP	de
histoire	NOM	histoire
pour	PRP	pour
fanatisme	NOM	fanatisme
de	PRP	de
Le	DET:ART	le
l'	DET:ART	le
,	PUN	,
fois	NOM	fois
venaient	VER:impf	venir
cupidité	NOM	cupidité
;	PUN	;
Prologue	NOM	prologue
I	NUM	i
ses	DET:POS	son
dans	PRP	dans
une	DET:ART	un
lui	PRO:PER	lui
côte	NOM	côte
recherche	NOM	recherche
étape	NOM	étape
débarque	VER:pres	débarquer
du	PRP:det	du
pour	PRP	pour
.	SENT	.
un	DET:ART	un
Nouveau	NAM	nouveau
qu'	KON	que
découverte	NOM	découverte
aventuriers	NOM	aventurier
<EOS>	<EOS>	<EOS>
une	DET:ART	un
Sud	NOM	sud
origine	NOM	origine
maudit	NOM	maudit
éprouve	VER:pres	éprouver
Amérique	NAM	amérique
tristesse	NOM	tristesse
la	DET:ART	le
ne	ADV	ne
plus	ADV	plus
malgré	PRP	malgré
fut	VER:simp	être
et	KON	et
le	DET:ART	le
poignard	NOM	poignard
conquérants	NOM	conquérant
avides	ADJ	avide
est	VER:pres	être
.	SENT	.
l'	DET:ART	le
En	PRP	en
Hermosillo	NAM	hermosillo
n'	ADV	ne
--	PUN	--
dans	PRP	dans
un	DET:ART	un
lequel	PRO:REL	lequel
ces	PRO:DEM	ce
--	PUN	--
cet	PRO:DEM	ce
or	NOM	or
voyageur	NOM	voyageur
Nouveau	NAM	nouveau
,	PUN	,
,	PUN	,
l'	DET:ART	le
La	DET:ART	le
trouvé	VER:pper	trouver
du	PRP:det	du
qui	PRO:REL	qui
un	DET:ART	un
l'	DET:ART	le
Le	DET:ART	le
Monde	NAM	monde
effet	NOM	effet
à	PRP	à
or	NOM	or
où	PRO:REL	où
Amérique	NAM	amérique
d'	PRP	de
martyrologe	NOM	martyrologe
sentiment	NOM	sentiment
la	DET:ART	le
du	PRP:det	du
l'	DET:ART	le
<EOS>	<EOS>	<EOS>
la	DET:ART	le
<SEG>
par	PRP	par
un	DET:ART	un
assises	NOM	assise
attribuer	VER:infi	attribuer
perpétuer	VER:infi	perpétuer
nouveau	ADJ	nouveau
déployaient	VER:impf	déployer
métal	NOM	métal
qui	PRO:REL	qui
dans	PRP	dans
quoi	PRO	quoi
luxe	NOM	luxe
retournaient	VER:impf	retourner
en	PRP	en
de	PRP	de
,	PUN	,
colonie	NOM	colonie
ils	PRO:PER	il
à	PRP	à
siècles	NOM	siècle
.	SENT	.
de	PRP	de
dans	PRP	dans
ample	ADJ	ample
Ce	PRO:DEM	ce
Amérique	NAM	amérique
grands	ADJ	grand
déplacement	NOM	déplacement
recueillir	VER:infi	recueillir
pendant	PRP	pendant
<EOS>	<EOS>	<EOS>
de	PRP	de
pour	PRP	pour
si	ADV	si
richesses	NOM	richesse
<EOS>	<EOS>	<EOS>
et	KON	et
absence	NOM	absence
y	PRO:PER	y
de	PRP	de
race	NOM	race
fondamentales	ADJ	fondamental
autre	ADJ	autre
,	PUN	,
de	PRP	de
toute	PRO:IND	tout
s'	PRO:PER	se
étalage	NOM	étalage
,	PUN	,
leurs	DET:POS	leur
qui	PRO:REL	qui
continuel	ADJ	continuel
s'	PRO:PER	se
,	PUN	,
effréné	ADJ	effréné
C'	PRO:DEM	ce
de	PRP	de
