villes	NOM	ville
ne	ADV	ne
,	PUN	,
d'	PRP	de
À	PRP	à
à	PRP	à
établit	VER:pres	établir
nous	PRO:PER	nous
vérité	NOM	vérité
qu'	KON	que
LA	NAM	la
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
la	DET:ART	le
autres	ADJ	autre
à	PRP	à
Monseigneur	NOM	monseigneur
CONSPIRATION	NAM	conspiration
Fortune	NAM	fortune
,	PUN	,
Paris	NAM	paris
des	PRP:det	du
à	PRP	à
prudence	NOM	prudence
dit	VER:pres	dire
pas	ADV	pas
avons	VER:pres	avoir
Fortune	NAM	fortune
suis	VER:pres	suivre|être
et	KON	et
suffisamment	ADV	suffisamment
Espagnols	NAM	espagnols
--	PUN	--
savons	VER:pres	savoir
que	KON	que
en	PRO:PER	en
,	PUN	,
j'	PRO:PER	je
défaut	NOM	défaut
brave	ADJ	brave
en	PRP	en
une	DET:ART	un
quant	PRP	quant
,	PUN	,
Turin	NAM	turin
PREMIÈRE	NUM	premier
point	ADV	point
n'	ADV	ne
DENTELLES	NAM	dentelles
,	PUN	,
Je	PRO:PER	je
S'	PRO:PER	se
nous	PRO:PER	nous
vanterie	NOM	vanterie
la	DET:ART	le
chez	PRP	chez
capitales	ADJ	capital
nous	PRO:PER	nous
il	PRO:PER	il
et	KON	et
sont	VER:pres	être
preuves	NOM	preuve
nous	PRO:PER	nous
c'	PRO:DEM	ce
mes	DET:POS	mon
un	DET:ART	un
adresse	NOM	adresse
.	SENT	.
.	SENT	.
comme	ADV	comme
valoir	VER:infi	valoir
,	PUN	,
EN	NAM	en
Florence	NAM	florence
revendre	VER:infi	revendre
ai	VER:pres	avoir
à	PRP	à
autres	ADJ	autre
faites	VER:pper	faire
,	PUN	,
a	VER:pres	avoir
<EOS>	<EOS>	<EOS>
y	PRO:PER	y
,	PUN	,
Français	NAM	français
étoile	NOM	étoile
<EOS>	<EOS>	<EOS>
nous	PRO:PER	nous
faire	VER:infi	faire
dans	PRP	dans
est	VER:pres	être
Où	ABR	où
<EOS>	<EOS>	<EOS>
,	PUN	,
a	VER:pres	avoir
.	SENT	.
PARTIE	NOM	partie
--	PUN	--
.	SENT	.
mon	DET:POS	mon
<SEG>
je	PRO:PER	je
dans	PRP	dans
,	PUN	,
:	PUN	:
un	DET:ART	un
eu	VER:pper	avoir
est	VER:pres	être
aussitôt	ADV	aussitôt
la	DET:ART	le
qu'	KON	que
fais	VER:pres	faire
magnifique	ADJ	magnifique
attitude	NOM	attitude
la	DET:ART	le
demi	NOM	demi
et	KON	et
et	KON	et
aux	PRP:det	au
.	SENT	.
en	PRP	en
sincère	ADJ	sincère
mais	KON	mais
debout	ADV	debout
.	SENT	.
,	PUN	,
.	SENT	.
robuste	ADJ	robuste
entreprends	VER:pres	entreprendre
devant	PRP	devant
à	PRP	à
il	PRO:PER	il
est	VER:pres	être
était	VER:impf	être
elle	PRO:PER	elle
<EOS>	<EOS>	<EOS>
à	PRP	à
,	PUN	,
était	VER:impf	être
choisissant	VER:ppre	choisir
garçon	NOM	garçon
qui	PRO:REL	qui
à	PRP	à
sévères	ADJ	sévère
en	PRO:PER	en
sac	NOM	sac
le	DET:ART	le
un	DET:ART	un
,	PUN	,
.	SENT	.
En	PRP	en
que	KON	que
traits	NOM	trait
élégante	ADJ	élégant
fois	NOM	fois
<EOS>	<EOS>	<EOS>
compliment	NOM	compliment
Il	PRO:PER	il
j'	PRO:PER	je
justice	NOM	justice
portait	VER:impf	porter
lui	PRO:PER	lui
Votre	NAM	votre
<EOS>	<EOS>	<EOS>
heureuse	ADJ	heureux
personnage	NOM	personnage
une	DET:ART	un
respectueuse	ADJ	respectueux
le	DET:ART	le
prêtre	NOM	prêtre
noble	ADJ	noble
tout	ADV	tout
me	PRO:PER	me
,	PUN	,
