soudards	NOM	soudard
château	NOM	château
bombé	ADJ	bombé
portraits	NOM	portrait
un	DET:ART	un
conservés	VER:pper	conserver
dans	PRP	dans
trou	NOM	trou
portraits	NOM	portrait
de	PRP	de
coquille	NOM	coquille
manquaient	VER:impf	manquer
Serrés	VER:pper	serrer
Notice	NOM	notice
à	PRP	à
rébarbatifs	ADJ	rébarbatif
dans	PRP	dans
au	PRP:det	au
leurs	DET:POS	leur
les	DET:ART	le
<EOS>	<EOS>	<EOS>
Lourps	NAM	lourps
leur	DET:POS	leur
Esseintes	NAM	esseintes
ancêtres	NOM	ancêtre
jadis	ADV	jadis
fixes	ADJ	fixe
d'	PRP	de
;	PUN	;
yeux	NOM	œil
-là	ADV	là
la	DET:ART	le
juger	VER:infi	juger
étaient	VER:impf	être
ils	PRO:PER	il
,	PUN	,
leurs	DET:POS	leur
À	PRP	à
des	PRP:det	du
en	PRO:PER	en
leurs	DET:POS	leur
la	DET:ART	le
par	PRP	par
Floressas	NAM	floressas
Ceux	PRO:DEM	celui
dont	PRO:REL	dont
l'	DET:ART	le
,	PUN	,
poitrine	NOM	poitrine
composée	VER:pper	composer
famille	NOM	famille
<EOS>	<EOS>	<EOS>
barraient	VER:impf	barrer
été	VER:pper	être
ils	PRO:PER	il
.	SENT	.
l'	DET:ART	le
leurs	DET:POS	leur
épaules	NOM	épaule
cuirasses	NOM	cuirasse
quelques	PRO:IND	quelque
,	PUN	,
,	PUN	,
alarmaient	VER:impf	alarmer
leurs	DET:POS	leur
reîtres	NOM	reître
de	PRP	de
,	PUN	,
avait	VER:impf	avoir
,	PUN	,
filière	NOM	filière
,	PUN	,
;	PUN	;
.	SENT	.
énorme	ADJ	énorme
de	PRP	de
les	DET:ART	le
,	PUN	,
au	PRP:det	au
yatagans	NOM	yatagan
avec	PRP	avec
temps	NOM	temps
moustaches	NOM	moustache
des	PRP:det	du
athlétiques	ADJ	athlétique
en	PRP	en
descendants	NOM	descendant
étroit	ADJ	étroit
les	DET:ART	le
fortes	ADJ	fort
remplissait	VER:impf	remplir
vieux	ADJ	vieux
des	PRP:det	du
cadres	NOM	cadre
des	PRP:det	du
arc	NOM	arc
l'	DET:ART	le
de	PRP	de
existait	VER:impf	exister
qu'	PRO:REL	que
<SEG>
morts	ADJ	mort
présent	ADJ	présent
mettait	VER:impf	mettre
suture	NOM	suture
passé	NOM	passé
et	KON	et
Épernon	NAM	épernon
tempérament	NOM	tempérament
toile	NOM	toile
gommés	ADJ	gommé
le	DET:ART	le
une	DET:ART	un
et	KON	et
l'	DET:ART	le
de	PRP	de
et	KON	et
.	SENT	.
tirés	VER:pper	tirer
image	NOM	image
aux	PRP:det	au
fraise	NOM	fraise
du	PRP:det	du
un	DET:ART	un
visages	NOM	visage
peint	VER:pper	peindre
prédominance	NOM	prédominance
marquis	NOM	marquis
col	NOM	col
une	DET:ART	un
intermédiaire	ADJ	intermédiaire
virgule	NOM	virgule
fard	NOM	fard
des	PRP:det	du
tendu	ADJ	tendu
traits	NOM	trait
et	KON	et
des	PRP:det	du
mystérieuse	ADJ	mystérieux
duc	NOM	duc
et	KON	et
d'	PRP	de
perles	NOM	perle
point	NOM	point
d'	PRP	de
cheveux	NOM	cheveu
rigide	ADJ	rigide
cette	PRO:DEM	ce
du	PRP:det	du
de	PRP	de
,	PUN	,
d'	PRP	de
cette	PRO:DEM	ce
,	PUN	,
,	PUN	,
intimes	ADJ	intime
dans	PRP	dans
aux	PRP:det	au
rusée	ADJ	rusé
,	PUN	,
Déjà	ADV	déjà
,	PUN	,
,	PUN	,
de	PRP	de
race	NOM	race
de	PRP	de
,	PUN	,
une	DET:ART	un
les	DET:ART	le
,	PUN	,
,	PUN	,
;	PUN	;
cannelures	NOM	cannelure
familiers	NOM	familier
d'	PRP	de
d'	PRP	de
un	DET:ART	un
tête	NOM	tête
d'	PRP	de
Ô	NOM	ô
de	PRP	de
<EOS>	<EOS>	<EOS>
appauvri	VER:pper	appauvrir
servait	VER:impf	servir
de	PRP	de
le	DET:ART	le
,	PUN	,
vices	NOM	vice
la	DET:ART	le
entre	PRP	entre
pommettes	NOM	pommette
et	KON	et
une	DET:ART	un
seule	ADJ	seul
plus	ADV	plus
sortant	VER:ppre	sortir
au	PRP:det	au
un	DET:ART	un
enroulés	VER:pper	enrouler
aux	PRP:det	au
ponctuées	VER:pper	ponctuer
<SEG>
entre	PRP	entre
qu'	PRO:REL	que
comme	ADV	comme
,	PUN	,
mâles	NOM	mâle
l'	DET:ART	le
s'	PRO:PER	se
,	PUN	,
sang	NOM	sang
De	PRP	de
siècles	NOM	siècle
Brie	NAM	brie
dans	PRP	dans
avait	VER:impf	avoir
doute	NOM	doute
était	VER:impf	être
achever	VER:infi	achever
eux	PRO:PER	eux
le	DET:ART	le
marièrent	VER:simp	marier
les	DET:ART	le
son	DET:POS	son
famille	NOM	famille
de	PRP	de
usant	VER:ppre	user
<EOS>	<EOS>	<EOS>
reste	NOM	reste
,	PUN	,
,	PUN	,
deux	NUM	deux
effémination	NOM	effémination
pour	PRP	pour
si	ADV	si
sans	PRP	sans
œuvre	NOM	œuvre
territoires	NOM	territoire
et	KON	et
la	DET:ART	le
duc	NOM	duc
nombreuse	ADJ	nombreux
leur	DET:POS	leur
nul	ADJ	nul
,	PUN	,
La	DET:ART	le
rejeton	NOM	rejeton
,	PUN	,
les	DET:ART	le
,	PUN	,
naguère	ADV	naguère
cours	NOM	cour|cours
enfants	NOM	enfant
Jean	NAM	jean
accentuant	VER:ppre	accentuer
vigueur	NOM	vigueur
,	PUN	,
de	PRP	de
leurs	DET:POS	leur
presque	ADV	presque
en	PRP	en
,	PUN	,
consanguines	ADJ	consanguin
Île-de-France	NOM	île-de-france
;	PUN	;
apparaissaient	VER:impf	apparaître
un	DET:ART	un
les	DET:ART	le
ancienne	ADJ	ancien
<EOS>	<EOS>	<EOS>
l'	DET:ART	le
l'	DET:ART	le
.	SENT	.
elle	PRO:PER	elle
de	PRP	de
suivi	VER:pper	suivre
lymphe	NOM	lymphe
des	PRP:det	du
pendant	PRP	pendant
le	DET:ART	le
.	SENT	.
;	PUN	;
âges	NOM	âge
vivait	VER:impf	vivre
la	DET:ART	le
cette	PRO:DEM	ce
maison	NOM	maison
des	PRP:det	du
un	DET:ART	un
,	PUN	,
occupait	VER:impf	occuper
Esseintes	NAM	esseintes
seul	ADJ	seul
tous	PRO:IND	tout
dans	PRP	dans
allée	VER:pper	aller
de	PRP	de
unions	NOM	union
des	PRP:det	du
décadence	NOM	décadence
régulièrement	ADV	régulièrement
cette	PRO:DEM	ce
<SEG>
,	PUN	,
,	PUN	,
acier	NOM	acier
,	PUN	,
ambiguë	ADJ	ambiguë
homme	NOM	homme
,	PUN	,
et	KON	et
,	PUN	,
Menacée	VER:pper	menacer
froid	NOM	froid
singulier	ADJ	singulier
,	PUN	,
et	KON	et
tout	ADV	tout
extraordinairement	ADV	extraordinairement
Par	PRP	par
fièvres	NOM	fièvre
caves	ADJ	cave
d'	PRP	de
par	PRP	par
lasse	ADJ	las
Son	DET:POS	son
de	PRP	de
et	KON	et
éventé	VER:pper	éventer
été	VER:pper	être
<EOS>	<EOS>	<EOS>
avait	VER:impf	avoir
joues	NOM	joue
nerveux	ADJ	nerveux
au	PRP:det	au
mains	NOM	main
habile	ADJ	habile
expression	NOM	expression
d'	PRP	de
le	DET:ART	le
.	SENT	.
pointe	NOM	pointe
yeux	NOM	œil
fluettes	ADJ	fluet
nez	NOM	nez
anémique	ADJ	anémique
l'	DET:ART	le
sèches	ADJ	sèche
droit	ADJ	droit
,	PUN	,
à	PRP	à
d'	PRP	de
aux	PRP:det	au
accablée	VER:pper	accabler
et	KON	et
opiniâtres	ADJ	opiniâtre
avait	VER:impf	avoir
d'	PRP	de
.	SENT	.
atavisme	NOM	atavisme
et	KON	et
,	PUN	,
aux	PRP:det	au
,	PUN	,
aïeul	NOM	aïeul
,	PUN	,
,	PUN	,
bleu	ADJ	bleu
la	DET:ART	le
en	PRP	en
trente	NUM	trente
funèbre	ADJ	funèbre
antique	ADJ	antique
.	SENT	.
fois	NOM	fois
de	PRP	de
ans	NOM	an
blond	NOM	blond
pourtant	ADV	pourtant
aux	PRP:det	au
pâle	ADJ	pâle
ressemblait	VER:impf	ressembler
à	PRP	à
un	DET:ART	un
scrofules	NOM	scrofule
un	DET:ART	un
enfance	NOM	enfance
descendant	NOM	descendant
<EOS>	<EOS>	<EOS>
au	PRP:det	au
jeune	ADJ	jeune
un	DET:ART	un
<EOS>	<EOS>	<EOS>
grêle	ADJ	grêle
il	PRO:PER	il
l'	DET:ART	le
dont	PRO:REL	dont
la	DET:ART	le
barbe	NOM	barbe
phénomène	NOM	phénomène
d'	PRP	de
dernier	ADJ	dernier
mignon	NOM	mignon
<SEG>
Esseintes	NAM	esseintes
et	KON	et
parvint	VER:simp	parvenir
à	PRP	à
;	PUN	;
langueurs	NOM	langueur
leur	DET:POS	leur
dessus	NOM	dessus
.	SENT	.
longue	ADJ	longue
avait	VER:impf	avoir
développement	NOM	développement
le	DET:ART	le
père	NOM	père
apeuré	ADJ	apeuré
une	DET:ART	un
menèrent	VER:simp	mener
,	PUN	,
la	DET:ART	le
,	PUN	,
l'	DET:ART	le
de	PRP	de
de	PRP	de
épuisement	NOM	épuisement
et	KON	et
son	DET:POS	son
parents	NOM	parents
année	NOM	année
<EOS>	<EOS>	<EOS>
alors	ADV	alors
blanche	ADJ	blanc
souvenir	NOM	souvenir
grand	ADJ	grand
La	DET:ART	le
les	DET:ART	le
silencieuse	ADJ	silencieux
,	PUN	,
un	DET:ART	un
de	PRP	de
à	PRP	à
,	PUN	,
la	DET:ART	le
qu'	KON	que
les	DET:ART	le
chlorose	NOM	chlorose
alors	ADV	alors
nubilité	NOM	nubilité
à	PRP	à
soins	NOM	soin
,	PUN	,
les	DET:ART	le
d'	PRP	de
,	PUN	,
et	KON	et
femme	NOM	femme
abandons	NOM	abandon
brisants	NOM	brisant
franchir	VER:infi	franchir
tour	NOM	tour
les	DET:ART	le
d'	PRP	de
et	KON	et
air	NOM	air
elle	PRO:PER	elle
le	DET:ART	le
dix-septième	ADJ	dix-septième
atteignait	VER:impf	atteindre
progressions	NOM	progression
maladie	NOM	maladie
à	PRP	à
prirent	VER:simp	prendre
entier	ADJ	entier
nerfs	NOM	nerf
<EOS>	<EOS>	<EOS>
jusqu'	PRP	jusque
croissance	NOM	croissance
de	PRP	de
,	PUN	,
Il	PRO:PER	il
;	PUN	;
vague	ADJ	vague
des	PRP:det	du
de	PRP	de
,	PUN	,
mourut	VER:simp	mourir
mère	NOM	mère
ses	DET:POS	son
décéda	VER:simp	décéder
n'	ADV	ne
.	SENT	.
sa	DET:POS	son
de	PRP	de
,	PUN	,
les	DET:ART	le
une	DET:ART	un
cependant	ADV	cependant
aide	NOM	aide
la	DET:ART	le
gardé	VER:pper	garder
matèrent	VER:simp	mater
<SEG>
sans	PRP	sans
connaissait	VER:impf	connaître
d'	PRP	de
Paris	NAM	paris
père	NOM	père
,	PUN	,
guéridon	NOM	guéridon
et	KON	et
l'	DET:ART	le
remémorait	VER:impf	remémorer
baissé	VER:pper	baisser
,	PUN	,
se	PRO:PER	se
Son	DET:POS	son
.	SENT	.
dans	PRP	dans
<EOS>	<EOS>	<EOS>
la	DET:ART	le
père	NOM	père
de	PRP	de
à	PRP	à
grand	ADJ	grand
de	PRP	de
immobile	ADJ	immobile
,	PUN	,
qui	PRO:REL	qui
-là	ADV	là
seul	ADJ	seul
une	DET:ART	un
château	NOM	château
par	PRP	par
sans	PRP	sans
un	NOM	un
décolorées	VER:pper	décolorer
,	PUN	,
il	PRO:PER	il
Lourps	NAM	lourps
réunis	VER:pper	réunir
,	PUN	,
assis	VER:pper	asseoir
se	PRO:PER	se
,	PUN	,
en	PRP	en
étaient	VER:impf	être
le	DET:ART	le
couchée	VER:pper	coucher
chambre	NOM	chambre
peine	NOM	peine
jours	NOM	jour
,	PUN	,
était	VER:impf	être
face	NOM	face
rappelait	VER:impf	rappeler
affection	NOM	affection
un	DET:ART	un
au	PRP:det	au
,	PUN	,
le	PRO:PER	le
l'	DET:ART	le
,	PUN	,
entrevues	NOM	entrevue
lampe	NOM	lampe
,	PUN	,
autre	ADJ	autre
et	KON	et
la	PRO:PER	la
il	PRO:PER	il
et	KON	et
il	PRO:PER	il
.	SENT	.
et	KON	et
<EOS>	<EOS>	<EOS>
demeurait	VER:impf	demeurer
très	ADV	très
mère	NOM	mère
obscure	ADJ	obscur
abat-jour	NOM	abat-jour
à	PRP	à
une	DET:ART	un
éclairé	VER:pper	éclairer
sa	DET:POS	son
ordinaire	NOM	ordinaire
mari	NOM	mari
qui	PRO:REL	qui
,	PUN	,
Rarement	ADV	rarement
mère	NOM	mère
du	PRP:det	du
le	DET:ART	le
de	PRP	de
femme	NOM	femme
,	PUN	,
,	PUN	,
la	DET:ART	le
des	PRP:det	du
;	PUN	;
devant	PRP	devant
reconnaissance	NOM	reconnaissance
car	KON	car
ces	PRO:DEM	ce
<SEG>
puis	ADV	puis
indifférent	ADJ	indifférent
,	PUN	,
leurs	DET:POS	leur
nerfs	NOM	nerf
ses	DET:POS	son
et	KON	et
son	DET:POS	son
.	SENT	.
duc	NOM	duc
pour	PRP	pour
,	PUN	,
bienveillante	ADJ	bienveillant
livrât	VER:subi	livrer
la	DET:ART	le
le	DET:ART	le
ombre	NOM	ombre
vite	ADV	vite
échangeaient	VER:impf	échanger
dans	PRP	dans
l'	DET:ART	le
choyer	VER:infi	choyer
Pères	NOM	père
classes	NOM	classe
plus	ADV	plus
les	PRO:PER	la|le
,	PUN	,
bruit	NOM	bruit
à	PRP	à
dépit	NOM	dépit
;	PUN	;
<EOS>	<EOS>	<EOS>
la	DET:ART	le
plus	ADV	plus
études	NOM	étude
pouvait	VER:impf	pouvoir
il	PRO:PER	il
<EOS>	<EOS>	<EOS>
où	PRO:REL	où
le	DET:ART	le
douce	ADJ	doux
et	KON	et
.	SENT	.
dans	PRP	dans
obtenir	VER:infi	obtenir
crises	NOM	crise
purent	VER:simp	pouvoir
étonnait	VER:impf	étonner
ne	ADV	ne
;	PUN	;
sans	PRP	sans
à	PRP	à
,	PUN	,
efforts	NOM	effort
et	KON	et
l'	DET:ART	le
faire	VER:infi	faire
fut	VER:simp	être
s'	PRO:PER	se
intelligence	NOM	intelligence
à	PRP	à
qu'	KON	que
de	PRP	de
les	DET:ART	le
le	DET:ART	le
supporter	VER:infi	supporter
des	PRP:det	du
deux	NUM	deux
jésuites	NOM	jésuite
premier	NUM	premier
ressautait	VER:impf	ressauter
mots	NOM	mot
dont	PRO:REL	dont
plus	ADV	plus
clarté	NOM	clarté
éloignait	VER:impf	éloigner
de	PRP	de
ils	PRO:PER	il
cependant	ADV	cependant
peine	NOM	peine
existence	NOM	existence
disciplinées	VER:pper	discipliner
Les	DET:ART	le
au	PRP:det	au
train	NOM	train
en	PRP	en
enfant	NOM	enfant
duchesse	NOM	duchesse
ils	PRO:PER	il
;	PUN	;
Jean	NAM	jean
se	PRO:PER	se
mirent	VER:simp	mettre
se	PRO:PER	se
l'	DET:ART	le
Chez	PRP	chez
dépêché	VER:pper	dépêcher
ne	ADV	ne
fut	VER:simp	être
,	PUN	,
<SEG>
aptitude	NOM	aptitude
premiers	NUM	premier
témoignait	VER:impf	témoigner
famille	NOM	famille
ne	ADV	ne
le	PRO:PER	le
mordait	VER:impf	mordre
ferré	VER:pper	ferrer
.	SENT	.
tel	PRO:DEM	tel
qu'	PRO:REL	que
visiter	VER:infi	visiter
des	PRP:det	du
père	NOM	père
bien	ADV	bien
sage	ADJ	sage
,	PUN	,
obtus	ADJ	obtus
lui	PRO:PER	lui
de	PRP	de
,	PUN	,
travaille	VER:pres	travailler
l'	DET:ART	le
,	PUN	,
mots	NOM	mot
,	PUN	,
»	PUN:cit	»
<EOS>	<EOS>	<EOS>
les	DET:ART	le
apprendre	VER:infi	apprendre
parfois	ADV	parfois
,	PUN	,
dès	PRP	dès
,	PUN	,
les	DET:ART	le
sciences	NOM	science
on	PRO:PER	on
en	PRP	en
il	PRO:PER	il
la	DET:ART	le
vivantes	ADJ	vivant
revanche	NOM	revanche
un	DET:ART	un
préoccupait	VER:impf	préoccuper
latine	ADJ	latin
se	PRO:PER	se
langue	NOM	langue
expliquer	VER:infi	expliquer
peu	ADV	peu
certains	PRO:IND	certain
devenait	VER:impf	devenir
,	PUN	,
lui	PRO:PER	lui
;	PUN	;
incapable	ADJ	incapable
vacances	NOM	vacance
