compliquée	VER:pper	compliquer
,	PUN	,
,	PUN	,
Martory	NAM	martory
,	PUN	,
et	KON	et
militaire	ADJ	militaire
de	PRP	de
de	PRP	de
annexe	NOM	annexe
correspondance	NOM	correspondance
lavage	NOM	lavage
vaisselle	NOM	vaisselle
avec	PRP	avec
une	DET:ART	un
,	PUN	,
qui	PRO:REL	qui
colonel	NOM	colonel
de	PRP	de
officielle	ADJ	officiel
,	PUN	,
Mais	KON	mais
d'	PRP	de
correspondance	NOM	correspondance
maladie	NOM	maladie
entretenir	VER:infi	entretenir
,	PUN	,
ménage	NOM	ménage
en	PRP	en
scrupules	NOM	scrupule
la	DET:ART	le
écrit	VER:pper	écrire
du	PRP:det	du
amené	VER:pper	amener
avait	VER:impf	avoir
comme	KON	comme
général	ADJ	général
ou	KON	ou
des	PRP:det	du
--	PUN	--
;	PUN	;
le	DET:ART	le
et	KON	et
une	DET:ART	un
L'	DET:ART	le
avais	VER:impf	avoir
affaire	NOM	affaire
vieux	NOM	vieux
mon	DET:POS	mon
pendant	PRP	pendant
qualité	NOM	qualité
<EOS>	<EOS>	<EOS>
active	ADJ	actif
dans	PRP	dans
une	DET:ART	un
avais	VER:impf	avoir
journée	NOM	journée
le	DET:ART	le
lui	PRO:PER	lui
le	DET:ART	le
travail	NOM	travail
tous	PRO:IND	tout
fois	NOM	fois
le	DET:ART	le
--	PUN	--
blanc	ADJ	blanc
lui	PRO:PER	lui
envoyé	VER:pper	envoyer
je	PRO:PER	je
de	PRP	de
plus	ADV	plus
de	PRP	de
méprise	VER:pres	mépriser
matins	NOM	matin
la	DET:ART	le
.	SENT	.
cours	NOM	cour|cours
seconde	NUM	second
prudents	ADJ	prudent
,	PUN	,
démission	NOM	démission
ma	DET:POS	mon
m'	PRO:PER	me
le	DET:ART	le
je	PRO:PER	je
à	PRP	à
balayage	NOM	balayage
sa	DET:POS	son
considère	VER:pres	considérer
une	DET:ART	un
papier	NOM	papier
de	PRP	de
,	PUN	,
lettre	NOM	lettre
ma	DET:POS	mon
XXXIX	NUM	xxxix
la	DET:ART	le
les	DET:ART	le
,	PUN	,
le	DET:ART	le
<SEG>
étaient	VER:impf	être
,	PUN	,
;	PUN	;
Clotilde	NAM	clotilde
gauche	ADJ	gauche
la	DET:ART	le
contraire	NOM	contraire
insinuation	NOM	insinuation
été	VER:pper	être
et	KON	et
démission	NOM	démission
,	PUN	,
qui	PRO:REL	qui
et	KON	et
directement	ADV	directement
répondre	VER:infi	répondre
;	PUN	;
conversation	NOM	conversation
.	SENT	.
moyen	NOM	moyen
avais	VER:impf	avoir
l'	DET:ART	le
,	PUN	,
Clotilde	NAM	clotilde
<EOS>	<EOS>	<EOS>
cette	PRO:DEM	ce
avait	VER:impf	avoir
.	SENT	.
d'	PRP	de
avaient	VER:impf	avoir
qui	PRO:REL	qui
merveilleux	ADJ	merveilleux
mais	KON	mais
chargé	VER:pper	charger
,	PUN	,
personnellement	ADV	personnellement
elle	PRO:PER	elle
chefs-d'œuvre	NOM	chefs-d'œuvre
y	PRO:PER	y
qualités	NOM	qualité
n'	ADV	ne
exprimer	VER:infi	exprimer
qui	PRO:REL	qui
au	PRP:det	au
avec	PRP	avec
un	DET:ART	un
ma	DET:POS	mon
admirables	ADJ	admirable
ses	DET:POS	son
ce	PRO:DEM	ce
sans	PRP	sans
échanger	VER:infi	échanger
des	PRP:det	du
les	PRO:PER	la|le
nous	PRO:PER	nous
Par	PRP	par
en	PRP	en
<EOS>	<EOS>	<EOS>
lettres	NOM	lettre
allusion	NOM	allusion
aucun	PRO:IND	aucun
tour	NOM	tour
amour	NOM	amour
avait	VER:impf	avoir
d'	PRP	de
révélé	VER:pper	révéler
touchaient	VER:impf	toucher
peu	ADV	peu
,	PUN	,
nous	PRO:PER	nous
occasion	NOM	occasion
à	PRP	à
J'	PRO:PER	je
,	PUN	,
il	PRO:PER	il
bien	ADV	bien
nous	PRO:PER	nous
;	PUN	;
dans	PRP	dans
rapport	NOM	rapport
d'	PRP	de
notre	DET:POS	notre
pensées	NOM	pensée
près	ADV	près
avions	VER:impf	avoir
des	PRP:det	du
assez	ADV	assez
choses	NOM	chose
trouvé	VER:pper	trouver
les	DET:ART	le
effleurer	VER:infi	effleurer
et	KON	et
d'	PRP	de
pour	PRP	pour
de	PRP	de
avait	VER:impf	avoir
donner	VER:infi	donner
par	PRP	par
me	PRO:PER	me
sensation	NOM	sensation
<SEG>
lettre	NOM	lettre
Bien	ADV	bien
,	PUN	,
fit	VER:simp	faire
pas	ADV	pas
rester	VER:infi	rester
<EOS>	<EOS>	<EOS>
cette	PRO:DEM	ce
elle	PRO:PER	elle
car	KON	car
père	NOM	père
n'	ADV	ne
chaque	PRO:IND	chaque
lettre	NOM	lettre
,	PUN	,
était	VER:impf	être
la	DET:ART	le
été	VER:pper	être
ma	DET:POS	mon
que	KON	que
une	DET:ART	un
,	PUN	,
que	KON	que
,	PUN	,
véritable	ADJ	véritable
entrerais	VER:cond	entrer
,	PUN	,
maison	NOM	maison
,	PUN	,
elle	PRO:PER	elle
pour	PRP	pour
touché	VER:pper	toucher
pour	PRP	pour
je	PRO:PER	je
eussent	VER:subi	avoir
.	SENT	.
remplit	VER:pres	remplir
Aussitôt	ADV	aussitôt
espérance	NOM	espérance
,	PUN	,
qu'	PRO:REL	que
Marseille	NAM	marseille
ma	DET:POS	mon
caresse	NOM	caresse
fut	VER:simp	être
avait	VER:impf	avoir
étaient	VER:impf	être
il	PRO:PER	il
la	DET:ART	le
convenu	VER:pper	convenir
dans	PRP	dans
lui	PRO:PER	lui
absolument	ADV	absolument
m'	PRO:PER	me
qui	PRO:REL	qui
alors	ADV	alors
à	PRP	à
une	DET:ART	un
fait	VER:pper	faire
était	VER:impf	être
écrivis	VER:simp	écrire
d'	PRP	de
à	PRP	à
,	PUN	,
réponse	NOM	réponse
une	DET:ART	un
incompréhensibles	ADJ	incompréhensible
dans	PRP	dans
et	KON	et
chaque	PRO:IND	chaque
Toulon	NAM	toulon
elle	PRO:PER	elle
qui	PRO:REL	qui
,	PUN	,
promesse	NOM	promesse
sous-entendu	NOM	sous-entendu
bonne	NOM	bonne
moi	PRO:PER	moi
à	PRP	à
je	PRO:PER	je
,	PUN	,
eusse	VER:subi	avoir
étranger	ADJ	étranger
délicieuses	ADJ	délicieux
Bédarrides	ADJ	bédarrides
nouvelle	ADJ	nouveau
et	KON	et
son	DET:POS	son
avec	PRP	avec
qui	PRO:REL	qui
,	PUN	,
j'	PRO:PER	je
;	PUN	;
,	PUN	,
me	PRO:PER	me
un	DET:ART	un
<EOS>	<EOS>	<EOS>
.	SENT	.
mot	NOM	mot
raison	NOM	raison
<SEG>
relations	NOM	relation
depuis	PRP	depuis
