bonhomme	NOM	bonhomme
moments	NOM	moment
la	DET:ART	le
fond	NOM	fond
Roland	NAM	roland
à	PRP	à
,	PUN	,
eau	NOM	eau
,	PUN	,
<EOS>	<EOS>	<EOS>
!	SENT	!
«	PUN:cit	«
Rosémilly	NAM	rosémilly
Roland	NAM	roland
l'	DET:ART	le
,	PUN	,
léger	ADJ	léger
<EOS>	<EOS>	<EOS>
au	PRP:det	au
mer	NOM	mer
d'	PRP	de
côté	NOM	côté
:	PUN	:
ligne	NOM	ligne
Zut	NAM	zut
tournant	VER:ppre	tourner
!	SENT	!
immobile	ADJ	immobile
très	ADV	très
du	PRP:det	du
Mme	NOM	madame
s'	PRO:PER	se
demeurait	VER:impf	demeurer
à	PRP	à
vers	PRP	vers
et	KON	et
bien	ADV	bien
fixés	VER:pper	fixer
sa	DET:POS	son
et	KON	et
descendue	VER:pper	descendre
par	PRP	par
l'	DET:ART	le
qui	PRO:REL	qui
eh	INT	eh
son	DET:POS	son
Chapitre	NOM	chapitre
sur	PRP	sur
depuis	PRP	depuis
coup	NOM	coup
bateau	NOM	bateau
,	PUN	,
invitée	VER:pper	inviter
un	DET:ART	un
Le	DET:ART	le
les	DET:ART	le
tout	ADV	tout
se	PRO:PER	se
pêche	NOM	pêche
,	PUN	,
le	DET:ART	le
à	PRP	à
»	PUN:cit	»
bien	ADJ	bien
1	NUM	@card@
,	PUN	,
,	PUN	,
...	PUN	...
à	PRP	à
,	PUN	,
yeux	NOM	œil
père	NOM	père
un	DET:ART	un
,	PUN	,
<EOS>	<EOS>	<EOS>
réveilla	VER:simp	réveiller
Mme	NOM	madame
cette	PRO:DEM	ce
arrière	NOM	arrière
soulevant	VER:ppre	soulever
tête	NOM	tête
,	PUN	,
...	PUN	...
la	DET:ART	le
écria	VER:simp	écrier
«	PUN:cit	«
heure	NOM	heure
d'	PRP	de
.	SENT	.
de	PRP	de
partie	NOM	partie
mari	NOM	mari
de	PRP	de
Eh	NOM	eh
assoupie	VER:pper	assoupir
de	PRP	de
mouvement	NOM	mouvement
»	PUN:cit	»
Jérôme	NAM	jérôme
quart	NOM	quart
<SEG>
répondit	VER:simp	répondre
»	PUN:cit	»
vous	PRO:PER	vous
galant	ADJ	galant
mord	VER:pres	mordre
tenaient	VER:impf	tenir
embarquer	VER:infi	embarquer
entre	PRP	entre
à	PRP	à
devrait	VER:cond	devoir
toujours	ADV	toujours
je	PRO:PER	je
ai	VER:pres	avoir
pas	ADV	pas
papa	NOM	papa
trop	ADV	trop
enroulée	VER:pper	enrouler
un	NOM	un
bâbord	NOM	bâbord
ligne	NOM	ligne
n'	ADV	ne
M	ADJ	m
Tu	NAM	tu
tout	NOM	tout
Depuis	PRP	depuis
index	NOM	index
;	PUN	;
,	PUN	,
même	ADJ	même
,	PUN	,
Ses	NAM	ses
pris	VER:pper	prendre
<EOS>	<EOS>	<EOS>
du	PRP:det	du
.	SENT	.
furieux	ADJ	furieux
les	DET:ART	le
font	VER:pres	faire
en	PRP	en
à	PRP	à
Roland	NAM	roland
<EOS>	<EOS>	<EOS>
,	PUN	,
:	PUN	:
.	SENT	.
.	SENT	.
,	PUN	,
tribord	NOM	tribord
qu'	KON	que
chacun	PRO:IND	chacun
tard	ADV	tard
es	VER:pres	être
répondit	VER:simp	répondre
pour	PRP	pour
l'	DET:ART	le
fils	NOM	fil|fils
Ça	VER:simp	ça
.	SENT	.
midi	NOM	midi
autre	ADJ	autre
«	PUN:cit	«
rire	VER:infi	rire
:	PUN	:
»	PUN:cit	»
femmes	NOM	femme
,	PUN	,
se	PRO:PER	se
On	PRO:PER	on
Jean	NAM	jean
.	SENT	.
ne	ADV	ne
«	PUN:cit	«
Jean	NAM	jean
,	PUN	,
l'	DET:ART	le
qui	PRO:REL	qui
plus	ADV	plus
deux	NUM	deux
<EOS>	<EOS>	<EOS>
jamais	ADV	jamais
et	KON	et
ne	ADV	ne
rien	ADV	rien
n'	ADV	ne
pêcher	VER:infi	pêcher
notre	DET:POS	notre
<EOS>	<EOS>	<EOS>
Pierre	NAM	pierre
temps	NOM	temps
l'	DET:ART	le
une	DET:ART	un
et	KON	et
