maisons	NOM	maison
et	KON	et
délayant	VER:ppre	délayer|délayer
semblait	VER:impf	sembler
en	PRP	en
cessait	VER:impf	cesser
les	DET:ART	le
Jeanne	NAM	jeanne
désertes	ADJ	désert
L'	DET:ART	le
,	PUN	,
fenêtre	NOM	fenêtre
fondant	NOM	fondant
du	PRP:det	du
ne	ADV	ne
sucre	NOM	sucre
,	PUN	,
chargé	VER:pper	charger
terre	NOM	terre
lourde	ADJ	lourd
Des	PRP:det	du
mais	KON	mais
les	DET:ART	le
la	DET:ART	le
,	PUN	,
<EOS>	<EOS>	<EOS>
.	SENT	.
contre	PRP	contre
pas	ADV	pas
pleines	ADJ	plein
,	PUN	,
ronflement	NOM	ronflement
bouillie	NOM	bouillie
sonné	VER:pper	sonner
toute	PRO:IND	tout
passaient	VER:impf	passer
se	PRO:PER	se
sur	PRP	sur
éponges	NOM	éponge
l'	DET:ART	le
une	DET:ART	un
vidant	VER:ppre	vider
,	PUN	,
<EOS>	<EOS>	<EOS>
carreaux	NOM	carreau
de	PRP	de
humidité	NOM	humidité
,	PUN	,
la	DET:ART	le
emplissait	VER:impf	emplir
<EOS>	<EOS>	<EOS>
ciel	NOM	ciel
la	DET:ART	le
où	PRO:REL	où
pluie	NOM	pluie
avait	VER:impf	avoir
,	PUN	,
crevé	VER:pper	crever
débordés	VER:pper	déborder
rues	NOM	rue
la	DET:ART	le
d'	PRP	de
<EOS>	<EOS>	<EOS>
.	SENT	.
Le	DET:ART	le
Le	DET:ART	le
chaleur	NOM	chaleur
ruisseaux	NOM	ruisseau
la	DET:ART	le
d'	PRP	de
.	SENT	.
eau	NOM	eau
rafales	NOM	rafale
bas	ADJ	bas
,	PUN	,
les	DET:ART	le
approcha	VER:simp	approcher
I	NUM	i
la	DET:ART	le
et	KON	et
comme	ADV	comme
malles	NOM	malle
s'	PRO:PER	se
.	SENT	.
buvaient	VER:impf	boire
fini	VER:pper	finir
,	PUN	,
ses	DET:POS	son
,	PUN	,
comme	KON	comme
nuit	NOM	nuit
,	PUN	,
,	PUN	,
,	PUN	,
averse	NOM	averse
les	DET:ART	le
toits	NOM	toit
des	PRP:det	du
ayant	VER:ppre	avoir
des	PRP:det	du
<SEG>
pour	PRP	pour
sortie	VER:pper	sortir
la	DET:ART	le
au	PRP:det	au
elle	PRO:PER	elle
,	PUN	,
Jeanne	NAM	jeanne
elle	PRO:PER	elle
dont	PRO:REL	dont
petit	ADJ	petit
son	DET:POS	son
vie	NOM	vie
la	DET:ART	le
si	ADV	si
suer	VER:infi	suer
calendrier	NOM	calendrier
,	PUN	,
dans	PRP	dans
enfin	ADV	enfin
,	PUN	,
Elle	PRO:PER	elle
le	DET:ART	le
éclaircissait	VER:impf	éclaircir
voyage	NOM	voyage
oublié	VER:pper	oublier
la	DET:ART	le
du	PRP:det	du
libre	ADJ	libre
de	PRP	de
elle	PRO:PER	elle
veille	NOM	veille
le	DET:ART	le
la	DET:ART	le
avait	VER:impf	avoir
son	DET:POS	son
de	PRP	de
longtemps	ADV	longtemps
bonheurs	NOM	bonheur
père	NOM	père
qu'	KON	que
grenier	NOM	grenier
<EOS>	<EOS>	<EOS>
au-dedans	ADV	au-dedans
tous	PRO:IND	tout
<EOS>	<EOS>	<EOS>
horizon	NOM	horizon
fois	NOM	fois
de	PRP	de
.	SENT	.
<EOS>	<EOS>	<EOS>
pas	ADV	pas
toujours	ADV	toujours
de	PRP	de
l'	DET:ART	le
son	DET:POS	son
faisait	VER:impf	faire
cave	NOM	cave
pour	KON	pour
si	KON	si
hésitât	VER:subi	hésiter
à	PRP	à
,	PUN	,
que	KON	que
sac	NOM	sac
le	DET:ART	le
partir	VER:infi	partir
ne	ADV	ne
interrogeait	VER:impf	interroger
craignait	VER:impf	craindre
et	KON	et
saisir	VER:infi	saisir
rêvait	VER:impf	rêver
prête	ADJ	prêt
sur	PRP	sur
cueillit	VER:simp	cueillir
Puis	ADV	puis
depuis	PRP	depuis
mettre	VER:infi	mettre
centième	ADJ	centième
,	PUN	,
aperçut	VER:simp	apercevoir
s'	PRO:PER	se
s'	PRO:PER	se
temps	NOM	temps
le	DET:ART	le
et	KON	et
murs	NOM	mur
depuis	PRP	depuis
.	SENT	.
qui	PRO:REL	qui
pénétrait	VER:impf	pénétrer
elle	PRO:PER	elle
les	DET:ART	le
,	PUN	,
matin	NOM	matin
mur	NOM	mur
.	SENT	.
les	DET:ART	le
couvent	NOM	couvent
à	PRP	à
<SEG>
biffa	VER:simp	biffer
Et	VER:pres	et
«	PUN:cit	«
coups	NOM	coup
,	PUN	,
.	SENT	.
»	PUN:cit	»
jour	NOM	jour
1819	NUM	@card@
2	NUM	@card@
son	DET:POS	son
Vauds	NOM	vauds
premières	NUM	premier
<EOS>	<EOS>	<EOS>
.	SENT	.
saint	ADJ	saint
baron	NOM	baron
crayon	NOM	crayon
sa	DET:POS	son
nom	NOM	nom
elle	PRO:PER	elle
de	PRP	de
par	PRP	par
date	NOM	date
un	DET:ART	un
mois	NOM	moi|mois
couvent	NOM	couvent
en	PRP	en
Perthuis	NOM	perthuis
sortie	NOM	sortie
.	SENT	.
Jeanne	NAM	jeanne
père	NOM	père
l'	DET:ART	le
,	PUN	,
de	PRP	de
divisé	VER:pper	diviser
la	DET:ART	le
mai	NOM	mai
carton	NOM	carton
,	PUN	,
parut	VER:simp	paraître
l'	DET:ART	le
portant	VER:ppre	porter
<EOS>	<EOS>	<EOS>
Entre	NOM	entre
au	PRP:det	au
de	PRP	de
.	SENT	.
derrière	PRP	derrière
:	PUN	:
et	KON	et
Le	DET:ART	le
était	VER:impf	être
porte	NOM	porte
:	PUN	:
la	DET:ART	le
<EOS>	<EOS>	<EOS>
,	PUN	,
jusqu'	PRP	jusque
voix	NOM	voix
au	PRP:det	au
à	PRP	à
,	PUN	,
,	PUN	,
<EOS>	<EOS>	<EOS>
Puis	ADV	puis
!	SENT	!
papa	NOM	papa
chiffres	NOM	chiffre
or	NOM	or
de	PRP	de
de	PRP	de
année	NOM	année
,	PUN	,
,	PUN	,
milieu	NOM	milieu
appela	VER:simp	appeler
colonnes	NOM	colonne
<EOS>	<EOS>	<EOS>
d'	PRP	de
les	DET:ART	le
courante	ADJ	courant
dessin	NOM	dessin
Simon-Jacques	NAM	simon-jacques
«	PUN:cit	«
un	DET:ART	un
Une	DET:ART	un
Le	DET:ART	le
d'	PRP	de
»	PUN:cit	»
gentilhomme	NOM	gentilhomme
du	PRP:det	du
répondit	VER:simp	répondre
Jeannette	NAM	jeannette
,	PUN	,
rayant	VER:ppre	raire|rayer|rayer
des	PRP:det	du
chaque	PRO:IND	chaque
quatre	NUM	quatre
<SEG>
une	DET:ART	un
donner	VER:infi	donner
était	VER:impf	être
<EOS>	<EOS>	<EOS>
c'	PRO:DEM	ce
mais	KON	mais
étreindre	VER:infi	étreindre
,	PUN	,
et	KON	et
,	PUN	,
par	PRP	par
amant	NOM	amant
éducation	NOM	éducation
-J	ADJ	-j
Disciple	NOM	disciple
,	PUN	,
.	SENT	.
les	DET:ART	le
il	PRO:PER	il
,	PUN	,
siècle	NOM	siècle
,	PUN	,
bêtes	NOM	bête
par	PRP	par
tyrannie	NOM	tyrannie
exécrait	VER:impf	exécrer
bon	ADJ	bon
bois	NOM	bois
pour	PRP	pour
instinct	NOM	instinct
et	KON	et
faiblesse	NOM	faiblesse
grande	ADJ	grand
il	PRO:PER	il
,	PUN	,
maniaque	ADJ	maniaque
caresser	VER:infi	caresser
Sa	DET:POS	son
inoffensive	ADJ	inoffensif
bras	NOM	bras
J	NAM	j
une	DET:ART	un
d'	PRP	de
et	KON	et
la	DET:ART	le
force	NOM	force
Aristocrate	NOM	aristocrate
philosophe	NOM	philosophe
sa	DET:POS	son
pour	PRP	pour
haine	NOM	haine
enthousiaste	ADJ	enthousiaste
les	DET:ART	le
,	PUN	,
de	PRP	de
libéral	NOM	libéral
nature	NOM	nature
,	PUN	,
tempérament	NOM	tempérament
<EOS>	<EOS>	<EOS>
.	SENT	.
de	PRP	de
.	SENT	.
<EOS>	<EOS>	<EOS>
.	SENT	.
,	PUN	,
<EOS>	<EOS>	<EOS>
,	PUN	,
;	PUN	;
n'	ADV	ne
haïssait	VER:impf	haïr
la	DET:ART	le
il	PRO:PER	il
la	DET:ART	le
pour	PRP	pour
quatre-vingt-treize	NUM	quatre-vingt-treize
grande	ADJ	grand
par	PRP	par
Rousseau	NAM	rousseau
des	PRP:det	du
d'	PRP	de
autre	ADJ	autre
,	PUN	,
pour	PRP	pour
de	PRP	de
naissance	NOM	naissance
qui	PRO:REL	qui
avait	VER:impf	avoir
,	PUN	,
les	DET:ART	le
champs	NOM	champ
déclamatoire	ADJ	déclamatoire
pas	ADV	pas
tendresses	NOM	tendresse
avait	VER:impf	avoir
.	SENT	.
bonté	NOM	bonté
et	KON	et
assez	ADV	assez
bonté	NOM	bonté
<SEG>
l'	PRO:PER	la|le
mère	NOM	mère
<EOS>	<EOS>	<EOS>
pour	PRP	pour
engourdissement	NOM	engourdissement
elle	PRO:PER	elle
une	DET:ART	un
résistance	NOM	résistance
sans	PRP	sans
des	PRP:det	du
Il	PRO:PER	il
faire	VER:infi	faire
,	PUN	,
ignorée	ADJ	ignoré
un	DET:ART	un
fille	NOM	fille
,	PUN	,
de	PRP	de
lacune	NOM	lacune
d'	PRP	de
sa	DET:POS	son
théorie	NOM	théorie
demeurée	VER:pper	demeurer
,	PUN	,
puis	ADV	puis
d'	PRP	de
,	PUN	,
et	KON	et
sévèrement	ADV	sévèrement
comme	KON	comme
cloîtrée	VER:pper	cloîtrer
bonté	NOM	bonté
un	DET:ART	un
,	PUN	,
la	DET:ART	le
la	DET:ART	le
la	DET:ART	le
<EOS>	<EOS>	<EOS>
heureuse	ADJ	heureux
volonté	NOM	volonté
presque	ADV	presque
,	PUN	,
l'	DET:ART	le
,	PUN	,
,	PUN	,
.	SENT	.
pleurs	NOM	pleur|pleurs
les	DET:ART	le
ignorante	ADJ	ignorant
méditait	VER:impf	méditer
et	KON	et
Sacré-Cœur	NAM	sacré-cœur
de	PRP	de
dans	PRP	dans
maison	NOM	maison
droite	ADJ	droit
,	PUN	,
,	PUN	,
mise	VER:pper	mettre
éparse	ADJ	épars
malgré	PRP	malgré
Homme	NOM	homme
tout	ADV	tout
une	DET:ART	un
Elle	PRO:PER	elle
