mis	VER:pper	mettre
écoulait	VER:impf	écouler
buissons	NOM	buisson
--	PUN	--
du	PRP:det	du
la	DET:ART	le
enfance	NOM	enfance
,	PUN	,
plus	ADV	plus
;	PUN	;
la	DET:ART	le
la	DET:ART	le
le	DET:ART	le
frères	NOM	frère
du	PRP:det	du
de	PRP	de
Rien	NOM	rien
tous	PRO:IND	tout
c'	PRO:DEM	ce
c'	PRO:DEM	ce
dont	PRO:REL	dont
grande	ADJ	grand
enfants	NOM	enfant
bonheur	NOM	bonheur
de	PRP	de
.	SENT	.
avec	PRP	avec
garçon	NOM	garçon
que	KON	que
partageait	VER:impf	partager
du	PRP:det	du
ses	DET:POS	son
les	DET:ART	le
fleurs	NOM	fleur
,	PUN	,
ses	DET:POS	son
où	PRO:REL	où
petit	ADJ	petit
maison	NOM	maison
heureux	ADJ	heureux
dorés	ADJ	doré
canton	NOM	canton
champs	NOM	champ
I	NUM	i
avec	PRP	avec
petit	ADJ	petit
pour	PRP	pour
ses	DET:POS	son
<EOS>	<EOS>	<EOS>
était	VER:impf	être
ses	DET:POS	son
jouissait	VER:impf	jouir
Adalbert	NAM	adalbert
une	DET:ART	un
Adalbert	NAM	adalbert
;	PUN	;
avec	PRP	avec
dans	PRP	dans
,	PUN	,
a	VER:pres	avoir
.	SENT	.
ses	DET:POS	son
mais	KON	mais
grands	ADJ	grand
ses	DET:POS	son
l'	DET:ART	le
était	VER:impf	être
demeure	NOM	demeure
campagne	NOM	campagne
haies	NOM	haie
,	PUN	,
plaine	NOM	plaine
ce	PRO:DEM	ce
sœur	NOM	sœur
ses	DET:POS	son
toutes	PRO:IND	tout
car	KON	car
,	PUN	,
Normandie	NAM	normandie
la	DET:ART	le
Dieu	NOM	dieu
trésors	NOM	trésor
,	PUN	,
<EOS>	<EOS>	<EOS>
belle	ADJ	beau
prés	NOM	pré
,	PUN	,
tous	PRO:IND	tout
les	PRO:PER	la|le
s'	PRO:PER	se
Adalbert	NAM	adalbert
et	KON	et
et	KON	et
Ces	PRO:DEM	ce
,	PUN	,
joli	ADJ	joli
parfums	NOM	parfum
était	VER:impf	être
sa	DET:POS	son
seulement	ADV	seulement
<SEG>
les	DET:ART	le
des	PRP:det	du
se	PRO:PER	se
donnaient	VER:impf	donner
entre	PRP	entre
de	PRP	de
voir	VER:infi	voir
de	PRP	de
pour	PRP	pour
du	PRP:det	du
,	PUN	,
capricieuses	ADJ	capricieux
ormes	NOM	orme
des	PRP:det	du
les	DET:ART	le
où	PRO:REL	où
Au	PRP:det	au
un	DET:ART	un
hêtres	NOM	hêtre
,	PUN	,
,	PUN	,
tantôt	ADV	tantôt
,	PUN	,
tous	PRO:IND	tout
tantôt	ADV	tantôt
plus	ADV	plus
des	PRP:det	du
tant	ADV	tant
admirait	VER:impf	admirer
lilas	NOM	lilas
arbres	NOM	arbre
sur	PRP	sur
délicieuses	ADJ	délicieux
eau	NOM	eau
,	PUN	,
pelouse	NOM	pelouse
pût	VER:subi	pouvoir
dont	PRO:REL	dont
Il	PRO:PER	il
qu'	PRO:REL	que
où	PRO:REL	où
une	DET:ART	un
.	SENT	.
bien	ADV	bien
,	PUN	,
beaux	ADJ	beau
claire	ADJ	clair
perdait	VER:impf	perdre
l'	DET:ART	le
il	PRO:PER	il
on	PRO:PER	on
se	PRO:PER	se
poissons	NOM	poisson
couraient	VER:impf	courir
des	PRP:det	du
fenêtres	NOM	fenêtre
clématite	NOM	clématite
.	SENT	.
de	PRP	de
détours	NOM	détour
chênes	NOM	chêne
lesquels	PRO:REL	lequel
,	PUN	,
fond	NOM	fond
,	PUN	,
peupliers	NOM	peuplier
on	PRO:PER	on
parc	NOM	parc
avait	VER:impf	avoir
,	PUN	,
y	PRO:PER	y
des	PRP:det	du
de	PRP	de
<EOS>	<EOS>	<EOS>
avait	VER:impf	avoir
l'	DET:ART	le
formé	VER:pper	former
plaisaient	VER:impf	plaire
l'	DET:ART	le
jolie	ADJ	joli
et	KON	et
allées	NOM	allée
<EOS>	<EOS>	<EOS>
était	VER:impf	être
y	PRO:PER	y
bon	ADJ	bon
des	PRP:det	du
,	PUN	,
verts	ADJ	vert
corbeilles	NOM	corbeille
de	PRP	de
de	PRP	de
où	PRO:REL	où
roses	NOM	rose
on	PRO:PER	on
labyrinthe	NOM	labyrinthe
deux	NUM	deux
de	PRP	de
de	PRP	de
côtés	NOM	côté
<SEG>
au	PRP:det	au
sur	PRP	sur
riantes	ADJ	riant
et	KON	et
lune	NOM	lune
fait	VER:pres	faire
son	DET:POS	son
.	SENT	.
Frédéric	NAM	frédéric
,	PUN	,
Ce	PRO:DEM	ce
des	PRP:det	du
des	PRP:det	du
barque	NOM	barque
semblait	VER:impf	sembler
sur	PRP	sur
petit	ADJ	petit
divertissements	NOM	divertissement
s'	KON	si
,	PUN	,
tout	ADV	tout
sœur	NOM	sœur
chercher	VER:infi	chercher
voilà	ADV	voilà
Une	DET:ART	un
était	VER:impf	être
ou	KON	ou
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
.	SENT	.
de	PRP	de
frères	NOM	frère
été	VER:pper	être
tout	PRO:IND	tout
château	NOM	château
à	PRP	à
<EOS>	<EOS>	<EOS>
coquette	ADJ	coquet
le	DET:ART	le
d'	PRP	de
de	PRP	de
clair	NOM	clair
pour	PRP	pour
,	PUN	,
une	DET:ART	un
amusait	VER:impf	amuser
de	PRP	de
Camille	NAM	camille
mire	NOM	mire
sa	DET:POS	son
eau	NOM	eau
peinte	VER:pper	peindre
ses	DET:POS	son
du	PRP:det	du
tout	ADV	tout
cinquante	NOM	cinquante
à	PRP	à
à	PRP	à
,	PUN	,
monde	NOM	monde
<EOS>	<EOS>	<EOS>
.	SENT	.
exprès	ADV	exprès
le	DET:ART	le
avoir	VER:infi	avoir
Adalbert	NAM	adalbert
<EOS>	<EOS>	<EOS>
voyait	VER:impf	voir
point	NOM	point
l'	DET:ART	le
À	PRP	à
,	PUN	,
y	PRO:PER	y
labyrinthe	NOM	labyrinthe
et	KON	et
de	PRP	de
on	PRO:PER	on
promenade	NOM	promenade
cache-cache	NOM	cache-cache
couleurs	NOM	couleur
pas	ADV	pas
Eugène	NAM	eugène
pièce	NOM	pièce
eau	NOM	eau
,	PUN	,
quel	PRO:REL	quel
était	VER:impf	être
une	DET:ART	un
plus	ADV	plus
cœur	NOM	cœur
.	SENT	.
Cette	PRO:DEM	ce
ce	PRO:DEM	ce
.	SENT	.
Valneige	NAM	valneige
Cela	PRO:DEM	cela
plus	ADV	plus
barque	NOM	barque
désiré	VER:pper	désirer
jouer	VER:infi	jouer
<SEG>
à	PRP	à
a	VER:pres	avoir
une	DET:ART	un
n'	ADV	ne
des	PRP:det	du
