autour	ADV	autour
œil	NOM	œil
de	PRP	de
Monde	NAM	monde
des	PRP:det	du
qui	PRO:REL	qui
nom	NOM	nom
Satisfait	VER:pper	satisfaire
terreur	NOM	terreur
vendredi	NOM	vendredi
futiles	ADJ	futile
risquent	VER:pres	risquer
à	PRP	à
du	PRP:det	du
cette	PRO:DEM	ce
à	PRP	à
les	DET:ART	le
son	DET:POS	son
sa	DET:POS	son
acajou	NOM	acajou
vigueur	NOM	vigueur
l'	DET:ART	le
et	KON	et
sans	PRP	sans
une	DET:ART	un
composée	VER:pper	composer
mais	KON	mais
fit	VER:simp	faire
dents	NOM	dent
l'	DET:ART	le
monde	NOM	monde
faites	VER:pper	faire
,	PUN	,
prochain	ADJ	prochain
accent	NOM	accent
brique	NOM	brique
,	PUN	,
population	NOM	population
bois	NOM	bois
:	PUN	:
qui	PRO:REL	qui
depuis	PRP	depuis
,	PUN	,
sourire	NOM	sourire
avec	PRP	avec
<EOS>	<EOS>	<EOS>
stature	NOM	stature
vienne	VER:subp	venir
civilisation	NOM	civilisation
qui	PRO:REL	qui
,	PUN	,
sortes	NOM	sorte
trappeurs	NOM	trappeur
retrouve	VER:pres	retrouver
hésitant	VER:ppre	hésiter
sol	NOM	sol
c'	PRO:DEM	ce
bois	NOM	bois
du	PRP:det	du
braves	ADJ	brave
sur	PRP	sur
je	PRO:PER	je
prétendent	VER:pres	prétendre
et	KON	et
*	NOM	*
de	PRP	de
de	PRP	de
espérons-nous	NOM	espérons-nous
périls	NOM	péril
Mexique	NAM	mexique
ligne	NOM	ligne
œil	NOM	œil
,	PUN	,
187	NUM	@card@
d'	PRP	de
les	DET:ART	le
tout	ADV	tout
cette	PRO:DEM	ce
plus	ADV	plus
observation	NOM	observation
,	PUN	,
la	DET:ART	le
l'	DET:ART	le
.	SENT	.
et	KON	et
qui	PRO:REL	qui
au	PRP:det	au
connaître	VER:infi	connaître
en	PRP	en
yeux	NOM	œil
son	DET:POS	son
inexplorés	ADJ	inexploré
Puerco	NAM	puerco
soit	VER:subp	être
ses	DET:POS	son
et	KON	et
,	PUN	,
Arizona	NAM	arizona
rio	NOM	rio
I	NUM	i
et	KON	et
haute	ADJ	haut
connaissent	VER:pres	connaître
gouvernement	NOM	gouvernement
des	PRP:det	du
causant	VER:ppre	causer
et	KON	et
États-Unis	NAM	états-unis
sang	NOM	sang
au	PRP:det	au
,	PUN	,
;	PUN	;
entre	PRP	entre
il	PRO:PER	il
Arizona	NAM	arizona
légèrement	ADV	légèrement
d'	PRP	de
adresse	NOM	adresse
bravos	NOM	bravos
il	PRO:PER	il
fut	VER:simp	être
sous	PRP	sous
lui	PRO:PER	lui
du	PRP:det	du
mines	NOM	mine
,	PUN	,
qu'	KON	que
moindres	ADJ	moindre
de	PRP	de
déclassés	ADJ	déclassé
presque	ADV	presque
reconnaître	VER:infi	reconnaître
,	PUN	,
qui	PRO:REL	qui
nommait	VER:impf	nommer
grâce	NOM	grâce
de	PRP	de
de	PRP	de
,	PUN	,
autres	ADJ	autre
la	DET:ART	le
les	DET:ART	le
halte	NOM	halte
teint	NOM	teint
et	KON	et
d'	PRP	de
y	PRO:PER	y
ne	ADV	ne
son	DET:POS	son
assassins	ADJ	assassin
,	PUN	,
elle	PRO:PER	elle
découvrit	VER:simp	découvrir
se	PRO:PER	se
;	PUN	;
des	PRP:det	du
est	VER:pres	être
,	PUN	,
de	PRP	de
coureurs	NOM	coureur
ensuite	ADV	ensuite
soir	NOM	soir
homme	NOM	homme
admirable	ADJ	admirable
et	KON	et
allongée	VER:pper	allonger
sur	PRP	sur
mystérieuse	ADJ	mystérieux
ne	ADV	ne
,	PUN	,
Et	KON	et
contrée	NOM	contrée
la	DET:ART	le
fusil	NOM	fusil
univers	NOM	univers
guerre	NOM	guerre
population	NOM	population
nez	NOM	nez
.	SENT	.
animaux	NOM	animal
;	PUN	;
Aussi	ADV	aussi
Ses	DET:POS	son
était	VER:impf	être
de	PRP	de
la	DET:ART	le
avec	PRP	avec
rempli	VER:pper	remplir
Nous	PRO:PER	nous
coule	VER:pres	couler
extrémité	NOM	extrémité
élégance	NOM	élégance
droit	ADJ	droit
,	PUN	,
suis	VER:pres	suivre|être
avec	PRP	avec
semblent	VER:pres	sembler
cette	PRO:DEM	ce
tomba	VER:simp	tomber
quelle	PRO:REL	quel
à	PRP	à
il	PRO:PER	il
les	DET:ART	le
cette	PRO:DEM	ce
se	PRO:PER	se
;	PUN	;
là-bas	ADV	là-bas
les	DET:ART	le
de	PRP	de
,	PUN	,
,	PUN	,
est	VER:pres	être
et	KON	et
chasseur	NOM	chasseur
savanes	NOM	savane
prévoir	VER:infi	prévoir
son	DET:POS	son
;	PUN	;
,	PUN	,
se	PRO:PER	se
Son	DET:POS	son
marche	VER:pres	marcher
,	PUN	,
se	PRO:PER	se
,	PUN	,
cuivre	NOM	cuivre
qui	PRO:REL	qui
commissures	NOM	commissure
<EOS>	<EOS>	<EOS>
quand	ADV	quand
perte	NOM	perte
le	DET:ART	le
ancienne	ADJ	ancien
l'	DET:ART	le
l'	PRO:PER	la|le
d'	PRP	de
que	KON	que
,	PUN	,
entre	PRP	entre
histoire	NOM	histoire
en	PRO:PER	en
contrée	NOM	contrée
à	PRP	à
de	PRP	de
sa	DET:POS	son
immense	ADJ	immense
en	PRO:PER	en
ont	VER:pres	avoir
de	PRP	de
d'	PRP	de
ont	VER:pres	avoir
sans	PRP	sans
des	PRP:det	du
un	DET:ART	un
Arizona	NAM	arizona
en	PRP	en
plus	ADV	plus
athlétique	ADJ	athlétique
important	ADJ	important
ni	KON	ni
posa	VER:simp	poser
nous	PRO:PER	nous
Nouveau	NAM	nouveau
un	DET:ART	un
enfoncer	VER:infi	enfoncer
c'	PRO:DEM	ce
et	KON	et
peuples	NOM	peuple
:	PUN	:
ai	VER:pres	avoir
mauvais	ADJ	mauvais
après	PRP	après
prétextes	NOM	prétexte
ainsi	ADV	ainsi
uns	NOM	un
honnêtes	NOM	honnête
à	PRP	à
ombre	NOM	ombre
puis	ADV	puis
--	PUN	--
les	DET:ART	le
ses	DET:POS	son
dans	PRP	dans
géants	NOM	géant
les	DET:ART	le
pénétrer	VER:infi	pénétrer
.	SENT	.
je	PRO:PER	je
fumer	VER:infi	fumer
son	DET:POS	son
une	DET:ART	un
argent	NOM	argent
légèreté	NOM	légèreté
du	PRP:det	du
gris	ADJ	gris
,	PUN	,
cuite	ADJ	cuit
,	PUN	,
le	DET:ART	le
arme	NOM	arme
ciel	NOM	ciel
au	PRP:det	au
poteries	NOM	poterie
première	NUM	premier
fendus	VER:pper	fendre
d'	PRP	de
dans	PRP	dans
ne	ADV	ne
force	NOM	force
asseoir	VER:infi	asseoir
releva	VER:simp	relever
sous	PRP	sous
nouveau	ADJ	nouveau
effrayants	ADJ	effrayant
Canadien	ADJ	canadien
dans	PRP	dans
,	PUN	,
qui	PRO:REL	qui
tant	ADV	tant
légendes	NOM	légende
,	PUN	,
province	NOM	province
six	NUM	six
<EOS>	<EOS>	<EOS>
servent	VER:pres	servir
éléments	NOM	élément
les	DET:ART	le
des	PRP:det	du
,	PUN	,
mahoghani	NOM	mahoghani
,	PUN	,
l'	DET:ART	le
Comment	NAM	comment
et	KON	et
disparu	VER:pper	disparaître
les	DET:ART	le
,	PUN	,
aucuns	PRO:IND	aucun
comment	ADV	comment
ressemblant	ADJ	ressemblant
prix	NOM	prix
démon	NOM	démon
s'	PRO:PER	se
bien	ADV	bien
alluma	VER:simp	allumer
fait	VER:pper	faire
la	DET:ART	le
rivière	NOM	rivière
et	KON	et
famille	NOM	famille
les	DET:ART	le
important	ADJ	important
ce	PRO:DEM	ce
abrité	VER:pper	abriter
et	KON	et
;	PUN	;
,	PUN	,
,	PUN	,
regardant	VER:ppre	regarder
et	KON	et
chasseurs	NOM	chasseur
pouces	NOM	pouce
leur	DET:POS	leur
de	PRP	de
pour	PRP	pour
la	DET:ART	le
contrée	NOM	contrée
inexpliqués	ADJ	inexpliqué
d'	PRP	de
entier	ADJ	entier
rien	ADV	rien
contraint	VER:pper	contraindre
homme	NOM	homme
nos	DET:POS	notre
forêts	NOM	forêt
être	VER:infi	être
genoux	NOM	genou
être	VER:infi	être
plupart	NOM	plupart
les	DET:ART	le
le	DET:ART	le
cèdres	NOM	cèdre
lecteurs	NOM	lecteur
tout	PRO:IND	tout
déserts	NOM	désert
ce	PRO:DEM	ce
peu	ADV	peu
.	SENT	.
aux	PRP:det	au
ou	KON	ou
récit	NOM	récit
être	VER:infi	être
;	PUN	;
de	PRP	de
d'	PRP	de
confédération	NOM	confédération
droit	NOM	droit
avec	PRP	avec
elle	PRO:PER	elle
cependant	ADV	cependant
desquelles	PRO:REL	duquel
un	DET:ART	un
l'	DET:ART	le
;	PUN	;
et	KON	et
annexée	VER:pper	annexer
fortifiée	VER:pper	fortifier
ce	PRO:DEM	ce
,	PUN	,
la	DET:ART	le
gestes	NOM	geste
Cabeza	NAM	cabeza
indomptés	ADJ	indompté
sans	PRP	sans
ans	NOM	an
une	DET:ART	un
les	DET:ART	le
-même	ADJ	même
inclinent	VER:pres	incliner
un	DET:ART	un
par	PRP	par
cinq	NUM	cinq
,	PUN	,
force	NOM	force
;	PUN	;
d'	PRP	de
les	DET:ART	le
flore	NOM	flore
il	PRO:PER	il
loi	NOM	loi
alla	VER:simp	aller
C'	PRO:DEM	ce
deux	NUM	deux
l'	DET:ART	le
terre	NOM	terre
population	NOM	population
,	PUN	,
dans	PRP	dans
fort	ADJ	fort
s'	PRO:PER	se
et	KON	et
siècles	NOM	siècle
la	DET:ART	le
immense	ADJ	immense
son	DET:POS	son
Montréal	NAM	montréal
est	VER:pres	être
autres	ADJ	autre
heures	NOM	heure
tout	PRO:IND	tout
était	VER:impf	être
et	KON	et
.	SENT	.
;	PUN	;
pommettes	NOM	pommette
féroces	ADJ	féroce
laissées	VER:pper	laisser
devant	PRP	devant
;	PUN	;
la	PRO:PER	la
il	PRO:PER	il
fusil	NOM	fusil
tous	PRO:IND	tout
,	PUN	,
à	PRP	à
les	DET:ART	le
l'	DET:ART	le
crosse	NOM	crosse
aujourd'hui	ADV	aujourd'hui
en	PRP	en
a	VER:pres	avoir
mains	NOM	main
est	VER:pres	être
impénétrables	ADJ	impénétrable
le	DET:ART	le
berge	NOM	berge
étendait	VER:impf	étendre
;	PUN	;
Gila	NAM	gila
création	NOM	création
