heureuse	ADJ	heureux
son	DET:POS	son
,	PUN	,
fixé	VER:pper	fixer
«	PUN:cit	«
Hollande	NAM	hollande
parcourus	VER:pper	parcourir
une	DET:ART	un
:	PUN	:
<EOS>	<EOS>	<EOS>
Perthuis	NOM	perthuis
pénétrait	VER:impf	pénétrer
faire	VER:infi	faire
qu'	KON	que
,	PUN	,
son	DET:POS	son
pas	ADV	pas
vie	NOM	vie
l'	DET:ART	le
son	DET:POS	son
la	DET:ART	le
vers	PRP	vers
,	PUN	,
la	DET:ART	le
Sacré-Cœur	NAM	sacré-cœur
de	PRP	de
lui	PRO:PER	lui
des	PRP:det	du
tous	PRO:IND	tout
matin	NOM	matin
cueillit	VER:simp	cueillir
petit	ADJ	petit
léger	ADJ	léger
nuit	NOM	nuit
,	PUN	,
baron	NOM	baron
beau	ADJ	beau
les	DET:ART	le
!	SENT	!
fenêtre	NOM	fenêtre
pour	PRP	pour
si	ADV	si
frisaient	VER:impf	friser
<EOS>	<EOS>	<EOS>
nuits	NOM	nuit
aile	NOM	aile
bonté	NOM	bonté
Paris	NAM	paris
déteint	VER:pper	déteindre
<EOS>	<EOS>	<EOS>
?	SENT	?
elle	PRO:PER	elle
qui	PRO:REL	qui
champs	NOM	champ
vers	PRP	vers
tu	PRO:PER	tu
Souvent	ADV	souvent
Jeanne	NAM	jeanne
aucune	PRO:IND	aucun
bain	NOM	bain
grandissante	ADJ	grandissant
mère	NOM	mère
entrée	NOM	entrée
qu'	PRO:REL	que
comme	ADV	comme
<EOS>	<EOS>	<EOS>
on	PRO:PER	on
parfois	ADV	parfois
jusqu'	PRP	jusque
voix	NOM	voix
assez	ADV	assez
2	NUM	@card@
<EOS>	<EOS>	<EOS>
mais	KON	mais
on	PRO:PER	on
des	PRP:det	du
père	NOM	père
étaient	VER:impf	être
mur	NOM	mur
le	DET:ART	le
!	SENT	!
d'	PRP	de
m'	PRO:PER	me
rues	NOM	rue
courante	ADJ	courant
narine	NOM	narine
,	PUN	,
à	PRP	à
la	DET:ART	le
c'	PRO:DEM	ce
de	PRP	de
rire	NOM	rire
,	PUN	,
.	SENT	.
avait	VER:impf	avoir
,	PUN	,
maniaque	ADJ	maniaque
tendresses	NOM	tendresse
droite	ADJ	droit
n'	ADV	ne
familier	ADJ	familier
dans	PRP	dans
,	PUN	,
I	NUM	i
seulement	ADV	seulement
»	PUN:cit	»
et	KON	et
,	PUN	,
par	PRP	par
la	DET:ART	le
Aristocrate	NOM	aristocrate
horizon	NOM	horizon
cave	NOM	cave
presque	ADV	presque
longs	ADJ	long
peine	NOM	peine
saisir	VER:infi	saisir
d'	PRP	de
:	PUN	:
le	DET:ART	le
ce	PRO:DEM	ce
peau	NOM	peau
petit	ADJ	petit
une	DET:ART	un
la	PRO:PER	la
caresser	VER:infi	caresser
:	PUN	:
et	KON	et
crayon	NOM	crayon
toujours	ADV	toujours
dix-sept	NUM	dix-sept
année	NOM	année
s'	PRO:PER	se
et	KON	et
qu'	PRO:REL	que
de	PRP	de
fondant	NOM	fondant
courut	VER:simp	courir
.	SENT	.
c'	PRO:DEM	ce
elle	PRO:PER	elle
«	PUN:cit	«
un	DET:ART	un
la	DET:ART	le
,	PUN	,
ronflement	NOM	ronflement
à	PRP	à
champs	NOM	champ
nom	NOM	nom
d'	PRP	de
poésie	NOM	poésie
méditait	VER:impf	méditer
des	PRP:det	du
,	PUN	,
joie	NOM	joie
,	PUN	,
chevelure	NOM	chevelure
dans	PRP	dans
,	PUN	,
<EOS>	<EOS>	<EOS>
après-midi	NOM	après-midi
Il	PRO:PER	il
dans	PRP	dans
les	DET:ART	le
,	PUN	,
la	DET:ART	le
,	PUN	,
portait	VER:impf	porter
t'	PRO:PER	te
sa	DET:POS	son
haïssait	VER:impf	haïr
des	PRP:det	du
elle	PRO:PER	elle
quatre-vingt-treize	NUM	quatre-vingt-treize
quatre	NUM	quatre
,	PUN	,
tremper	VER:infi	tremper
douze	NUM	douze
moi	PRO:PER	moi
Sacré-Cœur	NAM	sacré-cœur
<EOS>	<EOS>	<EOS>
à	PRP	à
voulant	VER:ppre	vouloir
calendrier	NOM	calendrier
buvaient	VER:impf	boire
avait	VER:impf	avoir
,	PUN	,
pareil	ADJ	pareil
de	PRP	de
ruisseaux	NOM	ruisseau
,	PUN	,
une	DET:ART	un
en	PRP	en
-même	ADJ	même
de	PRP	de
<EOS>	<EOS>	<EOS>
d'	PRP	de
.	SENT	.
et	KON	et
partons-nous	NOM	partons-nous
demeurée	VER:pper	demeurer
amant	NOM	amant
la	DET:ART	le
luisant	NOM	luisant
,	PUN	,
,	PUN	,
<EOS>	<EOS>	<EOS>
chair	NOM	chair
avec	PRP	avec
comme	KON	comme
ta	DET:POS	ton
une	DET:ART	un
distinguait	VER:impf	distinguer
Deux	NUM	deux
autre	ADJ	autre
tendre	ADJ	tendre
et	KON	et
jour	NOM	jour
,	PUN	,
ignorée	ADJ	ignoré
on	PRO:PER	on
dans	PRP	dans
<EOS>	<EOS>	<EOS>
grande	ADJ	grand
mains	NOM	main
espérances	NOM	espérance
sa	DET:POS	son
,	PUN	,
sorte	NOM	sorte
,	PUN	,
un	DET:ART	un
en	PRO:PER	en
sortie	NOM	sortie
bêtes	NOM	bête
prête	ADJ	prêt
,	PUN	,
les	DET:ART	le
parviens	VER:pres	parvenir
Le	DET:ART	le
l'	DET:ART	le
l'	DET:ART	le
ignorance	NOM	ignorance
<EOS>	<EOS>	<EOS>
veille	NOM	veille
.	SENT	.
son	DET:POS	son
et	KON	et
ont	VER:pres	avoir
<EOS>	<EOS>	<EOS>
,	PUN	,
un	DET:ART	un
l'	PRO:PER	la|le
son	DET:POS	son
,	PUN	,
son	DET:POS	son
apercevait	VER:impf	apercevoir
ouvrir	VER:infi	ouvrir
,	PUN	,
départ	NOM	départ
du	PRP:det	du
»	PUN:cit	»
nuancée	VER:pper	nuancer
philosophe	NOM	philosophe
esprit	NOM	esprit
au	PRP:det	au
,	PUN	,
pour	PRP	pour
,	PUN	,
,	PUN	,
caressait	VER:impf	caresser
au	PRP:det	au
vice	NOM	vice
Ses	DET:POS	son
l'	DET:ART	le
:	PUN	:
joies	NOM	joie
pour	PRP	pour
tendre	ADJ	tendre
-tu	PRO:PER	tu
mettre	VER:infi	mettre
sa	DET:POS	son
,	PUN	,
saint	ADJ	saint
et	KON	et
de	PRP	de
taille	NOM	taille
les	DET:ART	le
de	PRP	de
mais	KON	mais
,	PUN	,
.	SENT	.
<EOS>	<EOS>	<EOS>
bonne	ADJ	bon
en	PRP	en
,	PUN	,
fois	NOM	fois
elle	PRO:PER	elle
maintenant	ADV	maintenant
la	DET:ART	le
à	PRP	à
parut	VER:simp	paraître
sucre	NOM	sucre
chaste	ADJ	chaste
Simon-Jacques	NAM	simon-jacques
d'	PRP	de
.	SENT	.
.	SENT	.
ombrée	VER:pper	ombrer
»	PUN:cit	»
--	PUN	--
d'	PRP	de
nette	ADJ	net
il	PRO:PER	il
volonté	NOM	volonté
ondoyante	ADJ	ondoyant
un	DET:ART	un
haine	NOM	haine
hésitât	VER:subi	hésiter
sévèrement	ADV	sévèrement
rose	ADJ	rose
oublié	VER:pper	oublier
impatience	NOM	impatience
.	SENT	.
plan	NOM	plan
