exutoires	NOM	exutoire
une	DET:ART	un
On	VER:subi	on
premier	NUM	premier
ronds	NOM	rond
les	DET:ART	le
qu'	PRO:REL	que
élégance	NOM	élégance
un	NUM	un
que	KON	que
il	PRO:PER	il
et	KON	et
humaine	ADJ	humain
de	PRP	de
assuré	VER:pper	assurer
dîné	VER:pper	dîner
on	PRO:PER	on
l'	DET:ART	le
à	PRP	à
des	PRP:det	du
exprimer	VER:infi	exprimer
<EOS>	<EOS>	<EOS>
librement	ADV	librement
tut	VER:simp	taire
y	PRO:PER	y
,	PUN	,
morales	ADJ	moral
fût	VER:subi	être
,	PUN	,
se	PRO:PER	se
lequel	PRO:REL	lequel
la	DET:ART	le
<EOS>	<EOS>	<EOS>
conséquent	ADJ	conséquent
écrivain	NOM	écrivain
son	DET:POS	son
--	PUN	--
,	PUN	,
cérébralement	ADV	cérébralement
connais	VER:pres	connaître
colloques	NOM	colloque
professionnels	NOM	professionnel
,	PUN	,
pourrais	VER:cond	pouvoir
Le	DET:ART	le
<EOS>	<EOS>	<EOS>
totalement	ADV	totalement
âme	NOM	âme
je	PRO:PER	je
,	PUN	,
croisées	VER:pper	croiser
,	PUN	,
chercher	VER:infi	chercher
sommes	VER:pres	sommer|être
guerre	NOM	guerre
est	VER:pres	être
<EOS>	<EOS>	<EOS>
amis	NOM	ami
violer	VER:infi	violer
une	NUM	un
temps	NOM	temps
après	PRP	après
plus	ADV	plus
gouvernements	NOM	gouvernement
...	PUN	...
vous	PRO:PER	vous
Il	PRO:PER	il
découvrait	VER:impf	découvrir
que	KON	que
:	PUN	:
légendaire	ADJ	légendaire
on	PRO:PER	on
de	PRP	de
me	PRO:PER	me
être	VER:infi	être
deux	NUM	deux
l'	DET:ART	le
les	DET:ART	le
emprisonnement	NOM	emprisonnement
puisque	KON	puisque
font	VER:pres	faire
<EOS>	<EOS>	<EOS>
les	DET:ART	le
crainte	NOM	crainte
en	PRO:PER	en
que	KON	que
vous	PRO:PER	vous
--	PUN	--
,	PUN	,
instinct	NOM	instinct
leur	DET:POS	leur
attendait	VER:impf	attendre
il	PRO:PER	il
moyen	ADJ	moyen
modération	NOM	modération
de	PRP	de
de	PRP	de
<EOS>	<EOS>	<EOS>
de	PRP	de
là	ADV	là
moins	ADV	moins
raison	NOM	raison
Doucement	ADV	doucement
crime	NOM	crime
sociales	ADJ	social
,	PUN	,
du	PRP:det	du
pour	PRP	pour
leurs	DET:POS	leur
,	PUN	,
...	PUN	...
moi	PRO:PER	moi
livres	NOM	livre
a	VER:pres	avoir
<EOS>	<EOS>	<EOS>
,	PUN	,
Et	KON	et
<EOS>	<EOS>	<EOS>
anarchie	NOM	anarchie
qu'	KON	que
un	NOM	un
meurtriers	NOM	meurtrier
institutions	NOM	institution
<EOS>	<EOS>	<EOS>
à	PRP	à
sans	PRP	sans
un	NOM	un
Je	PRO:PER	je
pathologique	ADJ	pathologique
causer	VER:infi	causer
,	PUN	,
que	KON	que
tous	PRO:IND	tout
caressé	VER:pper	caresser
Palisse	NAM	palisse
...	PUN	...
avons	VER:pres	avoir
l'	DET:ART	le
,	PUN	,
demanda	VER:simp	demander
que	KON	que
un	DET:ART	un
avec	PRP	avec
la	DET:ART	le
quelque	PRO:IND	quelque
permis	VER:pper	permettre
raisonne	VER:pres	raisonner
y	PRO:PER	y
je	PRO:PER	je
,	PUN	,
étaient	VER:impf	être
...	PUN	...
et	KON	et
,	PUN	,
exercer	VER:infi	exercer
Et	KON	et
des	PRP:det	du
le	DET:ART	le
d'	PRP	de
savant	NOM	savant
,	PUN	,
se	PRO:PER	se
même	ADJ	même
jours	NOM	jour
lança	VER:simp	lancer
mes	DET:POS	mon
...	PUN	...
monde	NOM	monde
nos	DET:POS	notre
vous	PRO:PER	vous
crois	VER:pres	croire
par	PRP	par
il	PRO:PER	il
intérêt	NOM	intérêt
,	PUN	,
Ma	DET:POS	mon
les	DET:ART	le
dehors	NOM	dehors
de	PRP	de
chercher	VER:infi	chercher
,	PUN	,
et	KON	et
moralistes	NOM	moraliste
on	PRO:PER	on
domine	VER:pres	dominer
hypocrisie	NOM	hypocrisie
,	PUN	,
,	PUN	,
autre	ADJ	autre
sans	PRP	sans
esprit	NOM	esprit
loin	ADV	loin
...	PUN	...
qui	PRO:REL	qui
ai	VER:pres	avoir
prononça	VER:simp	prononcer
refrène	VER:pres	refréner
et	KON	et
-même	ADJ	même
plupart	NOM	plupart
que	KON	que
--	PUN	--
mais	KON	mais
<EOS>	<EOS>	<EOS>
,	PUN	,
un	DET:ART	un
Frontispice	NOM	frontispice
général	NOM	général
,	PUN	,
meurtre	NOM	meurtre
sur	PRP	sur
de	PRP	de
allez	VER:pres	aller
est	VER:pres	être
combinent	VER:pres	combiner
à	PRP	à
plafond	NOM	plafond
un	DET:ART	un
est	VER:pres	être
le	DET:ART	le
pousse	VER:pres	pousser
,	PUN	,
de	PRP	de
de	PRP	de
,	PUN	,
...	PUN	...
est	VER:pres	être
écria	VER:simp	écrier
à	PRP	à
de	PRP	de
!	SENT	!
célèbre	ADJ	célèbre
Académie	NAM	académie
les	DET:ART	le
la	DET:ART	le
tous	PRO:IND	tout
telle	PRO:DEM	tel
comme	KON	comme
reprit-il	NOM	reprit-il
davantage	ADV	davantage
éternelles	ADJ	éternel
Dans	VER:infi	dans
,	PUN	,
je	PRO:PER	je
avocats	NOM	avocat
doute	NOM	doute
confondent	VER:pres	confondre
.	SENT	.
pour	KON	pour
vous	PRO:PER	vous
agi	VER:pper	agir
aux	PRP:det	au
ne	ADV	ne
moindre	ADJ	moindre
avait	VER:impf	avoir
,	PUN	,
étant	VER:ppre	être
occasion	NOM	occasion
...	PUN	...
spasme	NOM	spasme
tout	ADV	tout
brutes	NOM	brute
récrié	VER:pper	récrier
,	PUN	,
hommes	NOM	homme
<EOS>	<EOS>	<EOS>
tous	PRO:IND	tout
reprendre	VER:infi	reprendre
les	DET:ART	le
<EOS>	<EOS>	<EOS>
célèbres	ADJ	célèbre
on	PRO:PER	on
il	PRO:PER	il
confidences	NOM	confidence
les	DET:ART	le
un	NOM	un
,	PUN	,
nos	DET:POS	notre
moyen	NOM	moyen
.	SENT	.
combinaisons	NOM	combinaison
honorable	ADJ	honorable
,	PUN	,
La	DET:ART	le
interlocuteur	NOM	interlocuteur
des	PRP:det	du
,	PUN	,
,	PUN	,
aurait	VER:cond	avoir
j'	PRO:PER	je
nos	DET:POS	notre
là	ADV	là
l'	DET:ART	le
l'	DET:ART	le
avec	PRP	avec
scientifique	ADJ	scientifique
voudra	VER:futu	vouloir
<EOS>	<EOS>	<EOS>
pour	PRP	pour
impunité	NOM	impunité
la	DET:ART	le
ne	ADV	ne
disputaient	VER:impf	disputer
<EOS>	<EOS>	<EOS>
espèce	NOM	espèce
se	PRO:PER	se
rien	NOM	rien
,	PUN	,
besoin	NOM	besoin
Si	NAM	si
jambes	NOM	jambe
,	PUN	,
,	PUN	,
largement	ADV	largement
chez	PRP	chez
sensations	NOM	sensation
la	DET:ART	le
le	DET:ART	le
:	PUN	:
pendants	ADJ	pendant
,	PUN	,
,	PUN	,
les	PRO:PER	la|le
des	PRP:det	du
plus	ADV	plus
une	DET:ART	un
finalement	ADV	finalement
sait	VER:pres	savoir
base	NOM	base
le	DET:ART	le
.	SENT	.
dans	PRP	dans
par	PRP	par
!	SENT	!
autre	ADJ	autre
de	PRP	de
psychologie	NOM	psychologie
le	PRO:PER	le
amour	NOM	amour
unique	ADJ	unique
toujours	ADV	toujours
,	PUN	,
tuait	VER:impf	tuer
en	PRP	en
de	PRP	de
...	PUN	...
des	PRP:det	du
persévérance	NOM	persévérance
se	PRO:PER	se
de	PRP	de
avoir	VER:infi	avoir
ou	KON	ou
darwinien	ADJ	darwinien
seul	ADJ	seul
créais	VER:impf	créer
préoccupation	NOM	préoccupation
Avec	PRP	avec
,	PUN	,
la	DET:ART	le
préciser	VER:infi	préciser
sciences	NOM	science
coussins	NOM	coussin
,	PUN	,
ou	KON	ou
lui	PRO:PER	lui
visage	NOM	visage
nécessité	NOM	nécessité
maison	NOM	maison
admirable	ADJ	admirable
,	PUN	,
la	DET:ART	le
Je	PRO:PER	je
figurais	VER:impf	figurer
de	PRP	de
.	SENT	.
,	PUN	,
lui	PRO:PER	lui
n'	ADV	ne
disait-il	VER:impf	disait-il
et	KON	et
toute	PRO:IND	tout
,	PUN	,
Un	VER:infi	un
dégénérescence	NOM	dégénérescence
la	DET:ART	le
en	PRP	en
aucune	PRO:IND	aucun
qu'	PRO:REL	que
soit	VER:subp	être
si	ADV	si
M	NOM	m
avait	VER:impf	avoir
mort	NOM	mort
n'	ADV	ne
que	KON	que
moindres	ADJ	moindre
meurtres	NOM	meurtre
,	PUN	,
fumait	VER:impf	fumer
la	DET:ART	le
d'	PRP	de
et	KON	et
acte	NOM	acte
il	PRO:PER	il
là	ADV	là
...	PUN	...
de	PRP	de
actes	NOM	acte
prie	VER:pres	prier
êtres	NOM	être|êtres
meurtre	NOM	meurtre
ne	ADV	ne
particulier	NOM	particulier
sport	NOM	sport
C'	PRO:DEM	ce
parlons-nous	NOM	parlons-nous
des	PRP:det	du
,	PUN	,
Quelques	NAM	quelques
comme	KON	comme
maître	NOM	maître
--	PUN	--
,	PUN	,
l'	DET:ART	le
le	DET:ART	le
fauteuil	NOM	fauteuil
le	DET:ART	le
sur	PRP	sur
le	PRO:PER	le
Nous	PRO:PER	nous
s'	PRO:PER	se
de	PRP	de
la	PRO:PER	la
les	PRO:PER	la|le
expose	VER:pres	exposer
meurtre	NOM	meurtre
des	PRP:det	du
...	PUN	...
n'	ADV	ne
philosophes	NOM	philosophe
dénuées	VER:pper	dénuer
meurtre	NOM	meurtre
renversée	ADJ	renversé
pouvant	VER:ppre	pouvoir
,	PUN	,
l'	DET:ART	le
se	PRO:PER	se
en	PRO:PER	en
valent	VER:pres	valoir
pas	ADV	pas
...	PUN	...
s'	PRO:PER	se
et	KON	et
peu	ADV	peu
trop	ADV	trop
<EOS>	<EOS>	<EOS>
portiers	NOM	portier
à	PRP	à
en	PRO:PER	en
détruire	VER:infi	détruire
savant	NOM	savant
éprouvé	VER:pper	éprouver
.	SENT	.
<EOS>	<EOS>	<EOS>
n'	ADV	ne
,	PUN	,
que	KON	que
je	PRO:PER	je
Voyons	VER:pres	voir
sans	PRP	sans
femmes	NOM	femme
meurtre	NOM	meurtre
avec	PRP	avec
par	PRP	par
juges	NOM	juge
qu'	PRO:REL	que
pas	ADV	pas
passion	NOM	passion
un	DET:ART	un
s'	PRO:PER	se
forme	NOM	forme
mentalité	NOM	mentalité
le	DET:ART	le
comme	KON	comme
Vous	NAM	vous
de	PRP	de
telle	PRO:DEM	tel
:	PUN	:
.	SENT	.
tellement	ADV	tellement
mensonges	NOM	mensonge
ils	PRO:PER	il
ordinaires	ADJ	ordinaire
se	PRO:PER	se
dangereux	ADJ	dangereux
inné	ADJ	inné
deux	NUM	deux
...	PUN	...
Et	KON	et
ailleurs	ADV	ailleurs
livrer	VER:infi	livrer
--	PUN	--
est-il	ADJ	est-il
ces	PRO:DEM	ce
voler	VER:infi	voler
alors	ADV	alors
il	PRO:PER	il
d'	PRP	de
l'	DET:ART	le
cher	ADJ	cher
au	PRP:det	au
,	PUN	,
un	DET:ART	un
de	PRP	de
.	SENT	.
<EOS>	<EOS>	<EOS>
des	PRP:det	du
vérités	NOM	vérité
non	ADV	non
ne	ADV	ne
de	PRP	de
que	KON	que
,	PUN	,
industrie	NOM	industrie
d'	PRP	de
le	PRO:PER	le
tire	VER:pres	tirer
de	PRP	de
y	PRO:PER	y
<EOS>	<EOS>	<EOS>
un	DET:ART	un
dangereux	ADJ	dangereux
,	PUN	,
l'	DET:ART	le
vos	DET:POS	votre
leurs	DET:POS	leur
état	NOM	état
assassin	NOM	assassin
copieusement	ADV	copieusement
colonial	ADJ	colonial
digestion	NOM	digestion
leur	DET:POS	leur
les	DET:ART	le
,	PUN	,
,	PUN	,
,	PUN	,
cultive	VER:pres	cultiver
,	PUN	,
D'	PRP	de
«	PUN:cit	«
Son	DET:POS	son
,	PUN	,
du	PRP:det	du
croire	VER:infi	croire
et	KON	et
Le	DET:ART	le
.	SENT	.
lequel	PRO:REL	lequel
tête	NOM	tête
l'	DET:ART	le
,	PUN	,
assassinat	NOM	assassinat
nous	PRO:PER	nous
?	SENT	?
ces	PRO:DEM	ce
--	PUN	--
avec	PRP	avec
de	PRP	de
s'	PRO:PER	se
ne	ADV	ne
des	PRP:det	du
proprement	ADV	proprement
fait	NOM	fait
pleine	ADJ	plein
lequel	PRO:REL	lequel
acquiesça	VER:simp	acquiescer
de	PRP	de
culture	NOM	culture
,	PUN	,
sérénité	NOM	sérénité
--	PUN	--
de	PRP	de
fantaisie	NOM	fantaisie
.	SENT	.
,	PUN	,
satisfactions	NOM	satisfaction
est	VER:pres	être
,	PUN	,
s'	PRO:PER	se
donner	VER:infi	donner
et	KON	et
,	PUN	,
violence	NOM	violence
s'	PRO:PER	se
du	PRP:det	du
,	PUN	,
apparaître	VER:infi	apparaître
gens	NOM	gens
concordât	VER:subi	concorder
peut	VER:pres	pouvoir
.	SENT	.
des	PRP:det	du
...	PUN	...
la	DET:ART	le
<EOS>	<EOS>	<EOS>
en	PRP	en
supériorité	NOM	supériorité
les	DET:ART	le
le	DET:ART	le
ce	PRO:DEM	ce
parfait	ADJ	parfait
seule	ADJ	seul
paradoxes	NOM	paradoxe
le	DET:ART	le
politiques	ADJ	politique
,	PUN	,
de	PRP	de
lois	NOM	loi
<EOS>	<EOS>	<EOS>
,	PUN	,
...	PUN	...
qui	PRO:REL	qui
heureuse	ADJ	heureux
civilisée	VER:pper	civiliser
le	DET:ART	le
d'	PRP	de
commerce	NOM	commerce
impérieuse	ADJ	impérieux
sorte	NOM	sorte
bien	ADV	bien
dans	PRP	dans
c'	PRO:DEM	ce
sont	VER:pres	être
de	PRP	de
.	SENT	.
propos	NOM	propos
conséquences	NOM	conséquence
en	PRP	en
cultiver	VER:infi	cultiver
la	DET:ART	le
de	PRP	de
réunis	VER:pper	réunir
--	PUN	--
des	PRP:det	du
le	DET:ART	le
impulsives	ADJ	impulsif
de	PRP	de
physique	ADJ	physique
se	PRO:PER	se
soir	NOM	soir
ni	KON	ni
tous	PRO:IND	tout
Profitons	VER:pres	profiter
coup	NOM	coup
nous	PRO:PER	nous
,	PUN	,
dérivent	VER:pres	dériver
à	PRP	à
en	PRP	en
...	PUN	...
Il	PRO:PER	il
y	PRO:PER	y
amène	VER:pres	amener
non	ADV	non
:	PUN	:
le	DET:ART	le
ces	PRO:DEM	ce
et	KON	et
où	PRO:REL	où
n'	ADV	ne
l'	DET:ART	le
que	KON	que
allongea	VER:simp	allonger
leur	DET:POS	leur
,	PUN	,
en	PRP	en
moments	NOM	moment
,	PUN	,
,	PUN	,
soit	VER:subp	être
de	PRP	de
commettre	VER:infi	commettre
nous	PRO:PER	nous
dédain	NOM	dédain
plus	ADV	plus
même	ADJ	même
que	KON	que
mérites	NOM	mérite
nous	PRO:PER	nous
.	SENT	.
la	DET:ART	le
<EOS>	<EOS>	<EOS>
une	NOM	un
ne	ADV	ne
meurtre	NOM	meurtre
pas	ADV	pas
pour	PRP	pour
nous	PRO:PER	nous
instinct	NOM	instinct
sans	PRP	sans
de	PRP	de
est	VER:pres	être
qui	PRO:REL	qui
lequel	PRO:REL	lequel
tous	PRO:IND	tout
la	DET:ART	le
ses	DET:POS	son
Aussi	NAM	aussi
résultat	NOM	résultat
théorie	NOM	théorie
atténue	VER:pres	atténuer
dire	VER:infi	dire
Sommes-nous	NOM	sommes-nous
nos	DET:POS	notre
vivrions	VER:cond	vivre
public	NOM	public
un	DET:ART	un
je	PRO:PER	je
foi	NOM	foi
en	PRP	en
d'	PRP	de
le	DET:ART	le
écrivains	NOM	écrivain
à	PRP	à
spasme	NOM	spasme
...	PUN	...
est	VER:pres	être
.	SENT	.
les	PRO:PER	la|le
le	DET:ART	le
Quelqu'un	PRO:IND	quelqu'un
morales	ADJ	moral
,	PUN	,
...	PUN	...
nous	PRO:PER	nous
et	KON	et
les	DET:ART	le
le	DET:ART	le
idées	NOM	idée
la	DET:ART	le
au	PRP:det	au
en	PRO:PER	en
dans	PRP	dans
ces	PRO:DEM	ce
votre	DET:POS	votre
<EOS>	<EOS>	<EOS>
légaux	ADJ	légal
sorte	NOM	sorte
le	DET:ART	le
excuse	NOM	excuse
...	PUN	...
et	KON	et
plus	ADV	plus
fumée	NOM	fumée
les	DET:ART	le
!	SENT	!
est	VER:pres	être
guillotine	NOM	guillotine
vie	NOM	vie
bien	ADV	bien
,	PUN	,
était	VER:impf	être
C'	PRO:DEM	ce
...	PUN	...
exactement	ADV	exactement
antisémitisme	NOM	antisémitisme
peut	VER:pres	pouvoir
sur	PRP	sur
dire	VER:infi	dire
assassins	NOM	assassin
!	SENT	!
Tous	NAM	tous
certes	ADV	certes
,	PUN	,
seulement	ADV	seulement
de	PRP	de
sur	PRP	sur
est	VER:pres	être
l'	DET:ART	le
sans	PRP	sans
médecins	NOM	médecin
offrir	VER:infi	offrir
autre	ADJ	autre
degrés	NOM	degré
manies	NOM	manie
analogues	ADJ	analogue
l'	DET:ART	le
membre	NOM	membre
me	PRO:PER	me
et	KON	et
se	PRO:PER	se
ses	DET:POS	son
française	ADJ	français
le	DET:ART	le
exemples	NOM	exemple
nous	PRO:PER	nous
plaisir	NOM	plaisir
l'	DET:ART	le
été	VER:pper	être
,	PUN	,
que	KON	que
longtemps	ADV	longtemps
l'	DET:ART	le
dis	VER:pres	dire
indispensable	ADJ	indispensable
le	DET:ART	le
lois	NOM	loi
Évidemment	ADV	évidemment
il	PRO:PER	il
,	PUN	,
je	PRO:PER	je
plus	ADV	plus
des	PRP:det	du
meilleur	ADJ	meilleur
tous	PRO:IND	tout
sans	PRP	sans
qu'	KON	que
le	DET:ART	le
