éternel	ADJ	éternel
Qui	PRO:REL	qui
feu	NOM	feu
éteignaient	VER:impf	éteindre
autres	ADJ	autre
c'	PRO:DEM	ce
Le	DET:ART	le
de	PRP	de
à	PRP	à
qui	PRO:REL	qui
garder	VER:infi	garder
Peut-être	ADV	peut-être
on	PRO:PER	on
se	PRO:PER	se
je	PRO:PER	je
objet	NOM	objet
est	VER:pres	être
vieille	ADJ	vieux
,	PUN	,
le	DET:ART	le
Basset	NAM	basset
?	SENT	?
une	DET:ART	un
<EOS>	<EOS>	<EOS>
par	PRP	par
de	PRP	de
n'	ADV	ne
le	DET:ART	le
.	SENT	.
un	DET:ART	un
n'	ADV	ne
les	DET:ART	le
bien	ADV	bien
.	SENT	.
ici	ADV	ici
en	PRP	en
vieux	NOM	vieux
chantier	NOM	chantier
--	PUN	--
m'	PRO:PER	me
?	SENT	?
décombres	NOM	décombre|décombres
tressaillit	VER:simp	tressaillir
<EOS>	<EOS>	<EOS>
pourquoi	ADV	pourquoi
au	PRP:det	au
un	NOM	un
<EOS>	<EOS>	<EOS>
le	DET:ART	le
espace	NOM	espace
de	PRP	de
a	VER:pres	avoir
comme	KON	comme
châtains	ADJ	châtain
où	PRO:REL	où
?	SENT	?
AMOURS	NAM	amours
amputé	VER:pper	amputer
,	PUN	,
autre	ADJ	autre
s'	PRO:PER	se
conquis	VER:pper	conquérir
Non	ADV	non
enterrement	NOM	enterrement
étalait	VER:impf	étaler
préfère	VER:pres	préférer
à	PRP	à
--	PUN	--
des	PRP:det	du
invalide	NOM	invalide
donc	ADV	donc
ne	ADV	ne
<EOS>	<EOS>	<EOS>
mes	DET:POS	mon
un	DET:ART	un
.	SENT	.
.	SENT	.
reine	NOM	reine
je	PRO:PER	je
Alors	ADV	alors
,	PUN	,
jour	NOM	jour
,	PUN	,
<EOS>	<EOS>	<EOS>
au	PRP:det	au
.	SENT	.
perles	NOM	perle
un	DET:ART	un
à	PRP	à
ouvriers	NOM	ouvrier
la	DET:ART	le
dit	VER:pper	dire
amas	NOM	amas
prolongeant	VER:ppre	prolonger
fines	ADJ	fin
<EOS>	<EOS>	<EOS>
vingt	NUM	vingt
des	PRP:det	du
couple	NOM	couple
ai	VER:pres	avoir
dort	VER:pres	dormir
la	DET:ART	le
<EOS>	<EOS>	<EOS>
