-là	ADV	là
et	KON	et
un	DET:ART	un
déluge	NOM	déluge
qui	PRO:REL	qui
l'	DET:ART	le
de	PRP	de
,	PUN	,
doit	VER:pres	devoir
a	VER:pres	avoir
!	SENT	!
Quartier	NOM	quartier
sont	VER:pres	être
mauvaise	ADJ	mauvais
de	PRP	de
<EOS>	<EOS>	<EOS>
tête	NOM	tête
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
des	PRP:det	du
a	VER:pres	avoir
et	KON	et
usée	VER:pper	user
<EOS>	<EOS>	<EOS>
tant	ADV	tant
,	PUN	,
se	PRO:PER	se
voiture	NOM	voiture
.	SENT	.
descendre	VER:infi	descendre
la	DET:ART	le
séparerait	VER:cond	séparer
.	SENT	.
grande	ADJ	grand
écus	NOM	écu
Comment	ADV	comment
troisième	NUM	troisième
<EOS>	<EOS>	<EOS>
.	SENT	.
pas	ADV	pas
ormes	NOM	orme
un	DET:ART	un
avec	PRP	avec
de	PRP	de
.	SENT	.
sous	PRP	sous
moindre	ADJ	moindre
beaucoup	ADV	beaucoup
dessert	VER:pres	desservir
ans	NOM	an
,	PUN	,
wagon	NOM	wagon
a	VER:pres	avoir
ses	DET:POS	son
Et	KON	et
voiture	NOM	voiture
fortune	NOM	fortune
on	PRO:PER	on
la	DET:ART	le
la	DET:ART	le
lance	VER:pres	lancer
n'	ADV	ne
-même	ADJ	même
<EOS>	<EOS>	<EOS>
...	PUN	...
sac	NOM	sac
occupée	VER:pper	occuper
démène	VER:pres	démener
importe	VER:pres	importer
pied	NOM	pied
laissé	VER:pper	laisser
le	DET:ART	le
affreux	ADJ	affreux
conducteur	NOM	conducteur
bien	ADV	bien
est	VER:pres	être
moment	NOM	moment
vieux	ADJ	vieux
folles	ADJ	fou
peut	VER:pres	pouvoir
il	PRO:PER	il
Ces	PRO:DEM	ce
quand	KON	quand
raison	NOM	raison
échangea	VER:simp	échanger
.	SENT	.
.	SENT	.
voyageurs	NOM	voyageur
mais	KON	mais
ne	ADV	ne
et	KON	et
se	PRO:PER	se
de	PRP	de
assez	ADV	assez
plains	VER:pres	plaindre
;	PUN	;
propriétaire	ADJ	propriétaire
de	PRP	de
Cette	NAM	cette
bien	ADV	bien
plus	ADV	plus
campagne	NOM	campagne
-elles	PRO:PER	elle
;	PUN	;
comme	KON	comme
vient	VER:pres	venir
une	DET:ART	un
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
par	PRP	par
,	PUN	,
Il	PRO:PER	il
<EOS>	<EOS>	<EOS>
manquer	VER:infi	manquer
une	DET:ART	un
<EOS>	<EOS>	<EOS>
,	PUN	,
être	VER:infi	être
sa	DET:POS	son
aller	VER:infi	aller
voyons	VER:pres	voir
voiture	NOM	voiture
si	ADV	si
jaunes	ADJ	jaune
est	VER:pres	être
.	SENT	.
wagon	NOM	wagon
,	PUN	,
malheureux	ADJ	malheureux
une	DET:ART	un
;	PUN	;
le	DET:ART	le
essuie	VER:pres	essuyer
est	VER:pres	être
,	PUN	,
que	KON	que
toute	PRO:IND	tout
arrivera	VER:futu	arriver
arrivant	NOM	arrivant
petite	ADJ	petit
.	SENT	.
Non	ADV	non
n'	ADV	ne
plus	ADV	plus
<EOS>	<EOS>	<EOS>
de	PRP	de
<EOS>	<EOS>	<EOS>
,	PUN	,
mais	KON	mais
de	PRP	de
,	PUN	,
Il	PRO:PER	il
cependant	ADV	cependant
qu'	PRO:REL	que
déplore	VER:pres	déplorer
on	PRO:PER	on
à	PRP	à
...	PUN	...
regarde	VER:pres	regarder
paquets	NOM	paquet
<EOS>	<EOS>	<EOS>
encombrants	ADJ	encombrant
déjeuné	VER:pper	déjeuner
se	PRO:PER	se
qu'	PRO:REL	que
colonel	NOM	colonel
était	VER:impf	être
il	PRO:PER	il
colonel	NOM	colonel
le	DET:ART	le
sac	NOM	sac
un	DET:ART	un
de	PRP	de
.	SENT	.
.	SENT	.
.	SENT	.
autre	ADJ	autre
tenant	VER:ppre	tenir
,	PUN	,
pardonné	VER:pper	pardonner
Deux	NOM	deux
oserait	VER:cond	oser
déteste	VER:pres	détester
vêtu	VER:pper	vêtir
étouffe	VER:pres	étouffer
et	KON	et
,	PUN	,
il	PRO:PER	il
confortablement	ADV	confortablement
,	PUN	,
avec	PRP	avec
avait	VER:impf	avoir
!	SENT	!
ses	DET:POS	son
troisième	NUM	troisième
avec	PRP	avec
un	DET:ART	un
fatigue	NOM	fatigue
,	PUN	,
gracieuse	ADJ	gracieux
?	SENT	?
moment	NOM	moment
,	PUN	,
de	PRP	de
c'	PRO:DEM	ce
dit	VER:pres	dire
nous	PRO:PER	nous
qu'	PRO:REL	que
respect	NOM	respect
Assis	VER:pper	asseoir
qu'	KON	que
la	DET:ART	le
trois	NUM	trois
<EOS>	<EOS>	<EOS>
est	VER:pres	être
.	SENT	.
vieilles	ADJ	vieux
connu	VER:pper	connaître
lui	PRO:PER	lui
riait	VER:impf	rire
que	KON	que
est	VER:pres	être
de	PRP	de
la	DET:ART	le
nécessité	NOM	nécessité
il	PRO:PER	il
c'	PRO:DEM	ce
de	PRP	de
!	SENT	!
,	PUN	,
la	DET:ART	le
,	PUN	,
installés	VER:pper	installer
surveiller	VER:infi	surveiller
Lui	PRO:PER	lui
,	PUN	,
noble	ADJ	noble
ne	ADV	ne
,	PUN	,
Il	PRO:PER	il
affreux	ADJ	affreux
.	SENT	.
,	PUN	,
un	DET:ART	un
plus	ADV	plus
le	DET:ART	le
redouble	VER:pres	redoubler
un	DET:ART	un
,	PUN	,
croulant	ADJ	croulant
Mais	KON	mais
et	KON	et
faire	VER:infi	faire
,	PUN	,
la	DET:ART	le
mais	KON	mais
fond	NOM	fond
yeux	NOM	œil
aimables	ADJ	aimable
,	PUN	,
à	PRP	à
est	VER:pres	être
se	PRO:PER	se
,	PUN	,
trois	NUM	trois
pas	ADV	pas
avare	NOM	avare
point	ADV	point
pris	VER:pper	prendre
nous	PRO:PER	nous
.	SENT	.
voyageur	NOM	voyageur
laisser	VER:infi	laisser
instinct	NOM	instinct
,	PUN	,
cœur	NOM	cœur
aux	PRP:det	au
on	PRO:PER	on
débarquer	VER:infi	débarquer
voyageurs	NOM	voyageur
de	PRP	de
Nord	NOM	nord
à	PRP	à
brune	ADJ	brun
dont	PRO:REL	dont
;	PUN	;
et	KON	et
va	VER:pres	aller
main	NOM	main
ce	PRO:DEM	ce
sommes	NOM	somme
beau	ADJ	beau
sûr	ADJ	sûr
Sidonie	NAM	sidonie
côtés	NOM	côté
secousse	NOM	secousse
sous	PRP	sous
;	PUN	;
sa	DET:POS	son
ferons	VER:futu	faire
le	DET:ART	le
Paris	NAM	paris
l'	DET:ART	le
.	SENT	.
longue	ADJ	longue
On	PRO:PER	on
voyageur	NOM	voyageur
pluie	NOM	pluie
mal	ADV	mal
voyages	NOM	voyage
la	DET:ART	le
I	NUM	i
en	PRO:PER	en
à	PRP	à
.	SENT	.
à	PRP	à
sous	PRP	sous
<EOS>	<EOS>	<EOS>
feu	NOM	feu
,	PUN	,
voiture	NOM	voiture
,	PUN	,
Le	DET:ART	le
ce	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
!	SENT	!
torrentielle	ADJ	torrentiel
regard	NOM	regard
.	SENT	.
dans	PRP	dans
hilarité	NOM	hilarité
voix	NOM	voix
par	PRP	par
coup	NOM	coup
,	PUN	,
à	PRP	à
,	PUN	,
Il	PRO:PER	il
de	PRP	de
l'	DET:ART	le
.	SENT	.
toute	PRO:IND	tout
se	PRO:PER	se
qui	PRO:REL	qui
;	PUN	;
paquet	NOM	paquet
empêche	VER:pres	empêcher
Quand	KON	quand
sa	DET:POS	son
avoir	VER:infi	avoir
car	KON	car
Mme	NOM	madame
la	DET:ART	le
<EOS>	<EOS>	<EOS>
il	PRO:PER	il
ridicule	ADJ	ridicule
chère	NOM	chère
qui	PRO:REL	qui
--	PUN	--
et	KON	et
<EOS>	<EOS>	<EOS>
pleut	VER:pres	pleuvoir
plaindre	VER:infi	plaindre
jamais	ADV	jamais
Diable	ADJ	diable
Il	PRO:PER	il
du	PRP:det	du
mort	NOM	mort
regardant	VER:ppre	regarder
demi	ADJ	demi
risque	NOM	risque
,	PUN	,
honteuse	ADJ	honteux
verse	NOM	verse
matériel	NOM	matériel
un	DET:ART	un
gare	NOM	gare
Le	DET:ART	le
leurs	DET:POS	leur
pas	ADV	pas
dans	PRP	dans
se	PRO:PER	se
<EOS>	<EOS>	<EOS>
,	PUN	,
et	KON	et
distancer	VER:infi	distancer
qu'	KON	que
or	NOM	or
et	KON	et
vieillesse	NOM	vieillesse
situation	NOM	situation
;	PUN	;
voyage	NOM	voyage
est	VER:pres	être
conduit	VER:pres	conduire
de	PRP	de
jouir	VER:infi	jouir
et	KON	et
toutefois	ADV	toutefois
avant	PRP	avant
wagon	NOM	wagon
;	PUN	;
de	PRP	de
Ces	PRO:DEM	ce
<EOS>	<EOS>	<EOS>
du	PRP:det	du
tant	ADV	tant
toujours	ADV	toujours
<EOS>	<EOS>	<EOS>
.	SENT	.
Cela	PRO:DEM	cela
ce	PRO:DEM	ce
la	DET:ART	le
»	PUN:cit	»
la	DET:ART	le
,	PUN	,
plus	ADV	plus
exige	VER:pres	exiger
ses	DET:POS	son
et	KON	et
le	DET:ART	le
est	VER:pres	être
rapacité	NOM	rapacité
un	DET:ART	un
bonne	ADJ	bon
en	PRP	en
il	PRO:PER	il
