sangloter	VER:infi	sangloter
bord	NOM	bord
elle	PRO:PER	elle
«	PUN:cit	«
le	DET:ART	le
Paris	NAM	paris
l'	DET:ART	le
de	PRP	de
.	SENT	.
la	DET:ART	le
Il	NAM	il
sonnaient	VER:impf	sonner
Du	PRP:det	du
pareil	ADJ	pareil
avait	VER:impf	avoir
tirer	VER:infi	tirer
porte	NOM	porte
,	PUN	,
s'	PRO:PER	se
à	PRP	à
,	PUN	,
et	KON	et
le	DET:ART	le
les	DET:ART	le
homme	NOM	homme
de	PRP	de
Il	PRO:PER	il
.	SENT	.
aux	PRP:det	au
il	PRO:PER	il
,	PUN	,
,	PUN	,
en	PRP	en
Claude	NAM	claude
ancien	ADJ	ancien
la	DET:ART	le
,	PUN	,
second	NUM	second
fenêtres	NOM	fenêtre
voulez	VER:pres	vouloir
une	DET:ART	un
aveuglée	VER:pper	aveugler
coup	NOM	coup
qui	PRO:REL	qui
la	DET:ART	le
quartier	NOM	quartier
trouée	NOM	trouée
de	PRP	de
<EOS>	<EOS>	<EOS>
cette	PRO:DEM	ce
détails	NOM	détail
nuit	NOM	nuit
,	PUN	,
s'	PRO:PER	se
,	PUN	,
rampe	NOM	rampe
<EOS>	<EOS>	<EOS>
ronde	ADJ	rond
s'	PRO:PER	se
puis	ADV	puis
,	PUN	,
amoureux	ADJ	amoureux
l'	DET:ART	le
perte	NOM	perte
son	DET:POS	son
,	PUN	,
<EOS>	<EOS>	<EOS>
meulière	ADJ	meulier
légères	ADJ	léger
la	DET:ART	le
jusqu'	PRP	jusque
est	VER:pres	être
Bourbon	NAM	bourbon
tout	ADV	tout
aveuglé	VER:pper	aveugler
à	PRP	à
il	PRO:PER	il
,	PUN	,
train	NOM	train
on	PRO:PER	on
.	SENT	.
une	DET:ART	un
que	PRO:REL	que
<EOS>	<EOS>	<EOS>
coucher	VER:infi	coucher
une	DET:ART	un
...	PUN	...
voiture	NOM	voiture
becs	NOM	bec
matin	NOM	matin
de	PRP	de
autre	ADJ	autre
m'	PRO:PER	me
pont	NOM	pont
l'	DET:ART	le
que	KON	que
Comme	KON	comme
ne	ADV	ne
,	PUN	,
du	PRP:det	du
flâneur	NOM	flâneur
en	PRP	en
grand	ADJ	grand
air	NOM	air
,	PUN	,
attendais	VER:impf	attendre
les	DET:ART	le
à	PRP	à
fut	VER:simp	être
De	PRP	de
<EOS>	<EOS>	<EOS>
dominés	VER:pper	dominer
,	PUN	,
à	PRP	à
il	PRO:PER	il
plus	ADV	plus
fois	NOM	fois
en	PRP	en
pas	ADV	pas
gigantesque	ADJ	gigantesque
tragique	ADJ	tragique
maisons	NOM	maison
le	DET:ART	le
Pas	ADV	pas
le	DET:ART	le
il	PRO:PER	il
du	PRP:det	du
ténèbres	NOM	ténèbre
qui	PRO:REL	qui
,	PUN	,
dégingandé	VER:pper	dégingander
,	PUN	,
.	SENT	.
jeune	ADJ	jeune
sculptée	VER:pper	sculpter
où	PRO:REL	où
par	PRP	par
viens	VER:pres	venir
<EOS>	<EOS>	<EOS>
rangés	VER:pper	ranger
,	PUN	,
haussa	VER:simp	hausser
combles	NOM	comble
était	VER:impf	être
yoles	NOM	yole
il	PRO:PER	il
,	PUN	,
cette	PRO:DEM	ce
plus	ADV	plus
chère	NOM	chère
reprit-il	NOM	reprit-il
,	PUN	,
Paris	NAM	paris
,	PUN	,
cocher	VER:infi	cocher
apparurent	VER:simp	apparaître
Femme-sans-Tête	NOM	femme-sans-tête
Où	ABR	où
dormante	ADJ	dormant
cité	NOM	cité
pris	VER:pper	prendre
Qui	NAM	qui
bois	NOM	bois
de	PRP	de
,	PUN	,
,	PUN	,
de	PRP	de
de	PRP	de
et	KON	et
,	PUN	,
à	PRP	à
averse	NOM	averse
fille	NOM	fille
la	DET:ART	le
<EOS>	<EOS>	<EOS>
la	DET:ART	le
corps	NOM	corps
ce	PRO:DEM	ce
reste	NOM	reste
quai	NOM	quai
côté	NOM	côté
,	PUN	,
ne	ADV	ne
je	PRO:PER	je
autre	ADJ	autre
où	PRO:REL	où
les	PRO:PER	la|le
La	DET:ART	le
<EOS>	<EOS>	<EOS>
hôtel	NOM	hôtel
dans	PRP	dans
.	SENT	.
sot	NOM	sot
.	SENT	.
écria	VER:simp	écrier
et	KON	et
les	DET:ART	le
,	PUN	,
vitres	NOM	vitre
plombée	VER:pper	plomber
au	PRP:det	au
chaussée	NOM	chaussée
le	DET:ART	le
l'	PRO:PER	la|le
mal	NOM	mal
coin	NOM	coin
devait	VER:impf	devoir
d'	PRP	de
?	SENT	?
gouttes	NOM	goutte
ébranlé	VER:pper	ébranler
,	PUN	,
a	VER:pres	avoir
elle	PRO:PER	elle
;	PUN	;
juillet	NOM	juillet
distingua	VER:simp	distinguer
éclair	NOM	éclair
,	PUN	,
des	PRP:det	du
!	SENT	!
collé	VER:pper	coller
bégayer	VER:infi	bégayer|bégayer
ballantes	ADJ	ballant
Il	NOM	il
contre	PRP	contre
revoir	VER:infi	revoir
histoire	NOM	histoire
personne	NOM	personne
élargi	VER:pper	élargir
course	NOM	course
le	DET:ART	le
atelier	NOM	atelier
,	PUN	,
de	PRP	de
quelques	PRO:IND	quelque
«	PUN:cit	«
Lorsque	KON	lorsque
attendre	VER:infi	attendre
.	SENT	.
le	DET:ART	le
les	DET:ART	le
alluma	VER:simp	allumer
à	PRP	à
<EOS>	<EOS>	<EOS>
sur	PRP	sur
éclair	NOM	éclair
si	KON	si
terrifiée	VER:pper	terrifier
Seine	NAM	seine
Tout	PRO:IND	tout
ardoises	NOM	ardoise
.	SENT	.
une	DET:ART	un
.	SENT	.
de	PRP	de
une	DET:ART	un
D'	PRP	de
l'	DET:ART	le
le	DET:ART	le
<EOS>	<EOS>	<EOS>
coulait	VER:impf	couler
d'	PRP	de
rivière	NOM	rivière
pluie	NOM	pluie
trouvé	VER:pper	trouver
d'	PRP	de
porte	NOM	porte
par	PRP	par
nets	ADJ	net
par	PRP	par
bras	NOM	bras
Oh	NAM	oh
illumina	VER:simp	illuminer
n'	ADV	ne
;	PUN	;
de	PRP	de
terrasse	NOM	terrasse
une	DET:ART	un
gare	NOM	gare
boutiques	NOM	boutique
ne	ADV	ne
de	PRP	de
voyait	VER:impf	voir
,	PUN	,
à	PRP	à
angle	NOM	angle
grande	ADJ	grand
qui	PRO:REL	qui
gaz	NOM	gaz
dans	PRP	dans
près	ADV	près
le	DET:ART	le
invention	NOM	invention
la	DET:ART	le
vue	NOM	vue
tressaillement	NOM	tressaillement
avec	PRP	avec
m'	PRO:PER	me
un	DET:ART	un
pont	NOM	pont
là	ADV	là
,	PUN	,
jusqu'	PRP	jusque
,	PUN	,
,	PUN	,
Marie	NAM	marie
la	DET:ART	le
ai	VER:pres	avoir
braises	NOM	braise
tombèrent	VER:simp	tomber
les	DET:ART	le
bouton	NOM	bouton
le	DET:ART	le
quai	NOM	quai
bateau-lavoir	NOM	bateau-lavoir
.	SENT	.
ligne	NOM	ligne
j'	PRO:PER	je
gueuse	VER:pres	gueuser
avec	PRP	avec
.	SENT	.
des	PRP:det	du
trempée	VER:pper	tremper
par	PRP	par
,	PUN	,
triste	ADJ	triste
incendie	NOM	incendie
un	DET:ART	un
un	DET:ART	un
pas	ADV	pas
tous	PRO:IND	tout
devant	PRP	devant
cherche	VER:pres	chercher
étroite	ADJ	étroit
de	PRP	de
cette	PRO:DEM	ce
haut	ADV	haut
pont	NOM	pont
!	SENT	!
cet	PRO:DEM	ce
de	PRP	de
À	PRP	à
»	PUN:cit	»
-vous	PRO:PER	vous
Mais	NAM	mais
je	PRO:PER	je
dilatés	VER:pper	dilater
à	PRP	à
pouvez	VER:pres	pouvoir
l'	PRO:PER	la|le
pleines	ADJ	plein
un	DET:ART	un
et	KON	et
éclaboussement	NOM	éclaboussement
orage	NOM	orage
peur	NOM	peur
plus	ADV	plus
qui	PRO:REL	qui
l'	DET:ART	le
temps	NOM	temps
-moi	PRO:PER	moi
.	SENT	.
Grève	NAM	grève
formidable	ADJ	formidable
boiseries	NOM	boiserie
nocturne	ADJ	nocturne
où	PRO:REL	où
grue	NOM	grue
haut	ADJ	haut
balbutia	VER:simp	balbutier
la	DET:ART	le
,	PUN	,
voulez	VER:pres	vouloir
«	PUN:cit	«
,	PUN	,
de	PRP	de
Hôtel-de-Ville	NAM	hôtel-de-ville
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
est	VER:pres	être
Seine	NAM	seine
effarement	NOM	effarement
,	PUN	,
Passy	NAM	passy
,	PUN	,
,	PUN	,
seulement	ADV	seulement
des	PRP:det	du
c'	PRO:DEM	ce
ténèbres	NOM	ténèbre
horizon	NOM	horizon
immense	ADJ	immense
,	PUN	,
est	VER:pres	être
était	VER:impf	être
entendait	VER:impf	entendre
Oui	VER:pper	oui
!	SENT	!
je	PRO:PER	je
de	PRP	de
fer	NOM	fer
pour	PRP	pour
la	DET:ART	le
,	PUN	,
,	PUN	,
ne	ADV	ne
l'	DET:ART	le
et	KON	et
vivant	ADJ	vivant
la	DET:ART	le
<EOS>	<EOS>	<EOS>
heures	NOM	heure
<EOS>	<EOS>	<EOS>
déjà	ADV	déjà
cette	PRO:DEM	ce
conduisez	VER:pres	conduire
aussitôt	ADV	aussitôt
long	NOM	long
vêtue	VER:pper	vêtir
prit	VER:simp	prendre
si	ADV	si
de	PRP	de
Monsieur	NAM	monsieur
aux	PRP:det	au
<EOS>	<EOS>	<EOS>
un	DET:ART	un
détails	NOM	détail
épaisses	ADJ	épais
yeux	NOM	œil
je	PRO:PER	je
fois	NOM	fois
la	PRO:PER	la
,	PUN	,
plus	ADV	plus
un	DET:ART	un
ridicule	ADJ	ridicule
,	PUN	,
qu'	PRO:REL	que
devant	PRP	devant
,	PUN	,
faites	VER:pres	faire
apparition	NOM	apparition
à	PRP	à
leurs	DET:POS	leur
piles	NOM	pile
Saint-Louis	NAM	saint-louis
,	PUN	,
Célestins	NAM	célestins
<EOS>	<EOS>	<EOS>
,	PUN	,
une	DET:ART	un
passait	VER:impf	passer
Saint-Paul	NAM	saint-paul
le	DET:ART	le
au	PRP:det	au
et	KON	et
pourquoi	ADV	pourquoi
Puis	ADV	puis
était	VER:impf	être
station	NOM	station
vieux	ADJ	vieux
de	PRP	de
oublié	VER:pper	oublier
,	PUN	,
quand	KON	quand
deux	NUM	deux
,	PUN	,
sang	NOM	sang
<EOS>	<EOS>	<EOS>
,	PUN	,
,	PUN	,
,	PUN	,
du	PRP:det	du
d'	PRP	de
de	PRP	de
fosse	NOM	fosse
,	PUN	,
galopa	VER:simp	galoper
la	DET:ART	le
l'	DET:ART	le
qu'	PRO:REL	que
méfiance	NOM	méfiance
,	PUN	,
de	PRP	de
du	PRP:det	du
avait	VER:impf	avoir
<EOS>	<EOS>	<EOS>
,	PUN	,
fort	ADJ	fort
la	DET:ART	le
ses	DET:POS	son
Nous	PRO:PER	nous
Claude	NAM	claude
surprise	NOM	surprise
pleurait	VER:impf	pleurer
,	PUN	,
endormi	VER:pper	endormir
arches	NOM	arche
était	VER:impf	être
<EOS>	<EOS>	<EOS>
Passy	NAM	passy
dans	PRP	dans
du	PRP:det	du
pas	ADV	pas
cette	PRO:DEM	ce
surtout	ADV	surtout
,	PUN	,
bien	ADJ	bien
de	PRP	de
dans	PRP	dans
sa	DET:POS	son
C'	PRO:DEM	ce
quai	NOM	quai
bleues	ADJ	bleu
hautes	ADJ	haut
un	DET:ART	un
...	PUN	...
sous	PRP	sous
combles	NOM	comble
c'	PRO:DEM	ce
?	SENT	?
plus	ADV	plus
les	DET:ART	le
par	PRP	par
rôder	VER:infi	rôder
fonte	NOM	fonte
rivière	NOM	rivière
le	DET:ART	le
sa	DET:POS	son
de	PRP	de
lanterne	NOM	lanterne
monsieur	NOM	monsieur
de	PRP	de
les	DET:ART	le
sans	PRP	sans
deux	NUM	deux
brutalisant	VER:ppre	brutaliser
fronton	NOM	fronton
venait	VER:impf	venir
milieu	NOM	milieu
avait	VER:impf	avoir
:	PUN	:
artiste	ADJ	artiste
trouvait	VER:impf	trouver
C'	NAM	c'
Louis-Philippe	NAM	louis-philippe
,	PUN	,
-vous	PRO:PER	vous
Passy	NAM	passy
sais	VER:pres	savoir
les	DET:ART	le
du	PRP:det	du
de	PRP	de
,	PUN	,
,	PUN	,
petites	ADJ	petit
ma	DET:POS	mon
abandonnée	VER:pper	abandonner
quai	NOM	quai
il	PRO:PER	il
antiques	ADJ	antique
de	PRP	de
eau	NOM	eau
extrême	ADJ	extrême
Ah	NAM	ah
une	DET:ART	un
d'	PRP	de
Bon	NAM	bon
je	PRO:PER	je
la	DET:ART	le
vers	PRP	vers
tonnerre	NOM	tonnerre
,	PUN	,
lui	PRO:PER	lui
la	DET:ART	le
arrêta	VER:simp	arrêter
ville	NOM	ville
brusque	ADJ	brusque
retombé	VER:pper	retomber
.	SENT	.
bariolées	VER:pper	barioler
,	PUN	,
<EOS>	<EOS>	<EOS>
profonde	ADJ	profond
je	PRO:PER	je
<EOS>	<EOS>	<EOS>
d'	PRP	de
masses	NOM	masse
Un	ABR	un
fantastique	ADJ	fantastique
femme	NOM	femme
Vous	NAM	vous
aperçut	VER:simp	apercevoir
en	PRO:PER	en
l'	DET:ART	le
eut	VER:simp	avoir
rencontrant	VER:ppre	rencontrer
le	DET:ART	le
noyait	VER:impf	noyer
façades	NOM	façade
,	PUN	,
se	PRO:PER	se
persiennes	NOM	persienne
pensa	VER:simp	penser
<EOS>	<EOS>	<EOS>
dans	PRP	dans
là	ADV	là
secoués	VER:pper	secouer
des	PRP:det	du
,	PUN	,
canots	NOM	canot
en	PRP	en
La	DET:ART	le
,	PUN	,
Versailles	NAM	versailles
heure	NOM	heure
devant	PRP	devant
;	PUN	;
enfonçant	VER:ppre	enfoncer
Ormes	NAM	ormes
basse	ADJ	bas
cessé	VER:pper	cesser
a	VER:pres	avoir
prie	VER:pres	prier
nouvel	ADJ	nouveau
«	PUN:cit	«
et	KON	et
colère	NOM	colère
l'	DET:ART	le
une	DET:ART	un
,	PUN	,
essoufflement	NOM	essoufflement
,	PUN	,
I	NUM	i
contre	PRP	contre
l'	DET:ART	le
pierre	NOM	pierre
!	SENT	!
train	NOM	train
noirâtre	ADJ	noirâtre
au	PRP:det	au
s'	PRO:PER	se
épaules	NOM	épaule
La	DET:ART	le
:	PUN	:
,	PUN	,
l'	DET:ART	le
tâtonna	VER:simp	tâtonner
.	SENT	.
et	KON	et
accident	NOM	accident
.	SENT	.
retard	NOM	retard
des	PRP:det	du
ville	NOM	ville
lourdes	ADJ	lourd
île	NOM	île
.	SENT	.
Elle	PRO:PER	elle
imbécile	ADJ	imbécile
avait	VER:impf	avoir
la	DET:ART	le
chargés	VER:pper	charger
un	DET:ART	un
vif	ADJ	vif
des	PRP:det	du
<EOS>	<EOS>	<EOS>
renfoncée	VER:pper	renfoncer
et	KON	et
diable	NOM	diable
éclata	VER:simp	éclater
le	DET:ART	le
de	PRP	de
l'	DET:ART	le
«	PUN:cit	«
au	PRP:det	au
avait	VER:impf	avoir
et	KON	et
,	PUN	,
de	PRP	de
côté	NOM	côté
qui	PRO:REL	qui
que	KON	que
balcon	NOM	balcon
traversa	VER:simp	traverser
un	DET:ART	un
;	PUN	;
pas	ADV	pas
coin	NOM	coin
Claude	NAM	claude
les	DET:ART	le
.	SENT	.
là-bas	ADV	là-bas
»	PUN:cit	»
êtes	VER:pres	être
que	PRO:REL	que
première	NUM	premier
.	SENT	.
amarrés	VER:pper	amarrer
,	PUN	,
l'	DET:ART	le
était	VER:impf	être
<EOS>	<EOS>	<EOS>
Hôtel-de-Ville	NAM	hôtel-de-ville
inconnue	ADJ	inconnu
un	DET:ART	un
l'	DET:ART	le
nouveau	ADJ	nouveau
à	PRP	à
alignait	VER:impf	aligner
Mon	NAM	mon
paraissait	VER:impf	paraître
-vous	PRO:PER	vous
les	DET:ART	le
de	PRP	de
peuplaient	VER:impf	peupler
,	PUN	,
en	PRP	en
la	DET:ART	le
du	PRP:det	du
la	DET:ART	le
hôtels	NOM	hôtel
endroit	NOM	endroit
,	PUN	,
prenait-elle	ADJ	prenait-elle
la	DET:ART	le
est	VER:pres	être
lueur	NOM	lueur
à	PRP	à
déraillé	VER:pper	dérailler
tournait	VER:impf	tourner
noir	NOM	noir
parole	NOM	parole
disparut	VER:simp	disparaître
ce	PRO:DEM	ce
de	PRP	de
,	PUN	,
pourtant	ADV	pourtant
de	PRP	de
Arrivé	VER:pper	arriver
de	PRP	de
une	DET:ART	un
son	DET:POS	son
Il	NOM	il
en	PRP	en
<EOS>	<EOS>	<EOS>
peintre	NOM	peintre
tonnerre	NOM	tonnerre
<EOS>	<EOS>	<EOS>
et	KON	et
monsieur	NOM	monsieur
quai	NOM	quai
de	PRP	de
de	PRP	de
<EOS>	<EOS>	<EOS>
<EOS>	<EOS>	<EOS>
.	SENT	.
?	SENT	?
»	PUN:cit	»
la	DET:ART	le
le	DET:ART	le
coupole	NOM	coupole
avait	VER:impf	avoir
une	DET:ART	un
,	PUN	,
brutal	ADJ	brutal
cinglement	NOM	cinglement
encoignure	NOM	encoignure
,	PUN	,
à	PRP	à
C'	NAM	c'
le	DET:ART	le
à	PRP	à
de	PRP	de
péniches	NOM	péniche
...	PUN	...
vit	VER:pres	vivre
.	SENT	.
,	PUN	,
à	PRP	à
une	DET:ART	un
,	PUN	,
ses	DET:POS	son
aux	PRP:det	au
,	PUN	,
un	DET:ART	un
eut	VER:simp	avoir
,	PUN	,
lui	PRO:PER	lui
jeta	VER:simp	jeter
faire	VER:infi	faire
des	PRP:det	du
une	DET:ART	un
...	PUN	...
de	PRP	de
gauche	ADJ	gauche
encaissement	NOM	encaissement
berge	NOM	berge
bouts	NOM	bout
charbon	NOM	charbon
quatre	NUM	quatre
pont	NOM	pont
droite	ADJ	droit
.	SENT	.
des	PRP:det	du
violâtre	ADJ	violâtre
elle	PRO:PER	elle
retard	NOM	retard
me	PRO:PER	me
porte	NOM	porte
drues	ADJ	dru
éclairait	VER:impf	éclairer
me	PRO:PER	me
la	DET:ART	le
Claude	NAM	claude
je	PRO:PER	je
eau	NOM	eau
que	PRO:REL	que
n'	ADV	ne
rue	NOM	rue
Louis-Philippe	NAM	louis-philippe
un	DET:ART	un
suffoquait	VER:impf	suffoquer
bas	ADV	bas
à	PRP	à
cocher	NOM	cocher
au	PRP:det	au
,	PUN	,
chalands	NOM	chaland
toitures	NOM	toiture
un	DET:ART	un
.	SENT	.
avons	VER:pres	avoir
<EOS>	<EOS>	<EOS>
la	PRO:PER	la
l'	PRO:PER	la|le
eu	VER:pper	avoir
sa	DET:POS	son
<EOS>	<EOS>	<EOS>
cette	PRO:DEM	ce
éclair	NOM	éclair
très	ADV	très
;	PUN	;
minces	ADJ	mince
pluie	NOM	pluie
la	DET:ART	le
,	PUN	,
à	PRP	à
,	PUN	,
entrevu	VER:pper	entrevoir
,	PUN	,
un	DET:ART	un
luisait	VER:impf	luire
,	PUN	,
porte	NOM	porte
Mais	KON	mais
mains	NOM	main
,	PUN	,
,	PUN	,
éperdu	VER:pper	éperdre
et	KON	et
lentement	ADV	lentement
on	PRO:PER	on
rue	NOM	rue
réverbération	NOM	réverbération
Halles	NAM	halles
»	PUN:cit	»
Machinalement	ADV	machinalement
fille	NOM	fille
,	PUN	,
flottille	NOM	flottille
quai	NOM	quai
plate	ADJ	plat
bardée	VER:pper	barder
,	PUN	,
de	PRP	de
<EOS>	<EOS>	<EOS>
farceuse	NOM	farceur
Mais	KON	mais
droite	ADJ	droit
de	PRP	de
de	PRP	de
Les	DET:ART	le
.	SENT	.
vais	VER:pres	aller
découpant	VER:ppre	découper
.	SENT	.
éblouissant	ADJ	éblouissant
et	KON	et
jeune	ADJ	jeune
s'	PRO:PER	se
si	ADV	si
l'	DET:ART	le
peur	NOM	peur
Brusquement	ADV	brusquement
dragueuse	NOM	dragueuse
,	PUN	,
coup	NOM	coup
pêche	VER:pres	pêcher
...	PUN	...
des	PRP:det	du
de	PRP	de
qui	PRO:REL	qui
,	PUN	,
«	PUN:cit	«
...	PUN	...
du	PRP:det	du
;	PUN	;
<EOS>	<EOS>	<EOS>
était	VER:impf	être
:	PUN	:
m'	PRO:PER	me
grises	ADJ	gris
C'	PRO:DEM	ce
il	PRO:PER	il
de	PRP	de
Martoy	NAM	martoy
<EOS>	<EOS>	<EOS>
de	PRP	de
suis	VER:pres	suivre|être
guirlande	NOM	guirlande
trouvait	VER:impf	trouver
vieille	ADJ	vieux
.	SENT	.
fiacres	NOM	fiacre
heures	NOM	heure
.	SENT	.
une	DET:ART	un
Seine	NAM	seine
vous	PRO:PER	vous
Nevers	NAM	nevers
lueur	NOM	lueur
,	PUN	,
dans	PRP	dans
!	SENT	!
sonnette	NOM	sonnette
cri	NOM	cri
,	PUN	,
coup	NOM	coup
la	DET:ART	le
ne	ADV	ne
<EOS>	<EOS>	<EOS>
:	PUN	:
s'	PRO:PER	se
que	KON	que
tonnerre	NOM	tonnerre
grelottait	VER:impf	grelotter
quelque	PRO:IND	quelque
<EOS>	<EOS>	<EOS>
des	PRP:det	du
d'	PRP	de
inégales	ADJ	inégal
...	PUN	...
»	PUN:cit	»
un	DET:ART	un
,	PUN	,
que	KON	que
pour	PRP	pour
.	SENT	.
deux	NUM	deux
il	PRO:PER	il
l'	DET:ART	le
il	PRO:PER	il
horloge	NOM	horloge
coupa	VER:simp	couper
»	PUN:cit	»
,	PUN	,
:	PUN	:
?	SENT	?
Le	DET:ART	le
des	PRP:det	du
?	SENT	?
et	KON	et
éclair	NOM	éclair
on	PRO:PER	on
larges	ADJ	large
l'	DET:ART	le
les	DET:ART	le
des	PRP:det	du
et	KON	et
,	PUN	,
.	SENT	.
parcoururent	VER:simp	parcourir
la	DET:ART	le
tandis	KON	tandis
<EOS>	<EOS>	<EOS>
de	PRP	de
ai	VER:pres	avoir
rouges	ADJ	rouge
dans	PRP	dans
tourné	VER:pper	tourner
de	PRP	de
Dieu	NAM	dieu
un	DET:ART	un
,	PUN	,
brûlante	ADJ	brûlant
pas	ADV	pas
étranges	ADJ	étrange
flanquée	VER:pper	flanquer
<SEG>
extraordinaire	ADJ	extraordinaire
en	PRP	en
<EOS>	<EOS>	<EOS>
parmi	PRP	parmi
battait	VER:impf	battre
.	SENT	.
côte	NOM	côte
sont	VER:pres	être
Elle	NAM	elle
la	DET:ART	le
