	France_CrimeSylvestreBonnard_0	France_CrimeSylvestreBonnard_1	France_CrimeSylvestreBonnard_2	France_CrimeSylvestreBonnard_3	France_CrimeSylvestreBonnard_4	France_CrimeSylvestreBonnard_5	France_CrimeSylvestreBonnard_6	France_CrimeSylvestreBonnard_7	France_CrimeSylvestreBonnard_8	France_CrimeSylvestreBonnard_9	France_CrimeSylvestreBonnard_10	France_CrimeSylvestreBonnard_11	France_CrimeSylvestreBonnard_12	France_CrimeSylvestreBonnard_13	France_CrimeSylvestreBonnard_14	France_CrimeSylvestreBonnard_15	France_CrimeSylvestreBonnard_16	France_CrimeSylvestreBonnard_17	France_CrimeSylvestreBonnard_18	France_CrimeSylvestreBonnard_19	France_CrimeSylvestreBonnard_20	France_CrimeSylvestreBonnard_21	France_CrimeSylvestreBonnard_22	France_CrimeSylvestreBonnard_23	France_CrimeSylvestreBonnard_24	France_CrimeSylvestreBonnard_25	France_CrimeSylvestreBonnard_26	France_CrimeSylvestreBonnard_27	France_CrimeSylvestreBonnard_28	France_CrimeSylvestreBonnard_29	France_CrimeSylvestreBonnard_30	France_CrimeSylvestreBonnard_31	France_CrimeSylvestreBonnard_32	France_CrimeSylvestreBonnard_33	France_CrimeSylvestreBonnard_34	France_CrimeSylvestreBonnard_35	France_CrimeSylvestreBonnard_36	France_CrimeSylvestreBonnard_37	France_CrimeSylvestreBonnard_38	France_CrimeSylvestreBonnard_39	France_CrimeSylvestreBonnard_40	France_CrimeSylvestreBonnard_41	France_CrimeSylvestreBonnard_42	France_CrimeSylvestreBonnard_43	France_CrimeSylvestreBonnard_44	France_CrimeSylvestreBonnard_45	France_CrimeSylvestreBonnard_46	France_CrimeSylvestreBonnard_47	France_CrimeSylvestreBonnard_48	France_CrimeSylvestreBonnard_49	France_CrimeSylvestreBonnard_50	France_CrimeSylvestreBonnard_51	France_CrimeSylvestreBonnard_52	France_CrimeSylvestreBonnard_53	France_CrimeSylvestreBonnard_54	France_CrimeSylvestreBonnard_55	France_CrimeSylvestreBonnard_56	France_CrimeSylvestreBonnard_57	France_CrimeSylvestreBonnard_58	France_CrimeSylvestreBonnard_59	France_CrimeSylvestreBonnard_60	France_CrimeSylvestreBonnard_61	France_CrimeSylvestreBonnard_62	France_CrimeSylvestreBonnard_63	France_CrimeSylvestreBonnard_64	France_CrimeSylvestreBonnard_65	France_CrimeSylvestreBonnard_66	France_CrimeSylvestreBonnard_67	France_CrimeSylvestreBonnard_68	France_CrimeSylvestreBonnard_69	France_CrimeSylvestreBonnard_70	France_CrimeSylvestreBonnard_71	France_CrimeSylvestreBonnard_72	France_CrimeSylvestreBonnard_sum
,_PUN_,	76.0	73.0	67.0	59.0	54.0	56.0	65.0	64.0	78.0	77.0	70.0	47.0	63.0	55.0	62.0	54.0	73.0	58.0	52.0	40.0	56.0	77.0	84.0	74.0	73.0	59.0	86.0	55.0	66.0	54.0	48.0	51.0	47.0	55.0	68.0	54.0	42.0	50.0	66.0	61.0	59.0	78.0	54.0	62.0	66.0	71.0	63.0	58.0	49.0	53.0	70.0	57.0	52.0	52.0	60.0	52.0	78.0	52.0	61.0	72.0	56.0	50.0	61.0	68.0	72.0	64.0	59.0	62.0	49.0	65.0	60.0	71.0	41.0	4466.0
<eos>_<EOS>_<EOS>	43.0	46.0	51.0	44.0	51.0	50.0	43.0	45.0	42.0	55.0	44.0	51.0	47.0	61.0	50.0	68.0	60.0	49.0	42.0	80.0	52.0	38.0	36.0	33.0	30.0	30.0	34.0	37.0	43.0	58.0	41.0	53.0	52.0	40.0	36.0	38.0	33.0	50.0	45.0	42.0	42.0	50.0	53.0	35.0	33.0	44.0	54.0	45.0	55.0	62.0	57.0	47.0	45.0	50.0	54.0	49.0	48.0	55.0	50.0	60.0	48.0	77.0	61.0	57.0	46.0	59.0	56.0	50.0	56.0	50.0	57.0	37.0	41.0	3526.0
._SENT_.	39.0	40.0	36.0	35.0	42.0	47.0	35.0	41.0	32.0	42.0	34.0	43.0	41.0	58.0	48.0	42.0	41.0	44.0	42.0	59.0	38.0	33.0	39.0	34.0	30.0	29.0	27.0	37.0	34.0	47.0	34.0	40.0	43.0	41.0	32.0	46.0	36.0	50.0	46.0	38.0	38.0	42.0	45.0	33.0	30.0	34.0	47.0	41.0	45.0	43.0	46.0	42.0	41.0	43.0	42.0	46.0	39.0	46.0	36.0	52.0	45.0	57.0	54.0	42.0	39.0	47.0	51.0	40.0	46.0	40.0	41.0	28.0	34.0	2990.0
de_PRP_de	42.0	27.0	30.0	51.0	18.0	36.0	30.0	37.0	37.0	20.0	33.0	24.0	45.0	28.0	29.0	25.0	30.0	34.0	40.0	20.0	36.0	34.0	39.0	46.0	40.0	44.0	33.0	36.0	39.0	37.0	39.0	32.0	37.0	35.0	29.0	60.0	44.0	39.0	31.0	43.0	21.0	36.0	42.0	41.0	32.0	35.0	27.0	41.0	34.0	22.0	27.0	25.0	30.0	19.0	42.0	26.0	30.0	26.0	34.0	20.0	23.0	23.0	15.0	31.0	41.0	34.0	24.0	25.0	26.0	33.0	19.0	39.0	17.0	2369.0
et_KON_et	23.0	23.0	19.0	21.0	25.0	21.0	20.0	25.0	28.0	24.0	30.0	16.0	25.0	32.0	22.0	19.0	23.0	17.0	25.0	14.0	20.0	23.0	26.0	22.0	29.0	22.0	22.0	36.0	30.0	23.0	23.0	23.0	31.0	26.0	20.0	31.0	31.0	18.0	17.0	13.0	21.0	17.0	24.0	30.0	31.0	21.0	18.0	27.0	23.0	16.0	20.0	20.0	25.0	24.0	18.0	24.0	19.0	17.0	24.0	23.0	27.0	17.0	20.0	18.0	21.0	20.0	23.0	21.0	12.0	23.0	23.0	25.0	22.0	1652.0
la_DET:ART_le	20.0	11.0	16.0	26.0	13.0	17.0	13.0	17.0	21.0	19.0	19.0	16.0	23.0	19.0	25.0	19.0	20.0	12.0	27.0	18.0	21.0	17.0	14.0	26.0	29.0	20.0	19.0	14.0	31.0	22.0	25.0	21.0	17.0	22.0	21.0	17.0	18.0	13.0	18.0	4.0	14.0	12.0	23.0	28.0	16.0	17.0	11.0	21.0	8.0	13.0	19.0	23.0	16.0	13.0	19.0	21.0	12.0	15.0	12.0	7.0	24.0	29.0	16.0	22.0	13.0	16.0	19.0	13.0	15.0	14.0	10.0	28.0	14.0	1313.0
je_PRO:PER_je	12.0	25.0	12.0	18.0	16.0	25.0	18.0	12.0	19.0	23.0	18.0	16.0	20.0	13.0	14.0	21.0	32.0	22.0	23.0	16.0	21.0	16.0	12.0	10.0	17.0	9.0	23.0	26.0	23.0	12.0	19.0	12.0	16.0	11.0	11.0	19.0	17.0	8.0	19.0	21.0	12.0	13.0	25.0	17.0	26.0	18.0	14.0	22.0	25.0	19.0	10.0	8.0	23.0	17.0	18.0	23.0	24.0	21.0	18.0	20.0	20.0	21.0	22.0	9.0	18.0	17.0	15.0	15.0	11.0	12.0	14.0	22.0	8.0	1274.0
à_PRP_à	10.0	9.0	16.0	11.0	13.0	19.0	17.0	9.0	11.0	18.0	14.0	11.0	19.0	14.0	14.0	15.0	13.0	14.0	19.0	15.0	6.0	9.0	17.0	20.0	15.0	19.0	18.0	17.0	18.0	8.0	14.0	18.0	11.0	11.0	19.0	22.0	13.0	18.0	19.0	11.0	20.0	11.0	15.0	16.0	15.0	16.0	14.0	13.0	19.0	12.0	15.0	15.0	12.0	18.0	13.0	18.0	13.0	22.0	18.0	18.0	13.0	14.0	16.0	16.0	13.0	11.0	12.0	8.0	18.0	17.0	14.0	26.0	12.0	1087.0
un_DET:ART_un	20.0	12.0	13.0	14.0	16.0	7.0	14.0	8.0	19.0	9.0	9.0	18.0	12.0	7.0	8.0	16.0	11.0	17.0	10.0	13.0	7.0	14.0	5.0	10.0	11.0	15.0	16.0	15.0	8.0	12.0	9.0	9.0	10.0	16.0	17.0	15.0	11.0	15.0	13.0	11.0	9.0	10.0	10.0	14.0	22.0	14.0	8.0	9.0	8.0	7.0	7.0	11.0	9.0	15.0	13.0	9.0	10.0	8.0	11.0	11.0	9.0	10.0	12.0	8.0	13.0	8.0	7.0	13.0	14.0	20.0	9.0	10.0	9.0	849.0
le_DET:ART_le	10.0	14.0	13.0	13.0	15.0	15.0	17.0	13.0	15.0	5.0	11.0	8.0	12.0	14.0	9.0	9.0	20.0	13.0	19.0	20.0	12.0	8.0	19.0	13.0	15.0	7.0	10.0	10.0	6.0	7.0	10.0	14.0	13.0	13.0	16.0	5.0	11.0	17.0	11.0	15.0	5.0	4.0	5.0	12.0	17.0	11.0	6.0	14.0	4.0	5.0	4.0	14.0	17.0	5.0	4.0	18.0	8.0	4.0	19.0	11.0	17.0	5.0	8.0	12.0	11.0	18.0	9.0	15.0	9.0	6.0	10.0	15.0	14.0	833.0
