	France_MannequinOsier_0	France_MannequinOsier_1	France_MannequinOsier_2	France_MannequinOsier_3	France_MannequinOsier_4	France_MannequinOsier_5	France_MannequinOsier_6	France_MannequinOsier_7	France_MannequinOsier_8	France_MannequinOsier_9	France_MannequinOsier_10	France_MannequinOsier_11	France_MannequinOsier_12	France_MannequinOsier_13	France_MannequinOsier_14	France_MannequinOsier_15	France_MannequinOsier_16	France_MannequinOsier_17	France_MannequinOsier_18	France_MannequinOsier_19	France_MannequinOsier_20	France_MannequinOsier_21	France_MannequinOsier_22	France_MannequinOsier_23	France_MannequinOsier_24	France_MannequinOsier_25	France_MannequinOsier_26	France_MannequinOsier_27	France_MannequinOsier_28	France_MannequinOsier_29	France_MannequinOsier_30	France_MannequinOsier_31	France_MannequinOsier_32	France_MannequinOsier_33	France_MannequinOsier_34	France_MannequinOsier_35	France_MannequinOsier_36	France_MannequinOsier_37	France_MannequinOsier_38	France_MannequinOsier_39	France_MannequinOsier_40	France_MannequinOsier_41	France_MannequinOsier_42	France_MannequinOsier_43	France_MannequinOsier_44	France_MannequinOsier_45	France_MannequinOsier_46	France_MannequinOsier_47	France_MannequinOsier_48	France_MannequinOsier_49	France_MannequinOsier_50	France_MannequinOsier_51	France_MannequinOsier_52	France_MannequinOsier_53	France_MannequinOsier_54	France_MannequinOsier_55	France_MannequinOsier_56	France_MannequinOsier_57	France_MannequinOsier_58	France_MannequinOsier_59	France_MannequinOsier_60	France_MannequinOsier_61	France_MannequinOsier_62	France_MannequinOsier_63	France_MannequinOsier_64	France_MannequinOsier_sum
,_PUN_,	73.0	57.0	74.0	55.0	77.0	80.0	68.0	71.0	76.0	74.0	64.0	67.0	50.0	61.0	68.0	86.0	47.0	78.0	74.0	61.0	63.0	69.0	80.0	62.0	59.0	69.0	60.0	60.0	60.0	61.0	78.0	67.0	74.0	75.0	70.0	63.0	68.0	71.0	54.0	59.0	75.0	91.0	69.0	63.0	71.0	50.0	64.0	63.0	80.0	54.0	67.0	83.0	76.0	74.0	63.0	77.0	77.0	72.0	57.0	53.0	74.0	63.0	64.0	81.0	14.0	4358.0
._SENT_.	36.0	53.0	36.0	75.0	43.0	38.0	29.0	42.0	44.0	38.0	37.0	50.0	54.0	63.0	56.0	58.0	55.0	43.0	33.0	42.0	41.0	34.0	42.0	39.0	61.0	52.0	61.0	53.0	65.0	47.0	41.0	48.0	36.0	44.0	53.0	58.0	58.0	53.0	62.0	52.0	44.0	37.0	51.0	46.0	53.0	62.0	57.0	34.0	36.0	55.0	55.0	55.0	44.0	41.0	36.0	39.0	40.0	53.0	39.0	28.0	43.0	49.0	37.0	43.0	15.0	3017.0
<eos>_<EOS>_<EOS>	30.0	44.0	37.0	69.0	34.0	35.0	28.0	40.0	46.0	36.0	37.0	45.0	59.0	54.0	50.0	43.0	45.0	36.0	27.0	36.0	34.0	37.0	34.0	42.0	53.0	42.0	51.0	42.0	51.0	46.0	36.0	39.0	36.0	58.0	48.0	50.0	49.0	47.0	58.0	46.0	38.0	32.0	36.0	40.0	45.0	63.0	44.0	33.0	40.0	61.0	39.0	47.0	40.0	36.0	37.0	30.0	37.0	47.0	39.0	40.0	40.0	44.0	31.0	43.0	14.0	2726.0
de_PRP_de	43.0	40.0	30.0	19.0	34.0	37.0	39.0	41.0	36.0	43.0	36.0	35.0	33.0	38.0	32.0	34.0	43.0	43.0	46.0	49.0	30.0	31.0	30.0	33.0	29.0	30.0	31.0	30.0	41.0	35.0	39.0	34.0	34.0	27.0	46.0	32.0	33.0	56.0	46.0	39.0	34.0	38.0	38.0	34.0	24.0	33.0	44.0	33.0	38.0	30.0	36.0	31.0	35.0	35.0	38.0	30.0	25.0	34.0	38.0	33.0	34.0	40.0	43.0	38.0	3.0	2296.0
et_KON_et	32.0	24.0	31.0	21.0	20.0	27.0	24.0	20.0	25.0	28.0	22.0	24.0	26.0	28.0	16.0	23.0	19.0	27.0	29.0	22.0	36.0	27.0	30.0	30.0	22.0	22.0	19.0	23.0	23.0	26.0	32.0	25.0	30.0	13.0	27.0	21.0	18.0	20.0	17.0	23.0	34.0	17.0	29.0	26.0	25.0	28.0	30.0	33.0	23.0	12.0	27.0	24.0	23.0	26.0	33.0	35.0	25.0	19.0	21.0	27.0	23.0	18.0	33.0	26.0	3.0	1592.0
la_DET:ART_le	18.0	20.0	25.0	13.0	21.0	27.0	28.0	25.0	21.0	14.0	28.0	19.0	13.0	14.0	15.0	28.0	22.0	24.0	23.0	38.0	20.0	20.0	17.0	16.0	17.0	16.0	15.0	18.0	22.0	21.0	19.0	26.0	33.0	26.0	25.0	26.0	18.0	22.0	26.0	22.0	21.0	32.0	15.0	24.0	31.0	29.0	19.0	33.0	17.0	15.0	17.0	15.0	24.0	23.0	25.0	30.0	16.0	25.0	26.0	28.0	28.0	21.0	37.0	26.0	3.0	1441.0
il_PRO:PER_il	12.0	9.0	14.0	29.0	11.0	7.0	8.0	9.0	12.0	22.0	27.0	21.0	29.0	24.0	8.0	13.0	23.0	12.0	8.0	24.0	38.0	27.0	34.0	22.0	25.0	26.0	5.0	15.0	17.0	28.0	5.0	11.0	24.0	10.0	12.0	20.0	16.0	12.0	11.0	14.0	18.0	14.0	18.0	12.0	15.0	12.0	15.0	5.0	2.0	12.0	17.0	16.0	6.0	12.0	6.0	11.0	27.0	18.0	8.0	9.0	6.0	11.0	9.0	5.0	6.0	984.0
le_DET:ART_le	13.0	18.0	14.0	17.0	21.0	19.0	15.0	20.0	15.0	21.0	26.0	24.0	10.0	19.0	20.0	16.0	12.0	11.0	21.0	9.0	14.0	13.0	7.0	23.0	13.0	13.0	9.0	23.0	25.0	12.0	14.0	10.0	13.0	12.0	16.0	19.0	19.0	12.0	8.0	12.0	16.0	19.0	22.0	25.0	16.0	14.0	11.0	14.0	19.0	10.0	13.0	13.0	6.0	7.0	15.0	17.0	6.0	16.0	7.0	9.0	15.0	16.0	11.0	16.0	1.0	962.0
à_PRP_à	15.0	16.0	18.0	11.0	24.0	13.0	11.0	16.0	13.0	12.0	16.0	17.0	11.0	9.0	11.0	7.0	13.0	11.0	8.0	19.0	13.0	12.0	21.0	20.0	14.0	19.0	14.0	20.0	16.0	22.0	19.0	18.0	20.0	11.0	10.0	10.0	8.0	11.0	14.0	12.0	15.0	11.0	17.0	10.0	16.0	10.0	8.0	14.0	13.0	20.0	10.0	7.0	13.0	18.0	12.0	24.0	19.0	11.0	19.0	20.0	12.0	10.0	19.0	14.0	3.0	920.0
les_DET:ART_le	18.0	22.0	6.0	16.0	12.0	16.0	21.0	10.0	6.0	19.0	17.0	13.0	17.0	18.0	8.0	10.0	7.0	18.0	13.0	16.0	16.0	15.0	17.0	13.0	15.0	11.0	9.0	6.0	14.0	14.0	7.0	10.0	19.0	12.0	16.0	18.0	6.0	10.0	9.0	24.0	12.0	11.0	12.0	19.0	16.0	10.0	15.0	26.0	18.0	9.0	13.0	24.0	16.0	15.0	10.0	15.0	13.0	21.0	20.0	13.0	13.0	17.0	7.0	6.0	0.0	895.0
