	Maupassant_PierreJean_0	Maupassant_PierreJean_1	Maupassant_PierreJean_2	Maupassant_PierreJean_3	Maupassant_PierreJean_4	Maupassant_PierreJean_5	Maupassant_PierreJean_6	Maupassant_PierreJean_7	Maupassant_PierreJean_8	Maupassant_PierreJean_9	Maupassant_PierreJean_10	Maupassant_PierreJean_11	Maupassant_PierreJean_12	Maupassant_PierreJean_13	Maupassant_PierreJean_14	Maupassant_PierreJean_15	Maupassant_PierreJean_16	Maupassant_PierreJean_17	Maupassant_PierreJean_18	Maupassant_PierreJean_19	Maupassant_PierreJean_20	Maupassant_PierreJean_21	Maupassant_PierreJean_22	Maupassant_PierreJean_23	Maupassant_PierreJean_24	Maupassant_PierreJean_25	Maupassant_PierreJean_26	Maupassant_PierreJean_27	Maupassant_PierreJean_28	Maupassant_PierreJean_29	Maupassant_PierreJean_30	Maupassant_PierreJean_31	Maupassant_PierreJean_32	Maupassant_PierreJean_33	Maupassant_PierreJean_34	Maupassant_PierreJean_35	Maupassant_PierreJean_36	Maupassant_PierreJean_37	Maupassant_PierreJean_38	Maupassant_PierreJean_39	Maupassant_PierreJean_40	Maupassant_PierreJean_41	Maupassant_PierreJean_42	Maupassant_PierreJean_43	Maupassant_PierreJean_44	Maupassant_PierreJean_45	Maupassant_PierreJean_46	Maupassant_PierreJean_47	Maupassant_PierreJean_48	Maupassant_PierreJean_49	Maupassant_PierreJean_50	Maupassant_PierreJean_51	Maupassant_PierreJean_52	Maupassant_PierreJean_53	Maupassant_PierreJean_54	Maupassant_PierreJean_55	Maupassant_PierreJean_56	Maupassant_PierreJean_sum
,_PUN_,	84.0	99.0	96.0	94.0	100.0	66.0	67.0	88.0	77.0	95.0	91.0	80.0	67.0	85.0	63.0	66.0	96.0	76.0	82.0	101.0	73.0	83.0	103.0	94.0	86.0	80.0	98.0	68.0	98.0	72.0	81.0	79.0	79.0	78.0	77.0	81.0	80.0	82.0	81.0	78.0	56.0	76.0	85.0	85.0	82.0	79.0	61.0	62.0	61.0	64.0	77.0	62.0	65.0	64.0	69.0	55.0	49.0	4476.0
<eos>_<EOS>_<EOS>	35.0	32.0	36.0	36.0	34.0	54.0	41.0	45.0	46.0	33.0	37.0	48.0	42.0	36.0	56.0	42.0	31.0	38.0	37.0	37.0	45.0	37.0	33.0	44.0	48.0	49.0	45.0	56.0	39.0	50.0	46.0	47.0	55.0	42.0	41.0	31.0	50.0	40.0	58.0	37.0	50.0	40.0	45.0	59.0	35.0	45.0	53.0	57.0	60.0	47.0	48.0	36.0	52.0	57.0	34.0	51.0	49.0	2507.0
._SENT_.	29.0	21.0	30.0	31.0	29.0	44.0	41.0	33.0	37.0	26.0	30.0	40.0	37.0	29.0	36.0	25.0	28.0	32.0	29.0	31.0	38.0	25.0	29.0	31.0	22.0	34.0	30.0	48.0	32.0	39.0	35.0	39.0	35.0	35.0	36.0	25.0	37.0	33.0	35.0	35.0	28.0	31.0	35.0	39.0	18.0	38.0	36.0	44.0	48.0	41.0	33.0	33.0	42.0	43.0	33.0	42.0	35.0	1930.0
de_PRP_de	30.0	43.0	23.0	41.0	36.0	21.0	33.0	25.0	21.0	39.0	39.0	24.0	24.0	38.0	33.0	36.0	41.0	31.0	28.0	23.0	25.0	32.0	21.0	32.0	31.0	22.0	28.0	19.0	25.0	25.0	24.0	20.0	16.0	44.0	23.0	30.0	14.0	27.0	20.0	36.0	45.0	22.0	20.0	15.0	22.0	31.0	28.0	17.0	20.0	42.0	21.0	39.0	26.0	22.0	31.0	26.0	10.0	1580.0
et_KON_et	30.0	25.0	25.0	27.0	18.0	17.0	19.0	18.0	20.0	27.0	22.0	16.0	25.0	23.0	22.0	29.0	21.0	35.0	21.0	22.0	32.0	23.0	21.0	21.0	26.0	26.0	24.0	9.0	24.0	21.0	15.0	29.0	10.0	27.0	31.0	28.0	21.0	28.0	20.0	25.0	18.0	23.0	22.0	15.0	22.0	26.0	19.0	20.0	10.0	22.0	25.0	24.0	23.0	21.0	25.0	26.0	8.0	1272.0
il_PRO:PER_il	10.0	8.0	8.0	6.0	7.0	11.0	18.0	17.0	38.0	13.0	18.0	28.0	32.0	25.0	23.0	24.0	12.0	30.0	17.0	21.0	9.0	19.0	36.0	27.0	14.0	45.0	27.0	29.0	11.0	25.0	18.0	21.0	11.0	32.0	9.0	9.0	9.0	15.0	6.0	3.0	6.0	36.0	27.0	7.0	15.0	25.0	28.0	24.0	17.0	9.0	8.0	22.0	29.0	17.0	24.0	12.0	10.0	1057.0
la_DET:ART_le	13.0	21.0	16.0	15.0	29.0	12.0	17.0	9.0	14.0	28.0	15.0	19.0	20.0	17.0	19.0	18.0	16.0	13.0	13.0	21.0	24.0	17.0	18.0	12.0	21.0	14.0	18.0	15.0	28.0	23.0	12.0	23.0	6.0	21.0	25.0	22.0	18.0	7.0	17.0	21.0	19.0	13.0	17.0	9.0	9.0	11.0	17.0	15.0	11.0	31.0	12.0	23.0	9.0	19.0	15.0	29.0	8.0	974.0
à_PRP_à	16.0	15.0	13.0	16.0	18.0	16.0	13.0	12.0	14.0	17.0	10.0	10.0	19.0	15.0	18.0	8.0	14.0	15.0	12.0	15.0	14.0	13.0	24.0	20.0	12.0	9.0	15.0	17.0	15.0	16.0	22.0	12.0	8.0	16.0	20.0	20.0	20.0	21.0	14.0	20.0	13.0	9.0	8.0	10.0	7.0	13.0	13.0	11.0	13.0	13.0	10.0	12.0	17.0	10.0	12.0	12.0	11.0	808.0
le_DET:ART_le	15.0	15.0	25.0	27.0	11.0	9.0	11.0	14.0	10.0	9.0	11.0	14.0	17.0	18.0	10.0	17.0	21.0	19.0	9.0	19.0	17.0	20.0	10.0	12.0	11.0	18.0	16.0	18.0	12.0	11.0	6.0	21.0	11.0	8.0	16.0	18.0	9.0	4.0	12.0	16.0	7.0	11.0	4.0	5.0	3.0	6.0	8.0	14.0	8.0	14.0	9.0	16.0	11.0	14.0	18.0	19.0	6.0	740.0
un_DET:ART_un	14.0	13.0	15.0	12.0	14.0	13.0	11.0	8.0	12.0	17.0	10.0	9.0	13.0	8.0	12.0	15.0	20.0	5.0	10.0	7.0	18.0	6.0	9.0	7.0	6.0	14.0	20.0	3.0	12.0	9.0	7.0	10.0	8.0	12.0	17.0	17.0	13.0	12.0	7.0	11.0	2.0	8.0	13.0	7.0	4.0	12.0	8.0	10.0	8.0	17.0	14.0	10.0	10.0	10.0	6.0	8.0	5.0	608.0
